orf	hap a | growth (spot assay) | disodium selenite [0.05-0.5 mM] | Manikova D~Chovanec M, 2012
YAL012W	5.129030728925979
YAL016W	3.8467730466944845
YBL024W	5.770159570041727
YBL025W	5.770159570041727
YBL093C	5.770159570041727
YBL103C	2.8850797850208636
YBR081C	3.8467730466944845
YBR094W	2.8850797850208636
YBR098W	4.327619677531295
YBR101C	5.770159570041727
YBR127C	6.411288411157474
YBR191W	2.8850797850208636
YBR231C	2.8850797850208636
YCL005W-A	5.129030728925979
YCL007C	5.129030728925979
YCL016C	4.808466308368105
YCL035C	4.808466308368105
YCL037C	2.8850797850208636
YCR002C	5.770159570041727
YCR009C	5.770159570041727
YCR047C	4.327619677531295
YCR081W	5.770159570041727
YCR086W	2.8850797850208636
YDL040C	4.327619677531295
YDL059C	5.770159570041727
YDL077C	2.8850797850208636
YDL116W	5.770159570041727
YDL160C	5.770159570041727
YDL185W	9.61693261673621
YDL232W	2.8850797850208636
YDR004W	7.693546093388969
YDR028C	2.8850797850208636
YDR069C	2.8850797850208636
YDR076W	5.770159570041727
YDR129C	5.770159570041727
YDR138W	3.8467730466944845
YDR174W	5.770159570041727
YDR176W	5.770159570041727
YDR195W	6.411288411157474
YDR264C	6.411288411157474
YDR323C	5.770159570041727
YDR369C	9.61693261673621
YDR386W	7.693546093388969
YDR388W	5.770159570041727
YDR432W	7.693546093388969
YDR433W	5.770159570041727
YDR448W	6.731852831715348
YDR470C	3.205644205578737
YDR477W	2.8850797850208636
YDR495C	6.411288411157474
YDR502C	2.8850797850208636
YDR529C	6.411288411157474
YEL027W	3.8467730466944845
YEL044W	2.8850797850208636
YEL051W	6.411288411157474
YER014W	3.205644205578737
YER026C	3.8467730466944845
YER087W	3.205644205578737
YER095W	6.731852831715348
YER149C	2.5645153644629897
YER151C	2.8850797850208636
YER164W	2.8850797850208636
YER173W	2.8850797850208636
YER181C	2.8850797850208636
YFR010W	5.770159570041727
YFR019W	2.8850797850208636
YFR036W	5.770159570041727
YGL019W	2.8850797850208636
YGL038C	2.5645153644629897
YGL058W	5.770159570041727
YGL070C	3.8467730466944845
YGL163C	5.770159570041727
YGL190C	4.327619677531295
YGL223C	3.205644205578737
YGR020C	6.411288411157474
YGR028W	2.8850797850208636
YGR078C	4.327619677531295
YGR104C	2.8850797850208636
YGR105W	6.731852831715348
YGR223C	5.770159570041727
YGR252W	5.770159570041727
YHL023C	2.8850797850208636
YHL025W	5.770159570041727
YHR013C	5.770159570041727
YHR021C	7.693546093388969
YHR060W	7.693546093388969
YHR154W	5.770159570041727
YHR191C	2.8850797850208636
YIL128W	3.8467730466944845
YIL148W	6.731852831715348
YIR026C	2.5645153644629897
YJL101C	7.693546093388969
YJL136C	2.8850797850208636
YJL140W	5.129030728925979
YJL175W	5.770159570041727
YJL176C	5.129030728925979
YJL180C	3.205644205578737
YJL184W	3.205644205578737
YJL189W	6.411288411157474
YJR018W	5.770159570041727
YJR060W	3.8467730466944845
YJR074W	2.8850797850208636
YJR090C	3.8467730466944845
YJR139C	5.770159570041727
YKL054C	5.129030728925979
YKL080W	5.129030728925979
YKL118W	7.693546093388969
YKL119C	6.731852831715348
YKL213C	4.327619677531295
YLL002W	3.526208626136611
YLL006W-A	2.8850797850208636
YLR032W	5.770159570041727
YLR182W	4.808466308368105
YLR240W	6.411288411157474
YLR320W	5.770159570041727
YLR338W	5.770159570041727
YML032C	5.770159570041727
YML097C	2.8850797850208636
YML111W	2.8850797850208636
YMR001C-A	2.8850797850208636
YMR031W-A	5.770159570041727
YMR060C	3.8467730466944845
YMR078C	5.770159570041727
YMR091C	5.770159570041727
YMR198W	5.770159570041727
YMR224C	7.693546093388969
YNL059C	3.8467730466944845
YNL107W	6.731852831715348
YNL147W	2.8850797850208636
YNL171C	5.770159570041727
YNL250W	6.731852831715348
YNR006W	5.770159570041727
YOL006C	2.8850797850208636
YOL011W	2.8850797850208636
YOL012C	5.770159570041727
YOL049W	2.8850797850208636
YOL067C	3.8467730466944845
YOL076W	2.8850797850208636
YOL086C	3.8467730466944845
YOL143C	3.205644205578737
YOL145C	5.770159570041727
YOL148C	3.8467730466944845
YOR039W	5.770159570041727
YOR106W	2.8850797850208636
YOR141C	5.770159570041727
YOR270C	2.8850797850208636
YOR273C	5.770159570041727
YOR290C	2.5645153644629897
YOR295W	6.731852831715348
YOR331C	6.411288411157474
YOR332W	6.411288411157474
YOR368W	2.8850797850208636
YOR386W	2.8850797850208636
YPL004C	5.770159570041727
YPL017C	5.770159570041727
YPL024W	5.770159570041727
YPL055C	2.8850797850208636
YPL075W	3.205644205578737
YPL084W	5.770159570041727
YPL091W	9.61693261673621
YPL120W	5.770159570041727
YPL129W	6.411288411157474
YPL226W	5.770159570041727
YPL234C	9.61693261673621
YPL272C	2.8850797850208636
YPR036W	5.770159570041727
YPR099C	3.205644205578737
YPR131C	3.8467730466944845
YPR135W	3.8467730466944845
YPR141C	5.770159570041727
YPR163C	5.770159570041727
YPR164W	5.770159570041727
