ORF	hom | growth (relative abundance in pooled culture) | cyclosporin A [10 uM], time [5 generations] | Singh-Babak SD~Cowen LE, 2012	hom | growth (relative abundance in pooled culture) | micafungin [0.045 ug/ml], time [5 generations] | Singh-Babak SD~Cowen LE, 2012	hom | growth (relative abundance in pooled culture) | cyclosporin A [10 uM], micafungin [0.045 ug/ml], time [5 generations] | Singh-Babak SD~Cowen LE, 2012	het | growth (relative abundance in pooled culture) | cyclosporin A [10 uM], time [20 generations] | Singh-Babak SD~Cowen LE, 2012	het | growth (relative abundance in pooled culture) | micafungin [0.045 ug/ml], time [20 generations] | Singh-Babak SD~Cowen LE, 2012	het | growth (relative abundance in pooled culture) | cyclosporin A [10 uM], micafungin [0.045 ug/ml], time [20 generations] | Singh-Babak SD~Cowen LE, 2012
YDR064W	NaN	NaN	NaN	1.555	-5.400	-2.326
YDR230W	2.539	2.081	0.255	NaN	NaN	NaN
YBR069C	1.191	-0.833	0.816	NaN	NaN	NaN
YOR330C	0.855	-0.547	-3.585	NaN	NaN	NaN
YPL169C	NaN	NaN	NaN	1.392	-2.922	-0.900
YPL142C	NaN	NaN	NaN	2.075	-4.901	-3.803
YJR142W	3.064	13.721	7.381	NaN	NaN	NaN
YCL029C	2.003	-2.025	-0.530	NaN	NaN	NaN
YHR204W	1.520	7.139	3.716	NaN	NaN	NaN
YDR335W	2.785	2.958	1.367	NaN	NaN	NaN
YOR295W	0.433	-1.797	-1.186	NaN	NaN	NaN
YPL269W	2.989	1.964	4.093	NaN	NaN	NaN
YAL058W	0.750	-3.599	-2.354	NaN	NaN	NaN
YDL081C	1.233	-0.993	-1.975	NaN	NaN	NaN
YMR165C	1.226	0.516	0.452	NaN	NaN	NaN
YCR034W	0.705	-1.680	2.002	NaN	NaN	NaN
YJL024C	0.798	1.580	0.305	NaN	NaN	NaN
YOR158W	1.076	-1.375	0.219	NaN	NaN	NaN
YDL192W	2.593	1.109	0.666	NaN	NaN	NaN
YPL049C	0.980	-0.057	0.509	NaN	NaN	NaN
YPR133W-A	-0.429	2.604	0.674	NaN	NaN	NaN
YGL147C	1.768	-1.049	0.495	NaN	NaN	NaN
YLR283W	2.401	-0.909	-0.389	NaN	NaN	NaN
YDR414C	3.424	6.830	3.245	NaN	NaN	NaN
YNL215W	0.386	-0.175	-1.985	NaN	NaN	NaN
YNL173C	3.004	-0.751	-0.323	NaN	NaN	NaN
YBL087C	3.098	-1.109	1.201	NaN	NaN	NaN
YGL220W	0.241	0.791	-0.981	NaN	NaN	NaN
YDL006W	0.427	2.581	2.009	NaN	NaN	NaN
YDR149C	0.484	3.421	2.893	NaN	NaN	NaN
YMR307W	1.258	-1.876	1.682	NaN	NaN	NaN
YLR268W	1.398	1.163	2.178	NaN	NaN	NaN
YER151C	0.657	-1.626	1.116	NaN	NaN	NaN
YJL019W	NaN	NaN	NaN	1.535	1.448	0.004
YDR159W	-0.384	0.300	0.789	NaN	NaN	NaN
YLR095C	1.681	0.821	0.077	NaN	NaN	NaN
YDR057W	2.345	1.396	0.303	NaN	NaN	NaN
YBL001C	1.821	-2.343	-1.541	NaN	NaN	NaN
YCR024C-A	2.021	2.171	-1.829	NaN	NaN	NaN
YCR025C	1.503	2.227	1.003	NaN	NaN	NaN
YLL018C-A	2.027	-0.825	-0.725	NaN	NaN	NaN
YDR488C	3.562	1.084	2.572	NaN	NaN	NaN
YDL044C	1.468	-1.861	-1.307	NaN	NaN	NaN
YNR037C	1.073	-2.168	0.339	NaN	NaN	NaN
YEL007W	1.377	5.170	2.376	NaN	NaN	NaN
YMR031W-A	-0.656	0.657	0.472	NaN	NaN	NaN
YGR106C	1.801	3.521	2.816	NaN	NaN	NaN
YJR111C	3.332	11.790	6.404	NaN	NaN	NaN
YOR085W	2.058	-2.209	-2.159	NaN	NaN	NaN
YNR041C	0.077	-1.541	-0.677	NaN	NaN	NaN
YBL085W	2.259	0.582	1.361	NaN	NaN	NaN
YNL183C	1.793	-1.185	2.100	NaN	NaN	NaN
YLR340W	NaN	NaN	NaN	0.861	-1.735	-1.416
YER072W	0.624	0.604	-1.019	NaN	NaN	NaN
YDR079W	1.832	-1.988	-1.747	NaN	NaN	NaN
YDR289C	4.693	3.027	3.115	NaN	NaN	NaN
YLR287C	1.997	-1.053	-1.393	NaN	NaN	NaN
YDL066W	0.717	0.456	1.449	NaN	NaN	NaN
