orf	hap a | cytosolic pH | standard [standard] | Orij R~Smits GJ, 2012
YAL002W	6.837412721005331
YAL004W	6.946167481714895
YAL005C	7.068709523195035
YAL007C	6.889097880218435
YAL008W	7.054038372854276
YAL010C	6.947971129644415
YAL011W	7.023671359409745
YAL013W	6.899301978307655
YAL014C	6.945801691615955
YAL015C	6.8902921934801356
YAL017W	6.909263534035736
YAL018C	7.037948392109405
YAL019W	7.034863496332624
YAL020C	6.9615511937726
YAL022C	6.99914088884442
YAL023C	6.9940162332369145
YAL024C	6.992198949949135
YAL026C	6.930520673997975
YAL027W	6.93386445121325
YAL028W	6.930302852702895
YAL029C	6.984575274845705
YAL030W	6.882994711322265
YAL031C	6.93740411806973
YAL034C	7.025332777597734
YAL036C	7.003412888987805
YAL037W	7.0591873095176805
YAL040C	7.22504951521884
YAL042C-A	7.052002079444155
YAL042W	7.664187946362521
YAL045C	6.991104868331631
YAL046C	6.9938766869075994
YAL048C	6.98456373156301
YAL049C	6.9707804445338795
YAL051W	6.91144696297625
YAL053W	6.912508399405516
YAL054C	6.9320471610412
YAL055W	7.0470030945492805
YAL056C-A	6.9214218967611
YAL056W	7.00140309552317
YAL058W	6.952418201369239
YAL059W	6.94301527686539
YAL060W	7.000524878223055
YAL061W	6.96294137684525
YAL062W	6.97707690596153
YAL064C-A	6.90426279964554
YAL065C	6.958093715964955
YAL066W	6.891657981470354
YAL067C	6.928758709293965
YAL068C	7.0179728521455
YAR002C-A	6.93514444891784
YAR002W	7.014805626516255
YAR003W	6.91640134263227
YAR014C	6.93214046146669
YAR015W	7.014829610392155
YAR018C	6.98457591173236
YAR020C	6.981464734470375
YAR023C	6.926455199338565
YAR027W	6.946869201757615
YAR028W	7.004006947725594
YAR029W	7.088275506930231
YAR030C	7.062966841338775
YAR031W	7.037105878248445
YAR035W	6.932953901356375
YAR042W	6.960374944223715
YAR047C	6.963728706162215
YAR050W	7.0331871962282655
YBL001C	6.992232318931335
YBL003C	6.982227695219921
YBL005W	6.96416766665646
YBL007C	7.011624586418829
YBL008W	6.9820642026486155
YBL009W	6.96305533037698
YBL010C	7.004236576655955
YBL011W	6.81493247866953
YBL013W	7.0386272138990655
YBL015W	7.103147227161785
YBL016W	7.29376379391884
YBL017C	7.09091590073909
YBL019W	7.05868903505306
YBL021C	7.2133901231977955
YBL024W	7.099653589337855
YBL025W	5.879753500886885
YBL027W	6.97151479130905
YBL028C	7.125126351110611
YBL029W	7.057925863497999
YBL031W	7.0561635025820255
YBL032W	7.0358923958650195
YBL036C	7.036127641960565
YBL037W	7.109083358179316
YBL039C	7.02592409391273
YBL042C	8.056382897711025
YBL043W	7.086067753670995
YBL046W	7.02471409733272
YBL047C	7.116357895794565
YBL048W	7.087610618629601
YBL049W	7.13656213262808
YBL051C	7.785896244193305
YBL052C	7.037054782954745
YBL053W	7.038231383074195
YBL054W	7.08588648374719
YBL055C	7.07491783841349
YBL056W	7.045807555397531
YBL057C	7.123879187720565
YBL059W	7.12553034128577
YBL060W	7.104215111805505
YBL061C	7.036537523641774
YBL062W	7.0306939066385254
YBL063W	7.12587869564405
YBL064C	7.09057497991408
YBL065W	7.120292694435966
YBL066C	7.1513715318766256
YBL067C	7.142647614363
YBL068W	7.13415273906823
YBL069W	7.072755554720825
YBL070C	7.110484551651365
YBL071C	7.085505739304516
YBL072C	7.03477642246845
YBL075C	7.02366192965927
YBL078C	7.12477852778398
YBL079W	7.073386307584045
YBL081W	7.10515830940877
YBL082C	7.22098082879754
YBL083C	7.24537616310713
YBL085W	7.043656188859215
YBL086C	7.181266931657265
YBL087C	7.058420725294885
YBL088C	7.184838588297995
YBL089W	7.285304777293804
YBL091C	7.728301827213265
YBL091C-A	7.201514067687615
YBL094C	7.14845928069642
YBL095W	7.00281037121888
YBL096C	7.218818025307015
YBL098W	7.111733313062315
YBL100C	7.15677737000386
YBL101C	7.20682517338808
YBL102W	7.118394178562875
YBL103C	7.027037468492567
YBL104C	7.1103459905009245
YBL106C	7.18468166084556
YBL107C	7.038784686971245
YBR001C	7.089386467034496
YBR005W	6.9946170098831
YBR006W	7.024037544498805
YBR007C	7.040703836900355
YBR008C	7.13835727751856
YBR009C	7.09327084556196
YBR010W	7.097929804368816
YBR012C	7.10739991043849
YBR013C	7.12207892842405
YBR014C	7.10621431541932
YBR015C	7.07009073115006
