orf	hap a (post-SGA) | growth (colony size) | expression of human TDP-43 [GAL] | SC - Leu, Gal [2%] | Armakola M~Gitler AD, 2012	hap a (post-SGA) | growth (colony size) | expression of human TDP-43 [GAL] | SC - Ura, Gal [2%] | Armakola M~Gitler AD, 2012
YAL002W	-1.591864	-0.6254387990690026
YAL004W	-0.18617	-0.32755449948449056
YAL005C	-1.600155	-0.14325874674846995
YAL007C	-0.392307	0.05105766810741588
YAL008W		-0.012881268795335243
YAL009W	0.760973	0.060474421357403774
YAL010C	-0.095956	0.17362787995263196
YAL011W	-0.728987	-0.159803545345948
YAL012W		-1.0
YAL013W	6.387535	-0.4743954903659431
YAL014C	-2.588807	-0.14630839135935914
YAL015C	-0.6344	-0.03254428662246189
YAL016C-B	-1.158893	
YAL016W		0.3323636196627475
YAL017W	-0.327693	0.08083550045170171
YAL018C	-0.111721	-0.1635403816197859
YAL019W	2.08118	0.05263259762404854
YAL020C	0.968088	-0.23237347011289552
YAL021C	0.395993	-0.3202054255048762
YAL022C	-1.713121	0.19038437445468778
YAL023C		0.26167877325810623
YAL024C	-3.393054	1.8184005907802556
YAL026C	1.041105	0.2708273345490782
YAL027W	0.706961	0.03470910781461925
YAL028W	-0.534864	0.040877496987993284
YAL029C		-0.061908368139863
YAL030W	0.349935	-0.005507805225322071
YAL031C	0.292543	-0.19404519912268808
YAL034C	-2.729399	-0.15624035966257993
YAL035W	1.409506	-1.0
YAL036C	0.523135	-0.2657414189378329
YAL037C-A	-0.424584	
YAL037W	0.681593	0.23615155760519874
YAL039C	-0.095362	-1.0
YAL040C	-1.189378	-0.038790489907221753
YAL042C-A	-0.686837	-0.18421049376753368
YAL042W	-2.967924	-0.16145303651336082
YAL044C		-0.35549320666059164
YAL044W-A	0.608267	
YAL045C	-0.544954	0.025741243589889468
YAL046C	-0.760396	0.2035063720592355
YAL047C		
YAL048C	-2.320545	0.037444121949977004
YAL049C	-1.070622	-0.005389136082721041
YAL051W	-1.664467	-0.11575796171506003
YAL053W	0.506875	-0.2842721884340974
YAL054C	-1.148402	0.0023609156905578244
