orf	hap a (post-SGA) | growth (colony size) | expression of human TDP-43 [GAL] | SC - Leu, Gal [2%] | Armakola M~Gitler AD, 2012	hap a (post-SGA) | growth (colony size) | expression of human TDP-43 [GAL] | SC - Ura, Gal [2%] | Armakola M~Gitler AD, 2012
YAL002W	-0.7701296216457298	-0.93703820345046
YAL004W	0.10353689556989253	-0.4997951815872278
YAL005C	-0.775282641502281	-0.22928064975304846
YAL007C	-0.024581311422010962	0.05594249409079885
YAL008W		-0.03790889057457476
YAL009W	0.6922049315116808	0.06976467153656578
YAL010C	0.15960667404521517	0.23585452668993248
YAL011W	-0.2338345649865533	-0.2535655742857277
YAL012W		-1.4868297553926817
YAL013W	4.189224073969262	-0.7153325518882165
YAL014C	-1.3897493387907802	-0.233757004589923
YAL015C	-0.17504688085055062	-0.06677082571407439
YAL016C-B	-0.501029614371483	
YAL016W		0.4688513466141573
YAL017W	0.015577562659667006	0.09965124079853971
YAL018C	0.14980841592936325	-0.2590506085317755
YAL019W	1.512739593887479	0.05825422029467921
YAL020C	0.8209309847729978	-0.3600857676821081
YAL021C	0.46536267035572676	-0.48900800240650233
YAL022C	-0.8454932362574553	0.2604501844742894
YAL023C		0.36509812469204866
YAL024C	-1.8896046952702932	2.6500985515127904
YAL026C	0.8663124889179491	0.37852664237540745
YAL027W	0.6586354093199022	0.03194561370634737
YAL028W	-0.11318329570501102	0.04099975024847594
YAL029C		-0.10987225722562055
YAL030W	0.4367367158806296	-0.0270859116614604
YAL031C	0.4010664570931275	-0.3038264446700318
YAL034C	-1.4771300368576274	-0.24833542930048094
YAL035W	1.0952809689774445	-1.4868297553926817
YAL036C	0.5443839284188817	-0.40906418916300935
YAL037C-A	-0.04464210287176364	
YAL037W	0.6428686974973249	0.3276285536961961
YAL039C	0.15997585674872394	-1.4868297553926817
YAL040C	-0.5199766425136806	-0.07593918001542492
YAL042C-A	-0.20763750951029852	-0.289390785272675
YAL042W	-1.625378023986303	-0.2559867441949248
YAL044C		-0.5408044082220966
YAL044W-A	0.5972951437641848	
YAL045C	-0.1194544295070374	0.0187823283007412
YAL046C	-0.25335587733420895	0.279711024651154
YAL047C		
YAL048C	-1.223019220257659	0.03596014500944212
YAL049C	-0.44616744867884983	-0.026911725728918253
YAL051W	-0.8152538166336901	-0.1889142176571271
YAL053W	0.5342780180501059	-0.4362641780959574
YAL054C	-0.494509251168603	-0.015535979972356267
YAL055W	0.27842135260475664	0.09508225870499036
YAL056C-A	0.059269776252199265	-0.08938563941059825
YAL056W	0.33330775756580194	-1.1788377320271404
YAL058W	0.4085663353477412	0.5437170047424743
YAL059W	0.2929711288491012	0.32080084487056465
YAL060W	0.11710218460488035	0.13436273498535736
YAL061W		0.06290821266454835
YAL062W	0.6550846672573674	-0.08444749469521569
YAL064C-A	0.40546370899098044	0.14661663113753964
YAL065C	0.6052804289067452	0.04076693390165124
YAL066W	-0.0810805600120214	-0.06477686157557835
YAL067C	0.8508434850330499	-0.02278838141021262
YAL067W-A	0.15045914705827523	
YAL068C	0.550136093269006	-0.3080733885031911
YAR002C-A	0.6869207709978228	0.28733344807306854
YAR002W		0.4285175379473759
YAR003W		-1.0415131403666913
YAR014C	-0.819182442675574	0.07933536328199732
YAR015W	0.1905962679503525	3.430034063681391
YAR018C	1.1225806004066028	0.2705915121876941
YAR020C	0.7082780525477764	-0.16503115333125754
YAR023C	0.15159528507513392	-0.06952474488123946
YAR027W		0.022758487291185195
YAR028W		0.04923722899198089
YAR029W		-0.3095141675737473
YAR030C	-0.628267749464113	-0.3902081167820592
YAR031W	0.37785269619068107	-0.24211519722988117
YAR035C-A	-0.04309141121308615	
YAR035W	-0.7806581654124619	-0.4222701557064092
YAR042W	0.09886286023102508	0.04631490283441356
YAR047C	0.06297465520104754	0.056506138378395
YAR050W	0.028622639703347018	-0.44141031140722403
YBL001C	-0.48327341797999734	-0.023875985660139615
YBL002W	0.47431814775447767	0.12405784477764553
YBL003C	0.800982688389466	0.33559919887426104
YBL005W	1.3800252486928022	0.2588664447724651
YBL006C	3.965654114048954	-0.12489350508171375
YBL007C	-0.28417082420283796	0.408925621791663
YBL008W	-0.038815977176997044	0.4529719686222423
YBL008W-A	-0.27788912456586273	
YBL009W	-0.20230735653842755	0.15910276996640105
YBL010C	-0.708655729353894	0.060233485552359876
YBL011W	0.09747894302595289	0.028232080074308667
YBL012C	0.9615423593124268	-0.1916181658002804
YBL013W	0.801546406759975	-0.8397743038632035
YBL015W	0.034644544104519795	-0.12797579933365347
YBL016W		1.233505420092153
YBL017C	-0.41586712012420285	-0.523491726734502
YBL019W	-1.1194584997658212	0.09107413202057822
YBL021C	2.8739392179533807	0.16485781207519096
YBL022C		-1.2637154234246395
YBL024W	1.247922478885756	0.552207936822104
YBL025W	0.6872793878663828	
YBL027W	0.6919799413792395	2.9069737888865648
YBL028C	-0.14504177415477004	0.003715552628663683
YBL029C-A	0.24942435086704212	
YBL029W	0.5722783542036929	0.023692728233977372
YBL031W		0.06030642523713669
YBL032W	0.8490311335794613	-0.03712943462819199
YBL033C		
YBL036C	1.4050439028124027	-0.007073214016071513
YBL037W	0.028301935536662607	0.20013513643810188
YBL038W	-0.015409545166658833	-1.1934568709578977
YBL039C	-0.4929492367143824	0.009967311737407409
YBL039W-B	0.019101579374978153	
YBL042C	0.06494362961976106	0.07848533607567532
YBL043W	-0.13128754313010768	-0.18526492175360326
YBL044W	0.07746352251451022	0.01292079592135986
YBL045C	-1.2299429497477057	-1.4198842405667864
YBL046W	-0.18482027817828744	-0.410871138392444
YBL047C		-0.47628118750018594
YBL048W	-0.33456923538941025	-0.16907211592402743
YBL049W	0.6815527053240764	-0.22134049964351374
YBL051C	2.7199253925411173	-0.16525066334948377
YBL052C	-0.05859273412253503	-0.09077951420355886
YBL053W	0.9284843478361157	-0.14536933654319587
YBL054W	0.8162590211664733	-0.27157946021021817
YBL055C	-0.3613387105120145	-0.3220323784578345
YBL056W	0.9471355325997438	-0.2338285238090396
YBL057C	-0.23323044783535707	-0.0013674171604137271
YBL058W	1.1780195363835055	-1.4868297553926817
YBL059W	1.077629809415745	0.8509272068073631
YBL060W	0.39095184544851136	-0.07386895452205336
YBL061C	-0.2405482208170279	-0.4243461585273783
YBL062W	0.9301680447112086	-0.17182641142458982
YBL063W	0.30930093752248483	0.10402204845424755
YBL064C	0.34117371092541	-0.23252699827069734
YBL065W	0.46678035679798857	-0.0834917768215425
YBL066C	0.023100437143287123	-0.17239580946002778
YBL067C	0.5073102781422839	-0.1012155847559148
YBL068W		-0.11254784006953406
YBL069W	0.6044525646625133	-0.10636983666524248
YBL070C		-0.4080479685977303
YBL071C	-0.032932050149862904	-0.3040962749681175
YBL071C-B		
YBL071W-A	0.835664730849394	
YBL072C		4.733756315296288
YBL075C	-0.1823049879407453	0.05236375821051929
YBL078C	0.8528478860748273	-0.26046239777768976
YBL079W	1.468385461811383	0.687541377247074
YBL080C	0.8409650508755268	-1.3108624466178749
YBL081W	0.6879375772317291	-0.5720386383443316
YBL082C	0.3905242398929322	0.0566897462767169
YBL083C		0.1960052305119797
YBL085W	-0.07014181324139072	-0.4246160195864823
YBL086C	1.0997689627519176	-0.028075858260649872
YBL087C	3.4163978855059858	0.43057157934711815
YBL088C	0.6079709877004986	0.0028943979164666013
YBL089W	0.7274146441993513	-0.5659299932253489
YBL090W		-1.1706852150558786
YBL091C		-0.13711520404988636
YBL091C-A	0.23446934377642192	0.19163359358324047
YBL093C	0.63401825692836	
YBL094C		-0.38865558485870605
YBL095W		-0.16744224164609273
YBL096C		-0.22317424331857474
YBL098W	-0.6831665848192158	0.3113924304950354
YBL099W		-1.1997780435046612
YBL100C		-1.2332324058942434
YBL100W-C	0.2753168616888873	
YBL101C	1.0528796518077874	-0.034764127665738526
YBL102W		0.1864427302149631
YBL103C		8.224410731199058
YBL104C	0.904973500515694	-0.7803225987951573
YBL106C		-0.16534842500151606
YBL107C	-0.178897816929575	-0.15430996107581
YBR001C	-0.010704019496179005	-0.2986575996430056
YBR003W		-1.2160519476774734
YBR005W	0.29113205204828896	-0.46088528758046704
YBR006W	0.16171735495618458	0.20684551229688342
YBR007C	0.11889961958559989	-0.10531805292234375
YBR008C		0.010574974265837908
YBR009C	-0.03068960706188361	0.27695661228967916
YBR010W	1.4088525755516312	0.21902439648443392
YBR012C	0.822281547087349	0.1162851857638764
YBR013C		-0.24710516515149758
YBR014C	-0.3681493234161379	0.29638602741823405
YBR015C	0.6112109699115951	-0.18660780457531623
YBR016W	-0.24182917292465686	0.13477172203909787
YBR018C		-1.1642264922206922
YBR019C	0.8592228136672341	-1.1127327362761592
YBR020W	-0.3008847320525993	-1.079998255457267
YBR021W	3.628173266024802	0.5543293815925858
YBR022W	-0.21125910481896126	0.12503696575472892
YBR023C	-0.2682269792649408	-0.1963192984085064
YBR024W	0.1931780607961025	-0.617194683632263
YBR025C	0.9188800038675612	-0.4501231027639709
YBR026C	2.659588259785843	-1.0652784573099825
YBR027C	-0.20814466958784592	0.3178320038877449
YBR028C	0.23083469655399871	0.494068412126484
YBR030W	-0.22255460389904322	-0.3654221361758703
YBR031W	1.0311208685297755	1.1009021594529347
YBR032W		0.7748031185628782
YBR033W	0.4397541940380962	0.31866128324974397
YBR034C	0.9170552220199152	0.5180168476781521
YBR035C		3.121429156789878
YBR036C		0.5963067718440832
YBR037C		-1.4868297553926817
YBR040W	-0.08324469161743825	-0.010471672008521803
YBR041W	0.31431411544588866	-0.1882293884348264
YBR042C		-0.28343102136571463
YBR043C	-0.4515330282737849	0.29511158212351885
YBR044C	0.36799663674246164	0.48342612987380795
YBR045C	0.6028844704521553	0.5286501954230463
YBR046C	0.567987382175032	0.27574539816838195
YBR047W	1.1309319606541575	0.386435046751104
YBR048W	2.13891447933877	2.3619062402870132
YBR050C	0.7802748949290185	0.2824003528566583
YBR051W	1.029056180076819	0.05650405132746817
YBR052C	1.4778797967925281	0.045549634652456365
YBR053C	-0.2770388856123273	-0.11912330576575594
YBR054W	0.5406722127533019	-0.44356487302563574
YBR056W	0.7659202758713772	-0.5077091479912461
YBR056W-A	0.21465405260930553	
YBR057C	-0.6273423066265296	-0.07293018165273867
YBR058C	0.603375471017428	-0.7826056983648015
YBR058C-A	1.4673984885232148	
YBR059C	-0.7991831816764061	0.4200777867383125
YBR061C	0.0022583954270183697	0.3283078084690854
YBR062C	0.2917454919950283	
YBR063C		0.415236161161408
YBR064W		-0.12127283139770963
YBR065C		0.2402305119843459
YBR066C	0.6701571415718314	0.5812467982189874
YBR067C		-0.22728638566683024
YBR068C	-0.4069843605306885	-0.07225837146459273
YBR069C	0.6399202080268777	1.764944175353364
YBR071W	-0.02163779410918669	-0.16613342397361602
YBR072C-A	0.403106284757969	
YBR072W		-0.13978927244945766
YBR073W	0.19066712119648047	0.5101896252208941
YBR074W	-0.1894752535796	-0.026897578285655675
YBR076W	-0.4583995779511671	-0.20768149041249082
YBR077C	-0.015314452652118683	0.7785730174053149
YBR078W	0.5525606416299282	0.20591445329320687
YBR081C	0.3737239408044709	-1.4868297553926817
YBR082C	0.29402087562726004	0.4688187608592058
YBR083W		0.0324516158160583
YBR084C-A	2.284279236565801	2.5652587374845632
YBR084W	2.4585819511587723	-0.8394354335220409
YBR085C-A	-0.5447908166510346	
YBR085W		2.3904755135726314
