ORF	hom | growth (relative abundance in pooled culture) | MUC7 peptide [10 uM] | Lis M~Bobek LA, 2013	hom | growth (relative abundance in pooled culture) | histatin 12-mer [20 uM] | Lis M~Bobek LA, 2013	hom | growth (relative abundance in pooled culture) | cathelicidin KR20 [10 uM] | Lis M~Bobek LA, 2013	hom | growth (relative abundance in pooled culture) | lactoferricin aa 1-11 [12 uM] | Lis M~Bobek LA, 2013	het | growth (relative abundance in pooled culture) | MUC7 peptide [10 uM] | Lis M~Bobek LA, 2013	het | growth (relative abundance in pooled culture) | histatin 12-mer [20 uM] | Lis M~Bobek LA, 2013	het | growth (relative abundance in pooled culture) | cathelicidin KR20 [10 uM] | Lis M~Bobek LA, 2013	het | growth (relative abundance in pooled culture) | lactoferricin aa 1-11 [12 uM] | Lis M~Bobek LA, 2013
YAL001C	NaN	NaN	NaN	NaN	-0.075	0.105	0.054	-0.158
YAL002W	0.561	0.775	0.612	0.090	NaN	NaN	NaN	NaN
YAL003W	NaN	NaN	NaN	NaN	0.327	-0.115	-0.492	0.438
YAL004W	0.495	0.077	-0.248	0.414	NaN	NaN	NaN	NaN
YAL005C	-0.421	-0.447	0.286	0.135	NaN	NaN	NaN	NaN
YAL007C	-0.222	-0.209	0.081	0.085	NaN	NaN	NaN	NaN
YAL008W	-0.061	-0.294	-0.213	0.487	NaN	NaN	NaN	NaN
YAL009W	0.102	-0.051	0.187	-0.202	NaN	NaN	NaN	NaN
YAL010C	0.060	0.141	0.148	0.017	NaN	NaN	NaN	NaN
YAL011W	-0.010	-0.144	0.539	0.597	NaN	NaN	NaN	NaN
YAL012W	-0.229	-0.390	-0.108	-0.123	NaN	NaN	NaN	NaN
YAL013W	-0.090	0.776	0.059	-0.393	NaN	NaN	NaN	NaN
YAL014C	0.283	0.208	0.092	0.266	NaN	NaN	NaN	NaN
YAL015C	0.481	0.445	0.286	-0.520	NaN	NaN	NaN	NaN
YAL016W	0.182	0.001	0.173	0.013	NaN	NaN	NaN	NaN
YAL017W	0.323	-0.231	-0.306	-0.104	NaN	NaN	NaN	NaN
YAL018C	0.425	-0.310	0.031	0.024	NaN	NaN	NaN	NaN
YAL019W	-0.132	-0.207	-0.206	-0.057	NaN	NaN	NaN	NaN
YAL020C	-0.341	-0.021	-0.435	0.196	NaN	NaN	NaN	NaN
YAL021C	0.031	0.107	0.295	-0.040	NaN	NaN	NaN	NaN
YAL022C	0.178	0.039	0.069	0.389	NaN	NaN	NaN	NaN
YAL023C	-0.004	0.334	0.354	0.306	NaN	NaN	NaN	NaN
YAL024C	0.083	0.150	-0.049	-0.184	NaN	NaN	NaN	NaN
YAL025C	NaN	NaN	NaN	NaN	-0.081	0.080	0.434	0.385
YAL026C	-0.052	-0.281	-0.495	-0.557	NaN	NaN	NaN	NaN
YAL027W	0.264	0.550	-0.128	-0.008	NaN	NaN	NaN	NaN
YAL028W	0.061	-0.115	0.171	0.474	NaN	NaN	NaN	NaN
YAL029C	0.120	-0.179	0.027	0.400	NaN	NaN	NaN	NaN
YAL030W	-0.015	-0.178	0.061	-0.335	NaN	NaN	NaN	NaN
YAL031C	0.282	-0.088	0.570	0.368	NaN	NaN	NaN	NaN
YAL032C	NaN	NaN	NaN	NaN	-0.070	-0.069	0.231	-0.019
YAL033W	NaN	NaN	NaN	NaN	0.112	0.108	0.641	0.194
YAL034C	-0.117	0.140	0.232	-0.088	NaN	NaN	NaN	NaN
YAL034W-A	NaN	NaN	NaN	NaN	0.187	0.288	0.299	0.774
YAL035C-A	-0.213	-0.125	0.195	-0.081	NaN	NaN	NaN	NaN
YAL035W	-0.039	0.255	0.397	0.064	NaN	NaN	NaN	NaN
YAL036C	0.139	0.104	-0.409	0.245	NaN	NaN	NaN	NaN
YAL037W	-0.168	-0.099	0.149	-0.307	NaN	NaN	NaN	NaN
YAL038W	NaN	NaN	NaN	NaN	0.055	0.011	0.487	-0.132
YAL039C	0.082	0.182	0.089	-0.384	NaN	NaN	NaN	NaN
YAL040C	-0.506	-0.462	-0.454	-0.952	NaN	NaN	NaN	NaN
YAL041W	NaN	NaN	NaN	NaN	0.028	0.427	1.149	0.451
YAL042W	0.066	0.062	0.196	0.102	NaN	NaN	NaN	NaN
YAL043C	NaN	NaN	NaN	NaN	0.350	-0.557	-0.023	-0.202
YAL043C-A	0.347	0.097	-0.059	0.030	NaN	NaN	NaN	NaN
YAL044C	0.046	-0.087	0.367	0.199	NaN	NaN	NaN	NaN
YAL045C	0.143	0.060	0.005	-0.155	NaN	NaN	NaN	NaN
YAL046C	0.169	-0.010	-0.163	0.404	NaN	NaN	NaN	NaN
YAL047C	0.452	0.005	0.315	-0.184	NaN	NaN	NaN	NaN
YAL048C	-0.222	-0.012	0.320	-0.046	NaN	NaN	NaN	NaN
YAL049C	0.314	0.096	-0.116	-0.241	NaN	NaN	NaN	NaN
YAL051W	0.322	-0.622	-0.330	0.337	NaN	NaN	NaN	NaN
YAL053W	-0.001	-0.015	0.144	-0.212	NaN	NaN	NaN	NaN
YAL054C	-0.026	-0.237	-0.241	-0.678	NaN	NaN	NaN	NaN
YAL055W	0.454	-0.007	-0.144	-0.180	NaN	NaN	NaN	NaN
YAL056W	-0.039	-0.261	-0.126	-0.198	NaN	NaN	NaN	NaN
YAL058C-A	-0.171	-0.016	-0.405	-0.581	NaN	NaN	NaN	NaN
YAL058W	-0.059	-0.076	-0.196	-0.433	NaN	NaN	NaN	NaN
YAL059W	0.536	-0.509	0.525	-0.155	NaN	NaN	NaN	NaN
YAL060W	0.110	-0.069	-0.085	0.058	NaN	NaN	NaN	NaN
YAL061W	0.089	0.240	0.118	0.288	NaN	NaN	NaN	NaN
YAL062W	0.419	-0.157	-0.233	-0.015	NaN	NaN	NaN	NaN
YAL064C-A	0.182	0.134	-0.365	-0.355	NaN	NaN	NaN	NaN
YAL065C	0.291	0.027	0.470	0.526	NaN	NaN	NaN	NaN
YAL066W	0.012	0.246	-0.045	0.336	NaN	NaN	NaN	NaN
YAL067C	0.378	0.258	0.256	-0.117	NaN	NaN	NaN	NaN
YAL068C	-0.349	0.122	0.104	-0.359	NaN	NaN	NaN	NaN
YAR002C-A	0.072	-0.218	-0.180	0.408	NaN	NaN	NaN	NaN
YAR002W	0.068	0.083	0.177	-0.307	NaN	NaN	NaN	NaN
YAR003W	0.137	-0.654	0.318	0.162	NaN	NaN	NaN	NaN
YAR007C	NaN	NaN	NaN	NaN	-0.125	-0.397	0.334	0.386
YAR008W	NaN	NaN	NaN	NaN	-0.034	-0.176	0.039	0.171
YAR014C	0.486	0.225	0.019	-0.011	NaN	NaN	NaN	NaN
YAR015W	0.013	0.150	-0.015	-0.066	NaN	NaN	NaN	NaN
YAR018C	0.236	-0.214	-0.274	0.015	NaN	NaN	NaN	NaN
YAR019C	NaN	NaN	NaN	NaN	-0.061	-0.316	-0.036	0.333
YAR020C	0.588	0.015	0.181	0.166	NaN	NaN	NaN	NaN
YAR023C	0.300	-0.205	0.117	-0.017	NaN	NaN	NaN	NaN
YAR027W	0.208	-0.020	-0.048	-0.342	NaN	NaN	NaN	NaN
YAR028W	0.330	0.051	0.270	-0.421	NaN	NaN	NaN	NaN
YAR029W	0.349	0.082	-0.317	0.280	NaN	NaN	NaN	NaN
YAR030C	0.133	-0.131	-0.333	0.049	NaN	NaN	NaN	NaN
YAR031W	0.110	0.390	-0.196	0.256	NaN	NaN	NaN	NaN
YAR035W	0.259	-0.280	0.049	0.233	NaN	NaN	NaN	NaN
YAR042W	-0.009	-0.715	-0.449	-0.121	NaN	NaN	NaN	NaN
YAR044W	0.150	-0.367	-0.109	-0.625	NaN	NaN	NaN	NaN
YAR047C	0.651	0.252	-0.073	0.656	NaN	NaN	NaN	NaN
YAR050W	0.175	-0.134	0.518	0.065	NaN	NaN	NaN	NaN
YBL001C	-0.167	-0.360	-0.096	-0.187	NaN	NaN	NaN	NaN
YBL002W	-0.024	-0.051	-0.391	0.251	NaN	NaN	NaN	NaN
YBL003C	0.013	0.490	0.135	0.061	NaN	NaN	NaN	NaN
YBL004W	NaN	NaN	NaN	NaN	-0.287	-0.060	-0.573	-0.135
YBL005W	0.027	-0.193	0.152	-0.154	NaN	NaN	NaN	NaN
YBL006C	0.176	0.407	0.419	-0.195	NaN	NaN	NaN	NaN
YBL007C	-0.245	0.475	0.490	-0.549	NaN	NaN	NaN	NaN
YBL008W	-0.049	-0.069	0.143	-0.021	NaN	NaN	NaN	NaN
YBL009W	-0.130	-0.124	-0.242	0.043	NaN	NaN	NaN	NaN
YBL010C	-0.393	-0.248	-0.771	-0.537	NaN	NaN	NaN	NaN
YBL011W	0.349	0.410	0.179	-0.473	NaN	NaN	NaN	NaN
YBL012C	-0.065	0.127	0.294	-0.437	NaN	NaN	NaN	NaN
YBL013W	0.361	-0.033	0.362	0.076	NaN	NaN	NaN	NaN
YBL014C	NaN	NaN	NaN	NaN	-0.170	-0.466	-0.221	-0.337
