orf	hap a | growth (undefined) | K2 killer toxin [mixed] | MBA | Serviene E~Urbonavicius J, 2012
YAL010C	-2.3817986558254023
YAL019W	3.4284206524304053
YAL021C	4.396790537139706
YAL023C	3.912605594785056
YAL026C	3.912605594785056
YAL047C	-4.318538425244005
YAL056C-A	4.396790537139706
YAL058W	4.396790537139706
YAL059W	-2.3817986558254023
YBL006C	-3.3501685405347037
YBL016W	-4.802723367598656
YBL017C	-5.286908309953306
YBL044W	3.912605594785056
YBL045C	3.4284206524304053
YBL047C	4.396790537139706
YBL051C	3.4284206524304053
YBL072C	-3.3501685405347037
YBL090W	2.9442357100757546
YBL091C	3.4284206524304053
YBL094C	-4.318538425244005
YBR036C	-3.8343534828893544
YBR077C	4.396790537139706
YBR081C	-3.3501685405347037
YBR084C-A	-2.865983598180053
YBR162C	4.396790537139706
YBR205W	2.460050767721104
YBR229C	4.880975479494357
YBR244W	3.912605594785056
YBR250W	3.4284206524304053
YBR266C	-3.3501685405347037
YBR282W	3.912605594785056
YBR287W	-4.318538425244005
YCL038C	-4.318538425244005
YCL040W	3.4284206524304053
YCL058C	-4.318538425244005
YCR001W	2.9442357100757546
YCR004C	3.912605594785056
YCR028C-A	3.912605594785056
YCR046C	2.460050767721104
YCR047C	-4.318538425244005
YCR060W	-4.802723367598656
YCR084C	0.039126055947850805
YCR087W	-2.865983598180053
YDL009C	3.4284206524304053
YDL013W	-4.318538425244005
YDL021W	2.9442357100757546
YDL032W	2.9442357100757546
YDL041W	3.912605594785056
YDL045W-A	3.4284206524304053
YDL046W	-2.865983598180053
YDL052C	3.912605594785056
YDL067C	2.9442357100757546
YDL073W	3.912605594785056
YDL077C	-4.318538425244005
YDL091C	-3.8343534828893544
YDL095W	3.912605594785056
YDL096C	3.4284206524304053
YDL104C	4.396790537139706
YDL115C	-3.8343534828893544
YDL240W	4.396790537139706
YDR019C	-3.8343534828893544
YDR065W	2.9442357100757546
YDR080W	-3.3501685405347037
YDR127W	-4.318538425244005
YDR140W	-4.802723367598656
YDR162C	3.4284206524304053
YDR174W	-2.865983598180053
YDR227W	4.880975479494357
YDR229W	2.460050767721104
YDR293C	-3.3501685405347037
YDR296W	3.4284206524304053
YDR348C	2.9442357100757546
YDR349C	3.4284206524304053
YDR350C	3.4284206524304053
YDR359C	-4.802723367598656
YDR364C	-4.318538425244005
YDR372C	2.9442357100757546
YDR377W	3.912605594785056
YDR392W	-4.318538425244005
YDR405W	3.912605594785056
YDR425W	-4.802723367598656
YDR455C	-3.8343534828893544
YDR461W	3.4284206524304053
YDR479C	4.396790537139706
YDR507C	2.9442357100757546
YDR525W	-2.865983598180053
YDR532C	-4.802723367598656
YDR538W	-4.318538425244005
YEL036C	-2.865983598180053
YEL065W	-3.8343534828893544
YER019W	3.4284206524304053
YER050C	2.9442357100757546
YER056C-A	-3.8343534828893544
YER057C	-3.3501685405347037
YER060W-A	-4.318538425244005
YER074W	-3.3501685405347037
YER095W	-3.3501685405347037
YER141W	2.460050767721104
YER155C	-3.8343534828893544
YER166W	5.365160421849008
YFL001W	-3.3501685405347037
YFL004W	4.396790537139706
YFL023W	-4.318538425244005
YFR043C	4.396790537139706
YGL007W	-5.286908309953306
YGL023C	-3.8343534828893544
YGL024W	-3.3501685405347037
YGL027C	4.880975479494357
YGL031C	-3.8343534828893544
YGL043W	-3.3501685405347037
YGL063W	3.4284206524304053
YGL071W	2.9442357100757546
YGL076C	2.9442357100757546
YGL105W	-3.8343534828893544
YGL127C	-4.802723367598656
YGL200C	3.4284206524304053
YGL203C	3.912605594785056
YGL213C	-3.3501685405347037
YGL214W	2.9442357100757546
YGL220W	3.4284206524304053
YGL223C	3.4284206524304053
YGL240W	3.912605594785056
YGR008C	2.460050767721104
YGR015C	-3.3501685405347037
YGR020C	-3.3501685405347037
YGR036C	4.396790537139706
YGR037C	3.4284206524304053
YGR057C	-2.3817986558254023
YGR069W	3.912605594785056
YGR104C	-4.318538425244005
YGR159C	-3.3501685405347037
YGR160W	-3.3501685405347037
YGR163W	-3.8343534828893544
YGR164W	-3.3501685405347037
YGR166W	5.365160421849008
YGR167W	3.4284206524304053
YGR173W	3.4284206524304053
YGR187C	-3.8343534828893544
YGR220C	2.9442357100757546
YGR227W	3.4284206524304053
YGR229C	4.880975479494357
YGR262C	-3.8343534828893544
YGR279C	4.880975479494357
YGR290W	3.4284206524304053
YHR010W	3.4284206524304053
YHR017W	2.460050767721104
YHR018C	2.460050767721104
YHR021W-A	2.460050767721104
YHR026W	-2.3817986558254023
YHR029C	-3.8343534828893544
YHR035W	3.4284206524304053
YHR038W	2.460050767721104
YHR059W	-4.318538425244005
YHR081W	-4.802723367598656
YHR147C	3.912605594785056
YHR189W	-4.318538425244005
YIL040W	-4.318538425244005
YIL069C	-3.8343534828893544
YIL122W	3.912605594785056
YIL131C	2.9442357100757546
YIL154C	2.460050767721104
YIL160C	-4.318538425244005
YJL003W	3.4284206524304053
YJL036W	-3.3501685405347037
YJL052W	2.460050767721104
YJL083W	-3.8343534828893544
YJL128C	-4.802723367598656
YJL139C	2.9442357100757546
YJL179W	-3.3501685405347037
YJL204C	-3.8343534828893544
YJL205C	3.912605594785056
YJR032W	-4.318538425244005
YJR051W	3.4284206524304053
YJR121W	2.460050767721104
YJR122W	-3.3501685405347037
YKL006W	-3.8343534828893544
YKL009W	-3.3501685405347037
YKL037W	4.396790537139706
YKL038W	2.460050767721104
YKL046C	3.4284206524304053
YKL048C	3.912605594785056
YKL067W	3.912605594785056
YKL113C	-4.318538425244005
YKL127W	4.880975479494357
YKL131W	3.912605594785056
YKL143W	-3.8343534828893544
YKL150W	3.4284206524304053
YKL175W	2.9442357100757546
YKL176C	-3.8343534828893544
YKL177W	-2.3817986558254023
YKL179C	3.912605594785056
YKL206C	4.880975479494357
YKL212W	-3.8343534828893544
YKR006C	3.912605594785056
YKR009C	3.4284206524304053
YKR042W	4.396790537139706
YKR046C	-3.8343534828893544
YKR101W	4.396790537139706
YLL006W	3.4284206524304053
YLL007C	3.4284206524304053
YLR001C	3.912605594785056
YLR006C	-4.318538425244005
YLR055C	-4.318538425244005
YLR061W	-2.865983598180053
YLR065C	-4.802723367598656
YLR068W	-3.8343534828893544
YLR079W	-3.3501685405347037
YLR110C	2.460050767721104
YLR111W	2.460050767721104
YLR113W	-4.318538425244005
YLR118C	3.4284206524304053
YLR120C	-3.8343534828893544
YLR242C	-3.8343534828893544
YLR244C	-4.318538425244005
YLR295C	3.912605594785056
YLR312W-A	3.912605594785056
YLR331C	3.912605594785056
YLR342W	4.396790537139706
YLR344W	3.912605594785056
YLR373C	-3.8343534828893544
YLR382C	3.4284206524304053
YLR402W	-3.3501685405347037
YLR403W	-3.3501685405347037
YLR412W	-3.8343534828893544
YLR455W	3.4284206524304053
YML013W	3.912605594785056
YML016C	3.912605594785056
YML058W	2.9442357100757546
YML059C	2.9442357100757546
YML067C	2.460050767721104
YMR014W	3.912605594785056
YMR016C	-3.3501685405347037
YMR022W	3.912605594785056
YMR024W	3.4284206524304053
YMR029C	3.912605594785056
YMR035W	3.4284206524304053
YMR096W	3.912605594785056
YMR116C	-4.318538425244005
YMR148W	3.4284206524304053
YMR165C	-3.3501685405347037
YMR178W	2.9442357100757546
YMR193C-A	3.912605594785056
YMR193W	2.9442357100757546
YMR206W	3.4284206524304053
YMR214W	3.912605594785056
YMR238W	3.4284206524304053
YMR256C	2.460050767721104
YMR264W	2.9442357100757546
YMR272C	-3.3501685405347037
YMR282C	2.9442357100757546
YMR291W	3.4284206524304053
YMR293C	3.4284206524304053
YNL011C	4.396790537139706
YNL063W	2.9442357100757546
YNL076W	2.9442357100757546
YNL120C	-3.8343534828893544
YNL179C	2.9442357100757546
YNL212W	2.460050767721104
YNL217W	3.4284206524304053
YNL234W	-3.3501685405347037
YNL238W	3.912605594785056
YNL271C	-3.8343534828893544
YNL309W	5.365160421849008
YNL322C	5.849345364203658
YNL323W	3.4284206524304053
YNL326C	3.912605594785056
YNL327W	3.4284206524304053
YNR007C	-2.3817986558254023
YNR031C	-3.8343534828893544
YNR040W	2.460050767721104
YNR058W	2.9442357100757546
YNR063W	2.9442357100757546
YNR070W	-3.8343534828893544
YOL019W	2.460050767721104
YOL027C	2.460050767721104
YOL033W	3.912605594785056
YOL036W	3.912605594785056
YOL037C	3.912605594785056
YOL043C	-3.8343534828893544
YOL045W	2.460050767721104
YOL047C	3.912605594785056
YOL048C	2.460050767721104
YOL049W	2.460050767721104
YOL070C	3.4284206524304053
YOL072W	4.396790537139706
YOL080C	3.4284206524304053
YOL082W	3.4284206524304053
YOL131W	3.912605594785056
YOL136C	3.912605594785056
YOR003W	5.365160421849008
YOR010C	3.912605594785056
YOR035C	3.912605594785056
YOR061W	3.4284206524304053
YOR067C	3.912605594785056
YOR085W	4.880975479494357
YOR092W	2.460050767721104
YOR099W	2.460050767721104
YOR115C	3.912605594785056
YOR140W	3.4284206524304053
YOR152C	3.912605594785056
YOR154W	3.912605594785056
YOR247W	3.912605594785056
YOR290C	-4.318538425244005
YOR309C	-3.3501685405347037
YPL008W	-3.3501685405347037
YPL047W	4.396790537139706
YPL050C	-4.318538425244005
YPL055C	-4.802723367598656
YPL086C	3.4284206524304053
YPL089C	3.912605594785056
YPL097W	3.912605594785056
YPL106C	-3.8343534828893544
YPL112C	2.9442357100757546
YPL135W	2.9442357100757546
YPL139C	2.9442357100757546
YPL145C	4.880975479494357
YPL183C	-3.8343534828893544
YPL223C	-2.3817986558254023
YPL254W	-4.318538425244005
YPL267W	2.9442357100757546
YPL268W	-3.8343534828893544
YPR013C	-3.3501685405347037
YPR022C	3.4284206524304053
YPR036W	-3.8343534828893544
YPR070W	-4.318538425244005
YPR083W	3.912605594785056
YPR101W	3.912605594785056
YPR116W	3.912605594785056
YPR159W	4.396790537139706
YPR200C	4.396790537139706
