orf	hap a | growth (culture turbidity) | edelfosine [60 uM] | CSM | Cuesta-Marban A~Mollinedo F, 2013
YAL002W	1.9462086287276594
YAL009W	3.892417257455319
YAL023C	1.9462086287276594
YAL026C	3.892417257455319
YAL048C	5.838625886182978
YBL072C	5.838625886182978
YBL075C	5.838625886182978
YBL079W	1.9462086287276594
YBL087C	3.892417257455319
YBL090W	5.838625886182978
YBR066C	5.838625886182978
YBR084C-A	3.892417257455319
YBR099C	5.838625886182978
YBR131W	1.9462086287276594
YBR132C	5.838625886182978
YBR162W-A	3.892417257455319
YBR165W	1.9462086287276594
YBR191W	3.892417257455319
YBR215W	3.892417257455319
YBR246W	5.838625886182978
YBR290W	5.838625886182978
YCL008C	1.9462086287276594
YCR061W	3.892417257455319
YCR066W	5.838625886182978
YCR071C	5.838625886182978
YCR077C	5.838625886182978
YCR079W	1.9462086287276594
YDL020C	3.892417257455319
YDL033C	3.892417257455319
YDL049C	1.9462086287276594
YDL062W	5.838625886182978
YDL063C	5.838625886182978
YDL113C	1.9462086287276594
YDL118W	5.838625886182978
YDL146W	1.9462086287276594
YDL181W	1.9462086287276594
YDL189W	3.892417257455319
YDL202W	3.892417257455319
YDR004W	5.838625886182978
YDR042C	3.892417257455319
YDR065W	1.9462086287276594
YDR069C	5.838625886182978
YDR093W	3.892417257455319
YDR101C	1.9462086287276594
YDR114C	5.838625886182978
YDR126W	5.838625886182978
YDR139C	1.9462086287276594
YDR161W	5.838625886182978
YDR179C	3.892417257455319
YDR197W	1.9462086287276594
YDR227W	3.892417257455319
YDR241W	5.838625886182978
YDR283C	1.9462086287276594
YDR295C	1.9462086287276594
YDR298C	5.838625886182978
YDR322W	5.838625886182978
YDR349C	3.892417257455319
YDR363W-A	5.838625886182978
YDR395W	3.892417257455319
YDR403W	5.838625886182978
YDR405W	3.892417257455319
YDR417C	5.838625886182978
YDR442W	3.892417257455319
YDR457W	3.892417257455319
YDR484W	3.892417257455319
YDR495C	3.892417257455319
YDR500C	5.838625886182978
YDR512C	1.9462086287276594
YEL015W	3.892417257455319
YER019W	3.892417257455319
YER087W	5.838625886182978
YER122C	1.9462086287276594
YER153C	1.9462086287276594
YFL007W	1.9462086287276594
YFL021W	5.838625886182978
YFL036W	1.9462086287276594
YFL055W	5.838625886182978
YFR025C	3.892417257455319
YGL003C	5.838625886182978
YGL004C	5.838625886182978
YGL059W	5.838625886182978
YGL135W	3.892417257455319
YGL203C	1.9462086287276594
YGL240W	5.838625886182978
YGR123C	5.838625886182978
YGR134W	5.838625886182978
YGR255C	1.9462086287276594
YGR270W	1.9462086287276594
YGR282C	1.9462086287276594
YHR011W	5.838625886182978
YHR012W	3.892417257455319
YHR051W	5.838625886182978
YHR066W	1.9462086287276594
YHR076W	1.9462086287276594
YHR091C	5.838625886182978
YHR116W	5.838625886182978
YHR120W	1.9462086287276594
YHR156C	1.9462086287276594
YHR181W	5.838625886182978
YHR193C	5.838625886182978
YIL010W	5.838625886182978
YIL030C	3.892417257455319
YIL036W	5.838625886182978
YIL085C	5.838625886182978
YIL093C	5.838625886182978
YIR004W	5.838625886182978
YJL003W	1.9462086287276594
YJL036W	1.9462086287276594
YJL044C	1.9462086287276594
YJL053W	3.892417257455319
YJL059W	3.892417257455319
YJL134W	1.9462086287276594
YJL154C	5.838625886182978
YJL185C	5.838625886182978
YJL204C	1.9462086287276594
YJR014W	3.892417257455319
YJR074W	1.9462086287276594
YJR082C	5.838625886182978
YJR100C	5.838625886182978
YJR113C	5.838625886182978
YJR117W	3.892417257455319
YJR144W	3.892417257455319
YKL002W	3.892417257455319
YKL009W	3.892417257455319
YKL010C	5.838625886182978
YKL016C	5.838625886182978
YKL041W	3.892417257455319
YKL159C	5.838625886182978
YKL170W	5.838625886182978
YKL206C	1.9462086287276594
YKL214C	5.838625886182978
YKR001C	1.9462086287276594
YKR029C	5.838625886182978
YKR035C	1.9462086287276594
YKR035W-A	1.9462086287276594
YKR042W	1.9462086287276594
YKR055W	5.838625886182978
YKR095W	5.838625886182978
YKR101W	1.9462086287276594
YLL001W	3.892417257455319
YLL018C-A	1.9462086287276594
YLL033W	5.838625886182978
YLL044W	1.9462086287276594
YLL045C	5.838625886182978
YLR027C	1.9462086287276594
YLR119W	3.892417257455319
YLR131C	1.9462086287276594
YLR185W	1.9462086287276594
YLR187W	1.9462086287276594
YLR189C	1.9462086287276594
YLR199C	1.9462086287276594
YLR201C	1.9462086287276594
YLR202C	1.9462086287276594
YLR203C	1.9462086287276594
YLR228C	5.838625886182978
YLR295C	1.9462086287276594
YLR312W-A	1.9462086287276594
YLR442C	3.892417257455319
YLR448W	3.892417257455319
YML001W	1.9462086287276594
YML078W	5.838625886182978
YML081C-A	1.9462086287276594
YML082W	1.9462086287276594
YML086C	3.892417257455319
YML094W	1.9462086287276594
YML097C	1.9462086287276594
YML107C	1.9462086287276594
YML108W	1.9462086287276594
YML111W	3.892417257455319
YMR006C	5.838625886182978
YMR025W	1.9462086287276594
YMR037C	1.9462086287276594
YMR039C	5.838625886182978
YMR066W	1.9462086287276594
YMR077C	1.9462086287276594
YMR083W	1.9462086287276594
YMR084W	5.838625886182978
YMR089C	5.838625886182978
YMR098C	5.838625886182978
