orf	hap a | growth (pooled culture, microarray) | colistin [20 mg/L] | YPD | Zeidler U~d'Enfert C, 2013	hap a | growth (pooled culture, microarray) | aminocandin [0.00125 mg/L] | YPD | Zeidler U~d'Enfert C, 2013	hap a | growth (pooled culture, microarray) | aminocandin [0.00125 mg/L], colistin [5 mg/L] | YPD | Zeidler U~d'Enfert C, 2013
YAL026C	-9.151690663382992	0.11294102478186756	-10.349772115102212
YBL061C	3.2382905424278223	-11.068220428622947	-20.77242994932486
YBL062W	-1.4079524097512333	-11.068220428622947	-11.15151502542703
YBR023C	1.6895428917014705	-11.068220428622947	-17.565458308025583
YBR036C	-21.541671869193806	0.11294102478186756	-9.548029204777393
YBR069C	-18.444176567741103	-3.614112793019738	-7.944543384127754
YBR200W	10.98202879605958	-3.614112793019738	-13.556743756401488
YCR044C	-7.60294301265664	-1.7505858841189352	-11.15151502542703
YDR146C	-2.956700060477585	-11.068220428622947	-11.95325793575185
YDR372C	-12.249185964835696	0.11294102478186756	-5.539314653153297
YER090W	-12.249185964835696	-1.7505858841189352	-3.9358288325036592
YER111C	-1.4079524097512333	0.11294102478186756	-14.358486666726307
YER151C	-16.89542891701475	-7.341166610821343	-7.142800473802936
YFL001W	4.7870381931541734	-14.795274246424555	0.874628629445255
YFL025C	-12.249185964835696	-9.204693519722145	-11.15151502542703
YGL148W	-12.249185964835696	-3.614112793019738	-5.539314653153297
YGR228W	3.2382905424278223	-3.614112793019738	-8.746286294452574
YHR030C	1.6895428917014705	-5.47763970192054	-15.160229577051124
YHR142W	4.7870381931541734	-7.341166610821343	-16.763715397700764
YIR023W	-12.249185964835696	15.02115629598829	0.0728857191204359
YJL095W	-1.4079524097512333	-7.341166610821343	-19.97068703900004
YJL099W	4.7870381931541734	-5.47763970192054	-11.15151502542703
YJL183W	-2.956700060477585	-11.068220428622947	-15.160229577051124
YKL048C	-12.249185964835696	-5.47763970192054	-4.737571742828478
YKL126W	-19.992924218467454	-18.52232806422616	-10.349772115102212
YKR001C	-13.797933615562048	0.11294102478186756	-3.9358288325036592
YLR140W	4.7870381931541734	-22.249381882027762	0.0728857191204359
YLR342W	20.27451470041769	-24.112908790928568	-12.755000846076669
YLR371W	17.17701939896499	-5.47763970192054	-12.755000846076669
YLR372W	-9.151690663382992	-7.341166610821343	-8.746286294452574
YLR425W	1.6895428917014705	-5.47763970192054	-13.556743756401488
YOR080W	-4.505447711203936	-18.52232806422616	0.0728857191204359
YOR200W	-15.346681266288398	-22.249381882027762	-4.737571742828478
YOR327C	9.433281145333229	-14.795274246424555	0.0728857191204359
YPL057C	-18.444176567741103	0.11294102478186756	-7.944543384127754
YPL066W	0.14079524097511864	-12.93174733752375	-14.358486666726307
YPL086C	1.6895428917014705	-12.93174733752375	-3.13408592217884
YPL158C	1.6895428917014705	-11.068220428622947	-11.15151502542703
