orf	hom | growth (pooled culture, microarray) | time [5 gen], benzo[a]pyrene [82.5 uM] | YPD + DMSO [1%] | O'Connor STF~Vulpe CD, 2012	hom | growth (pooled culture, microarray) | time [5 gen], benzo[a]pyrene [165 uM] | YPD + DMSO [1%] | O'Connor STF~Vulpe CD, 2012	hom | growth (pooled culture, microarray) | time [5 gen], benzo[a]pyrene [330 uM] | YPD + DMSO [1%] | O'Connor STF~Vulpe CD, 2012	hom | growth (pooled culture, microarray) | time [15 gen], benzo[a]pyrene [82.5 uM] | YPD + DMSO [1%] | O'Connor STF~Vulpe CD, 2012	hom | growth (pooled culture, microarray) | time [15 gen], benzo[a]pyrene [165 uM] | YPD + DMSO [1%] | O'Connor STF~Vulpe CD, 2012	hom | growth (pooled culture, microarray) | time [15 gen], benzo[a]pyrene [330 uM] | YPD + DMSO [1%] | O'Connor STF~Vulpe CD, 2012
YAL020C	-1.1	-1.3	-1.1	0.0	0.0	0.0
YAL026C	-1.2	-1.3	-1.5	0.0	0.0	0.0
YAL027W	0.0	0.0	0.0	0.0	-1.2	-1.1
YAL037W	-1.3	-1.2	-1.2	-1.1	0.0	0.0
YAL040C	-1.3	-1.6	-1.4	0.0	0.0	0.0
YAL046C	-1.1	0.0	-1.1	0.0	0.0	0.0
YAL053W	-1.1	-1.2	-1.3	0.0	0.0	0.0
YAL056C-A	-1.5	-1.7	-1.7	0.0	-1.8	0.0
YAL059W	0.0	0.0	-0.9	0.0	0.0	0.0
YAL064C-A	-1.3	-1.4	-1.5	0.0	0.0	0.0
YAL066W	0.0	0.0	0.0	-1.4	0.0	0.0
YAR002W	-1.8	-2.0	-1.8	0.0	0.0	0.0
YAR003W	-1.1	0.0	0.0	0.0	0.0	0.0
YAR018C	-2.2	-2.3	-2.4	0.0	0.0	0.0
YAR027W	0.0	0.0	0.0	-1.0	0.0	0.0
YAR047C	-1.2	-1.4	-1.3	0.0	0.0	0.0
YBL013W	-3.6	-3.5	-3.6	4.7	4.6	3.7
YBL019W	-1.2	0.0	0.0	1.7	1.7	1.4
YBL047C	0.0	0.0	-1.3	0.0	0.0	0.0
YBL051C	-1.6	-1.8	-1.7	0.0	0.0	0.0
YBL052C	1.6	1.8	1.6	0.0	0.0	0.0
YBL064C	0.0	0.0	0.0	-1.5	-1.6	-1.6
YBL065W	-4.4	-4.1	-4.4	4.1	4.1	2.8
YBL079W	-1.3	-1.4	0.0	0.0	0.0	0.0
YBL081W	0.0	0.0	0.0	0.0	0.0	-1.4
YBL082C	-1.6	-1.9	-1.7	0.0	0.0	0.0
YBL083C	0.0	0.0	0.0	0.0	0.0	1.1
YBL087C	0.0	0.0	0.0	3.4	3.4	2.3
YBL090W	-2.1	-2.1	-2.1	0.0	0.0	0.0
YBL091C-A	0.0	0.0	0.0	0.0	-1.8	0.0
YBL094C	-1.7	-1.3	-1.7	0.0	0.0	0.0
YBL096C	-1.7	-1.8	-1.7	1.6	1.7	1.7
YBL100C	0.0	0.0	0.0	0.0	-1.7	-1.7
YBL104C	0.0	0.0	0.0	0.0	-1.7	0.0
YBL106C	-1.2	-1.3	-1.2	0.0	0.0	0.0
YBL107C	0.0	0.0	0.0	2.3	2.1	2.2
YBR006W	-1.4	-1.3	-1.4	1.6	1.7	1.5
YBR008C	0.0	0.0	0.0	1.3	0.0	0.0
YBR016W	0.0	0.0	1.4	0.0	0.0	0.0
YBR019C	-2.6	-2.5	-2.6	0.0	0.0	0.0
YBR024W	-1.1	0.0	-1.1	0.0	0.0	0.0
YBR026C	-1.9	-2.0	-1.9	2.3	2.1	1.9
YBR027C	0.0	0.0	0.0	1.9	1.7	1.8
YBR035C	0.2	0.35	0.2	3.5	3.2	3.1
YBR037C	0.0	0.0	0.0	1.5	0.0	0.0
YBR042C	-1.65	-1.55	-2.2	0.0	0.0	0.0
YBR046C	0.0	0.0	0.0	1.1	0.0	0.0
YBR048W	-1.4	-1.7	-1.4	0.0	0.0	0.0
YBR058C	0.0	-1.2	-1.0	0.0	0.0	0.0
YBR069C	-2.1	-2.1	-2.1	0.0	0.0	0.0
YBR074W	-2.9	-3.1	-2.9	3.7	3.6	3.5
YBR076W	0.0	0.0	0.0	0.0	1.3	0.0
YBR077C	-1.3	0.0	0.0	2.2	2.2	2.0
YBR084C-A	-2.7	-2.6	-2.7	0.0	0.0	0.0
YBR099C	0.0	0.0	0.0	-1.4	-1.4	0.0
YBR116C	0.0	0.0	0.0	-2.0	-2.7	-2.6
YBR129C	-1.6	-1.6	-1.4	1.7	1.5	1.5
YBR134W	-2.5	-2.5	-2.5	0.0	0.0	0.0
YBR138C	-4.5	-4.6	-4.6	5.2	5.2	4.8
YBR141C	-1.3	0.0	-1.2	0.0	0.0	0.0
YBR146W	0.0	0.0	0.0	1.3	1.3	1.2
YBR147W	-1.3	-1.1	-1.2	1.7	1.8	1.7
YBR149W	-2.9	-2.8	-2.9	2.8	3.2	1.9
YBR156C	-1.9	-2.1	-2.1	0.0	0.0	0.0
YBR161W	0.0	0.0	0.0	1.0	0.0	0.0
YBR162C	-2.1	-2.5	-2.5	0.0	0.0	0.0
YBR164C	-1.4	-1.6	-1.3	0.0	0.0	0.0
YBR168W	0.0	-1.6	0.0	0.0	0.0	0.0
YBR173C	0.0	0.0	0.0	1.8	1.8	1.9
YBR177C	-1.8	-1.8	-1.9	0.0	0.0	0.0
YBR184W	-2.6	-2.7	-2.6	0.0	0.0	0.0
YBR186W	-1.5	-1.7	-1.6	0.0	0.0	0.0
YBR212W	0.0	0.0	0.0	-1.1	0.0	0.0
YBR225W	-2.3	-2.5	-2.2	0.0	0.0	0.0
YBR240C	1.2	1.5	1.3	0.0	0.0	0.0
YBR246W	-1.0	-1.0	-0.9	0.0	0.0	0.0
YBR250W	-1.0	-1.2	-1.0	0.0	0.0	0.0
YBR251W	0.0	0.0	0.0	0.0	-2.0	-1.9
YBR259W	-1.2	0.0	0.0	2.4	2.2	1.9
YBR263W	0.0	0.0	0.0	0.0	-1.3	-1.2
YBR272C	0.0	0.0	0.0	1.5	1.4	1.4
YBR273C	-2.1	-2.1	-2.1	0.0	0.0	0.0
YBR275C	-1.8	-1.9	-1.8	0.0	0.0	0.0
YBR278W	-1.9	-1.7	-1.8	0.0	0.0	0.0
YBR297W	0.9	0.0	0.0	0.0	0.0	0.0
YCL005W	-2.8	-2.4	-2.4	3.4	3.3	3.0
YCL010C	-1.7	-1.5	-1.4	1.6	0.0	1.9
YCL016C	-1.5	-1.8	-1.4	0.0	0.0	0.0
YCL023C	0.0	0.0	0.0	-1.1	-1.0	-0.9
YCL024W	-1.2	-1.2	-1.2	1.2	0.0	1.2
YCL026C-A	-1.2	0.0	-1.2	-1.7	-1.3	-1.4
YCL030C	0.0	0.0	0.0	0.0	-1.7	-1.9
YCL036W	0.0	0.0	0.0	-1.5	-2.2	-2.4
YCL037C	0.0	0.0	0.0	-3.3	-3.6	-3.6
YCL042W	0.0	0.0	0.0	0.0	0.0	-2.4
YCL049C	0.0	0.0	0.0	1.5	1.3	1.5
YCR022C	-2.9	-2.9	-2.9	0.0	0.0	0.0
YCR034W	-1.9	-1.95	-2.05	0.0	0.0	0.0
YCR047C	-1.7	-1.9	-1.6	0.0	0.0	0.0
YCR060W	0.0	0.0	0.0	2.2	1.7	2.0
YCR067C	-1.2	-1.3	-1.3	0.0	0.0	0.0
YCR089W	0.0	0.0	0.0	-1.3	0.0	0.0
YCR101C	-2.5	-2.2	-2.5	1.6	1.5	1.5
YCR105W	0.0	0.0	0.0	-1.1	0.0	0.0
YCR107W	0.0	0.0	-1.2	0.0	0.0	0.0
YDL010W	-4.7	-4.6	-4.7	5.1	4.9	3.8
YDL019C	1.5	1.8	1.5	0.0	0.0	0.0
YDL020C	-1.2	-1.3	-1.0	0.0	0.0	0.0
YDL041W	-2.1	-2.5	-2.3	0.0	0.0	0.0
YDL063C	-1.7	-1.5	-1.7	0.0	0.0	0.0
YDL065C	-2.1	-2.0	-2.1	2.1	2.1	2.2
YDL070W	-2.6	-2.5	-2.7	3.0	2.8	2.7
YDL073W	-1.3	0.0	-1.4	0.0	0.0	0.0
YDL082W	-2.8	-3.0	-2.8	1.7	0.0	1.8
YDL085W	0.0	0.0	0.0	0.0	-1.4	-1.3
YDL099W	0.0	0.0	0.0	-3.1	-3.4	-3.6
YDL107W	0.0	0.0	0.0	-2.0	-2.2	-2.4
YDL117W	-1.6	-1.7	-1.6	0.0	0.0	0.0
YDL122W	0.0	0.0	0.0	0.0	-1.2	-1.3
YDL127W	-1.6	-1.3	-1.5	0.0	0.0	0.0
YDL133W	0.0	0.0	0.0	0.0	0.0	1.4
YDL135C	-1.8	-1.8	-1.7	0.0	0.0	0.0
YDL138W	0.0	0.0	0.0	-1.4	-1.5	-1.7
YDL146W	0.0	0.0	0.0	-1.5	-1.7	-2.1
YDL161W	-1.7	-1.7	-1.8	0.0	0.0	0.0
YDL167C	0.0	0.0	0.0	0.0	0.0	-1.2
YDL175C	0.0	0.0	0.0	1.7	1.5	1.4
YDL177C	0.0	0.0	0.0	-1.2	-1.2	-1.3
YDL182W	1.1	0.0	1.1	0.0	0.0	0.0
YDL188C	-1.7	-1.6	-1.7	0.0	1.3	1.2
YDL197C	0.0	0.0	0.0	1.3	1.3	1.2
YDL199C	-1.1	0.0	-1.1	0.0	0.0	0.0
YDL200C	-1.4	-1.5	-1.1	0.0	0.0	0.0
YDL204W	-1.2	-1.2	-1.1	-1.1	0.0	0.0
YDL206W	-1.2	-1.1	-1.2	0.0	0.0	0.0
YDL210W	0.0	0.0	0.0	0.0	-1.0	0.0
YDL211C	-0.9	-0.9	-0.9	0.0	0.0	0.0
YDL215C	-1.4	-1.3	-1.4	1.8	1.7	1.6
YDL219W	-1.1	0.0	0.0	-1.5	-1.2	-1.4
YDL222C	-2.0	-1.8	-2.0	0.0	0.0	0.0
YDL230W	-2.8	-2.8	-2.7	0.0	0.0	0.0
YDL231C	0.0	0.0	0.0	1.4	1.6	1.5
YDL236W	0.0	0.0	0.0	-1.3	0.0	0.0
YDL241W	-1.9	0.0	-1.9	3.0	3.2	3.0
YDR007W	0.0	0.0	0.0	-1.3	0.0	0.0
YDR008C	0.0	0.0	0.0	0.0	-1.3	-1.3
YDR029W	0.0	0.0	0.0	-2.2	-2.1	-2.3
YDR032C	0.0	0.0	0.0	0.0	1.1	1.1
YDR035W	0.0	0.0	0.0	-1.0	0.0	0.0
YDR043C	0.0	0.0	0.0	-1.0	-1.2	-1.1
YDR055W	0.0	0.0	0.0	1.5	1.6	0.0
YDR074W	0.0	0.0	0.0	0.0	-1.7	0.0
YDR079W	-2.2	-2.3	-2.2	1.8	1.8	1.7
YDR085C	-1.4	-1.5	-1.5	2.2	2.1	1.8
YDR097C	0.0	0.0	0.0	1.5	1.3	1.4
YDR098C	-1.6	-1.7	-1.7	1.6	1.6	1.4
YDR099W	0.0	0.0	0.0	-1.2	-1.0	-1.2
YDR100W	-2.2	-2.5	-2.4	3.8	3.4	3.2
YDR105C	2.1	1.8	1.8	0.0	0.0	0.0
YDR108W	0.0	0.0	0.0	1.2	1.1	0.0
YDR111C	0.0	0.0	0.0	0.0	-1.0	-1.0
YDR112W	0.0	0.0	0.0	3.2	3.3	3.2
YDR122W	-3.5	-3.3	-3.5	4.0	4.2	3.0
YDR124W	-2.5	-2.4	-2.5	2.3	2.2	2.1
YDR128W	-1.5	-1.4	-1.4	0.0	0.0	0.0
YDR140W	-1.1	0.0	0.0	0.0	0.0	0.0
YDR143C	-1.4	0.0	-1.4	-1.8	0.0	0.0
YDR146C	0.0	0.0	0.0	0.0	1.0	0.0
YDR148C	0.0	0.0	0.0	1.6	1.7	0.0
YDR149C	-1.3	0.0	0.0	0.0	0.0	0.0
YDR152W	0.0	0.0	0.0	-1.5	-1.7	-1.7
YDR153C	0.0	0.0	0.0	0.0	-2.0	-2.2
YDR154C	0.0	0.0	0.0	-1.4	-1.4	0.0
YDR175C	-3.4	-3.5	-3.4	2.4	2.1	0.0
YDR179C	0.0	1.2	0.0	0.0	0.0	-2.2
YDR194C	0.0	-1.6	0.0	0.0	0.0	0.0
YDR195W	-3.1	-3.3	-3.0	0.0	0.0	0.0
YDR204W	-1.4	-1.5	-1.4	2.1	1.9	1.9
YDR218C	0.0	0.0	0.0	-1.2	-1.2	-1.3
YDR219C	-1.1	-1.2	-1.1	0.0	0.0	0.0
YDR220C	-1.0	-1.4	-1.0	0.0	0.0	0.0
YDR221W	-2.1	-2.0	-2.1	2.3	2.3	2.0
YDR242W	0.0	0.0	0.0	-2.3	0.0	0.0
YDR247W	0.0	0.0	0.0	0.0	1.3	1.1
