ORF	hap a | growth (colony size) | oxygen level [0%] | Samanfar B~Golshani A, 2013
YMR056C	51.730
YOL086C	33.180
YER170W	20.460
YGL021W	72.700
YCL050C	27.040
YJR058C	39.530
YJL024C	42.420
YDL197C	37.480
YNL259C	20.600
YOR113W	23.080
YNR058W	44.040
YCL014W	40.730
YNL278W	32.890
YFR036W	60.700
YMR138W	38.680
YNL298W	26.040
YNL225C	24.910
YGL223C	82.580
YNR075W	19.480
YNL052W	39.710
YMR256C	34.810
YOR303W	20.600
YIL132C	25.620
YLR380W	22.580
YPR030W	38.180
YLR394W	19.880
YMR078C	50.540
YLR286C	23.150
YOR037W	38.030
YEL039C	25.670
YDL117W	43.690
YML070W	59.020
YIR028W	43.550
YHR028C	56.890
YKL149C	38.040
YOR245C	41.640
YOR080W	25.690
YKR035W-A	24.000
YER179W	58.930
YHR043C	56.040
YDR273W	77.420
YDR121W	40.440
YDL101C	60.620
YBR208C	17.550
YDR424C	38.110
YKL204W	39.740
YBR065C	25.620
YBR176W	35.540
YDR385W	72.840
YMR312W	28.090
YLR080W	24.490
YHR123W	58.660
YNL280C	66.910
YGR284C	18.110
YMR246W	44.460
YFR019W	44.890
YMR052W	35.000
YER060W	43.420
YOR382W	28.160
YNL068C	55.200
YCL026C-A	30.700
YBL042C	45.170
YCL027W	30.000
YIL054W	30.280
YOL051W	54.060
YDR009W	19.340
YKR039W	41.290
YIR013C	33.800
YHR108W	67.480
YOL059W	39.720
YPR160W	41.640
YGL084C	45.730
YLR256W	25.370
YBL021C	26.780
YKL109W	39.660
YOR358W	23.440
YJR075W	28.440
YJR139C	40.440
YMR027W	57.600
YPL244C	23.420
YOR126C	60.490
YNL009W	48.110
YEL044W	46.300
YOR109W	32.460
YLL057C	32.530
YMR065W	61.550
YDR148C	38.750
YJL094C	61.760
YHR082C	70.860
YKR061W	24.350
YBR205W	17.640
YLR239C	60.130
YIR034C	18.620
YMR021C	46.300
YPL100W	38.750
YPR051W	28.510
YOL119C	25.480
YNL307C	19.400
YPL121C	46.310
YPR138C	43.480
YDR253C	69.040
YGR249W	45.950
YIR033W	43.970
YMR002W	38.820
YGL035C	75.100
YHR015W	57.240
YNL085W	54.490
YPR188C	50.750
YMR167W	38.820
YDR245W	87.240
YJR131W	18.490
YMR070W	47.290
YIR009W	30.200
YDR335W	75.950
YKR080W	23.220
YKR048C	35.000
YMR145C	27.740
YIL164C	43.060
YDR432W	67.130
YJR073C	28.370
YJR051W	25.400
YHR179W	38.820
YOL161C	23.210
YAR020C	27.800
YPL219W	37.690
YGR087C	57.100
YCR020C	21.170
YDR329C	41.150
YNL329C	19.530
YOL084W	25.400
YFR034C	26.530
YGL023C	94.980
YAL023C	25.060
YNR052C	41.340
YBR276C	70.370
YDL039C	47.220
YDL214C	47.000
YKL015W	22.020
YGR183C	43.130
YMR022W	42.700
YBR114W	27.550
YDR076W	26.400
YDR202C	36.060
YOR127W	41.290
YNL090W	29.000
YOR275C	54.350
YPR018W	55.260
YCL028W	26.470
YPR065W	45.770
YDR156W	24.620
YNL330C	31.270
YBR084C-A	52.800
YPL220W	20.580
YLR344W	37.060
YBL072C	19.240
YHR031C	55.340
YLR221C	40.160
YNL206C	34.220
YOR216C	26.330
YCR009C	17.580
YDR484W	31.900
YPR129W	26.540
YLL016W	20.110
YKL148C	39.800
YLL041C	31.840
YLR268W	22.210
YOR184W	41.650
YJR095W	26.600
YIR001C	45.310
YMR190C	25.130
YLR079W	22.310
YKR072C	49.420
YPL026C	42.910
YOR307C	17.860
YDL194W	27.460
YDR011W	24.180
YEL031W	70.090
YHL022C	62.470
YPR007C	49.620
YGR063C	39.380
YDR293C	96.010
YDR312W	84.490
YJR117W	35.570
YMR054W	36.840
YDR310C	77.860
YPR095C	19.970
YLR183C	51.820
YJL129C	29.710
YKR056W	27.820
YDR354W	81.170
YHR106W	61.690
YDR453C	29.660
YBR166C	39.950
YPR066W	26.680
YDR059C	43.910
