orf	hap a | growth (colony size) | oxygen level [0%] | Samanfar B~Golshani A, 2013
YAL002W	-23.86
YAL023C	-25.06
YAL027W	-21.17
YAL066W	-39.46
YAR020C	-27.8
YAR030C	-22.58
YBL021C	-26.78
YBL042C	-45.17
YBL055C	-32.04
YBL072C	-19.24
YBR022W	-25.62
YBR065C	-25.62
YBR084C-A	-52.8
YBR098W	-32.18
YBR114W	-27.55
YBR166C	-39.95
YBR176W	-35.54
YBR205W	-17.64
YBR208C	-17.55
YBR219C	-39.35
YBR225W	-19.58
YBR238C	-32.33
YBR276C	-70.37
YCL014W	-40.73
YCL023C	-46.58
YCL026C-A	-30.7
YCL027W	-30.0
YCL028W	-26.47
YCL045C	-19.38
YCL050C	-27.04
YCR009C	-17.58
YCR016W	-34.8
YCR020C	-21.17
YDL025C	-25.41
YDL039C	-47.22
YDL101C	-60.62
YDL117W	-43.69
YDL194W	-27.46
YDL197C	-37.48
YDL214C	-47.0
YDR009W	-19.34
YDR011W	-24.18
YDR057W	-48.64
YDR059C	-43.91
YDR071C	-35.65
YDR076W	-26.4
YDR080W	-40.66
YDR084C	-23.01
YDR089W	-19.74
YDR107C	-30.99
YDR121W	-40.44
YDR148C	-38.75
YDR156W	-24.62
YDR200C	-63.66
YDR202C	-36.06
YDR229W	-64.09
YDR245W	-87.24
YDR253C	-69.04
YDR273W	-77.42
YDR293C	-96.01
YDR310C	-77.86
YDR312W	-84.49
YDR329C	-41.15
YDR335W	-75.95
YDR354W	-81.17
YDR372C	-80.6
YDR385W	-72.84
YDR424C	-38.11
YDR432W	-67.13
YDR451C	-44.89
YDR453C	-29.66
YDR484W	-31.9
YEL031W	-70.09
YEL035C	-27.2
YEL039C	-25.67
YEL041W	-74.54
YEL044W	-46.3
YEL059W	-64.52
YEL067C	-35.93
YEL072W	-66.0
YER060W	-43.42
YER071C	-81.53
YER072W	-41.22
YER151C	-22.09
YER170W	-20.46
YER179W	-58.93
YFR007W	-29.71
YFR008W	-41.15
YFR019W	-44.89
YFR034C	-26.53
YFR036W	-60.7
YGL021W	-72.7
YGL023C	-94.98
YGL035C	-75.1
YGL084C	-45.73
YGL118C	-28.09
YGL144C	-41.08
YGL199C	-28.16
YGL223C	-82.58
YGR003W	-55.48
YGR004W	-55.84
YGR031W	-50.4
YGR045C	-55.41
YGR063C	-39.38
YGR081C	-61.69
YGR087C	-57.1
YGR141W	-42.77
YGR161C	-42.56
YGR168C	-56.19
YGR183C	-43.13
YGR212W	-36.49
YGR249W	-45.95
YGR284C	-18.11
YHL021C	-51.04
YHL022C	-62.47
YHR015W	-57.24
YHR022C	-58.09
YHR028C	-56.89
YHR031C	-55.34
YHR043C	-56.04
YHR082C	-70.86
YHR106W	-61.69
YHR108W	-67.48
YHR121W	-78.0
YHR123W	-58.66
YHR134W	-56.47
YHR179W	-38.82
YHR198C	-63.67
YHR199C	-46.94
YIL054W	-30.28
YIL105C	-49.13
YIL132C	-25.62
YIL163C	-39.81
YIL164C	-43.06
YIL166C	-50.89
YIR001C	-45.31
YIR009W	-30.2
YIR013C	-33.8
YIR028W	-43.55
YIR033W	-43.97
YIR034C	-18.62
YJL024C	-42.42
YJL027C	-51.67
YJL043W	-39.74
YJL068C	-24.78
YJL094C	-61.76
YJL129C	-29.71
YJL130C	-25.76
YJL131C	-30.28
YJL154C	-31.2
YJL163C	-30.64
YJL216C	-32.4
YJR001W	-67.84
YJR051W	-25.4
YJR058C	-39.53
YJR073C	-28.37
YJR075W	-28.44
YJR079W	-20.82
YJR080C	-41.65
YJR095W	-26.6
