orf	hap a | growth (colony size) | oxygen level [0%] | Samanfar B~Golshani A, 2013
YAL002W	-2.0746257841281186
YAL023C	-2.1789657229778143
YAL027W	-1.840730421206717
YAL066W	-3.431044989174164
YAR020C	-2.4172085833512864
YAR030C	-1.9633298493551095
YBL021C	-2.328519635329045
YBL042C	-3.9275291982006335
YBL055C	-2.7858763672868783
YBL072C	-1.6729170195567895
YBR022W	-2.227657694441006
YBR065C	-2.227657694441006
YBR084C-A	-4.590957309386615
YBR098W	-2.798049360152676
YBR114W	-2.395471096090933
YBR166C	-3.473650464204457
YBR176W	-3.0902011889318244
YBR205W	-1.5337971010905285
YBR208C	-1.5259716056768013
YBR219C	-3.4214804947796087
YBR225W	-1.70248000223087
YBR238C	-2.8110918525088877
YBR276C	-6.118667914044246
YCL014W	-3.5414714244567587
YCL023C	-4.050128626349026
YCL026C-A	-2.6693634355713844
YCL027W	-2.6084984712423953
YCL028W	-2.3015651511262067
YCL045C	-1.6850900124225874
YCL050C	-2.3511266220798124
YCR009C	-1.5285801041480436
YCR016W	-3.025858226641178
YCR020C	-1.840730421206717
YDL025C	-2.2093982051423087
YDL039C	-4.105776593735531
YDL101C	-5.270905910890467
YDL117W	-3.7988432736193416
YDL194W	-2.3876456006772058
YDL197C	-3.258884090072166
YDL214C	-4.086647604946419
YDR009W	-1.6816120144609308
YDR011W	-2.1024497678213705
YDR057W	-4.229245521374337
YDR059C	-3.8179722624084524
YDR071C	-3.0997656833263796
YDR076W	-2.2954786546933077
YDR080W	-3.5353849280238596
YDR084C	-2.000718327442917
YDR089W	-1.716391994077496
YDR107C	-2.6945789207933943
YDR121W	-3.5162559392347488
YDR148C	-3.3693105253547606
YDR156W	-2.1407077453995926
YDR200C	-5.535233755976362
YDR202C	-3.1354151624333593
YDR229W	-5.572622234064171
YDR245W	-7.585513554372885
YDR253C	-6.003024481819167
YDR273W	-6.731665054786208
YDR293C	-8.34806460746608
YDR310C	-6.76992303236443
YDR312W	-7.346401194508999
YDR329C	-3.577990403054152
YDR335W	-6.603848629695331
YDR354W	-7.057727363691508
YDR372C	-7.008165892737901
YDR385W	-6.333434288176536
YDR424C	-3.3136625579682564
YDR432W	-5.836950079150066
YDR451C	-3.9031832124690378
YDR453C	-2.5789354885683147
YDR484W	-2.77370337442108
YEL031W	-6.09432192831265
YEL035C	-2.3650386139264383
YEL039C	-2.2320051918930766
YEL041W	-6.481249201546939
YEL044W	-4.02578264061743
YEL059W	-5.610010712151978
YEL067C	-3.1241116690579753
YEL072W	-5.73869663673327
YER060W	-3.7753667873781604
YER071C	-7.089029345346416
YER072W	-3.584076899487051
YER151C	-1.920724374324817
YER170W	-1.7789959573873138
YER179W	-5.123960497010478
YFR007W	-2.5832829860203854
YFR008W	-3.577990403054152
YFR019W	-3.9031832124690378
YFR034C	-2.3067821480686916
YFR036W	-5.27786190681378
YGL021W	-6.321261295310738
YGL023C	-8.258506159953424
YGL035C	-6.529941173010129
YGL084C	-3.9762211696638246
YGL118C	-2.4424240685732963
YGL144C	-3.571903906621253
YGL199C	-2.448510565006195
YGL223C	-7.1803267918399
YGR003W	-4.823983172817603
YGR004W	-4.855285154472512
YGR031W	-4.382277431687224
YGR045C	-4.817896676384704
YGR063C	-3.424088993250851
YGR081C	-5.363942356364778
YGR087C	-4.964842090264693
YGR141W	-3.718849320501242
YGR161C	-3.700589831202545
YGR168C	-4.885717636637006
YGR183C	-3.7501513021561506
YGR212W	-3.1728036405211673
YGR249W	-3.995350158452936
YGR284C	-1.5746635771399926
YHL021C	-4.437925399073729
YHL022C	-5.431763316617081
YHR015W	-4.977015083130491
YHR022C	-5.050922539815692
YHR028C	-4.9465826009659954
YHR031C	-4.811810179951806
YHR043C	-4.8726751442807945
YHR082C	-6.1612733890745375
YHR106W	-5.363942356364778
YHR108W	-5.867382561314562
YHR121W	-6.782096025230228
YHR123W	-5.100484010769296
YHR134W	-4.910063622368602
YHR179W	-3.3753970217876597
YHR198C	-5.536103255466777
YHR199C	-4.081430608003934
YIL054W	-2.632844456973991
YIL105C	-4.27185099640463
YIL132C	-2.227657694441006
YIL163C	-3.4614774713386587
YIL164C	-3.7440648057232515
YIL166C	-4.424882906717516
YIR001C	-3.939702191066431
YIR009W	-2.625888461050678
YIR013C	-2.938908277599765
YIR028W	-3.7866702807535435
YIR033W	-3.8231892593509373
YIR034C	-1.6190080511511136
YJL024C	-3.6884168383367473
YJL027C	-4.492703866969819
YJL043W	-3.45539097490576
YJL068C	-2.1546197372462186
YJL094C	-5.370028852797677
YJL129C	-2.5832829860203854
YJL130C	-2.2398306873068035
YJL131C	-2.632844456973991
YJL154C	-2.712838410092091
YJL163C	-2.6641464386289
YJL216C	-2.8171783489417868
YJR001W	-5.8986845429694705
YJR051W	-2.2085287056518945
YJR058C	-3.437131485607063
YJR073C	-2.466770054304892
YJR075W	-2.472856550737791
YJR079W	-1.8102979390422225
YJR080C	-3.6214653775748586
YJR095W	-2.3128686445015907
YJR117W	-3.092809687403067
YJR131W	-1.6077045577757296
YJR139C	-3.5162559392347488
YKL015W	-1.9146378778919182
YKL090W	-1.669439021595133
YKL102C	-2.823264845374686
YKL109W	-3.4484349789824464
YKL148C	-3.460607971848244
YKL149C	-3.3075760615353573
YKL151C	-2.185052219410713
YKL177W	-3.280621577332519
YKL204W	-3.45539097490576
YKL216W	-2.0824512795418455
YKL222C	-2.473726050228205
YKR033C	-2.012891320308715
YKR035W-A	-2.0867987769939162
YKR039W	-3.59016339591995
YKR048C	-3.043248216449461
YKR053C	-3.995350158452936
YKR056W	-2.4189475823321147
YKR061W	-2.117231259158411
YKR064W	-2.0867987769939162
YKR072C	-4.297066481626639
YKR078W	-3.2832300758037616
YKR080W	-2.018977816741614
YLL014W	-1.7311734854145364
YLL041C	-2.7684863774785957
YLL057C	-2.8284818423171707
YLR072W	-2.4424240685732963
YLR073C	-2.9954257444766843
YLR079W	-1.9398533631139279
YLR080W	-2.1294042520242087
YLR089C	-3.6275518740077577
YLR181C	-4.559655327731707
YLR183C	-4.5057463593260305
YLR194C	-4.5170498527014145
YLR199C	-2.197225212276511
YLR221C	-3.491909953503153
YLR239C	-5.228300435860175
YLR256W	-2.2059202071806525
YLR262C-A	-2.025064313174513
YLR268W	-1.9311583682097868
YLR279W	-2.915431791358584
YLR286C	-2.012891320308715
YLR312C	-4.5231363491343135
YLR324W	-3.866664233871644
YLR326W	-2.7684863774785957
YLR344W	-3.2223651114747724
YLR352W	-3.1919326293102777
YLR380W	-1.9633298493551095
YLR394W	-1.728564986943294
YLR404W	-3.854491241005846
YLR413W	-4.1796840504207315
YLR455W	-4.70747024110211
YML013W	-2.13809924692835
YML057C-A	-2.6824059279275967
YML070W	-5.131785992424206
YML081W	-3.731891812857454
YMR002W	-3.3753970217876597
YMR021C	-4.02578264061743
YMR022W	-3.712762824068343
YMR027W	-5.008317064785399
YMR029C	-4.13099207895754
YMR052W	-3.043248216449461
YMR054W	-3.2032361226856616
YMR056C	-4.497920863912303
YMR065W	-5.351769363498981
YMR070W	-4.111863090168429
YMR078C	-4.394450424553022
YMR102C	-3.989263662020037
YMR138W	-3.3632240289218616
YMR145C	-2.4119915864088015
YMR167W	-3.3753970217876597
YMR188C	-4.996144071919601
YMR190C	-2.185052219410713
YMR246W	-3.86579473438123
YMR256C	-3.026727726131593
YMR258C	-2.307651647559106
YMR310C	-4.934409608100198
YMR312W	-2.4424240685732963
YNL009W	-4.183162048382388
YNL052W	-3.452782476434517
YNL056W	-2.1667927301120167
YNL068C	-4.799637187086008
YNL085W	-4.737902723266604
YNL090W	-2.521548522200982
YNL107W	-4.5170498527014145
YNL122C	-1.604226559814073
YNL134C	-4.229245521374337
YNL140C	-3.3814835182205587
YNL157W	-2.3380841297236006
YNL187W	-4.155338064689135
YNL206C	-2.975427256197159
YNL225C	-2.165923230621602
YNL259C	-1.7911689502531116
YNL278W	-2.8597838239720796
YNL280C	-5.8178210903609555
YNL298W	-2.264176673038399
YNL307C	-1.6868290114034155
YNL329C	-1.6981325047787994
YNL330C	-2.71892490652499
YNR052C	-3.594510893372021
YNR058W	-3.8292757557838364
YNR075W	-1.6937850073267287
YOL037C	-2.111144762725512
YOL051W	-4.7005142451787965
YOL054W	-3.449304478472861
YOL059W	-3.4536519759249313
YOL070C	-3.8849237231703406
YOL071W	-1.7737789604448286
YOL084W	-2.2085287056518945
YOL086C	-2.884999309194089
YOL099C	-1.7250869889816374
YOL106W	-2.7684863774785957
YOL119C	-2.2154847015752077
YOL125W	-3.2649705865050644
YOL155C	-4.357931445955629
YOL161C	-2.0181083172511998
YOR037W	-3.306706562044943
YOR080W	-2.233744190873905
YOR106W	-2.69370942130298
YOR108W	-1.595531564909932
YOR109W	-2.8223953458842717
YOR113W	-2.006804823875816
YOR126C	-5.259602417515083
YOR127W	-3.59016339591995
YOR129C	-1.7737789604448286
YOR184W	-3.6214653775748586
YOR216C	-2.2893921582604086
YOR245C	-3.620595878084445
YOR271C	-3.9092697089019364
YOR275C	-4.725729730400807
YOR277C	-2.393732097110105
YOR300W	-3.2223651114747724
YOR303W	-1.7911689502531116
YOR307C	-1.5529260898796393
YOR332W	-1.9876758350867052
YOR358W	-2.038106805530725
YOR359W	-3.7910177782056147
YOR382W	-2.448510565006195
YPL026C	-3.7310223133670393
YPL030W	-3.460607971848244
YPL087W	-2.172009727054501
YPL095C	-5.161348975098286
YPL100W	-3.3693105253547606
YPL103C	-3.676243845470949
YPL105C	-3.8910102196032397
YPL108W	-4.424882906717516
YPL121C	-4.026652140107845
YPL219W	-3.2771435793708625
