ORF	hom | growth (relative abundance in pooled culture) | Chlorimuron ethyl [10 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 1 [3 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 1 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 2 [6 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 3 [1.5 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 4 [10 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 5 [8 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 6 [0.5 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 7 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 8 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | sulfometuron methyl [30 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | Chlorimuron ethyl [10 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 1 [3 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 1 [4 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 2 [6 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 3 [1.5 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 4 [10 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 5 [8 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 6 [0.5 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 7 [4 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 8 [4 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | sulfometuron methyl [30 uM] | Richie DL~Hoepfner D, 2013
YAL001C	0.039	-0.057	-0.294	-0.105	-1.559	-1.422	-0.525	0.105	-0.092	-1.363	-1.337	1.011	0.990	-0.001	0.476	0.109	0.017	0.537	-0.021	-0.140	-0.011	0.397
YAL002W	0.807	0.820	0.010	0.119	-0.193	0.032	1.723	-0.297	-0.062	1.078	1.353	-0.213	-3.418	-2.165	-2.049	0.017	-0.020	-2.354	-0.008	0.056	0.068	-1.124
YAL003W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.154	0.081	0.041	-0.255	0.534	0.000	0.326	0.100	0.071	0.089	0.093
YAL004W	-0.976	-1.507	-0.868	-0.289	-0.214	-0.041	-0.972	-0.132	-0.216	-0.032	-0.341	-4.175	-2.621	-2.516	-2.120	-3.099	-3.512	-2.966	-1.742	-0.394	-1.741	-5.224
YAL005C	0.116	0.005	-0.053	-0.170	-0.321	-0.152	-0.554	0.615	-0.006	-0.621	-0.659	7.974	0.258	-1.169	7.247	2.860	9.259	6.642	1.020	5.085	3.035	4.891
YAL007C	0.061	0.042	0.047	0.023	0.003	0.188	-0.006	0.442	0.536	0.071	-0.276	0.273	-1.533	0.048	-0.018	-1.916	-0.172	-1.466	-0.494	0.072	0.179	0.010
YAL008W	0.151	-0.025	0.695	0.464	1.124	1.993	-0.014	0.179	0.167	0.462	0.004	-0.181	-2.819	0.278	-0.357	-1.276	-0.563	-1.238	-0.097	-0.072	0.001	-0.143
YAL009W	-5.134	-4.243	-2.825	-5.593	-7.953	-8.955	-6.201	-1.831	-0.826	-3.265	-7.525	0.151	-0.022	0.236	-1.860	-0.008	0.380	0.360	-0.024	0.167	0.012	1.201
YAL010C	0.673	1.428	2.103	2.895	NaN	NaN	NaN	NaN	-1.050	0.743	0.960	0.874	-0.283	2.402	-0.990	0.694	1.345	0.557	2.036	0.317	0.139	0.046
YAL011W	3.007	2.742	5.200	2.444	2.295	2.702	2.993	0.449	1.658	0.576	1.602	3.413	-0.059	1.513	-3.331	0.018	-0.556	1.778	0.054	0.018	0.175	0.153
