ORF	hap a | growth (culture turbidity) | butan-1-ol [1% v/v] | Gonzalez~Daran JM, 2013
YAL016C-B	0.609
YBR072C-A	0.602
YDR246W-A	0.597
YER175W-A	0.955
YGR121W-A	0.967
YHR086W-A	0.918
YAL037C-A	0.599
YBR085C-A	0.568
YCR075W-A	0.540
YER180C-A	0.599
YGR146C-A	0.887
YHR175W-A	0.086
YJL136W-A	1.244
YAL067W-A	0.550
YBR111W-A	0.572
YDL085C-A	0.588
YDR322C-A	0.598
YGR169C-A	0.532
YIL002W-A	0.564
YAR035C-A	0.565
YBR182C-A	0.556
YDL159W-A	0.569
YDR379C-A	0.620
YFL041W-A	0.572
YGR174W-A	0.592
YIL046W-A	0.590
YJR005C-A	0.545
YBL008W-A	0.567
YBR196C-A	0.264
YDL160C-A	2.531
YDR524C-B	0.582
YFR012W-A	0.545
YGR204C-A	0.588
YIL134C-A	0.574
YJR135W-A	0.599
YBL029C-A	0.591
YBR196C-B	0.557
YDR003W-A	0.584
YDR524W-A	0.571
YFR032C-B	0.511
YIR018C-A	0.542
YJR151W-A	0.875
YBL039W-A	0.584
YBR200W-A	0.548
YGL006W-A	0.546
YGR271C-A	0.059
YIR021W-A	0.564
YKL018C-A	0.602
YBL071C-B	0.581
YBR221W-A	0.397
YDR034W-B	0.580
YEL059C-A	0.512
YGL007C-A	0.533
YHL015W-A	0.555
YJL012C-A	0.604
YKL068W-A	0.591
YBL071W-A	0.516
YDR079C-A	0.564
YER053C-A	0.560
YGL041C-B	0.538
YHR007C-A	0.568
YJL047C-A	0.576
YKL096C-B	0.662
YBL101W-C	0.611
YBR296C-A	0.595
YDR169C-A	0.570
YGL188C-A	0.069
YHR022C-A	0.565
YJL062W-A	0.502
YKL106C-A	0.584
YBR056W-A	0.639
YCL001W-B	0.641
YDR182W-A	0.556
YHR050W-A	0.543
YJL077W-B	0.548
YBR058C-A	0.629
YCL057C-A	0.607
YDR194W-A	0.512
YER087C-B	0.491
YGR035W-A	0.526
YJL127C-B	0.595
YOR128C	0.894
YDR417C	0.538
YBL093C	0.086
YNL059C	0.567
YEL044W	0.553
YGR167W	0.083
YBL002W	0.514
YNL069C	0.555
YER087W	0.657
YCL007C	0.329
YPR131C	0.201
YNL147W	0.543
YEL029C	0.721
YLR148W	0.382
YJL140W	0.131
YNL220W	0.901
YHR010W	0.651
YKL155C	0.259
YBR112C	0.395
YNL284C	0.675
YHR021C	0.678
YER014C-A	0.098
YKR085C	0.517
YNL315C	0.521
YLL027W	0.448
YER070W	0.659
YGR162W	0.635
YPL183W	0.600
YLR226W	0.633
YEL036C	0.088
YGR272C	0.318
YOR147W	0.555
YOR369C	0.495
YNL296W	0.669
YDR500C	0.639
YNL292W	0.567
YFL016C	0.272
YDR138W	0.148
YDR512C	0.559
YMR263W	0.678
YGR257C	0.361
YPR133W-A	0.694
YGR252W	0.667
YNL307C	0.493
YNL055C	0.663
YGL029W	0.656
YGR255C	0.606
YNL277W	0.834
YOR150W	0.567
YLR403W	0.547
YBL033C	0.529
YDR296W	0.518
YMR097C	0.600
YJL004C	0.689
YJR038C	0.620
YPR067W	0.230
YOR158W	0.530
YLR396C	0.472
YGL020C	0.114
YDR300C	0.502
YMR098C	0.503
YJL006C	0.675
YDL160C	0.164
YLR337C	0.114
YGL240W	0.419
YGL038C	0.073
YIL018W	0.591
YOL143C	12.135
YJL012C	0.661
YDL167C	0.619
YBR097W	0.084
YLR338W	0.074
YPL059W	0.391
YGL070C	0.676
YIL066C	0.613
YAL016W	0.458
YJL013C	0.577
YDL185W	0.642
YBR101C	0.576
YLR369W	0.111
YPL050C	0.602
YGL095C	0.336
YFL018C	0.534
YGL218W	0.331
YJL027C	0.373
YOR331C	0.693
YBR122C	0.067
YLR389C	0.573
YPL045W	0.766
YGL088W	0.550
YGR262C	0.118
YJR090C	0.599
YJL028W	0.528
YNL003C	0.601
YDL040C	0.495
YLR391W	0.608
YPL031C	0.616
YNL153C	0.548
YMR064W	0.483
YLR286C	0.544
YJR004C	0.539
YBR078W	0.568
YDL072C	0.639
YLR240W	0.097
YPL024W	0.605
YNL225C	0.456
YMR066W	0.492
YDL202W	0.511
YJR032W	0.595
YNL084C	0.619
YER122C	0.432
YLR244C	0.100
YGR219W	0.415
YKR006C	0.490
YML110C	0.456
YBR279W	0.473
YJR037W	0.578
YIL098C	0.537
YJL075C	0.620
YGL206C	1.445
YGR222W	0.515
YDR245W	0.470
YML111W	0.523
YCR044C	0.632
YJL184W	0.079
YBR035C	0.542
YGL223C	0.292
YGR229C	0.480
YDR268W	0.478
YML112W	0.698
YCR063W	0.534
YJR047C	0.553
YPL148C	0.595
YPR072W	0.614
YLR399C	0.575
YBL025W	0.813
YDR283C	0.774
YML129C	0.589
YJL003W	0.847
YJR040W	0.672
YPL268W	0.092
YOR008C-A	0.652
YFL063W	0.576
YJL103C	0.564
YML073C	0.576
YNL011C	0.569
YNL014W	0.567
YER175C	0.669
YER187W	0.650
YJR055W	0.577
YDL047W	0.145
YBR173C	0.461
YBR299W	0.611
YFL001W	0.571
YGR258C	0.680
YER176W	0.589
YMR052C-A	0.652
YJR066W	0.629
YDL067C	0.552
YCR107W	0.625
YFL003C	0.593
YER177W	0.685
YMR052W	0.650
YIL102C	0.626
YDL074C	0.727
YER014W	0.425
YDR242W	0.642
YFL004W	0.637
YGR271W	0.651
YER178W	0.459
YMR053C	0.636
YIL111W	0.623
YDL075W	0.627
YER016W	0.586
YDR326C	0.586
YFL007W	0.607
YNR033W	0.641
YER179W	0.626
YMR054W	0.593
YIL122W	0.650
YDR477W	0.559
YER028C	0.590
YFL010C	0.619
YGR273C	0.631
YER180C	0.623
YMR055C	0.645
YIL131C	0.606
YDR483W	0.619
YER044C	0.573
YDR444W	0.617
YFL010W-A	0.646
YGR276C	0.626
YER181C	0.658
YMR056C	0.646
YIL136W	0.628
YDR521W	0.385
YER055C	0.564
YDR461W	0.653
YFL012W	0.630
YGR289C	0.634
YER182W	0.623
YMR057C	0.630
YIL158W	0.634
YDR523C	0.538
YHR028C	0.611
YDR493W	0.573
YFL013C	0.629
YGR291C	0.625
YER183C	0.608
YMR058W	0.587
YIR004W	0.583
YLR006C	0.568
YHR033W	0.603
YDR502C	0.580
YFL033C	0.658
YGR292W	0.643
YER184C	0.616
YJR034W	0.531
YIL056W	0.566
YML010W-A	0.627
YCL006C	0.559
YDR506C	0.609
YGR122C-A	0.652
YBR020W	0.626
YER185W	0.610
YJR039W	0.602
YIL085C	0.614
YMR038C	0.615
YCL038C	0.550
YDR515W	0.654
YOL148C	0.213
YBR075W	0.648
YER186C	0.628
YJR044C	0.520
YIL094C	0.431
YOR364W	0.643
YAL024C	0.620
YER089C	0.645
YGR254W	0.729
YGL129C	0.602
YGL146C	0.695
YGL160W	0.640
YGL175C	0.582
YER123W	0.638
YER141W	0.617
YER158C	0.605
YGL131C	0.702
YGL147C	0.574
YGL161C	0.598
YGL176C	0.617
YER111C	0.469
YER124C	0.608
YER142C	0.596
YGL132W	0.604
YGL148W	9.899
YGL162W	0.650
YGL177W	0.645
YER113C	0.656
YER128W	0.648
