ORF	hap a | growth (colony size) | chitosan [1.75 mg/ml] | Galvan Marquez I~Smith ML, 2013
YDR161W	0.308
YCR017C	0.343
YDR162C	0.683
YCR019W	0.820
YDR163W	0.420
YCR020C	0.450
YDR165W	0.557
YCR020C-A	0.690
YDR169C	0.617
YCR021C	0.873
YDR171W	0.610
YCR022C	0.737
YDR173C	0.727
YCR023C	0.537
YDR175C	0.000
YDR049W	0.563
YDR176W	0.450
YDR051C	0.627
YDR178W	1.060
YDR055W	0.457
YDR179C	0.817
YDR056C	0.697
YDR179W-A	0.443
YDR057W	0.560
YBR219C	0.664
YBL022C	0.000
YBR220C	0.633
YBL024W	0.310
YBR221C	0.819
YBL025W	0.633
YBR222C	0.593
YBL027W	0.620
YBR223C	0.613
YBL028C	0.643
YBR224W	0.723
YBL029W	0.770
YBR225W	0.757
YBL031W	0.610
YBR226C	0.717
YBL032W	0.507
YBR227C	0.702
YBL036C	0.533
YBR228W	0.743
YBL037W	0.667
YBR229C	0.792
YBL038W	0.373
YBR230C	0.672
YBL039C	0.560
YDR148C	0.614
YCR003W	0.377
YDR149C	0.703
YCR004C	0.317
YDR150W	0.727
YCR005C	0.720
YDR151C	0.653
YCR006C	0.677
YDR152W	0.693
YCR007C	0.693
YDR153C	0.803
YCR008W	0.590
YDR154C	0.543
YCR009C	0.567
YDR155C	0.903
YCR010C	0.497
YDR156W	0.460
YCR011C	0.557
YDR157W	0.750
YCR014C	0.803
YDR158W	0.590
YCR015C	0.800
YDR159W	0.000
YCR016W	0.530
YBR206W	0.557
YBL007C	0.460
YBR207W	0.533
YBL008W	0.780
YBR208C	0.556
YBL009W	0.703
YBR209W	0.795
YBL010C	0.553
YBR210W	0.472
YBL011W	0.547
YBR212W	0.503
YBL012C	0.000
YBR213W	0.737
YBL013W	0.583
YBR214W	0.567
YBL015W	0.613
YBR215W	0.455
YBL016W	0.630
YBR216C	0.773
YBL017C	0.673
YBR217W	0.557
YBL019W	0.580
YBR218C	0.722
YBL021C	0.390
YDR133C	0.464
YCL051W	0.643
YDR134C	0.487
YCL055W	0.890
YDR135C	0.743
YCL056C	0.853
YDR136C	0.690
YCL057W	0.877
YDR137W	0.730
YCL060C	0.577
YDR139C	0.583
YCL061C	0.383
YDR140W	1.040
YCL062W	0.780
YDR142C	0.527
YCL063W	0.733
YDR143C	0.607
YCL064C	0.737
YDR144C	0.453
YCL069W	0.527
YDR146C	0.557
YCR001W	0.557
YDR147W	0.543
YCR002C	0.618
YBR186W	0.678
YAR035W	0.767
YBR187W	0.638
YAR037W	0.763
YBR188C	0.376
YAR040C	0.613
YBR194W	0.825
YAR042W	0.603
YBR195C	0.737
YAR043C	0.583
YBR197C	0.663
YAR044W	0.517
YBR199W	0.758
YAR047C	0.677
YBR200W	0.613
YBL001C	0.747
YBR201W	0.470
YBL002W	0.000
YBR203W	0.645
YBL003C	0.727
YBR204C	0.668
YBL005W	0.580
YBR205W	0.618
YBL006C	0.220
YDR121W	0.690
YCL036W	0.573
YDR122W	0.730
YCL037C	0.000
YDR123C	0.687
YCL039W	0.627
YDR124W	0.797
YCL040W	0.590
YDR125C	0.660
YCL042W	0.500
YDR126W	0.533
YCL044C	0.583
YDR127W	0.677
YCL045C	0.513
YDR128W	0.430
YCL046W	0.593
YDR129C	0.000
YCL047C	0.000
YDR130C	0.580
YCL048W	0.547
YDR131C	0.530
YCL049C	0.590
YDR132C	0.457
YCL050C	0.618
YBR174C	0.660
YAR002W	0.697
YBR175W	0.625
YAR003W	0.493
YBR176W	0.711
YAR014C	0.667
YBR177C	0.545
YAR015W	0.443
YBR178W	0.747
YAR018C	0.603
YBR179C	0.078
YAR020C	0.540
YBR180W	0.623
YAR023C	0.697
YBR181C	0.603
YAR027W	0.663
YBR182C	0.637
YAR028W	0.510
YBR183W	0.518
YAR029W	0.593
YBR184W	0.668
YAR031W	0.653
YBR185C	0.722
YAR030C	0.567
YDR107C	0.663
YCL014W	0.565
YDR108W	0.810
YCL016C	0.510
YDR109C	0.640
YCL024W	0.398
YDR110W	0.593
YCL025C	0.715
YDR111C	0.000
YCL026C	0.257
YDR112W	0.637
YCL027W	0.587
YDR114C	0.000
YCL028W	0.563
YDR115W	0.000
YCL029C	0.597
YDR116C	0.600
YCL030C	0.677
YDR117C	0.543
YCL032W	0.583
YDR119W	0.737
YCL033C	0.567
YDR120C	0.570
