orf	hap a | growth (colony size) | N-Butyl-N′-decylguanidinium chloride [30 uM] | YPD + MeOH [1%] | Bowie D~Fyles TM, 2013	hap a | growth (colony size) | N-hexyl-N′-(3-hydroxypropyl)-N′′-octylguanidinium chloride [100 uM] | YPD + MeOH [1%] | Bowie D~Fyles TM, 2013
YAL002W	0.16392623754476213	0.5396381566602866
YAL004W	0.006026244529183751	-0.7857572248341149
YAL005C	0.12315449085763866	-0.9120580498681866
YAL007C	0.11671162706412642	0.43816644657367254
YAL008W	0.040782045418136924	0.004966569444395264
YAL009W	0.015360107424224442	0.6575129124750699
YAL010C	0.2256940619651183	0.1507372435936557
YAL011W	0.13224838952119158	0.08038642041780018
YAL012W	-0.17283210283136843	-0.2552647768926537
YAL013W	0.2701089766842088	0.4319518539772387
YAL014C	-0.0175072852035794	-0.9947945645265596
YAL015C	0.004188537610904382	0.5464337007895969
YAL016W	0.4104888516431905	
YAL017W	-0.03367128590120901	
YAL018C	-0.004458800031554059	
YAL019W	0.11362057676024657	
YAL020C	0.07682820889740101	
YAL021C	-0.46077094912865496	
YAL022C	-0.14250371588614938	
YAL023C	0.07760576296686555	
YAL024C	0.19957564352527377	
YAL026C	-0.9342392019048693	
YAL027W	0.021329391670700335	
YAL028W	0.0416064271539531	
YAL029C	0.04272883966851605	
YAL030W	-0.006981853043655755	
YAL031C	0.1608421950985233	
YAL034C	0.1016782794531968	
YAL035W		
YAL036C	-0.03006197896711847	
YAL037W	-0.009240207247012126	
YAL039C		
YAL040C	-0.05865503789339355	
YAL042C-A	-0.020741035210478286	
YAL042W	0.11701561062679526	
YAL044C	0.27380289146549547	
YAL045C	0.13061220314337763	
YAL046C	0.09090915298724853	
YAL047C	0.19965740453562772	
YAL048C		
YAL049C	0.1346181702189365	
YAL051W	0.051835204318132315	
YAL053W	-0.007414533895513144	
YAL054C	0.02322590970579436	
YAL055W	0.004454184589184889	
YAL056C-A	0.022088671059729743	
YAL056W	-0.04330228901153579	
YAL058W	0.06827969287703264	
YAL059W	0.2403249319607514	
YAL060W	0.14786576286824782	
YAL061W	-0.11588717111475005	
YAL062W	0.07220394635371112	
YAL064C-A		
YAL065C	0.1620245243908996	
YAL066W	0.10324222165159504	
YAL067C	0.017617744962983694	
YAL068C	0.4754777396126432	
YAR002C-A	0.14331792964296167	-0.5685624711860718
YAR002W	0.2607907281968717	0.9711535307678268
YAR003W	0.10301498527183928	-0.05153181779405177
YAR014C	0.15609044626846783	-0.6633585861644533
YAR015W	0.06423135095068434	0.9210120672089668
YAR018C	0.3464462823293035	0.5468230736180603
YAR020C	0.12100024923003151	-0.7600427836137882
YAR023C	0.024135520604604725	1.5660857484856332
YAR027W	-0.06311924540732802	0.4039025212852893
YAR028W	0.06478529432345828	1.0517534063632055
YAR029W	-0.0514096428456366	-1.1347451813269869
YAR030C	-0.04559805797561558	0.2971492238999162
YAR031W	0.10802630907821871	-0.32808985332709945
YAR035W	0.03800522472606312	-0.8582122950729387
YAR042W	-0.028245887992792904	0.16744884181210687
YAR047C	0.006736200967261847	-0.6319809888732295
YAR050W	0.15859213611991496	0.026588496010187517
YBL001C	0.1321622825100594	0.10638154613291999
YBL002W	0.1840136089049915	-0.13822540867634123
YBL003C	0.07315890506125627	0.43911197564718035
YBL005W	0.10331676250033286	1.2130546038583716
YBL006C	0.034734805760028915	-0.3335629527279584
YBL007C	0.09204385427254166	-2.5698478855203017
YBL008W	-0.0004882902098728266	-0.32773046479738865
YBL009W	0.17322627592121878	-0.2624253688919268
YBL010C	0.009406262432029694	-0.7782569446251995
YBL011W	0.09475738408495123	-0.785692973862551
YBL012C		-1.3637648030522171
YBL013W	0.03961186614301846	-0.3051678919846799
YBL015W	-0.43886396820477974	0.6861477748107593
YBL016W	-0.11778510854121997	-1.031516376618146
YBL017C	-0.05728025563924915	0.3125074057158189
YBL019W	-0.14182771449032824	0.05204213120956582
YBL021C	0.18761681193718738	0.0985293187186257
YBL022C		-1.1433908614861414
YBL024W	0.17738812735321968	-0.04548058074653717
YBL025W		-1.1019207149364199
YBL027W	-0.1311444592665683	-0.06055411215507913
YBL028C	0.07449205157296027	-0.14646593077136816
YBL029W	-0.13985885223657976	0.030436928300044568
YBL031W	0.10870768828554368	0.32624795819666147
YBL032W	-0.12361955827752598	-0.05298942922172382
YBL033C	0.0847789320018989	1.3321838004679656
YBL036C	-0.22282558038076392	0.0016345487024818136
YBL037W	0.05852502514452233	-0.26324696748401005
YBL038W	0.47586075608334244	-1.3071601826273243
YBL039C	0.09209127529089674	-0.1800929889947687
YBL042C	-0.07614584362569699	1.191576765178239
YBL043W	0.1366835589707695	-1.9045316412377877
YBL044W		2.428316565964361
YBL045C		1.5608678319782978
YBL046W	0.15768123996733457	-0.42635004465352466
YBL047C	-0.027416478193974542	-2.2212295243795523
YBL048W	0.10888433950556951	-0.016030790742677364
YBL049W	-0.021044179218809883	-0.12104686045671303
YBL051C	-0.073101927210563	-0.3083409263132269
YBL052C	0.11813405745670988	1.1352061496706316
YBL053W	0.043631792446439374	-0.07671952056373586
YBL054W	0.11863805102655832	0.3450336355364925
YBL055C	0.04500477758140081	-0.4121728370133113
YBL056W	0.11903823803433534	0.48114940228901987
YBL057C	0.09903899401275244	-0.24475081386779698
YBL058W	-0.16543187360838177	-0.9000073843858329
YBL059W	0.11862080167294142	0.44494315565829373
YBL060W	0.08574667155311454	-0.5389539526867436
YBL061C	0.1258146365849143	-0.5221598595222106
YBL062W	0.14639704346791063	-0.18078204855712995
YBL063W	0.15862788965576002	0.20209213271987128
YBL064C	0.05329710919958984	0.14761360495441583
YBL065W	0.06905177373934425	0.34691627326695473
YBL066C	0.007849733370504482	-0.23304900410813112
YBL067C	0.06681229804736737	-1.0186165318823874
YBL068W	-0.1214597197274729	-0.727733462577642
YBL069W	0.08156518503596336	0.20853549370947538
YBL070C	0.016760441237435846	0.2020340868246704
YBL071C	0.1542560841506683	-0.2264622811334384
YBL072C	0.123776903721175	-1.152654934269805
YBL075C	0.012617525487021082	-1.6541699037805984
YBL078C	0.13817452453797766	-0.33695134844222097
YBL079W	-0.045071943923659964	0.32840533888062895
YBL080C	0.141520260474186	-0.8686559915682968
YBL081W	-0.06049400912723385	-0.2650010469244424
YBL082C	0.2071031166714991	-0.6228437985901227
YBL083C	0.14491940488247612	-0.005926602379179055
YBL085W	0.07512737446441398	0.25326600673511773
YBL086C	0.22423013367365116	0.629176184708896
YBL087C	0.18976293037354094	0.9247602617532461
YBL088C	-0.03632501283989273	-0.1749817225271984
YBL089W	0.19566875001392905	-0.5668504326324978
YBL090W		-1.2109732042156018
YBL091C	0.010062271296013319	-0.45478998171391094
YBL091C-A	0.04976937618606171	0.38916892962917765
YBL093C	0.4060681211640177	0.019962133706560733
YBL094C	0.22963753474134754	-1.598610601365254
YBL095W	0.06927389287270486	-0.16230970963105854
YBL096C	0.09369064566583472	0.20549052953456207
YBL098W	0.22648586543463833	-0.2962628755925556
YBL099W	-0.3000192899729203	
YBL100C		
YBL101C	-0.020402659746535337	-0.8440093008729647
YBL102W	0.25152539745070945	-1.4080526831566818
YBL103C	0.16190249002275478	1.2377539296693734
YBL104C	5.3868576315841405	-0.23271914045581282
YBL106C	7.920618752668415	-0.22564704187517315
YBL107C	0.11109315506893783	0.35675528684540897
YBR001C	0.028247288314494988	-0.17181078896181143
YBR003W		
YBR005W	0.13680479057348394	0.12051509956545209
YBR006W	-0.015274799848595049	-0.2924917497338166
YBR007C	0.09370896326277355	-1.1877636385965546
YBR008C	0.04442421594871199	0.626392612836234
YBR009C	-0.06736084498246751	0.49589056805888626
YBR010W	0.009337098158136445	0.13689152939223062
YBR012C	6.020386769256956	0.14753309436749423
YBR013C	7.043421915016131	-0.10024373740935463
YBR014C	0.06528566365819172	0.061526308078081036
YBR015C	0.07132814485889688	-0.9589131924953648
YBR016W	0.2122099319876827	0.9834679460470216
YBR018C	0.12428534963232978	-0.09399336146807838
YBR019C	-0.03966014367873605	0.07476476488658812
YBR020W	-0.030913349391046518	0.0680361024848026
YBR021W	0.1276828352509153	0.24327089357218706
YBR022W	0.034168413688527445	-0.15741740615226113
YBR023C	0.13718259264394836	-1.087581896972755
YBR024W	0.03785959431552818	1.5918706528419748
YBR025C	0.22492846357165014	0.7802265366084152
YBR026C	0.10308981373787464	-0.31984852707902023
YBR027C	0.11708938739195869	0.7248612736814114
YBR028C	0.12529869264152083	0.8131234903814292
YBR030W	0.07522022106509818	-0.12558955948281417
YBR031W	0.02386912434871641	-0.06282814056061811
YBR032W	-0.013867649061215738	1.3714188739546576
YBR033W	0.018568130084007168	-0.39934715679190586
YBR034C	0.25247904064133836	-0.41136443085348856
YBR035C	-0.09365148528333869	-1.5243454145126962
YBR036C	0.08641382848848067	-1.8488586803727098
YBR037C	0.039393990914692076	-0.42142860786450625
YBR039W	0.5655870490175374	-1.8882834466607066
YBR040W	-0.03575384264024079	-0.2034803621967619
YBR041W	0.010711743441506662	1.3929743367685683
YBR042C	-0.03501570459240166	0.6974281742106697
YBR043C	-0.009156720669390812	0.5760646470390512
YBR044C	-0.38620237602413754	-1.5648115899544464
YBR045C	0.14329476755888693	-0.08144677418851126
YBR046C	0.08123538250378466	0.39222879443121234
YBR047W	-0.022724789223597695	0.36312174084569576
YBR048W	0.1141215426788018	0.07005710625331148
YBR050C	0.2484573335335777	-0.5338422301534984
YBR051W	7.627986296425778	-0.4398675795192813
YBR052C	-0.017167056175745397	-0.06909560665724185
YBR053C	-0.054289783514138615	0.9672065558953036
YBR054W	-0.12676685409493368	0.8392894447434657
YBR056W	0.39844538190503154	-0.9224602906305516
YBR057C	0.05702872278952627	0.09395990864622032
YBR058C	0.20432249383212325	-0.057562472806666216
YBR059C	-0.0029042244766772354	-0.5796644275709821
YBR061C	0.05030179805923802	0.743006130254475
YBR062C	-0.09228912150309222	-0.29464396551025657
YBR063C	0.11177528809424951	0.24344203952110005
YBR064W	0.0023520390088636366	0.44850291983432883
YBR065C	0.013669853294013466	-0.19414479669737042
YBR066C	-0.16692250011242785	0.4646859329300594
YBR067C	-0.1714195023218054	-0.47396227415606634
YBR068C	-0.08968700234860665	-1.634200270683022
YBR069C	0.19917874634850394	2.547959603729933
YBR071W	0.11431331878730376	0.1824648141877354
YBR072W	0.038319224517838646	-0.18906225389283615
YBR073W	-0.0799575204791374	0.9691254195482968
YBR074W	0.025735097658852086	0.21456420546353416
YBR076W	0.007453657990338102	0.18006265997555043
YBR077C	-0.05635421738201636	-0.9384704363712594
YBR078W	0.13099812543589526	-0.03876204602905011
YBR081C	0.041192451199165286	-0.6082962319263527
YBR082C	0.3756197514917057	-0.7369359641009079
YBR083W	0.03754941647841967	0.8485372443358886
YBR084C-A	-0.0324657058718926	1.0559369061505295
YBR084W	-0.13466613212488399	0.6078596066174249
YBR085W	0.0443041101206993	-0.2892634814887603
YBR089C-A	-0.10422493894908107	0.11434600730579898
YBR090C	0.08074461305649196	0.2643998609312653
YBR092C	0.06415499167798874	0.6422354296981894
YBR093C	-0.046782749385311136	0.5432846521617425
YBR094W	-0.16885510436998538	-0.12910700579296883
YBR095C	0.21550694843118448	-0.24463072002886893
YBR097W	0.290064244776709	0.200344191551759
YBR098W	0.041521197511302704	-0.2953162560224398
YBR099C	-0.09905118893430184	0.07008317745188798
YBR101C		
YBR103W	5.91035893465192	-0.8395789216903089
YBR104W	5.178655376506741	-0.3310454489748224
YBR105C	-0.10708602117006517	-1.8842325947377785
YBR106W	-0.10146037182678476	1.681457942950835
YBR107C	0.11864972075912647	0.02518454719110553
YBR108W	0.11526839378484818	0.33555117003996354
YBR111C	1.618546419189405	-0.14206415379528783
