ORF	het | genome instability (diploid mating) | standard [standard] | Choy JS~Basrai MA, 2013
YLL015W	0.500
YLR067C	0.667
YML028W	0.667
YAL068C	0.333
YLR068W	0.167
YML026C	0.000
YAL067C	0.000
YLL016W	0.167
YML025C	0.667
YAL066W	0.500
YLL017W	0.167
YLR070C	0.167
YAL065C	0.167
YLL018C	0.667
YLR071C	0.000
YML024W	0.500
YAL062W	0.500
YLL019C	0.667
YLR072W	0.167
YML023C	0.500
YAL061W	0.833
YLL020C	0.667
YLR073C	0.167
YML020W	0.167
YAL060W	0.500
YLL021W	0.500
YLR074C	0.167
YML019W	0.667
YAL059W	0.000
YLL023C	0.500
YLR075W	0.333
YML018C	0.333
YAL058W	0.500
YLL024C	0.833
YLR076C	0.500
YML017W	0.500
YAL056W	0.167
YLL025W	0.333
YLR077W	0.500
YML016C	0.500
YAL055W	0.000
YLL026W	0.833
YLR078C	0.667
YML015C	0.417
YAL053W	0.000
YLL027W	0.000
YLR079W	0.167
YML014W	0.667
YAL051W	0.333
YLL028W	0.167
YLR080W	0.333
YML013W	0.167
YAL049C	0.750
YLL029W	1.167
YLR081W	0.333
YML012C-A	0.167
YAL048C	0.333
YLL031C	0.167
YLR082C	0.167
YML012W	0.333
YAL046C	0.167
YLL032C	0.167
YLR083C	0.500
YML011C	0.500
YAL045C	0.000
YLL033W	0.000
YLR084C	0.667
YML010W	0.333
YAL044C	0.500
YLL034C	0.333
YLR085C	0.333
YML009W-B	0.500
YAL043C	0.000
YLL035W	0.333
YLR086W	0.000
YML009C	0.583
YAL042W	0.333
YLL036C	0.333
YLR087C	0.167
YML008C	0.833
YAL042C-A	0.500
YLL037W	0.333
YLR088W	0.333
YML007W	0.333
YAL041W	0.000
YLL038C	0.167
YLR089C	0.500
YML006C	0.833
YAL040C	0.000
YLL039C	0.000
YLR090W	0.167
YML005W	0.333
YAL039C	0.667
YLL040C	0.000
YLR091W	0.333
YML004C	0.333
YAL038W	0.667
YLL041C	0.500
YLR092W	0.167
YML003W	0.333
YAL037W	0.500
YLL042C	0.333
YLR093C	0.333
YML002W	0.167
YAL036C	0.333
YLL043W	0.333
YLR094C	0.167
YML001W	0.667
YAL035W	0.167
YLL045C	0.000
YLR095C	0.500
YMR001C	0.000
YAL034W-A	0.167
YLL046C	0.333
YLR096W	0.833
YMR003W	0.333
YAL034C	0.167
YLL047W	0.000
YLR097C	0.667
YMR005W	0.583
YAL033W	1.167
YLL050C	0.000
YLR098C	0.167
YMR006C	0.500
YAL032C	0.333
