orf	hom | growth (colony size) | pomecin A [0.5-8 ug/ml] | YPD | Knechtle P~Sorensen AS, 2014
YAL051W	-10.172377928845975
YBR041W	-10.172377928845975
YBR283C	-10.172377928845975
YCR050C	-10.172377928845975
YDL006W	-10.172377928845975
YDL040C	-10.172377928845975
YDL042C	-10.172377928845975
YDL052C	-10.172377928845975
YDL075W	-10.172377928845975
YDL100C	-10.172377928845975
YDL101C	-10.172377928845975
YDR007W	-10.172377928845975
YDR200C	-10.172377928845975
YDR463W	-10.172377928845975
YDR479C	-10.172377928845975
YEL046C	-10.172377928845975
YER083C	-10.172377928845975
YER086W	-10.172377928845975
YER151C	-10.172377928845975
YGL020C	-10.172377928845975
YGL026C	-10.172377928845975
YGL115W	-10.172377928845975
YGL148W	-10.172377928845975
YGR063C	-10.172377928845975
YGR077C	-10.172377928845975
YHR013C	-10.172377928845975
YIL030C	-10.172377928845975
YIL052C	-10.172377928845975
YIR033W	-10.172377928845975
YJL176C	-10.172377928845975
YKL126W	-10.172377928845975
YKR007W	-10.172377928845975
YLR039C	-10.172377928845975
YML013W	-10.172377928845975
YMR015C	-10.172377928845975
YMR022W	-10.172377928845975
YMR116C	-10.172377928845975
YNL148C	-10.172377928845975
YNR052C	-10.172377928845975
YOL002C	-10.172377928845975
YOR246C	-10.172377928845975
YOR363C	-10.172377928845975
YPL061W	-10.172377928845975
YPR133W-A	-10.172377928845975
