orf	hom | growth (relative abundance in pooled culture) | toxaphene [160 uM] | Gaytan BD~Vulpe CD, 2013	hom | growth (relative abundance in pooled culture) | toxaphene [320 uM] | Gaytan BD~Vulpe CD, 2013	hom | growth (relative abundance in pooled culture) | toxaphene [640 uM] | Gaytan BD~Vulpe CD, 2013
YAL002W	1.3	1.0	0.0
YAL053W	-0.9	-1.1	0.0
YAL064C-A	1.3	1.1	0.0
YAR031W	0.0	-0.8	-0.9
YBL007C	0.0	0.0	1.5
YBL012C	0.0	0.0	-1.3
YBL013W	5.4	5.2	5.3
YBL019W	1.9	1.8	1.4
YBL038W	0.0	0.0	1.9
YBL039C	0.0	1.1	0.0
YBL047C	0.0	1.0	1.0
YBL061C	0.0	2.3	2.1
YBL065W	5.2	5.2	5.0
YBL079W	0.0	1.4	0.0
YBL090W	2.4	2.3	2.2
YBL096C	2.1	2.0	1.9
YBL102W	1.2	0.0	0.0
YBL106C	0.0	1.1	0.0
YBL107C	3.0	2.8	2.7
YBR006W	2.4	2.5	2.0
YBR013C	1.4	1.4	1.3
YBR015C	0.0	1.2	0.0
YBR026C	2.9	2.9	2.8
YBR027C	1.0	1.3	0.0
YBR037C	1.2	0.0	0.0
YBR040W	1.2	1.4	1.3
YBR046C	0.0	1.1	0.0
YBR048W	1.1	0.0	0.0
YBR057C	2.1	0.0	1.8
YBR068C	-0.9	-0.8	0.0
YBR074W	3.7	3.9	3.7
YBR077C	2.0	2.0	1.8
YBR084C-A	2.5	2.4	2.3
YBR090C	0.0	1.1	0.0
YBR106W	0.0	0.0	-1.5
YBR107C	1.5	1.4	0.0
YBR129C	2.0	1.9	2.0
YBR134W	2.7	2.6	3.0
YBR138C	5.2	5.5	5.4
YBR141C	1.4	1.6	0.0
YBR146W	1.2	0.0	0.0
YBR147W	1.6	1.6	1.6
YBR149W	3.8	3.8	3.7
YBR156C	0.0	0.0	1.5
YBR162C	0.0	1.8	2.2
YBR170C	1.6	1.9	1.7000000000000002
YBR171W	-2.3	-2.6	-2.4
YBR173C	2.3	2.2	1.9
YBR184W	1.3	0.0	0.0
YBR231C	0.0	0.0	1.1
YBR259W	2.1	2.1	1.9
YBR277C	0.0	1.1	0.0
YBR278W	0.0	1.0	0.0
YCL005W	3.2	3.6	3.1
YCL010C	0.0	1.5	0.0
YCL024W	1.3	0.0	0.0
YCL037C	2.4	1.7000000000000002	2.2
YCL049C	1.2	1.1	0.0
YCL058C	1.2	0.0	0.0
YCR007C	4.7	4.5	4.3
YCR009C	-1.65	0.0	0.0
YCR051W	1.3	0.0	0.0
YCR053W	0.0	-1.1	-1.4
YCR063W	1.0	0.0	0.0
YCR071C	-1.4	-1.7000000000000002	-2.6
YCR086W	-0.9	-1.1	-1.5
YCR087C-A	1.3	0.0	0.0
YCR101C	2.5	2.1	1.8
YDL010W	5.5	5.4	5.3
YDL013W	1.0	0.0	0.0
YDL020C	-3.15	-3.05	-2.55
YDL033C	1.4	1.4	1.6
YDL041W	0.0	0.0	2.7
YDL065C	2.0	2.0	1.8
YDL070W	3.2	3.5	3.4
YDL082W	2.4	2.8	2.8
YDL100C	-1.3	0.0	0.0
YDL117W	0.0	0.0	1.8
YDL127W	1.7000000000000002	1.6	1.7000000000000002
YDL161W	1.4	1.4	1.4
YDL175C	1.4	1.6	1.6
YDL188C	1.6	1.7000000000000002	1.8
YDL197C	0.9	1.0	0.0
YDL199C	1.5	1.3	1.3
YDL215C	1.7000000000000002	1.8	1.8
YDL231C	1.1	1.3	1.3
YDL241W	2.8	2.7	2.9
YDR007W	0.0	-0.9	0.0
YDR008C	-2.3	-2.8	-3.1
YDR028C	-1.5	0.0	-1.5
YDR032C	1.1	1.1	0.0
