ORF	hap a | cell death (frequency of dead cells) | pH [3.0], acetic acid [400 mM], time [100-350 min] | Sousa M~Sousa MJ, 2013
YAL054C	1.000
YER088C	1.000
YMR176W	1.000
YLR449W	1.000
YDR266C	1.000
YPL254W	1.000
YNL031C	1.000
YOR038C	1.000
YJR140C	1.000
YPR068C	1.000
YGL194C	1.000
YIL112W	1.000
YOL068C	1.000
YDR191W	1.000
YDR225W	1.000
YGL136C	1.000
YMR069W	1.000
YGL025C	1.000
YOR279C	1.000
YNL330C	1.000
YGL244W	1.000
YDR181C	1.000
YOR213C	1.000
YIL084C	1.000
YKR029C	1.000
YBR103W	1.000
YCR033W	1.000
YPL138C	1.000
YJL127C	1.000
YER161C	1.000
YMR053C	1.000
YDR120C	1.000
YML005W	1.000
YDL112W	1.000
YDL201W	1.000
YOR064C	1.000
YGR270W	1.000
YHR047C	1.000
YLR027C	1.000
YLR028C	1.000
YGL234W	1.000
YMR009W	1.000
YFL030W	1.000
YMR169C	1.000
YDR111C	1.000
YJL088W	1.000
YDR127W	1.000
YDR380W	1.000
YGL148W	1.000
YDR035W	1.000
YBR249C	1.000
YGL202W	1.000
YHR137W	1.000
YBR068C	1.000
YDR046C	1.000
YJR148W	1.000
YGR286C	1.000
YNR058W	1.000
YNR056C	1.000
YJR078W	1.000
YJL060W	1.000
YBL098W	1.000
YDR428C	1.000
YEL063C	1.000
YPL111W	1.000
YLR438W	1.000
YOR303W	1.000
YGL196W	1.000
YER183C	1.000
YKR039W	1.000
YGL195W	1.000
YOR375C	1.000
YDL215C	1.000
YDL171C	1.000
YFR025C	1.000
YOR202W	1.000
YCL030C	1.000
YIL020C	1.000
YBR248C	1.000
YER052C	1.000
YJR139C	1.000
YOR136W	1.000
YER086W	1.000
YLR432W	1.000
YMR081C	1.000
YNL045W	1.000
YGL009C	1.000
YNL104C	1.000
YOR108W	1.000
YNL268W	1.000
YIR034C	1.000
YBR115C	1.000
YDR234W	1.000
YNR050C	1.000
YJR024C	1.000
YKR069W	1.000
YKL001C	1.000
YNL277W	1.000
YOR241W	1.000
YLR017W	1.000
YGR055W	1.000
YLR134W	1.000
YGR087C	1.000
YCR020C	1.000
YPL179W	1.000
YOR323C	1.000
YOL061W	1.000
YER067W	1.000
YLR180W	1.000
YGR208W	1.000
YER081W	1.000
YIL074C	1.000
YDL168W	1.000
YOR021C	1.000
YLR058C	1.000
YPR069C	1.000
YKL218C	1.000
YOR219C	1.000
YJR130C	1.000
YPL258C	1.000
YPR121W	1.000
YDL080C	1.000
YHR025W	1.000
YCR053W	1.000
YER175C	1.000
YER090W	1.000
YJL130C	1.000
YML106W	1.000
