orf	hap a | cell death (frequency of dead cells) | pH [3.0], acetic acid [400 mM], time [100-350 min] | Sousa M~Sousa MJ, 2013
YAL002W	-1.388878538894482
YAL005C	-1.388878538894482
YAL010C	1.3611009681165922
YAL016C-B	1.3611009681165922
YAL027W	1.3611009681165922
YAL037C-A	1.3611009681165922
YAL044C	-1.388878538894482
YAL045C	1.3611009681165922
YAL046C	1.3611009681165922
YAL049C	1.3611009681165922
YAL053W	1.3611009681165922
YAL054C	1.3611009681165922
YAL056W	-1.388878538894482
YAL059W	1.3611009681165922
YAL061W	1.3611009681165922
YAL064C-A	1.3611009681165922
YAR023C	1.3611009681165922
YAR029W	-1.388878538894482
YAR035C-A	1.3611009681165922
YAR050W	1.3611009681165922
YBL008W-A	1.3611009681165922
YBL012C	1.3611009681165922
YBL021C	-1.388878538894482
YBL038W	-1.388878538894482
YBL042C	-1.388878538894482
YBL044W	-1.388878538894482
YBL045C	-1.388878538894482
YBL071C-B	1.3611009681165922
YBL080C	1.3611009681165922
YBL090W	-1.388878538894482
YBL091C-A	1.3611009681165922
YBL098W	1.3611009681165922
YBL099W	-1.388878538894482
YBL103C	1.3611009681165922
YBL104C	1.3611009681165922
YBR005W	1.3611009681165922
YBR008C	1.3611009681165922
YBR012C	1.3611009681165922
YBR018C	1.3611009681165922
YBR020W	1.3611009681165922
YBR021W	-1.388878538894482
YBR022W	1.3611009681165922
YBR023C	1.3611009681165922
YBR024W	1.3611009681165922
YBR025C	1.3611009681165922
YBR026C	-1.388878538894482
YBR031W	1.3611009681165922
YBR032W	1.3611009681165922
YBR033W	1.3611009681165922
YBR035C	-1.388878538894482
YBR036C	-1.388878538894482
YBR037C	-1.388878538894482
YBR040W	1.3611009681165922
YBR046C	1.3611009681165922
YBR047W	1.3611009681165922
YBR048W	1.3611009681165922
YBR050C	1.3611009681165922
YBR051W	1.3611009681165922
YBR056W	1.3611009681165922
YBR056W-A	1.3611009681165922
YBR057C	1.3611009681165922
YBR058C-A	-1.388878538894482
YBR062C	1.3611009681165922
YBR063C	1.3611009681165922
YBR066C	1.3611009681165922
YBR067C	1.3611009681165922
YBR068C	1.3611009681165922
YBR071W	1.3611009681165922
YBR072C-A	1.3611009681165922
YBR073W	1.3611009681165922
YBR074W	-1.388878538894482
YBR078W	-1.388878538894482
YBR081C	-1.388878538894482
YBR084C-A	1.3611009681165922
YBR085C-A	1.3611009681165922
YBR085W	-1.388878538894482
YBR089C-A	1.3611009681165922
YBR094W	1.3611009681165922
YBR099C	1.3611009681165922
YBR103W	1.3611009681165922
YBR104W	1.3611009681165922
YBR106W	-1.388878538894482
YBR112C	-1.388878538894482
YBR115C	1.3611009681165922
YBR120C	-1.388878538894482
YBR122C	1.3611009681165922
YBR126C	-1.388878538894482
YBR132C	1.3611009681165922
YBR139W	1.3611009681165922
YBR141C	1.3611009681165922
YBR145W	1.3611009681165922
YBR147W	1.3611009681165922
YBR151W	1.3611009681165922
YBR157C	-1.388878538894482
YBR162C	1.3611009681165922
YBR162W-A	1.3611009681165922
YBR163W	-1.388878538894482
YBR165W	1.3611009681165922
