orf	het | growth (culture turbidity) | bovine pancreatic trypsin inhibitor [1.75 uM] | Bleackley MR~Anderson MA, 2014
YAL002W	-0.034399999999999986
YAL004W	-0.1456
YAL005C	-0.13590000000000002
YAL007C	-0.15529999999999997
YAL008W	-0.14919999999999997
YAL009W	-0.05989999999999998
YAL010C	-0.012399999999999994
YAL011W	-0.11799999999999997
YAL012W	-0.11660000000000001
YAL013W	-0.10960000000000002
YAL014C	-0.060499999999999984
YAL015C	-0.15739999999999998
YAL016C-B	-0.15600000000000003
YAL016W	-0.1259
YAL017W	-0.16040000000000004
YAL018C	-0.15940000000000001
YAL019W	-0.1627
YAL020C	-0.1731
YAL021C	-0.1609
YAL022C	-0.12569999999999998
YAL023C	-0.0358
YAL024C	-0.1865
YAL026C	-0.1391
YAL027W	-0.1597
YAL028W	-0.1498
YAL029C	-0.1336
YAL030W	-0.16119999999999998
YAL031C	-0.1472
YAL034C	-0.1446
YAL035W	0.0002999999999999947
YAL036C	-0.14
YAL037C-A	-0.16410000000000002
YAL037W	-0.18169999999999997
YAL039C	-0.16999999999999998
YAL040C	-0.19179999999999997
YAL042C-A	-0.16690000000000005
YAL042W	-0.1565
YAL044C	-0.1382
YAL044W-A	-0.14759999999999998
YAL045C	-0.11730000000000002
YAL046C	-0.14629999999999999
YAL047C	-0.0722
YAL048C	-0.16449999999999998
YAL049C	-0.15514999999999998
YAL051W	-0.14950000000000002
YAL053W	-0.14589999999999997
YAL054C	-0.13019999999999998
YAL055W	-0.1825
YAL056C-A	-0.12040000000000001
YAL056W	-0.11359999999999999
YAL058W	-0.2279
YAL059W	-0.10859999999999999
YAL060W	-0.14730000000000001
YAL061W	-0.14199999999999996
YAL062W	-0.1357
YAL064C-A	-0.11679999999999997
YAL065C	-0.1128
YAL066W	-0.16000000000000003
YAL067C	-0.17970000000000003
YAL067W-A	-0.14629999999999999
YAL068C	-0.17150000000000004
YAR002C-A	-0.13379999999999997
YAR002W	-0.152
YAR003W	-0.1437
YAR014C	-0.10959999999999998
YAR015W	-0.1033
YAR018C	-0.1607
YAR020C	-0.11919999999999999
YAR023C	-0.1654
YAR027W	-0.1673
YAR028W	-0.17959999999999998
YAR029W	-0.19269999999999998
YAR030C	-0.12319999999999999
YAR031W	-0.14789999999999998
YAR035C-A	-0.1308
YAR035W	-0.13369999999999999
YAR042W	-0.1324
YAR047C	-0.1201
YAR050W	-0.236
YBL001C	-0.11319999999999998
YBL002W	-0.145
YBL003C	-0.1352
