ORF	hom | expression of human amyloid-beta peptide isoform 42 (Ab42-GFP) | expression of amyloid-beta 42 [unknown] | Nair S~Perrone GG, 2014
YER164W	1.000
YBL008W	1.000
YBL003C	1.000
YBR231C	1.000
YDR334W	1.000
YML041C	1.000
YDR485C	1.000
YDL041W	1.000
YGR157W	1.000
YDR051C	1.000
YDR123C	1.000
YOL108C	1.000
YDR315C	1.000
YJR073C	1.000
YBR035C	1.000
YNL169C	1.000
YER120W	1.000
YDR207C	1.000
YER119C-A	1.000
YLR304C	1.000
YJL200C	1.000
YBR194W	1.000
YNL315C	1.000
YPL215W	1.000
YNR001C	1.000
YPR001W	1.000
YJL003W	1.000
YDR231C	1.000
YDR430C	1.000
YPL262W	1.000
YGL237C	1.000
YBL021C	1.000
YNL037C	1.000
YOR136W	1.000
YDL066W	1.000
YIL125W	1.000
YDR148C	1.000
YFL018C	1.000
YOR142W	1.000
YGR244C	1.000
YKL085W	1.000
YDR031W	1.000
YDR322W	1.000
YDR237W	1.000
YBL080C	1.000
YER058W	1.000
YGL062W	1.000
YBR218C	1.000
YCR028C-A	1.000
YPR116W	1.000
YER050C	1.000
YJR113C	1.000
YKL148C	1.000
YLL041C	1.000
YDR178W	1.000
YGR008C	1.000
YOR187W	1.000
YDR230W	1.000
YKL139W	1.000
YFL001W	1.000
YPL046C	1.000
YFL021W	1.000
YBR187W	1.000
YPL254W	1.000
YNL147W	1.000
YPR070W	1.000
YER068W	1.000
YBL024W	1.000
YPR101W	1.000
YCR081W	1.000
YDR443C	1.000
YPL042C	1.000
YOR179C	1.000
YGR162W	1.000
YLR286C	1.000
YCL016C	1.000
YIL122W	1.000
YER111C	1.000
YPR167C	1.000
YBR213W	1.000
YER042W	1.000
YNL220W	1.000
YDR226W	1.000
YJR053W	1.000
YER016W	1.000
YDR143C	1.000
YBL058W	1.000
YGR184C	1.000
YCR047C	1.000
YCR063W	1.000
YJL128C	1.000
YOR008C	1.000
YDR006C	1.000
YNL077W	1.000
YDL088C	1.000
YDR516C	1.000
YEL017W	1.000
YIL090W	1.000
YPL250C	1.000
YGL261C	1.000
YDR281C	1.000
YDR014W	1.000
YBL033C	1.000
YDR257C	1.000
YDR425W	1.000
YDL242W	1.000
YDR015C	1.000
YEL008W	1.000
YMR151W	1.000
YOR364W	1.000
