orf	hom | sugar utilization efficiency (residual sugar wt-mut) | synthetic grape juice [200 g/L glucose+fructose], time [180 h] | Walker ME~Jiranek V, 2014
YAL021C	-23.354524183995615
YAL047C	-9.927619248709608
YAL068C	-7.8767680586323054
YAR015W	-152.24973077716737
YAR018C	-7.718760937354799
YBL054W	-8.752613861025846
YBL093C	-44.345344835326536
YBR025C	-10.236740911520958
YBR077C	-41.5285154204922
YBR106W	-9.291490026871674
YBR112C	-49.983217172042856
YBR125C	-4.112769607392348
YBR126C	-19.996259726867418
YBR127C	-3.4154943786083507
YBR131W	-13.974969308075316
YBR133C	-11.142451244850289
YBR220C	-8.045613328693648
YBR246W	-7.5045553125852456
YBR251W	-3.2748791056989806
YBR278W	-73.32199579764881
YBR279W	-81.73025410017227
YBR281C	-5.223644554967499
YBR282W	-5.850333614719635
YBR289W	-9.586857548877642
YCL007C	-40.536243227692836
YCL016C	-5.048087145381772
YCR020W-B	-188.21783374527195
YCR024C-A	-7.171849600795195
YCR028C	-9.583884244944361
YCR036W	-7.100845225777319
YCR047C	-17.69176467380779
YCR063W	-67.43022642553382
YCR075C	-9.898434712478373
YCR077C	-5.814464899366619
YCR106W	-9.384851791514535
YDL035C	-6.831197337624297
YDL046W	-9.285500030468288
YDL076C	-6.130882689278041
YDL085W	-3.5285403082091307
YDL095W	-10.389378900445756
YDL117W	-3.7938224092665473
YDL124W	-7.590648938365071
YDL128W	
YDL160C	-52.94226805397594
YDL185W	-5.236423511293553
YDL189W	-7.597275211226702
YDL204W	-8.836236743603752
YDR022C	-4.256191664213752
YDR065W	
YDR069C	-19.892293628481305
YDR074W	-70.64363772266526
YDR080W	-7.447842047311201
YDR138W	-76.43160320995784
YDR163W	-7.507219776830289
YDR175C	-4.314222110966661
YDR202C	-12.400383759550717
YDR225W	-7.25952615447327
YDR247W	-9.307105726985998
YDR257C	-4.835007089874879
YDR264C	-75.52083147114496
YDR268W	-7.067978943094615
YDR271C	-4.991986561364854
YDR273W	-4.47481894401553
YDR289C	-3.3485694032876623
YDR323C	-6.766781602056634
YDR337W	-4.299210436180205
YDR364C	-131.99655914369544
YDR368W	-7.461258531092292
YDR369C	-8.329123941289456
YDR432W	-167.43104935725842
YDR433W	-19.882113591911775
YDR438W	-219.33633570963764
YDR439W	-9.592614502374154
YDR456W	-4.762199045109012
YDR457W	-3.717914728432505
YDR467C	-222.84703371983994
YDR469W	-10.146622067872201
YDR495C	
YDR508C	-9.744085497698709
YDR524C	-10.25726972147607
YEL013W	-9.853937366044665
YEL027W	
YEL028W	-7.528598216462119
YEL029C	-14.69652821731032
YEL044W	-22.474092015842633
YEL045C	-21.405583730209145
YEL046C	-94.0295004862671
YEL047C	-4.766336695091039
YEL050C	-6.794583284869105
YEL051W	-36.713563222905506
YER020W	-12.819012426746863
YER027C	-3.1259564873804706
YER046W	-10.05270098457374
YER057C	-3.3506899129621788
YER063W	-3.7600951176496364
YER144C	-10.104077601061274
YER164W	-192.28733447259506
YER185W	-26.417373289010996
YFL004W	-204.46831739666192
YFL007W	-7.2646382548293955
YFL010C	-3.686136727959233
YFL010W-A	-204.41982189942712
YFL012W	-9.993825872113739
YFL023W	-189.64110885980597
YFL049W	-8.998460549667346
YFL063W	-8.902544746228077
YFR019W	-163.30351338225478
YFR038W	-8.664424269207466
YFR053C	-8.047181723278502
YGL006W	-8.624948924421322
YGL007W	-5.425012022331502
YGL042C	-4.84070004999312
YGL043W	-8.714482897690743
YGL053W	-112.04607218962781
YGL070C	-85.35863552092032
YGL095C	
YGL096W	-9.944521946539304
YGL147C	-10.8147156112299
YGL197W	-18.75192292321637
YGL212W	-3.729555153708667
YGL222C	-8.652527047943941
YGL240W	-8.382971330062832
YGR020C	-58.47377407111381
YGR032W	-9.741070985417927
YGR063C	-25.563034657676738
YGR064W	-13.350762348468521
YGR070W	-8.55401088401761
YGR084C	-10.742746588212349
YGR092W	-59.7914755487063
YGR126W	-7.966721125562857
YGR155W	-163.45618540829386
YGR159C	-12.658910449426417
YGR160W	-13.830157794253516
YGR163W	-32.97296647484313
YGR180C	-29.32517267353048
YGR188C	-32.575679183902444
YGR215W	-4.138476037456142
YGR247W	-5.004244811396711
YGR285C	-9.41586104172158
YHL009C	-8.733628152049253
YHL020C	-11.708793522133075
YHR003C	-3.9634368603054018
YHR004C	-13.59494835232768
YHR008C	-12.275579269691487
YHR026W	-28.159569143217936
YHR039C	-9.138573119520121
YHR039C-A	-19.588845708995606
YHR041C	-8.191527243033136
YHR059W	-46.067750156039466
YHR060W	-190.5918122147134
YHR061C	-9.086402156629884
YHR064C	-3.23382217724241
YHR067W	-7.8896007510848785
YHR131C	-4.963198244858114
YHR157W	-8.804284945832293
YHR171W	-3.295657391168869
YHR180W	-10.98360334020093
YHR183W	-104.01400807435286
YHR184W	-9.48177237407614
YHR194W	-6.053684329128875
YHR210C	-9.699882805187809
YIL101C	-181.70548089676922
YIL105C	-10.171473586982785
YIR030C	-7.162986053641105
YJL012C	-164.3856628825568
YJL013C	-8.402620730798736
YJL036W	-3.2977771140747913
YJL051W	-3.372201899813718
YJL052W	-30.552754408387905
YJL055W	-3.3976568466484363
YJL056C	-43.91329826167593
YJL064W	-16.580629665748713
YJL065C	-16.677380101862042
YJL066C	-3.3435585784149753
YJL082W	-11.211949479656916
YJL102W	-4.339111543015094
YJL112W	-3.5774802798691705
