orf	hap ? | growth (colony size) | exposure to S. hominis [GAR+] prion | GGM | Jarosz DF~Lindquist S, 2014
YAL020C	-7.015067770149774
YAL037W	-7.015067770149774
YAL039C	-7.015067770149774
YAL047C	7.158232418520176
YBL090W	-7.015067770149774
YBL098W	-7.015067770149774
YCL001W-A	7.158232418520176
YCR065W	7.158232418520176
YDL032W	7.158232418520176
YDL068W	-7.015067770149774
YDL076C	7.158232418520176
YDL085W	-7.015067770149774
YDR006C	7.158232418520176
YDR014W	7.158232418520176
YDR049W	-7.015067770149774
YDR069C	-7.015067770149774
YDR156W	7.158232418520176
YDR159W	7.158232418520176
YDR277C	-7.015067770149774
YDR364C	-7.015067770149774
YDR401W	-7.015067770149774
YDR505C	7.158232418520176
YDR506C	-7.015067770149774
YDR532C	7.158232418520176
YER016W	7.158232418520176
YER090W	-7.015067770149774
YGL165C	-7.015067770149774
YGL227W	-7.015067770149774
YGL234W	-7.015067770149774
YGR210C	-7.015067770149774
YGR240C	7.158232418520176
YHL020C	7.158232418520176
YHR030C	-7.015067770149774
YHR134W	7.158232418520176
YHR189W	-7.015067770149774
YIL028W	7.158232418520176
YIL029C	7.158232418520176
YIL090W	7.158232418520176
YJR063W	7.158232418520176
YJR133W	-7.015067770149774
YKL032C	7.158232418520176
YKL185W	-7.015067770149774
YKR050W	-7.015067770149774
YKR057W	7.158232418520176
YKR067W	-7.015067770149774
YLL039C	-7.015067770149774
YLR059C	-7.015067770149774
YLR168C	-7.015067770149774
YLR250W	-7.015067770149774
YLR304C	-7.015067770149774
YLR320W	7.158232418520176
YML034W	-7.015067770149774
YML042W	7.158232418520176
YML089C	-7.015067770149774
YMR015C	-7.015067770149774
YMR016C	-7.015067770149774
YMR207C	-7.015067770149774
YMR244C-A	-7.015067770149774
YMR245W	-7.015067770149774
YMR256C	-7.015067770149774
YMR257C	-7.015067770149774
YNL046W	-7.015067770149774
YNL078W	-7.015067770149774
YNL098C	-7.015067770149774
YNL109W	7.158232418520176
YNL129W	-7.015067770149774
YNL259C	-7.015067770149774
YNL294C	-7.015067770149774
YNL297C	-7.015067770149774
YNL302C	7.158232418520176
YNR022C	-7.015067770149774
YNR067C	7.158232418520176
YOL049W	-7.015067770149774
YOL072W	-7.015067770149774
YOR018W	-7.015067770149774
YOR090C	-7.015067770149774
YOR107W	-7.015067770149774
YOR241W	-7.015067770149774
YOR291W	-7.015067770149774
YOR295W	7.158232418520176
YOR316C	-7.015067770149774
YOR322C	-7.015067770149774
YOR363C	-7.015067770149774
YPL102C	-7.015067770149774
YPL109C	-7.015067770149774
YPL133C	7.158232418520176
YPL145C	-7.015067770149774
YPL216W	-7.015067770149774
YPL259C	-7.015067770149774
YPR141C	7.158232418520176
YPR164W	7.158232418520176
