orf	het | growth (pooled culture, barseq) | pH [4.5], temperature [16 C], chemostat | YPD | Paget CM~Delneri D, 2014	het | growth (pooled culture, barseq) | pH [4.5], temperature [16 C], chemostat | F1 (C-lim) | Paget CM~Delneri D, 2014	het | growth (pooled culture, barseq) | pH [4.5], temperature [16 C], chemostat | F1 (N-lim) | Paget CM~Delneri D, 2014
YAL001C	-0.527028670512673	-0.824124579	0.0723272313781974
YAL002W	0.492276216111611	0.586085636	1.1137284177118
YAL003W	-0.525214161679961	-0.068258393	0.309637440537697
YAL004W	-0.725043810875194	-0.618898992	0.733940242837303
YAL005C	0.687832910900986	1.222700451	0.562115232549673
YAL007C		-0.228359315	0.866370594182947
YAL008W		-0.86747937	-0.315981550942407
YAL009W	1.19747449291436	-0.499271091	-0.608887130227466
YAL010C	-0.975345518012236	-0.698454162	-0.187173480430044
YAL011W	-2.44241711064181	-0.255382396	-7.51828305149864
YAL012W		-0.211134445	2.25485615528131
YAL013W	-1.62819584856081	-0.750649606	0.0893932358965251
YAL014C	-0.893752825653295	-0.541181347	-0.623331251066948
YAL015C	-0.717639615507316	2.860682756	0.606699828518173
YAL016W	-1.84234329486162	-0.203428685	-0.366225770947075
YAL017W	-1.93770353783453	2.780816503	-0.0623417879792278
YAL018C	-0.811436280912033	-0.402585656	0.287707932850474
YAL019W		-0.466245114	0.169200070303279
YAL020C	-0.901553435108095	-0.420850329	0.0146494852574606
YAL021C	-0.0931651378201852	-0.416106978	-0.898227857749216
YAL022C	-0.403971148017774	-0.67884527	0.107792818978507
YAL023C		0.144717408	-1.81165669563603
YAL024C	-1.01428242956306	-0.770537081	-0.336743252410678
YAL025C	-1.52971117667186	-0.408522348	0.355425648095326
YAL026C	2.5984300761977	1.205177588	2.19592097979952
YAL027W	0.80163967533699	-0.968816736	0.2113262869457
YAL028W			
YAL029C	0.506175298666445	-0.81686712	-0.376606924117746
YAL030W	-0.97723637590855	-0.687188896	-0.260589352072744
YAL031C	0.00691137265192572	0.81478697	-0.0233547819322258
YAL032C	-0.431763932366125	-1.330693151	0.496434200207205
YAL033W	-0.855681763926637	-0.426028307	0.203919189584081
YAL034C	-0.608536229330299		-0.499178025719414
YAL034C-B		-1.001979576	-0.966865714005952
YAL034W-A		1.805214221	-2.44231584961773
YAL035W	-0.703800654984459	-0.55206877	-0.217261978841291
YAL036C	-0.0722395496990211	-0.823115702	0.673353356066629
YAL037W	-0.962401074763972	-0.688749676	-0.571270156956638
YAL038W	-1.17233547577796	-0.698984206	-0.710593925507745
YAL039C		-0.597869326	0.0182708491961093
YAL040C	-1.54339276289394	0.119067607	0.206539939910178
YAL041W	-0.705604284800559	-0.392193722	0.22279494627238
YAL042C-A	-0.322045652780761	-0.258268076	1.37350065185127
YAL042W	-0.890552027587985	-0.646460951	-0.0605676688949405
YAL043C		-0.590465753	0.940541243243064
YAL044C	-0.163893884902946	-0.152850168	2.11046624590449
YAL045C	-1.25432455419938	-0.089511905	-0.357368425355717
YAL046C	-1.1575739116863	-1.871899319	-0.479606246650304
YAL047C		0.324342069	-1.4004956738962
YAL048C	0.784670647416516	-1.12025623	-0.0616045909701384
YAL049C		0.453764752	
YAL051W		-0.946301955	-0.462640615830051
YAL053W	-0.0750676858320193	-0.319741018	-0.0616937603607622
YAL054C		1.333555065	-1.39203409452499
YAL055W	-0.444858756654995	-0.625387234	0.039917053211116
YAL056C-A	-1.07626360199423	-0.18591056	0.0134806297122995
YAL056W	-1.24817573159493	-0.66720419	-0.0745181246466593
YAL058W		-0.655285823	-0.440098024327872
YAL059W	-0.598203027451893	-0.462015991	0.0978557195202432
YAL060W	-1.05466891643711	-2.697742839	-2.21631668919025
YAL061W	-1.32231929889901	-0.565382077	-0.0866731581353902
YAL062W	-1.18469920029934	-0.552601032	0.366913311258371
YAL064C-A		-0.42051118	-3.10575240791895
YAL065C	-1.63525299860177	-5.901784606	-0.261901883665735
YAL066W	-1.1518193300906	-0.491780161	3.17922171703832
YAL067C		0.15131114	-0.371926521586443
YAL068C	-1.17057162064338	-0.355450767	0.162540948337816
YAR002C-A	-0.609989287028763	-0.556971254	0.1844668273492
YAR002W	1.16981020021625	1.404643646	1.16927315364855
YAR003W		-0.583883357	-1.02553561376285
YAR007C	-1.4049880060975	-0.59666941	0.734890909137054
YAR008W	-0.541826329198202	0.197723756	1.03246373356821
YAR014C	-0.92883384004717	-0.437116113	0.0858041912286603
YAR015W	-0.320851621302672	-0.280034928	0.489268763961239
YAR018C	-0.276724415701109	-0.353530342	1.44750123271146
YAR019C	-0.845082488728049	-0.602448085	2.02719841730341
YAR020C	-0.603025182380834	-1.118499689	-0.633459683839374
YAR023C	0.194927705951356	1.228965746	-0.899269722662581
YAR027W	-1.08041612626774	0.332113567	-1.16463146885361
YAR028W		-0.544089899	0.271528678208111
YAR029W		0.715132022	0.570540843657135
YAR030C	-1.17558739005083	-0.409601863	0.0332305124422178
YAR031W	-0.569527063113518		-0.149307510845851
YAR035W	-0.707667523068405	-0.605304327	0.597558682014663
YAR042W		-0.385559311	0.19244174896021024
YAR047C	-2.886036410439	-4.086751864	-1.11576619669484
YAR050W			
YBL001C	-1.46455149504161	0.809768896	2.44750123307303
YBL002W			
YBL003C			0.184466827389913
YBL004W		-0.446127416	0.00127322431989371
YBL005W			0.184466827389913
YBL006C	-1.41738674124387	-0.886256061	2.27757623137179
YBL007C		-0.702896124	-0.61911981845994
YBL008W	-0.868200554841769	-0.60834205	3.18679187983914
YBL009W	-0.0677930350863152	3.930521055	-0.476263181706696
YBL010C	-0.764299765735942	4.801811138	1.25485615471634
YBL011W		-1.378606802	-1.55249876717553
YBL012C	-0.984141168155905	-0.743236033	-0.223391446615074
YBL013W		-0.472343397	0.880460640016684
YBL014C		-1.582548527	
YBL015W	-0.42242946697895	-0.453245011	0.0358783981196909
YBL016W	-3.50809992553833	1.184110287	5.30755357792013
YBL017C	-0.813764928112951	-0.611607099	0.982832965581606
YBL018C	-0.866520526095775	-0.428022993	0.197259853604011
YBL019W	-0.508366894885037	-0.748538606	-0.414629958182178
YBL020W	-0.446408922353793	-0.457185802	0.0909801980881415
YBL021C			
YBL022C			
YBL023C		0.287126483	
YBL024W	-0.744136480627157	-0.709261933	-0.237672519035694
YBL025W	-0.325793646222465	-0.715304086	0.051478111473257
YBL026W	0.313827070982899	0.06544615	0.788751424704844
YBL027W	0.0758684573989814	-0.484501765	-0.0486346918779763
YBL028C	-0.736187637598192	-0.565771708	-0.770823744967173
YBL029W	-0.633593130204378	-0.431614328	-0.404400128299974
YBL030C		-0.188909077	
YBL031W		-0.445688592	-0.579092977170122
YBL032W		-0.332390998	1.4475012332237
YBL033C	-0.415952226170173	1.878124179	-0.27050620377228
YBL034C	-0.390164186628087	-0.075522706	-0.501801525513941
YBL035C	-0.37405213788026		0.225404536501635
YBL036C		-0.56264897	-0.300541888496025
YBL037W	-0.806192510831674	-0.593218855	-0.0406978279535833
YBL038W	-0.249328872814494	2.170030245	-0.834898498391125
YBL039C	-0.265646847829049	-0.21613618	-0.431606206146804
YBL040C	-0.851288462226685	-5.658362402	-0.286088506526447
YBL041W	-0.196296305374945	-0.057762318	0.535448932080491
YBL042C	-2.18951186576217	-0.118447173	-0.170511234072193
YBL043W			
YBL044W			
YBL045C	-0.932843346555076	-0.144133495	-0.221232807852547
YBL046W	-0.488112794409455	0.777386201	-1.55249876734125
YBL047C		-0.483335879	1.0324637331037
YBL048W	-0.8093264468574	-0.517602164	-0.0459629135073516
YBL049W	-0.711471530890708	-0.64548353	0.468539222214374
YBL050W	-0.231804915525478	-0.764675345	-0.607080911897181
YBL051C	0.403881365772126	-3.311947931	-0.499505679763545
YBL052C	-1.63867822179333	0.487367971	-0.0594587561203927
YBL053W	-1.51045807537701	-0.748414274	0.552370350803713
YBL054W	-0.547247264835186	-0.051203729	0.548587358211198
YBL055C	-1.08586741237419	-0.530953899	-0.420048471178678
YBL056W	-1.33901293662544	-0.414701844	0.103193359228873
YBL057C	-0.792847071201412		-0.416780757449219
YBL058W			
YBL059W	-0.603459040050155	-0.548550166	-0.310627553825422
YBL060W	-1.11128897108693	-0.265775858	3.74343411925528
YBL061C		-0.471461778	-0.239488736672865
YBL062W	0.829910764496148	0.38257011	0.832292445235648
YBL063W	-1.14603605104748	-0.66203109	0.297551798172728
YBL064C	-1.65271185782959	1.028463234	1.52457745597013
YBL065W		-3.427375129	0.862538731937586
YBL066C	-0.870282274318968	-0.984973832	0.635653329778249
YBL067C	-0.505352086628907		2.35250471877063
YBL068W	-0.913458456975797	-0.120938597	-1.87324867115319
YBL069W	-1.0767993338488	-0.902125513	-1.90299601432569
YBL070C		-2.482461093	-6.15126706761434
YBL071C	-0.121118890338961	-0.709568321	-0.831914314886452
YBL072C	-0.473903401169491	0.34673912	0.393053449272779
YBL073W			
YBL074C	-1.30868320475679	-0.39075622	1.08364245666052
YBL075C			
YBL076C	-0.268513304550745	-0.139860037	0.346311408520827
YBL077W	-1.03095041166299	-0.73429219	0.161141720094434
YBL078C	-2.89441569734965	-0.479423808	-4.54345362787682
YBL079W	-0.460993560866283	-0.292984341	-0.874426862533353
YBL080C		1.775692847	1.86253873250255
YBL081W	-0.728648460064151	-0.554452005	-0.1704683740503
YBL082C	0.0549022674601919		-0.0547208371547049
YBL083C			2.11046624594613
YBL084C	-0.624660736392753	-0.791776489	-0.683949620625085
YBL085W	-0.690499496046973	-0.406050872	0.281668985402411
YBL086C	-0.129774833775226	-0.114533845	1.05893594474108
YBL087C	-1.94361405472045	-0.028713487	0.147940950960624
YBL088C	-0.987460228345242	-0.045021369	-0.112919083681884
YBL089W	-0.792088055230838	-0.693295592	-0.0607494281549136
YBL090W		-0.43958224	-0.170506575370966
YBL091C		-2.13508955	-1.21146184894122
YBL091C-A	-0.182461736321793	-0.408327926	-0.0586227499337173
YBL092W	0.435612755068006	-0.452164349	0.651424632783885
YBL093C		1.002413974	
YBL094C	-0.0981366985521079	-0.927658398	-0.0828805718893866
YBL095W	-1.11489324974535	0.463270437	0.991821748882552
YBL096C	-0.385352456852643		-0.27172799711808
YBL097W	-0.987334553325465	-0.486375113	-0.119261089111908
YBL098W	-0.76192768325045	-0.98628596	-0.353877038501268
YBL099W		0.057232503	1.18446682738991
YBL100C		0.488545731	-0.552498767341257
YBL101C	-0.751166122851312	0.553857537	0.111109587680458
YBL102W	-0.608734992150199	-0.364233771	-0.384525200026302
YBL103C	-1.02931262036284	0.279624924	0.86253873250255
YBL104C	0.363773257252511	-0.589547386	0.0831945353936593
YBL105C	-0.894519479183384	-0.793546351	-0.338373961894279
YBL106C		1.002413974	-0.400495673707886
YBL107C	-0.970040658514107	-0.719600474	1.18601727838149
YBR001C	-0.680321396263969	-1.051041538	-0.881982054144681
YBR002C	-0.717054413862389	-0.779268765	0.61861314902143
YBR003W	-0.738680004441897	-0.680807849	0.323173097402565
YBR004C			
YBR005W		-0.52411169	0.301422973352526
YBR006W	-3.36875223043082	2.273547667	0.583016203263863
YBR007C	-0.822236593996583	-0.820431953	0.577227405749873
YBR008C	-0.126810627021265	-1.336455699	0.472941525979058
YBR009C		2.146684865	1.40685924822417
YBR010W	-0.701303378278417		1.59255156475523
YBR011C		-0.292446998	0.0674083257595154
YBR012C	-0.799038089754017	-1.582302058	-0.23997061999865
YBR013C		-0.445267837	0.669893654108183
YBR014C		1.227157504	
YBR015C	0.682943937137993	0.2642643	-0.326109957898712
YBR016W			
YBR017C	-1.36540178727214	-0.587271828	-0.0558630487786543
YBR018C		-0.654544829	-0.0325240750556436
YBR019C	1.09535791688237	-1.110890256	-0.482728488905927
YBR020W	0.191117033814568	-0.702940483	-0.262992150331807
YBR021W	0.539527337298607	1.041997989	0.397315475680995
YBR022W		-0.896230856	0.0403776044185011
YBR023C			
YBR024W	-0.0658386840969342	-1.127808604	0.0569167773529458
YBR025C	-0.673911330901979	-0.504646384	-0.343759713226472
YBR026C		0.642195004	-1.13746126749744
YBR027C		-0.685493155	0.262235685096462
YBR028C		-0.676153106	-0.300960000150641
YBR029C	-0.32211969153267	-2.429334753	-0.0448119799102106
YBR030W	-0.306007787434303	-0.67283954	0.647315806040388
YBR031W	-0.60146053580155	3.710538591	5.06873911981633
YBR032W	-0.674074819841252	0.312196639	0.474751267090299
YBR033W	-1.08121653397887	-0.804628984	-0.146984042128547
YBR034C	1.15839143826128	-0.620777988	-5.92486158374279
YBR035C		-0.546235248	0.184466827389913
YBR036C	-0.190957912892582	-0.411980137	0.377111904848053
YBR037C		-3.238163566	-4.75804767852807
YBR038W		-0.997586027	
YBR039W	-0.514920446497962	-0.632098519	0.346354509499819
YBR040W	-0.872946094466582		0.190912236524784
YBR041W	-1.57887740178539	-0.26177378	-0.0205149103260818
YBR042C	-0.813554046966285	-0.713386686	-0.880407839489888
YBR043C	-0.486247151529602	-0.38531618	-0.196299091447351
YBR044C	-0.803628339954566	-0.24551354	0.0666794492984626
YBR045C	-0.339841565330639	-0.145619469	-0.579720235903189
YBR046C	-0.456101079260464	-0.661866671	-0.1357029558765
YBR047W		0.043222489	-0.0549100555157504
YBR048W	0.687340638175363	-0.351395474	-0.0781271291817327
YBR049C	-0.797340847496996	-0.991499889	0.980233774858834
YBR050C		0.082995599	0.816735042168871
YBR051W		-0.542732253	-3.66292275710297
YBR052C		0.071699924	
YBR053C	-0.716661289600929	-0.694727829	0.338637757031852
YBR054W	-0.840858070813583	-0.714079879	0.513633402189045
YBR055C		-0.813047734	-0.149670325758427
YBR056W	-0.0499766929542694		-0.549151445204237
YBR057C	-0.433237892390664		1.87152751566804
YBR058C	-0.625545855857883	-0.775224998	-0.468667176716011
YBR059C		-0.25215625	0.0324637333798986
YBR060C		1.810249493	
YBR061C			0.739856212147901
YBR062C	-0.62550813757766	-0.837176289	0.367461734606623
YBR063C	-0.68170296735755	-0.761728881	-0.605213583933166
YBR064W	-0.645231050671565	0.507649281	5.03960226907592
YBR065C		-0.062532059	-0.78131745779477
YBR066C	-0.706568870839269	-0.727560417	-0.280437284586283
YBR067C		-0.408584942	0.103735554883788
YBR068C	-0.799217249694611	-0.609343763	-0.137461267953156
YBR069C	-0.450544467827379	-0.756099232	0.172266372527793
YBR070C	-0.809390555421345	-0.477689316	-0.22436346917226
YBR071W		-0.077184836	-3.65203444089217
YBR072W	-0.938444411522822	-0.587539393	1.06221107711811
YBR073W	-0.493496606626697	-0.949939426	0.0461386704202195
YBR074W		1.8276449586666665	
YBR076W	-1.10651551258993	-0.538599383	-0.0684196239404696
YBR077C	-0.164924801264423	-0.422699046	0.934818974816005
YBR078W		-1.244400334	1.18446682738991
YBR079C			0.490145570664379
YBR080C		-0.704377752	-1.04999842681207
YBR081C	-0.977294361226214	-0.357804996	0.225108811126806
YBR082C		-0.708492084	-1.04162956307294
YBR083W		0.587162044	1.22009073709398
YBR084C-A	-0.688960566729465	-0.301366775	0.0374644144373599
YBR084W	-0.862219741776031	-0.667885585	-0.303542740653247
YBR085W	-1.09324414715116	-0.884468856	1.12210094577413
YBR086C		-0.679733091	0.0324637333798986
YBR087W	0.279331103516686	-0.247109838	-0.434317340895003
YBR088C		-0.595291862	0.0784761306734085
YBR089C-A	-0.787292716677773	-0.656377694	1.03817738449147
YBR089W	0.118723161951646	-0.849658093	0.104530330941168
YBR090C	-1.39851295070952	-0.876995886	-1.63606348386715
YBR091C	-0.489048592370061	-0.78177562	1.06131859623755
YBR092C		-0.925538208	0.325017226325452
YBR093C	-1.0563387556506	-0.674360021	0.075024195133772
YBR094W	-0.311774043492193	-0.741524911	-0.3815125703151
YBR095C	0.706421878716274	0.274055536	0.447501232658742
YBR096W	-1.33703058087393	-0.745129118	0.263932333604699
YBR097W			2.75006400292653
YBR098W	-0.305869065540056	-0.5546202045	4.038491453011372
YBR099C		-0.428217567	-0.0130770504627337
YBR101C		0.642195004	
YBR102C		1.501157861	
YBR103W	1.38982970375106	-0.853676615	0.479922710299759
YBR104W	-0.564568725547155	-0.451741397	-0.174148691186095
