orf	hap alpha | H2S excretion | H2S detection mix [10%] | grape juice (2) | Winter G~Curtin C, 2014
YAL021C	-5.343532007241614
YAL024C	-5.343532007241614
YAL028W	-2.6445030852165132
YAR015W	-5.343532007241614
YAR018C	-2.6445030852165132
YBL007C	-5.343532007241614
YBL027W	-5.343532007241614
YBL058W	-5.343532007241614
YBL072C	-2.6445030852165132
YBL082C	-2.6445030852165132
YBL087C	-5.343532007241614
YBL100C	-5.343532007241614
YBR021W	-5.343532007241614
YBR036C	-2.6445030852165132
YBR047W	-5.343532007241614
YBR074W	-2.6445030852165132
YBR081C	-5.343532007241614
YBR084C-A	-2.6445030852165132
YBR092C	2.7535547588336886
YBR105C	2.7535547588336886
YBR106W	-2.6445030852165132
YBR131W	-5.343532007241614
YBR133C	-5.343532007241614
YBR168W	-2.6445030852165132
YBR172C	-5.343532007241614
YBR181C	-2.6445030852165132
YBR206W	5.452583680858789
YBR264C	-5.343532007241614
YBR266C	-5.343532007241614
YBR285W	-5.343532007241614
YCL007C	-5.343532007241614
YCL048W	-2.6445030852165132
YCR020C-A	-2.6445030852165132
YCR063W	-2.6445030852165132
YCR071C	2.7535547588336886
YCR102C	-5.343532007241614
YDL099W	2.7535547588336886
YDL115C	2.7535547588336886
YDL191W	-5.343532007241614
YDL199C	-5.343532007241614
YDL200C	-5.343532007241614
YDL224C	-5.343532007241614
YDL234C	-5.343532007241614
YDL236W	-5.343532007241614
YDL237W	-5.343532007241614
YDR010C	-2.6445030852165132
YDR031W	-5.343532007241614
YDR079W	5.452583680858789
YDR158W	-5.343532007241614
YDR174W	-5.343532007241614
YDR207C	-2.6445030852165132
YDR245W	-5.343532007241614
YDR266C	-5.343532007241614
YDR315C	-5.343532007241614
YDR382W	-5.343532007241614
YDR408C	-5.343532007241614
YDR417C	-5.343532007241614
YDR438W	-5.343532007241614
YDR441C	-5.343532007241614
YDR484W	-5.343532007241614
YDR490C	-2.6445030852165132
YDR495C	-5.343532007241614
YDR496C	-2.6445030852165132
YDR500C	-2.6445030852165132
YDR507C	-5.343532007241614
YDR533C	-5.343532007241614
YEL027W	-5.343532007241614
YEL050C	5.452583680858789
YEL051W	-5.343532007241614
YER090W	-5.343532007241614
YER113C	-2.6445030852165132
YER117W	-2.6445030852165132
YER123W	-2.6445030852165132
YER124C	-2.6445030852165132
YER176W	-2.6445030852165132
YER182W	5.452583680858789
YER186C	-5.343532007241614
YER187W	-2.6445030852165132
YFL018C	-5.343532007241614
YFL034W	-5.343532007241614
YFL050C	-2.6445030852165132
YFR001W	-5.343532007241614
YFR021W	-2.6445030852165132
YFR031C-A	-5.343532007241614
YFR032C-A	-5.343532007241614
YGL003C	-2.6445030852165132
YGL007W	-5.343532007241614
YGL023C	-2.6445030852165132
YGL029W	-5.343532007241614
YGL031C	-2.6445030852165132
YGL038C	-5.343532007241614
YGL045W	5.452583680858789
YGL058W	-2.6445030852165132
YGL076C	-5.343532007241614
YGL078C	-5.343532007241614
YGL095C	-5.343532007241614
YGL124C	-5.343532007241614
YGL127C	5.452583680858789
YGL147C	-5.343532007241614
YGL148W	-5.343532007241614
YGL173C	-5.343532007241614
YGL212W	-5.343532007241614
YGL220W	5.452583680858789
YGL223C	-5.343532007241614
YGL234W	-5.343532007241614
YGL244W	5.452583680858789
YGL246C	-5.343532007241614
YGL250W	-5.343532007241614
YGR027C	-5.343532007241614
YGR061C	-5.343532007241614
YGR102C	-5.343532007241614
YGR105W	-5.343532007241614
YGR123C	-2.6445030852165132
YGR124W	-2.6445030852165132
YGR163W	-2.6445030852165132
YGR165W	5.452583680858789
YGR180C	-2.6445030852165132
YGR192C	-2.6445030852165132
YGR257C	5.452583680858789
YHL027W	2.7535547588336886
YHL029C	-5.343532007241614
YHL033C	-2.6445030852165132
YHR009C	2.7535547588336886
YHR010W	-5.343532007241614
YHR021C	-5.343532007241614
YHR034C	-5.343532007241614
YHR038W	-5.343532007241614
YHR039C-A	-5.343532007241614
YHR060W	-5.343532007241614
YHR066W	-5.343532007241614
YIL002C	-2.6445030852165132
YIL088C	-5.343532007241614
YIL153W	-5.343532007241614
YIL159W	5.452583680858789
YIR026C	-5.343532007241614
YJL115W	-5.343532007241614
YJL124C	-5.343532007241614
YJL133W	5.452583680858789
YJL183W	-5.343532007241614
YJL188C	-5.343532007241614
YJL209W	-5.343532007241614
YJR096W	-5.343532007241614
YJR105W	-5.343532007241614
YKL076C	-2.6445030852165132
YKL080W	-5.343532007241614
YKL109W	2.7535547588336886
YKL118W	-5.343532007241614
YKL119C	-5.343532007241614
YKL134C	5.452583680858789
YKL176C	-5.343532007241614
YKL212W	-5.343532007241614
YKR001C	-5.343532007241614
YKR007W	-5.343532007241614
