ORF	hom | growth (pooled culture) | Sodium pyrithione [8.35 uM] | YPD | Aiyar RS~Steinmetz LM, 2014	het | growth (pooled culture) | Sodium pyrithione [8.35 uM] | YPD | Aiyar RS~Steinmetz LM, 2014
YAL001C	NaN	-1.837
YAL002W	-2.868	NaN
YAL003W	NaN	3.020
YAL004W	0.979	NaN
YAL005C	-1.537	NaN
YAL007C	-1.392	NaN
YAL008W	-0.089	NaN
YAL009W	1.431	NaN
YAL010C	NaN	NaN
YAL011W	-0.695	NaN
YAL012W	-1.562	NaN
YAL013W	1.869	NaN
YAL014C	0.696	NaN
YAL015C	-2.264	NaN
YAL016C-B	-0.398	NaN
YAL016W	NaN	NaN
YAL017W	1.023	NaN
YAL018C	0.804	NaN
YAL019W	-1.721	NaN
YAL020C	0.520	NaN
YAL021C	-0.262	NaN
YAL022C	0.705	NaN
YAL023C	0.964	NaN
YAL024C	-5.178	NaN
YAL025C	NaN	2.037
YAL026C	1.459	NaN
YAL027W	0.993	NaN
YAL028W	-0.518	NaN
YAL029C	-0.159	NaN
YAL030W	-0.467	NaN
YAL031C	-0.907	NaN
YAL032C	NaN	-0.277
YAL033W	NaN	-0.316
YAL034C	NaN	NaN
YAL034C-B	NaN	0.918
YAL034W-A	NaN	2.756
YAL035W	NaN	NaN
YAL036C	-0.231	NaN
YAL037C-A	-0.177	NaN
YAL037W	0.436	NaN
YAL038W	NaN	-1.231
YAL039C	NaN	NaN
YAL040C	-0.041	NaN
YAL041W	NaN	1.964
YAL042C-A	-0.979	NaN
YAL042W	0.371	NaN
YAL043C	NaN	-0.424
YAL044C	0.069	NaN
YAL044W-A	0.062	NaN
YAL045C	0.844	NaN
YAL046C	-2.340	NaN
YAL047C	0.706	NaN
YAL048C	0.747	NaN
YAL049C	-0.947	NaN
YAL051W	4.203	NaN
YAL053W	-2.895	NaN
YAL054C	0.709	NaN
YAL055W	-0.315	NaN
YAL056C-A	2.179	NaN
YAL056W	0.037	NaN
YAL058W	0.939	NaN
YAL059W	0.861	NaN
YAL060W	1.062	NaN
YAL061W	0.216	NaN
YAL062W	1.746	NaN
YAL064C-A	-0.042	NaN
YAL065C	0.166	NaN
YAL066W	-1.094	NaN
YAL067C	0.229	NaN
YAL067W-A	-1.621	NaN
YAL068C	0.063	NaN
YAR002C-A	1.469	NaN
YAR002W	-0.206	NaN
YAR003W	-0.135	NaN
YAR007C	NaN	1.540
YAR008W	NaN	-1.636
YAR014C	0.466	NaN
YAR015W	NaN	NaN
YAR018C	1.250	NaN
YAR019C	NaN	0.774
YAR020C	0.077	NaN
YAR023C	-0.109	NaN
YAR027W	-1.105	NaN
YAR028W	0.423	NaN
YAR029W	-0.511	NaN
YAR030C	-2.772	NaN
YAR031W	0.449	NaN
YAR035C-A	-0.374	NaN
YAR035W	0.152	NaN
YAR037W	0.626	NaN
YAR040C	0.072	NaN
YAR042W	-1.923	NaN
YAR043C	-0.452	NaN
YAR047C	-0.441	NaN
YAR050W	-0.263	NaN
YBL001C	0.470	NaN
YBL002W	-0.203	NaN
YBL003C	0.155	NaN
YBL004W	NaN	-3.164
YBL005W	-1.119	NaN
YBL006C	-0.584	NaN
YBL007C	0.959	NaN
YBL008W	-1.639	NaN
YBL008W-A	0.340	NaN
YBL009W	0.528	NaN
YBL010C	1.179	NaN
YBL011W	0.307	NaN
YBL012C	-0.115	NaN
YBL013W	-1.120	NaN
YBL014C	NaN	-5.155
YBL015W	0.786	NaN
YBL016W	NaN	-2.504
YBL017C	0.320	NaN
YBL018C	NaN	-1.390
YBL019W	0.488	NaN
YBL020W	NaN	-0.807
YBL021C	-1.342	NaN
YBL022C	-1.130	NaN
YBL023C	NaN	1.192
YBL024W	-0.094	NaN
YBL025W	NaN	-2.342
YBL026W	NaN	3.068
YBL027W	1.786	NaN
YBL028C	0.320	NaN
YBL029C-A	0.741	NaN
YBL029W	0.632	NaN
YBL030C	NaN	-1.717
YBL031W	-0.190	NaN
YBL032W	1.725	NaN
YBL033C	NaN	NaN
YBL034C	NaN	-0.661
YBL035C	NaN	-0.961
YBL036C	-0.091	NaN
YBL037W	1.423	NaN
YBL038W	-0.143	NaN
YBL039C	1.738	NaN
YBL039W-B	0.207	NaN
YBL040C	NaN	0.013
YBL041W	NaN	1.705
YBL042C	-0.800	NaN
YBL043W	-0.662	NaN
YBL044W	-0.021	NaN
YBL045C	NaN	NaN
YBL046W	-0.498	NaN
YBL047C	0.086	NaN
YBL048W	1.413	NaN
YBL049W	0.120	NaN
YBL050W	NaN	-0.556
YBL051C	1.809	NaN
YBL052C	-0.472	NaN
YBL053W	0.772	NaN
YBL054W	-0.110	NaN
YBL055C	-0.061	NaN
YBL056W	0.584	NaN
YBL057C	0.650	NaN
YBL058W	NaN	NaN
YBL059W	1.394	NaN
YBL060W	1.078	NaN
YBL061C	0.104	NaN
YBL062W	-1.242	NaN
YBL063W	1.000	NaN
YBL064C	1.682	NaN
YBL065W	-0.211	NaN
YBL066C	0.283	NaN
YBL067C	-0.297	NaN
YBL068W	-0.967	NaN
YBL069W	0.619	NaN
YBL070C	0.941	NaN
YBL071C	-0.721	NaN
YBL071C-B	-0.569	NaN
YBL071W-A	-0.677	NaN
YBL072C	-0.072	NaN
YBL073W	NaN	0.155
YBL074C	NaN	0.065
YBL075C	0.015	NaN
YBL076C	NaN	-0.718
YBL077W	NaN	-1.976
YBL078C	-0.688	NaN
YBL079W	0.055	NaN
YBL080C	-1.673	NaN
YBL081W	0.548	NaN
YBL082C	2.002	NaN
YBL083C	1.230	NaN
YBL084C	NaN	1.187
YBL085W	0.178	NaN
YBL086C	-0.147	NaN
YBL087C	0.469	NaN
YBL088C	-1.173	NaN
YBL089W	-0.631	NaN
YBL090W	0.211	NaN
YBL091C	0.216	NaN
YBL091C-A	0.832	NaN
YBL092W	NaN	1.757
YBL093C	1.526	NaN
YBL094C	-0.515	NaN
YBL095W	0.015	NaN
YBL096C	-0.339	NaN
YBL097W	NaN	0.842
YBL098W	0.413	NaN
YBL099W	-1.980	NaN
YBL100C	NaN	NaN
YBL100W-C	0.645	NaN
YBL101C	NaN	NaN
YBL102W	-0.367	NaN
YBL103C	1.065	NaN
YBL104C	-1.535	NaN
YBL105C	NaN	-6.823
YBL106C	0.392	NaN
YBL107C	-1.514	NaN
YBR001C	0.240	NaN
YBR002C	NaN	-8.015
YBR003W	0.524	NaN
YBR004C	NaN	-0.809
YBR005W	0.488	NaN
YBR006W	-0.740	NaN
YBR007C	-3.015	NaN
YBR008C	1.055	NaN
YBR009C	0.269	NaN
YBR010W	0.245	NaN
YBR011C	NaN	-0.769
YBR012C	-2.183	NaN
YBR013C	0.024	NaN
YBR014C	-0.507	NaN
YBR015C	0.415	NaN
YBR016W	-0.448	NaN
YBR017C	NaN	NaN
YBR018C	1.051	NaN
YBR019C	1.539	NaN
YBR020W	0.191	NaN
YBR021W	-1.196	NaN
YBR022W	-0.566	NaN
YBR023C	-0.272	NaN
YBR024W	1.497	NaN
YBR025C	-0.394	NaN
YBR026C	-1.161	NaN
YBR027C	0.521	NaN
YBR028C	0.448	NaN
YBR029C	NaN	1.933
YBR030W	1.281	NaN
YBR031W	0.336	NaN
YBR032W	-0.756	NaN
YBR033W	0.428	NaN
YBR034C	0.457	NaN
YBR035C	-1.504	NaN
YBR036C	1.921	NaN
YBR037C	0.168	NaN
YBR038W	NaN	-0.613
YBR039W	-0.403	NaN
YBR040W	-0.432	NaN
YBR041W	0.647	NaN
YBR042C	2.246	NaN
YBR043C	0.168	NaN
YBR044C	-0.334	NaN
YBR045C	-1.012	NaN
YBR046C	-0.637	NaN
YBR047W	-0.725	NaN
YBR048W	0.633	NaN
YBR049C	NaN	0.403
YBR050C	0.523	NaN
YBR051W	0.108	NaN
YBR052C	0.824	NaN
YBR053C	-0.260	NaN
YBR054W	-0.668	NaN
YBR055C	NaN	-0.663
YBR056W	0.373	NaN
YBR056W-A	-0.120	NaN
YBR057C	-0.501	NaN
YBR058C	-0.550	NaN
YBR058C-A	-1.075	NaN
