ORF	hom | growth (relative abundance in pooled culture) | decatransin [1.8 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | decatransin [1.8 uM] | Junne T~Hoepfner D, 2015	hom | growth (relative abundance in pooled culture) | heptadepsipeptide [6.8 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | heptadepsipeptide [6.8 uM] | Junne T~Hoepfner D, 2015	hom | growth (relative abundance in pooled culture) | HUN-7293 [200 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | HUN-7293 [200 uM] | Junne T~Hoepfner D, 2015
YAL001C	-2.275	0.076	-0.078	0.027	-2.199	-0.575
YAL002W	-3.037	0.006	-0.076	0.053	0.611	-1.486
YAL003W	NaN	0.286	NaN	0.081	NaN	-0.483
YAL004W	-0.188	0.222	-0.015	-0.370	-1.002	-1.215
YAL005C	-0.020	0.270	0.310	0.171	-1.279	0.224
YAL007C	-0.715	-0.207	1.624	0.109	0.134	-0.446
YAL008W	0.029	0.204	-0.124	-0.155	0.440	-0.400
YAL009W	-3.043	0.059	-4.059	-0.151	-1.205	-1.427
YAL010C	-1.230	0.213	NaN	0.653	-1.076	-0.675
YAL011W	-0.040	-0.355	0.138	0.046	-0.052	-0.137
YAL012W	-0.026	-0.131	NaN	0.474	NaN	-0.262
YAL013W	0.056	0.252	-0.047	1.163	-0.048	-0.028
YAL014C	0.114	-0.219	-0.023	-0.080	0.040	-0.611
YAL015C	0.012	0.290	-2.289	1.010	1.132	-1.815
YAL016W	NaN	0.452	NaN	-0.100	NaN	-1.839
YAL017W	-0.137	0.131	-0.496	-0.067	0.168	-0.196
YAL018C	0.125	0.076	-0.013	-0.367	0.334	-0.280
YAL019W	0.220	0.316	1.441	0.323	0.070	-0.645
YAL020C	-0.024	-0.906	0.620	-0.077	-0.191	-0.525
YAL021C	-0.289	0.900	-0.214	-0.063	0.080	-0.812
YAL022C	-0.377	0.336	0.222	0.479	-2.767	-0.539
YAL023C	-0.010	0.045	-0.748	-1.090	0.569	-0.100
YAL024C	-0.010	0.067	-0.048	-0.003	-0.704	-0.700
YAL025C	NaN	0.264	NaN	0.079	NaN	0.015
YAL026C	-2.156	-0.037	-1.950	-0.846	0.627	-0.039
YAL027W	0.553	-0.308	-0.012	0.138	-0.096	-0.627
YAL028W	-0.018	-0.063	0.373	1.037	-0.729	-0.157
YAL029C	-0.142	0.980	-0.020	-0.278	1.674	-0.052
YAL030W	-0.218	0.053	-0.100	0.116	0.733	-0.900
YAL031C	-1.404	-0.635	0.094	-0.024	0.218	-1.390
YAL032C	NaN	0.014	NaN	0.027	NaN	-0.073
YAL033W	NaN	0.179	NaN	0.037	NaN	-3.109
YAL034C	0.673	0.143	-0.033	0.019	0.196	-0.500
YAL034W-A	NaN	-2.276	NaN	0.059	NaN	-0.168
YAL035C-A	NaN	-0.039	NaN	-1.738	NaN	-0.178
YAL035W	0.041	0.089	0.742	0.016	0.198	-0.031
YAL036C	0.055	0.236	0.010	0.170	-0.107	-0.223
YAL037W	-0.005	0.153	0.464	0.178	0.185	-1.121
YAL038W	NaN	-0.040	NaN	0.035	NaN	-0.448
YAL039C	0.265	0.537	0.315	0.033	1.571	-0.640
YAL040C	0.193	-0.056	-0.999	0.014	0.209	-2.393
YAL041W	NaN	-0.042	NaN	-0.688	NaN	-0.194
YAL042W	-0.181	0.013	0.083	0.005	-0.035	-0.100
YAL043C	NaN	-0.166	NaN	0.007	NaN	-1.290
YAL043C-A	-0.144	0.936	0.827	-0.029	-1.121	-0.204
YAL044C	0.091	0.356	0.191	0.228	0.604	-0.350
YAL045C	-0.052	0.715	-0.100	0.180	0.675	-0.012
YAL046C	0.098	0.100	0.185	0.058	1.538	-0.554
YAL047C	0.062	0.131	-0.127	1.901	-1.088	-0.212
YAL048C	0.772	0.433	0.339	-0.042	2.030	-0.267
YAL049C	0.229	-0.044	-0.003	-0.051	0.925	-0.205
YAL051W	0.020	0.883	-0.122	-0.245	-0.106	-0.709
YAL053W	-0.014	0.372	0.094	-0.033	0.031	-0.574
YAL054C	0.356	0.202	0.126	-0.068	-0.172	-0.954
YAL055W	-0.235	0.202	0.332	0.158	-1.616	-0.465
YAL056W	-0.729	0.190	0.011	-0.519	0.010	-0.134
YAL058C-A	-2.534	-0.272	-2.820	0.109	-0.144	-0.459
YAL058W	-2.497	0.057	-2.965	-0.007	-1.327	-0.778
YAL059W	0.538	-0.047	0.907	0.601	0.707	-0.544
YAL060W	-0.089	0.125	-0.209	-0.044	-0.026	-0.157
YAL061W	-0.317	-0.106	-0.284	0.582	-0.010	-0.058
YAL062W	0.082	-0.259	0.389	0.059	-1.591	-0.319
YAL064C-A	-0.088	-0.858	0.494	0.109	0.163	-0.115
YAL065C	0.007	-0.373	0.404	0.488	-0.628	-1.377
YAL066W	0.256	0.092	0.523	2.104	-0.447	-0.252
YAL067C	0.274	0.008	-1.570	0.125	-0.084	-0.075
YAL068C	-0.010	-0.943	-0.054	-0.088	0.087	-0.110
YAR002C-A	1.260	-0.072	2.150	0.240	-0.691	-1.552
YAR002W	0.054	0.023	-0.081	0.232	0.004	-0.049
YAR003W	-0.640	0.111	-0.021	0.020	-0.004	-0.347
YAR007C	NaN	0.306	NaN	0.040	NaN	-1.655
YAR008W	NaN	0.281	NaN	0.223	NaN	-0.071
YAR014C	-0.259	-0.044	0.596	-0.728	-0.575	-0.840
YAR015W	NaN	-0.060	NaN	0.160	NaN	-0.389
YAR018C	-1.784	-0.069	-1.650	-0.002	-0.078	-0.754
YAR019C	NaN	0.474	NaN	-0.023	NaN	-0.514
YAR020C	-0.041	0.710	0.345	1.730	-0.983	-0.109
YAR023C	-1.039	0.699	0.726	0.637	-0.239	-0.939
YAR027W	0.074	-0.119	0.523	0.070	-2.392	-1.139
YAR028W	-0.406	0.231	-0.117	-0.070	0.194	-0.155
YAR029W	-0.007	0.121	-0.276	-0.926	-0.181	-0.392
YAR030C	0.608	0.246	-0.018	-0.075	0.077	-0.301
YAR031W	0.124	0.299	0.438	0.165	-0.096	-1.825
YAR035W	-0.612	0.216	0.468	0.024	0.065	-0.192
YAR040C	0.201	0.670	0.009	0.028	-0.115	-2.067
YAR042W	-0.440	-1.327	-0.072	0.055	-0.013	-1.100
YAR043C	-0.044	0.421	0.200	1.182	-0.522	-0.274
YAR044W	-0.293	-0.107	-0.042	0.054	0.184	-0.384
YAR047C	0.016	0.176	-0.014	-0.278	0.674	-0.245
YAR050W	1.470	0.100	1.350	0.070	-0.966	-2.655
YBL001C	0.163	-0.625	0.250	0.075	-0.001	-0.004
YBL002W	-0.264	1.221	-0.685	-0.322	-0.159	-0.014
YBL003C	0.121	NaN	0.009	NaN	0.033	NaN
