orf	hom | growth (relative abundance in pooled culture) | Nannocystin A [75 uM] | Krastel P~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | Nannocystin A [75 uM] | Krastel P~Hoepfner D, 2015
YAL001C	-4.293422379755495	0.6932140178732865
YAL002W	-22.288536922964	-0.468250670814302
YAL003W		-16.032708564416602
YAL004W	-0.34202052746106404	1.1525343742718392
YAL005C	-0.05064869062420305	-16.4476753679987
YAL007C	-0.021836882540259	0.46519950015291844
YAL008W	0.3064913649031795	-0.32711858218449774
YAL009W	-4.909303632649505	-1.067344705556978
YAL010C		-0.6427850377928586
YAL011W	-3.96723142283023	1.1444883588046775
YAL012W		-0.1111450435300599
YAL013W	-2.737246227793814	1.212854534141733
YAL014C	-1.846109899607655	-1.368865981313095
YAL015C	-0.1865407885043482	1.764848309320435
YAL016W		0.17487611963114352
YAL017W	-0.0719926971212361	0.27420011610859246
YAL018C	0.04387310578345377	-0.023894726353136497
YAL019W	0.09070160290141656	0.8059150858107518
YAL020C	1.359353675410205	0.6414900758845445
YAL021C	-10.2293852224455	2.72577110765233
YAL022C	-0.0486229410164733	0.4120058801561374
YAL023C	-15.911845741062901	-2.984075710652465
YAL024C	-0.5402023185735795	-0.516128886586389
YAL025C		1.5839376265841714
YAL026C	-9.355971726859941	-0.02204431287262984
YAL027W	-0.1522742476341373	0.6160582815018
YAL028W	-0.2924772241695699	-2.215716979540765
YAL029C	1.446839351004467	1.97672384217729
YAL030W	-0.044666919677655195	-0.02192483949195545
YAL031C	0.0661312351422607	0.07028315138302435
YAL032C		-0.8653858466409294
YAL033W		1.8546153895881252
YAL034C	0.6016430968487475	2.21862705007392
YAL034C-B		-2.031535152634495
YAL034W-A		-0.47389378739938204
YAL035W	2.91322018811669	-9.529182494115645
YAL036C	-0.25470667050927953	0.01828730982869753
YAL037W	-0.6091187601062308	0.36184309558883637
YAL038W		1.624596675051137
YAL039C	1.25744912601533	0.6391848230392423
YAL040C	-2.814648366849335	-0.19928809944151452
YAL041W		1.96917927985608
YAL042C-A	-1.0557852554508684	0.2339728983353425
YAL042W	-1.042118373874425	-1.3613009387350226
YAL043C		0.1968482963375025
YAL044C	1.66698996500312	-2.1795757658006987
YAL045C	0.4392853577354335	3.151685402374775
YAL046C	0.33068952022262615	0.0251945309264651
YAL047C	-2.049830359663868	0.9687281564154211
YAL048C	0.2588457522304279	0.20539515537722802
YAL049C	1.3756073518196201	0.094594753494945
YAL051W	0.4137568397744636	0.4850613736526165
YAL053W	-2.49163586464911	-0.04064414876741773
YAL054C	0.40371614169474374	-0.18675872990306047
YAL055W	0.5962516836147372	-0.013670880909098296
YAL056C-A	-4.977004534119965	0.6684976293182374
YAL056W	0.31700979699802384	1.102812424040215
YAL058W	-5.0776163670667	0.36679312001086495
YAL059W	0.4534595085859417	0.00447664691325625
YAL060W	0.4355452686991785	0.15950529550618175
YAL061W	0.044444928761983596	0.441164042071722
YAL062W	0.23033584798599452	0.151607750604873
YAL064C-A	0.2191646186339858	0.09934815095633001
YAL065C	0.29550800932963656	0.5755014696541405
YAL066W	1.0431428553706366	1.4200515144354766
YAL067C	0.3043046551521254	1.9047065486964
YAL068C	0.60270658012933	0.8094090677119148
YAR002C-A	-0.06327584938871189	-0.0292678969281126
YAR002W	-1.0903317751718173	-16.00605838100795
YAR003W	-0.049175855595679156	0.023750159218898226
YAR007C		-0.007429184546936699
YAR008W		2.5499749266530554
YAR014C	-5.86944051263877	-0.2533750015695445
YAR015W		-1.271516857396043
YAR018C	-4.829258809844205	-7.033184620284825
YAR019C		0.3308207483411603
YAR020C	-0.26372550132784595	-0.6684356054670683
YAR023C	-0.00979284877792765	0.5464092517185456
YAR027W	-0.39019912177621496	0.5132474541315409
YAR028W	0.7949486960370069	-0.056215005537569196
YAR029W	0.6253102567426241	0.049353840249010794
YAR030C	0.1240096145368855	0.9959028524618525
YAR031W	-0.7944916728201404	-0.12035056913218231
YAR035W	0.08753634241304901	0.0926813158021322
YAR042W	-2.2743597284578976	0.10077116270490272
YAR047C	0.18807759861906398	-12.886264000988174
YAR050W	0.4176749809650187	0.0693629984148966
YBL001C	-0.454441191361654	7.55323659890809
YBL002W	-0.475499529539142	7.230988046985805
YBL003C	0.17737547017383792	
YBL004W		0.8160576867271395
YBL005W	-0.016518241340528563	
YBL006C	0.7374254286381905	0.621305813478801
YBL007C	-8.08377187093187	-0.6258972387125961
YBL008W	0.829882855909069	0.08183363011448119
YBL009W	-0.09655003993852429	-0.16491105925391747
YBL010C	-1.55440741689448	0.0031792959283920602
YBL011W	0.9048659147804936	11.4410584551421
YBL012C	0.4203819428608057	0.999956577413765
YBL013W	0.7412859918251336	2.145052902881006
YBL015W	-0.010795722494381986	-0.6099200767999997
YBL016W		0.05075082837577644
YBL017C	-1.4066042995522898	-0.07944941974377309
YBL018C		0.38073546980933026
YBL019W	0.41913234680559097	-0.10258249036690062
YBL020W		-0.007640047469357134
YBL022C	-4.016657553487845	
YBL023C		-9.994015621697784
YBL024W	-3.1435424610897647	0.014129036145601825
YBL025W		0.0220808880987073
YBL026W		2.98782949099662
YBL027W	1.70880090379717	1.7852902466155345
YBL028C	-0.12051421275457719	0.36209089966939856
YBL029W	0.1310526230522431	0.3474740386388579
YBL030C		1.90191960843386
YBL031W	-0.4428637779037986	0.113174278065343
YBL032W	-2.669258295154675	-2.002851031807565
YBL033C		0.4516522063354385
YBL034C		0.01230940313100678
YBL035C		0.0033187424434073
YBL036C	-0.1944716179018985	0.08874343413452206
YBL037W	-2.459560610889805	-0.019909905044329778
YBL038W	6.69512950214215	0.6059185819328058
YBL039C	1.1211396753051766	0.008541509370407251
YBL040C		0.8323397764653415
YBL041W		-0.0073658924010035
YBL042C	1.494599204964703	0.8265568722346905
YBL043W	-0.03493152526752715	0.0809138201054487
YBL044W	-0.5792899562906411	1.9841435390623319
YBL045C	1.445693136769905	2.27924772052182
YBL046W	-2.704299806887795	-13.67486913001175
YBL047C	-13.91159350223465	2.62106128796002
YBL048W	-0.0416666530858609	0.24179168181959448
YBL049W	-0.0011615176153825899	0.4684962979259475
YBL050W		2.1420586723368453
YBL051C	-0.1438158654419751	0.004150771467422501
YBL052C	0.03682427832121131	-0.20398754463323948
YBL053W	0.3066331379099775	0.09165215847441305
YBL054W	-0.1576333023026525	-0.362037064455375
YBL055C	0.07778429897901147	1.0506405540101507
YBL056W	-0.35472032048431157	0.42919580234188176
YBL057C	-0.0935024007705933	0.03478864022260325
YBL058W	-0.729630521623236	-0.028467204948147057
YBL059W	0.5304773908856145	1.020197679624538
YBL060W	-0.05239178712980465	0.056803395410028504
YBL061C	-1.3227335604573351	0.144947086089243
YBL062W	-1.9810135684763002	-0.554944310764098
YBL063W	0.4664586424120885	0.2508004459481398
YBL064C	-0.01571831048834825	0.45714866219385547
YBL065W	-0.8316423155895135	-15.48711208735465
YBL066C	-0.12333325370987039	0.062677615971244
YBL067C	0.488782606983133	-13.324023095093104
YBL068W	-0.06980992565621015	0.10302771533499255
YBL069W	-0.1782721797409115	
YBL070C	-0.4719413529742487	0.3621511332689613
YBL071C	3.224029821892425	0.15506855322161078
YBL072C	-0.2827480951046507	2.28729248800291
YBL073W		0.3447703132210788
YBL074C		0.0954926967047762
YBL075C	0.2561854914010661	
YBL076C		0.07444866450233717
YBL077W		-0.46178607149283624
YBL078C	-0.00236566980530715	0.3529337833469375
YBL079W	-1.058202439461948	-1.841559622824135
YBL080C	1.4464648635319102	0.3731083824431594
YBL081W	-1.20326401000867	-0.3873149182734335
