orf	hap a | vacuolar morphology | FM 4-64 dye [1 uM], tunicamycin [1 ug/ml] | Stauffer B~Powers T, 2015
YAL002W	-3.8318001393199395
YAL021C	-3.8318001393199395
YAL056W	-3.8318001393199395
YAL061W	-3.8318001393199395
YAR030C	-3.8318001393199395
YBL008W	-3.8318001393199395
YBL016W	-3.8318001393199395
YBL019W	-3.8318001393199395
YBL045C	-3.8318001393199395
YBL078C	-3.8318001393199395
YBL081W	-3.8318001393199395
YBL088C	-3.8318001393199395
YBL096C	-3.8318001393199395
YBR071W	-3.8318001393199395
YBR077C	-3.8318001393199395
YBR081C	-3.8318001393199395
YBR084C-A	-3.8318001393199395
YBR089C-A	-3.8318001393199395
YBR097W	-3.8318001393199395
YBR107C	-3.8318001393199395
YBR114W	-3.8318001393199395
YBR127C	-3.8318001393199395
YBR133C	-3.8318001393199395
YBR149W	-3.8318001393199395
YBR156C	-3.8318001393199395
YBR174C	-3.8318001393199395
YBR175W	-3.8318001393199395
YBR255W	-3.8318001393199395
YBR288C	-3.8318001393199395
YBR291C	-3.8318001393199395
YCR009C	-3.8318001393199395
YCR047C	-3.8318001393199395
YCR076C	-3.8318001393199395
YCR081W	-3.8318001393199395
YCR084C	-3.8318001393199395
YCR102W-A	-3.8318001393199395
YDL075W	-3.8318001393199395
YDL090C	-3.8318001393199395
YDL121C	-3.8318001393199395
YDL128W	-3.8318001393199395
YDL162C	-3.8318001393199395
YDL168W	-3.8318001393199395
YDL174C	-3.8318001393199395
YDL218W	-3.8318001393199395
YDL231C	-3.8318001393199395
YDR009W	-3.8318001393199395
YDR142C	-3.8318001393199395
YDR195W	-3.8318001393199395
YDR225W	-3.8318001393199395
YDR241W	-3.8318001393199395
YDR247W	-3.8318001393199395
YDR281C	-3.8318001393199395
YDR304C	-3.8318001393199395
YDR317W	-3.8318001393199395
YDR323C	-3.8318001393199395
YDR329C	-3.8318001393199395
YDR333C	-3.8318001393199395
YDR336W	-3.8318001393199395
YDR372C	-3.8318001393199395
YDR388W	-3.8318001393199395
YDR426C	-3.8318001393199395
YDR442W	-3.8318001393199395
YDR462W	-3.8318001393199395
YDR483W	-3.8318001393199395
YDR495C	-3.8318001393199395
YDR513W	-3.8318001393199395
YDR540C	-3.8318001393199395
YEL011W	-3.8318001393199395
YEL027W	-3.8318001393199395
YEL028W	-3.8318001393199395
YEL051W	-3.8318001393199395
YEL056W	-3.8318001393199395
YEL063C	-3.8318001393199395
YEL071W	-3.8318001393199395
YEL072W	-3.8318001393199395
YER174C	-3.8318001393199395
YER188W	-3.8318001393199395
YFR006W	-3.8318001393199395
YFR018C	-3.8318001393199395
YFR019W	-3.8318001393199395
YFR020W	-3.8318001393199395
YFR046C	-3.8318001393199395
YFR056C	-3.8318001393199395
YGL005C	-3.8318001393199395
YGL021W	-3.8318001393199395
YGL045W	-3.8318001393199395
YGL071W	-3.8318001393199395
YGL095C	-3.8318001393199395
YGL105W	-3.8318001393199395
YGL197W	-3.8318001393199395
YGL209W	-3.8318001393199395
YGL217C	-3.8318001393199395
YGL235W	-3.8318001393199395
YGL249W	-3.8318001393199395
YGR010W	-3.8318001393199395
YGR018C	-3.8318001393199395
YGR020C	-3.8318001393199395
YGR023W	-3.8318001393199395
YGR036C	-3.8318001393199395
YGR089W	-3.8318001393199395
YGR102C	-3.8318001393199395
YGR105W	-3.8318001393199395
YGR122W	-3.8318001393199395
YGR155W	-3.8318001393199395
YGR225W	-3.8318001393199395
YGR227W	-3.8318001393199395
YGR238C	-3.8318001393199395
YGR250C	-3.8318001393199395
YGR261C	-3.8318001393199395
YGR286C	-3.8318001393199395
YHL017W	-3.8318001393199395
YHR026W	-3.8318001393199395
YHR039C-A	-3.8318001393199395
YHR060W	-3.8318001393199395
YHR117W	-3.8318001393199395
YHR130C	-3.8318001393199395
YHR150W	-3.8318001393199395
YHR161C	-3.8318001393199395
YHR181W	-3.8318001393199395
YHR182W	-3.8318001393199395
YHR184W	-3.8318001393199395
YHR193C	-3.8318001393199395
YIL005W	-3.8318001393199395
YIL009W	-3.8318001393199395
YIL028W	-3.8318001393199395
YIL040W	-3.8318001393199395
