ORF	growth;nicotinamide, 120 mM
YBR200W	0.593
YAR015W	0.583
YBR189W	0.572
YBL027W	0.609
YBL095W	0.577
YBL081W	0.578
YAR050W	0.566
YAL059W	0.553
YAL013W	0.550
YBL091C-A	0.543
YBR150C	0.543
YBR131W	0.541
YAL026C	0.555
YAL011W	0.554
YBR042C	0.550
YBL072C	0.547
YBR164C	0.548
YBR171W	0.545
YBR215W	0.541
YBR187W	0.541
YBR176W	0.535
YBR036C	0.531
YBR030W	0.528
YBR046C	0.529
YBR195C	0.530
YAL002W	0.530
YBR073W	0.529
YBR044C	0.524
YBL082C	0.525
YBL017C	0.523
YBR026C	0.521
YBR023C	0.522
YBL089W	0.521
YBR129C	0.518
YAL010C	0.520
YBR182C	0.522
YBR168W	0.522
YAR040C	0.522
YBL008W	0.524
YBL087C	0.524
YBL053W	0.524
YBL036C	0.524
YBL094C	0.523
YBR068C	0.521
YBL079W	0.520
YBR214W	0.519
YBL029W	0.517
YBL057C	0.517
YAR029W	0.517
YBR009C	0.517
YBL083C	0.517
YAR042W	0.516
YBL067C	0.516
YAL018C	0.515
YBL060W	0.515
YBL066C	0.515
YBR006W	0.515
YAL068C	0.514
YBR111C	0.514
YBR045C	0.514
YBR219C	0.514
YBR048W	0.512
YBR072W	0.511
YAR030C	0.509
YBR157C	0.509
YBR033W	0.509
YBR205W	0.510
YBR024W	0.510
YBR027C	0.510
YBR059C	0.509
YBR216C	0.510
YBR034C	0.509
YBR094W	0.509
YBL051C	0.509
YAR044W	0.509
YAL040C	0.509
YBR010W	0.510
YAR018C	0.508
YBR022W	0.508
YBR084W	0.508
YBR043C	0.508
YBR100W	0.508
YBR126C	0.507
YBR077C	0.507
YBR016W	0.506
YBR207W	0.506
YBL056W	0.506
YBL042C	0.505
YBL007C	0.505
YBL070C	0.505
YBR220C	0.505
YAL019W	0.505
YBR090C	0.505
YAL036C	0.506
YAL022C	0.507
YBL031W	0.507
YBR103W	0.508
YBR161W	0.507
YBL048W	0.507
YBR082C	0.517
YBR056W	0.507
YAL045C	0.506
YAL055W	0.506
YBL009W	0.506
YAL023C	0.506
YBR098W	0.506
YOR202W	0.494
YBL062W	0.506
YBL101C	0.506
YBR144C	0.506
YAL066W	0.506
YBR210W	0.506
YAL049C	0.505
YAL008W	0.504
YBR058C	0.504
YBR099C	0.504
YBR001C	0.504
YBL016W	0.503
YAL028W	0.503
YBR084C-A	0.504
YBR208C	0.504
YBR130C	0.505
YAL017W	0.505
YBR206W	0.504
YBR041W	0.505
YAL007C	0.505
YBL049W	0.505
YBR137W	0.505
YAL065C	0.505
YBR114W	0.505
YBR170C	0.505
YBR012C	0.504
YBL088C	0.504
YBR066C	0.504
YBL102W	0.505
YBR007C	0.504
YAL060W	0.505
YBR104W	0.504
YAL043C-A	0.504
YAR037W	0.504
YBR067C	0.504
YBR116C	0.504
YBR201W	0.504
YBL010C	0.504
YBL046W	0.504
YBR177C	0.504
YAR002C-A	0.504
YBR158W	0.504
YBL011W	0.504
YBR074W	0.504
YBR162C	0.505
YBR019C	0.505
YBL085W	0.505
YBR181C	0.505
YBL098W	0.505
YBL065W	0.505
YBR013C	0.505
YBR221C	0.505
YBL047C	0.505
YBR119W	0.505
YBR018C	0.505
YBL061C	0.505
YBL078C	0.505
YBL103C	0.535
YBR178W	0.505
YAL020C	0.505
YAR023C	0.505
YAL042W	0.505
YBR188C	0.504
YBR185C	0.504
YBR065C	0.504
YAL062W	0.503
YAL030W	0.502
YBL032W	0.502
YBR047W	0.502
YBR222C	0.502
YBR223C	0.502
YAL064C-A	0.502
YBR075W	0.552
YBR180W	0.502
YBR146W	0.501
YBR186W	0.501
YAR002W	0.501
YBR174C	0.501
YAL037W	0.501
YBR050C	0.502
YBR101C	0.502
YBR052C	0.502
YAR014C	0.501
YBR071W	0.501
YAL034C	0.502
YBL068W	0.502
YBR062C	0.502
YBR057C	0.502
YBR031W	0.502
YAL029C	0.502
YAL054C	0.502
YAR035W	0.502
YBR139W	0.501
YBR051W	0.501
YBL028C	0.501
YBR095C	0.484
YBR083W	0.502
YBR134W	0.502
YBR032W	0.502
YBR212W	0.503
YBL013W	0.503
YBR165W	0.508
YBR015C	0.503
YBR169C	0.503
YBR122C	0.505
YAL053W	0.505
YBL086C	0.505
YBL043W	0.505
YBR064W	0.505
YBR156C	0.505
YBL063W	0.505
YBR113W	0.504
YBL019W	0.504
YBR194W	0.504
YBL055C	0.504
YBR159W	0.503
YAL027W	0.502
YBR054W	0.502
YBR209W	0.502
YBR138C	0.502
YBR204C	0.502
YBL069W	0.501
YAR031W	0.501
YBR053C	0.501
YBR162W-A	0.500
YBR172C	0.500
YAL031C	0.501
YBR175W	0.502
YBR148W	0.502
YAL005C	0.502
YAR043C	0.502
YBR028C	0.502
YBL015W	0.501
YBR069C	0.502
YBL064C	0.501
YBL024W	0.501
YBL106C	0.501
YBR166C	0.501
YBR145W	0.501
YBR063C	0.502
YBR005W	0.502
YBR121C	0.503
YAL058C-A	0.502
YBL054W	0.502
YBR115C	0.612
YBL059W	0.502
YAL004W	0.502
YBL091C	0.503
YBR020W	0.542
YBL075C	0.503
YBR151W	0.503
YBR199W	0.504
YBR203W	0.504
YBL104C	0.505
YBR128C	0.505
YBR076W	0.506
YBL107C	0.506
YBL100C	0.507
YBL037W	0.507
YAL051W	0.507
YBR040W	0.507
YBL071C	0.507
YBL021C	0.507
YBL052C	0.507
YAR027W	0.506
YBR061C	0.456
YBR218C	0.507
YAL061W	0.507
YBR183W	0.508
YBR217W	0.508
YBR108W	0.508
YAL015C	0.509
YBR092C	0.510
YBL096C	0.510
YBR197C	0.509
YBR141C	0.510
YAL014C	0.509
YBR147W	0.509
YBR107C	0.507
YAR047C	0.510
YAR003W	0.510
YBR149W	0.509
YBL005W	0.510
YBL039C	0.512
YAL056W	0.512
YBR008C	0.513
YAL058W	0.513
YBR090C-A	0.510
YBL003C	0.515
YBL025W	0.517
YBR025C	0.519
YBR014C	0.518
YBR125C	0.511
YAR020C	0.519
YBR105C	0.515
YBR132C	0.517
YBR213W	0.523
YBL001C	0.524
YAL067C	0.529
YBR093C	0.562
YBR106W	0.534
YAR028W	0.543
YBR184W	0.582
YCR071C	6.536
YCR034W	3.795
YCR009C	1.957
YCL060C	1.717
YBR289W	1.603
YCR044C	1.553
YBR231C	1.400
YDL090C	1.191
YCL061C	1.071
YDL013W	1.055
YCL016C	1.022
YBR277C	0.994
YBR278W	0.965
YDL006W	0.923
YCR077C	0.901
YBR245C	0.845
YBR276C	0.813
YCR102W-A	0.794
YCL036W	0.787
YCL035C	0.771
YDL042C	0.768
YBR281C	0.751
YDL133W	0.745
YBR242W	0.738
YCR095C	0.731
YDL110C	0.728
YBR267W	0.720
YCR045C	0.715
YCR036W	0.711
YBR284W	0.706
YBR297W	0.702
YDL127W	0.702
YCL011C	0.701
YBR295W	0.690
YBR291C	0.688
YBR226C	0.682
YDL001W	0.674
YCR019W	0.670
YBR283C	0.670
YDL106C	0.664
YBR246W	0.662
YCL050C	0.658
YBR269C	0.655
YBR287W	0.650
YCL010C	0.647
YDL133C-A	0.646
YCL063W	0.645
YDL162C	0.643
YCR085W	0.637
YDL050C	0.633
YCL076W	0.630
YCR068W	0.629
YDL077C	0.628
YDL183C	0.625
YCL051W	0.625
YCR008W	0.624
YDL002C	0.619
YCR020C-A	0.618
YDL175C	0.615
YCR026C	0.614
YDL146W	0.611
YCR033W	0.607
YDL118W	0.606
YCR087C-A	0.605
YDL023C	0.604
YDL012C	0.602
YDL041W	0.602
YDL054C	0.596
YDL134C	0.592
YDL172C	0.591
YBR298C	0.590
YDL038C	0.589
YCL046W	0.587
YDL160C	0.584
YCL026C	0.583
YDL114W	0.580
YDL035C	0.578
YBR227C	0.577
YCR006C	0.575
YDL157C	0.574
YDL176W	0.573
YCL014W	0.572
YBR292C	0.570
YCL037C	0.569
YCR081W	0.567
YCL001W	0.567
YCR091W	0.565
YDL033C	0.563
YCR089W	0.561
YBR275C	0.561
YCR037C	0.559
YCR010C	0.558
YCR053W	0.557
YDL182W	0.555
YCR048W	0.555
YCR025C	0.554
YCR022C	0.552
YDL173W	0.551
YCL038C	0.550
YCL075W	0.549
YCR027C	0.548
YDL124W	0.546
YCR090C	0.546
YBR261C	0.545
YDL085W	0.545
YBR235W	0.544
YCL034W	0.544
YDL112W	0.543
YDL076C	0.543
YDL020C	0.542
YBR244W	0.542
YCL064C	0.538
YCR099C	0.538
YDL037C	0.536
YCR060W	0.536
YDL034W	0.535
YBR286W	0.534
YDL088C	0.531
YCL039W	0.531
YBR238C	0.530
YDL161W	0.529
YCR007C	0.528
YCR065W	0.527
YDL079C	0.526
YDL052C	0.525
YBR259W	0.523
YBR262C	0.523
YDL167C	0.523
YBR224W	0.521
YDL125C	0.519
YDL169C	0.519
YDL144C	0.518
YCR088W	0.517
YBR249C	0.517
YCL040W	0.516
YBR270C	0.513
YBR230C	0.512
YBR229C	0.512
YDL025C	0.512
YDL113C	0.510
YDL024C	0.507
YCL024W	0.506
YCR061W	0.505
YCR102C	0.505
YDL089W	0.504
YDL119C	0.503
YBR228W	0.502
YCR086W	0.502
YDL177C	0.501
YCR069W	0.500
YDL122W	0.499
YDL061C	0.498
YCL074W	0.497
YCR001W	0.496
YCL009C	0.494
YDL179W	0.493
YBR232C	0.493
YDL036C	0.493
YDL027C	0.492
YBR260C	0.491
YDL131W	0.491
YCL042W	0.490
YDL181W	0.489
YCR075C	0.488
YCR049C	0.487
YBR293W	0.486
YCL045C	0.485
YDL010W	0.485
YDL135C	0.484
YBR288C	0.484
YDL159W	0.483
YDL154W	0.482
YBR225W	0.481
YCL055W	0.481
YDL066W	0.480
YDL081C	0.480
YCR024C-A	0.480
YDL051W	0.479
YCR050C	0.478
YCR032W	0.476
YCL029C	0.476
YCR073C	0.475
YDL080C	0.474
YDL070W	0.474
YDL091C	0.473
YDL099W	0.472
YCL048W	0.472
YDL128W	0.471
YCR062W	0.470
YDL094C	0.470
YDL123W	0.469
YBR300C	0.469
YCR073W-A	0.469
YCL013W	0.468
YDL026W	0.466
YCL026C-A	0.464
YBR241C	0.463
YDL109C	0.463
YCR067C	0.463
YBR240C	0.462
YCR021C	0.462
YCL022C	0.462
YCL049C	0.461
YDL138W	0.460
YBR264C	0.460
YCR087W	0.459
YDL095W	0.458
YDL059C	0.457
YDL137W	0.457
YDL100C	0.456
YCR105W	0.456
YCR015C	0.456
YDL180W	0.455
YDL174C	0.455
YCR011C	0.455
YCR016W	0.454
YDL171C	0.454
YDL048C	0.454
YBR272C	0.453
