ORF	hom | growth (culture turbidity) | sodium arsenite [0.2 mM] | Johnson AJ~Wu MJ, 2015	hom | growth (culture turbidity) | sodium arsenite [0.4 mM] | Johnson AJ~Wu MJ, 2015
YAL002W	0.527	1.148
YAL004W	0.924	1.742
YAL005C	0.851	1.681
YAL007C	0.797	1.473
YAL008W	0.831	1.740
YAL009W	0.797	1.776
YAL010C	0.425	2.027
YAL011W	0.350	0.527
YAL012W	0.162	0.026
YAL013W	0.674	0.783
YAL014C	0.833	1.522
YAL015C	0.896	1.118
YAL016C-B	3.481	14.776
YAL016W	4.914	2.396
YAL017W	0.766	1.597
YAL018C	0.883	1.704
YAL019W	0.737	1.302
YAL020C	0.624	2.166
YAL021C	0.440	1.035
YAL022C	0.831	1.917
YAL023C	0.921	1.914
YAL024C	0.097	0.050
YAL026C	0.957	1.696
YAL027W	1.016	1.516
YAL028W	0.935	1.904
YAL029C	0.565	1.246
YAL030W	0.881	1.804
YAL031C	0.765	1.575
YAL034C	0.863	1.815
YAL035W	0.636	1.797
YAL036C	1.118	1.744
YAL037C-A	1.638	3.195
YAL037W	0.893	1.473
YAL039C	0.424	1.325
YAL040C	0.645	1.691
YAL042W	0.914	2.060
YAL043C-A	0.855	2.090
YAL044C	0.917	1.956
YAL044W-A	1.101	1.521
YAL045C	0.981	1.901
YAL046C	1.074	1.748
YAL047C	0.985	0.713
YAL048C	0.832	1.452
YAL049C	1.003	1.624
YAL051W	0.841	1.713
YAL053W	0.846	1.734
YAL054C	1.016	1.521
YAL055W	0.816	1.467
YAL056W	0.971	1.713
YAL058C-A	0.706	1.208
YAL058W	0.846	1.871
YAL059W	1.019	2.138
YAL060W	0.916	1.652
YAL061W	1.014	2.144
YAL062W	0.974	1.925
YAL064C-A	1.155	2.016
YAL065C	1.151	2.046
YAL066W	1.164	2.401
YAL067C	1.009	2.143
YAL067W-A	1.092	1.120
YAL068C	1.022	2.231
YAR002C-A	1.303	1.729
YAR002W	0.617	1.675
YAR003W	0.910	1.464
YAR014C	0.648	1.669
YAR015W	0.958	1.918
YAR018C	0.772	1.447
YAR020C	0.831	1.421
YAR023C	1.040	1.477
YAR027W	1.168	1.934
YAR028W	1.243	2.238
YAR029W	1.068	1.814
YAR030C	1.066	2.017
YAR031W	1.139	2.114
YAR035C-A	0.791	0.690
YAR035W	0.939	1.966
YAR037W	1.027	1.978
YAR040C	0.990	1.884
YAR042W	1.086	1.447
YAR043C	0.959	1.755
YAR044W	0.989	1.529
YAR047C	1.021	1.951
YAR050W	0.961	0.144
YBL001C	1.256	0.816
YBL002W	1.205	0.444
YBL003C	1.237	0.494
YBL005W	1.165	0.734
YBL006C	0.687	0.137
YBL007C	0.717	0.639
YBL008W	1.047	0.552
YBL008W-A	1.267	1.591
YBL009W	0.992	0.738
YBL010C	1.118	0.875
YBL011W	1.102	0.360
YBL012C	1.090	0.306
YBL013W	0.823	0.219
