orf	hom | growth (relative abundance in pooled culture) | nicotinamide [20 mM], time [5 gen] | YPD | Simoneau A~Wurtele H, 2016	hom | growth (relative abundance in pooled culture) | nicotinamide [20 mM], time [20 gen] | YPD | Simoneau A~Wurtele H, 2016
YAL002W	0.6568205	-0.051814999999999944
YAL004W	1.143095	-0.7318688
YAL005C	-0.43599605	1.5431015
YAL007C	0.5427135000000001	1.78067
YAL008W	-0.185861	0.29397799999999996
YAL009W	1.145025	1.2296230000000001
YAL011W	1.43347	-2.4809315
YAL012W	-0.9013819999999999	-1.209448
YAL013W	-1.4141019000000001	
YAL014C	1.1325699999999999	1.091911
YAL015C	1.1773600000000002	3.278316
YAL017W	0.4877575	-2.6607149999999997
YAL018C	0.332303	-0.7498035
YAL019W	-0.386947	-10.08597
YAL020C	2.522795	1.52807
YAL021C	0.9391835	1.48636
YAL022C	0.3099295	-0.41773
YAL023C	2.25345	
YAL024C	-0.30952	-7.73228
YAL026C	0.499646	-2.3588705
YAL027W	0.3443195	-0.588115
YAL028W	-0.7278370000000001	-1.3962949999999998
YAL029C	1.280455	1.406119
YAL030W	0.3335012	1.39433
YAL031C	0.5382325	1.788435
YAL034C	-0.91737	1.118429
YAL036C	-0.5258065	-0.8025690000000001
YAL037W	-0.8374165	-0.1357335
YAL040C	0.26996000000000003	-0.10893560000000001
YAL042C-A	1.78475	0.8004844999999999
YAL042W	0.5352695000000001	0.2877075
YAL044C	0.059392829999999994	
YAL045C	-0.12429500000000004	0.09197765
YAL046C	0.702294	1.501725
YAL047C	-0.5539145	
YAL048C	0.8080890000000001	0.6009115
YAL049C	0.220405	0.5494285
YAL051W	-0.344329	-0.5318949999999999
YAL053W	0.5674319999999999	0.5358355000000001
YAL054C	-1.5802100000000001	1.0509169999999999
YAL055W	1.0235005	1.363636
YAL056C-A	0.5520145000000001	2.0886050000000003
YAL056W	0.1983383	2.239955
YAL058W	0.3260095	5.8277350000000006
YAL059W	-1.081578	-2.11905
YAL060W	-0.8291065	3.457365
YAL061W	-0.108215	5.72315
YAL062W	-0.7316496	0.5728415
YAL064C-A	1.21322	1.5099550000000002
YAL065C	0.18318299999999998	-0.665862
YAL066W	-0.263224	-0.43493299999999996
YAL067C	-0.5064219999999999	0.9589765
YAL068C	0.16168	1.3476650000000001
YAR002C-A	-0.1331965	1.214805
YAR002W	0.648578	
YAR003W	0.4899445	-0.7698885
YAR014C	1.345695	1.573095
YAR015W	-0.6397375	-0.32689999999999997
YAR018C	1.8056115	2.0022699999999998
YAR020C	0.15521800000000002	-0.5715225
YAR023C	0.46197699999999997	-0.307793
YAR027W	-1.2079145	-0.13267249999999997
YAR028W	0.80807145	-0.386675
YAR029W	1.2164555	1.6562095
YAR030C	0.28148850000000003	-0.8157424999999999
YAR031W	0.48385	1.0757715
YAR035W	0.568717	0.1866465
YAR042W	1.21888	0.2750767500000001
YAR047C	1.0548605	-0.39145800000000003
YAR050W	-0.8635394999999999	-1.7489905
YBL001C	-0.06892999999999999	0.8859475000000001
YBL002W	0.418544	6.207409999999999
YBL003C	0.19915850000000002	1.1283735
YBL005W	-0.568774	1.3542955
YBL006C	-0.36545805000000003	-4.62338
YBL007C	-0.45672749999999995	-0.997754
YBL008W	-0.3635485	-1.665854
YBL009W	-0.06616815	0.660236
YBL010C	-0.6380615000000001	0.89217035
YBL011W	-0.07112299999999999	-1.416168
YBL012C	-0.5297455	-0.23357249999999996
YBL013W	-0.41905990000000004	0.204605
YBL015W	-0.41211875	2.555825
YBL017C	-0.24822105	1.91791
YBL019W	0.297844	2.97823
YBL021C	-0.5600495	2.239686
YBL022C	-0.9770574999999999	-3.414355
YBL024W	-0.923103	-2.2145
YBL027W	-2.250795	-17.633850000000002
YBL028C	-1.3088899999999999	-1.200889
YBL029W	-0.563786	0.29614000000000007
YBL031W	-0.789319	-10.383
YBL032W	0.35712469999999996	0.375076
YBL036C	-0.8879429999999999	3.7672
YBL037W	-0.307354185	0.28339
YBL038W	0.03189125	0.18125999999999998
YBL039C	-0.5823590000000001	-5.4196550000000006
YBL042C	0.33735495	-0.17866400000000002
YBL043W	-0.8531805	1.373005
YBL044W	-0.174396805	2.47825
YBL045C	0.5701655	-0.822244
YBL046W	-3.43254	-28.4721
YBL047C	-0.860027	-15.219249999999999
YBL048W	-0.6833575000000001	2.52957
YBL049W	-0.0750761	-0.084899
YBL051C	-2.23518	-16.3469
YBL052C	-0.8822325	0.1563585
YBL053W	-0.4303755	0.27975500000000003
YBL054W	-1.2745199999999999	-10.283764999999999
YBL055C	-0.4049195	-0.44570950000000004
