ORF	hap a | growth (colony size) | expression of clogging-prone Pdi1-DHFR [standard] | Ast T~Schuldiner M, 2016
YGR105W	0.215
YBR020W	0.768
YOR302W	0.450
YBR018C	1.739
YPR139C	0.169
YCR077C	1.622
YGR252W	0.357
YNL270C	0.157
YOR303W	1.944
YJR104C	0.666
YMR038C	1.204
YBR171W	0.175
YCR028C	0.835
YHR079C	0.250
YGR219W	0.545
YNL296W	0.566
YNL271C	0.211
YGL246C	1.431
YBL039W-B	0.240
YDL047W	1.000
YLR295C	0.256
YGR155W	0.951
YEL029C	0.308
YDR411C	0.277
YER087C-B	0.351
YFL032W	0.333
YOR128C	0.644
YDR175C	0.816
YFL031W	0.391
YNL097C	0.392
YMR063W	0.477
YLR025W	0.363
YJR117W	0.354
YNR037C	2.042
YOR187W	2.041
YOR130C	2.409
YLR202C	0.523
YDR194C	0.925
YLR292C	0.351
YPL005W	1.043
YBL058W	0.585
YHR091C	1.115
YOR147W	0.979
YGL107C	1.147
YJL166W	0.983
YLR201C	1.064
YAL013W	0.440
YGR055W	0.593
YKL016C	0.954
YNL229C	0.522
YKL134C	1.316
YDR176W	0.372
YAL010C	1.098
YBR251W	2.930
YGL064C	1.024
YCR009C	1.146
YNL213C	1.333
YPR100W	1.149
YPL139C	0.461
YGR112W	0.949
YMR223W	0.504
YJL062W-A	1.041
YGR078C	0.889
YOL033W	1.647
YOR030W	0.448
YER153C	0.983
YPL013C	1.080
YLL033W	1.258
YOR205C	3.341
YOR199W	0.487
YNL073W	1.347
YBR163W	1.238
YDL044C	1.241
YBR081C	0.656
YLR218C	0.773
YDL067C	0.930
YPL029W	1.003
YGR101W	1.041
YCL008C	0.460
YOR201C	4.567
YDR432W	1.158
YHR050W-A	0.834
YCR028C-A	2.011
YER058W	1.235
YLR067C	1.278
YGR165W	1.395
YER087W	0.955
YOR125C	1.133
YBL045C	1.167
YPR097W	0.507
YGR062C	0.975
YGR076C	1.247
YPL173W	1.306
YJL095W	0.471
YDR500C	1.203
YLR439W	1.035
YJR102C	0.452
YCL037C	0.457
YJL096W	1.518
YKL170W	1.210
YDR028C	1.278
YPL132W	1.290
YML090W	1.053
YDR009W	1.397
YDR293C	0.451
YML081C-A	0.890
YHL038C	0.996
YPR116W	1.160
YGL143C	0.921
YBL038W	1.274
YML055W	0.464
YBL071W-A	0.930
YOR211C	1.347
YAL012W	1.357
YDR065W	1.890
YLR203C	0.965
YKL002W	0.726
YDR069C	0.613
YPR124W	0.603
YNL081C	1.192
YGR102C	1.173
YDR350C	1.529
YBR268W	1.280
YDL122W	0.537
YBL022C	1.658
YGR122W	0.519
YMR293C	1.479
YGR215W	1.284
YDR204W	1.298
YOL031C	0.522
YNL184C	1.259
YOR350C	0.993
YPR134W	0.918
YJL101C	1.128
YDR230W	1.026
YDL033C	1.368
YBL099W	1.208
YBR179C	1.218
YDR529C	1.357
YBR282W	1.302
YMR089C	1.380
YJL102W	1.900
YMR150C	1.106
YNR020C	1.017
YGL045W	0.599
YDR079W	1.427
YNL292W	1.162
YLR417W	0.665
YLL039C	0.639
YNR036C	1.316
YLR384C	0.846
YNL294C	0.549
YMR105C	1.646
YGL014W	0.665
YKL037W	2.269
YGR171C	1.242
YLR370C	0.640
YMR062C	0.869
YPL101W	0.775
YPL270W	0.809
YDL229W	0.546
YBL100C	1.245
YIL157C	0.966
YER017C	1.294
YOL001W	1.528
YDL032W	1.323
YDR512C	1.201
YDL107W	1.157
YER154W	1.232
YJL176C	2.038
YPL172C	1.441
YPL183W-A	0.817
YDR197W	1.144
YMR077C	0.691
YNR041C	1.377
YOR020W-A	0.760
YGR174C	0.880
YKL087C	1.033
YJL063C	1.212
YDL045W-A	0.723
YMR151W	1.416
YEL024W	1.437
YMR267W	1.562
YKL137W	0.726
YBL021C	1.035
YMR021C	1.184
YER113C	0.496
YBR003W	1.305
YOR037W	0.887
YLR239C	0.850
YBL051C	0.580
YPL047W	0.604
YKL208W	1.043
YMR312W	0.960
YDL135C	0.595
YML094W	1.097
YIL008W	0.827
YGR200C	0.862
YMR154C	0.597
YDR173C	0.635
YJR120W	0.923
YGR150C	1.559
YLR038C	1.038
YHR116W	1.071
YBR037C	1.589
YKL167C	0.932
YOL023W	1.057
YER050C	1.569
YJR048W	0.765
YHR120W	0.922
YPL002C	0.757
YER143W	0.612
YNL119W	0.825
YGR254W	0.641
YDL163W	0.851
YHL027W	0.577
YJL023C	1.409
YDR393W	0.793
YLL018C-A	1.183
YHR147C	2.595
YOL027C	0.832
YPL189C-A	1.133
YDR049W	0.718
YGL177W	0.569
YFR033C	0.688
YOR334W	1.240
YFL004W	0.676
YNL269W	1.162
YER093C-A	0.761
YPR173C	0.828
YML089C	0.844
YDR426C	0.670
YDR375C	1.339
YPL183W	1.324
YLR393W	1.021
YPR047W	1.241
YDR289C	1.571
YDR231C	1.363
YBR260C	0.638
YLR133W	0.623
YFR001W	1.484
YGL105W	1.207
YMR228W	1.313
YDL151C	0.886
YCR003W	1.432
YHR011W	1.309
YCL001W-B	0.695
YGL237C	1.145
YMR311C	0.708
YMR257C	1.124
YDR322C-A	0.769
YLR382C	1.440
YJL179W	1.556
YOL096C	1.354
YOR034C-A	0.605
YDR493W	0.693
YNL252C	1.460
YDR116C	1.054
YPL118W	1.300
YOL008W	1.509
YLR139C	1.424
YGR135W	0.845
YGR157W	0.859
YMR243C	1.022
YDR148C	0.732
YNL037C	1.468
YDR515W	0.675
YLR027C	1.543
YMR272C	0.659
YHR022C-A	0.913
YIL090W	0.677
YMR024W	1.432
YEL009C	2.009
YOL038C-A	0.799
YBR296C-A	0.779
YDR193W	0.677
YML094C-A	1.265
YLR331C	0.646
YHL029C	0.669
YGL214W	0.903
YIL056W	0.644
YKL194C	1.034
YGL057C	1.009
YPL086C	0.969
YGR217W	0.649
YOR358W	0.865
YOR035C	0.858
YER116C	1.199
YOR161C-C	0.817
YNL248C	1.611
YBR074W	0.911
YAR015W	1.030
YGL242C	0.645
YKL020C	0.663
YLR122C	0.663
YMR313C	0.685
YJL138C	0.712
YDR271C	0.667
YKL003C	1.685
YML007C-A	0.803
YIL002W-A	0.882
YNL005C	1.801
YCL034W	0.678
YKR035C	0.728
YPL054W	0.667
YCR004C	0.755
YER061C	1.003
YHR175W-A	0.935
YGR107W	0.675
YDR277C	0.702
YDR463W	0.782
YIR021W-A	0.748
YLR342W	0.665
YKL109W	1.013
YMR140W	0.711
YPL060W	0.967
YJR099W	0.622
YGL059W	0.654
YDR290W	1.525
YML057C-A	0.671
YFL028C	0.741
YMR053C	0.673
YLR023C	0.706
YML009C	0.887
YMR056C	0.584
YBL012C	0.759
YGL157W	0.722
YLL029W	0.735
YBL008W	0.819
YLR394W	0.720
YOL019W-A	0.712
YGR169C-A	0.755
YDR425W	0.745
YLR180W	0.901
YBL008W-A	0.842
YLL051C	0.755
YGL234W	0.914
YGL126W	0.720
YJR077C	1.050
YNL339C	0.695
YJR055W	1.365
YER169W	0.762
YPR188C	0.700
YDR360W	0.715
YPR001W	0.707
YGR270W	0.743
YKL018C-A	0.788
YOR277C	0.746
YOR321W	0.922
YOR135C	1.442
YMR055C	0.707
YML029W	0.697
YOL093W	0.873
YJR100C	0.733
YPL102C	1.046
YDL203C	0.793
YBR083W	0.646
YBL081W	0.719
YLR289W	0.748
YNL130C-A	0.752
YDR448W	0.856
YMR230W-A	0.792
YMR084W	0.766
YLL053C	0.739
YDR192C	0.723
YOR017W	0.805
YER073W	0.697
YML036W	1.327
YNL052W	0.905
YDR120C	0.786
YGL160W	0.717
YAL044C	0.662
YGR233C	0.715
YGL156W	0.737
YOR093C	0.735
YGR273C	0.752
YKL103C	0.691
YDR539W	0.732
YOL057W	0.739
YDR195W	1.414
YNL120C	1.045
YML104C	0.726
YDL190C	0.804
YMR189W	0.715
YGL007C-A	0.784
YML016C	0.746
YDL020C	0.822
YDL159W-A	0.759
YGL219C	1.105
YGR070W	0.718
YMR259C	0.778
YJR073C	1.110
YDR479C	0.741
YBR187W	0.841
YNL164C	0.722
YHR111W	1.095
YNR018W	0.856
YPR114W	0.855
YPR192W	0.679
YDR125C	0.696
YKR009C	0.798
YDL172C	0.763
YHR146W	0.749
YGR221C	0.732
YHL002W	0.763
YDL076C	0.727
YDL085C-A	0.781
YJL077W-B	0.840
YBR283C	0.692
YOR275C	0.695
YDR337W	0.717
YIL030C	0.758
YHL046C	0.756
YDR461W	0.755
YLR061W	1.989
YGR021W	0.732
YFR044C	0.779
YLR350W	0.739
YPR108W-A	0.698
YMR264W	0.653
YKR101W	0.774
YGR122C-A	0.758
YPL038W-A	0.766
YBR232C	0.710
YKL190W	0.671
YLR227C	0.743
YDL118W	0.775
YDL054C	0.741
YMR022W	0.739
YNR013C	0.776
YGL087C	0.711
YAR029W	0.816
YBL089W	0.851
YMR157C	0.852
YER109C	0.693
YIR003W	0.725
YOL164W-A	0.769
YEL014C	0.716
YAL048C	0.905
YDL173W	0.775
YBL071C	0.895
YML030W	0.894
YLR031W	0.819
YMR120C	0.691
YHR130C	0.843
YER103W	0.696
YGL015C	0.784
YHR007C-A	0.689
YGR204W	0.949
YLR436C	0.763
YDL006W	1.262
YGR234W	0.684
YMR058W	0.780
YMR001C-A	0.825
YPR166C	0.727
YHR067W	1.112
YKR057W	0.757
YOL052C-A	0.882
YIR004W	0.704
YNL114C	1.062
YAR035C-A	0.733
YBL049W	0.782
YJR033C	0.970
YDR441C	0.808
YKR007W	0.843
YGL181W	0.681
YKL081W	1.459
YMR284W	0.735
YGR088W	0.768
YDL130W-A	0.718
YOR084W	0.754
YER053C-A	0.781
YKL068W-A	0.834
YDR494W	0.756
YER124C	0.708
YDR316W	0.796
YDR358W	0.759
YNL212W	0.757
YFL011W	0.770
YML057W	0.715
YOR094W	0.766
YLR054C	0.760
YDR408C	1.079
YJR135W-A	0.846
YOR086C	0.752
YEL003W	1.492
YDR209C	0.796
YMR057C	0.733
YKR016W	1.016
YKL106W	0.936
YJL036W	0.904
YDR246W-A	0.829
YMR174C	0.840
YCL026C-B	0.842
YDR126W	1.256
YGL025C	0.731
YBR222C	0.758
YDR502C	0.792
YFR035C	0.765
YGR114C	0.804
YIR020W-A	0.736
YIL029C	0.810
YLR432W	0.785
YOR038C	1.020
YDR099W	0.757
YFL034C-A	0.924
YBL057C	0.791
YKL056C	0.923
YBR013C	0.717
YMR013W-A	0.839
YMR310C	0.803
YDL104C	1.052
YLR021W	0.892
YPL184C	0.785
YLR171W	0.774
YJL116C	0.773
YDR326C	0.707
YGR121W-A	0.883
YMR300C	0.952
YKR020W	1.098
