number,ORF name,Gene name,rDNA stability,rDNA copy number,Gel(Plate/Row/Colum),Replicative lifespan,Other chromosome abnormality,InputDate
"1","YAL068C","PAU8","2","4","1-A-2","","","0000-00-00 00:00:00"
"2","YAL067C","SEO1","2","2","1-A-3","","","0000-00-00 00:00:00"
"3","YAL066W","YAL066W","2","2","1-A-4","","","0000-00-00 00:00:00"
"4","YAL065C","YAL065C","2","2","1-A-5","","","0000-00-00 00:00:00"
"5","YAL062W","GDH3","2","2","1-A-6","","","0000-00-00 00:00:00"
"6","YAL061W","BDH2","2","2","1-A-7","","","0000-00-00 00:00:00"
"7","YAL060W","BDH1","2","2","1-A-8","","","0000-00-00 00:00:00"
"8","YAL059W","ECM1 ","2","2","1-A-9","","","0000-00-00 00:00:00"
"9","YAL058W","CNE1","2","2","1-A-10","","","0000-00-00 00:00:00"
"10","YAL056W","GPB2","2","2","1-A-11","","","0000-00-00 00:00:00"
"11","YAL055W","PEX22","3","2","1-A-12","","","0000-00-00 00:00:00"
"12","YAL053W","FLC2","3","2","1-B-1","","","0000-00-00 00:00:00"
"13","YAL051W","OAF1","2","2","1-B-2","","","0000-00-00 00:00:00"
"14","YAL049C","AIM2","2","2","1-B-3","","","0000-00-00 00:00:00"
"15","YAL048C","GEM1","2","2","1-B-4","","","0000-00-00 00:00:00"
"16","YAL046C","AIM1","2","2","1-B-5","","","0000-00-00 00:00:00"
"17","YAL045C","YAL045C","2","2","1-B-6","","","0000-00-00 00:00:00"
"18","YAL044C","GCV3","2","2","1-B-7","","","0000-00-00 00:00:00"
"19","YAL042W","ERV46","2","2","1-B-8","","","0000-00-00 00:00:00"
"20","YAL043C-a","YAL042C-A","3","2","1-B-9","","","0000-00-00 00:00:00"
"21","YAL040C","CLN3","2","2","1-B-10","","","0000-00-00 00:00:00"
"22","YAL039C","CYC3","2","2","1-B-11","","","0000-00-00 00:00:00"
"23","YAL037W","YAL037W","2","2","1-B-12","","","0000-00-00 00:00:00"
"24","YAL036C","RBG1","2","2","1-C-1","","","0000-00-00 00:00:00"
"25","YAL035W","FUN12","2","2","1-C-2","","","0000-00-00 00:00:00"
"26","YAL034C","FUN19","2","2","1-C-3","","","0000-00-00 00:00:00"
"27","YAL031C","GIP4","2","2","1-C-4","","","0000-00-00 00:00:00"
"28","YAL030W","SNC1","2","2","1-C-5","","","0000-00-00 00:00:00"
"29","YAL029C","MYO4","2","2","1-C-6","","","0000-00-00 00:00:00"
"30","YAL028W","FRT2","2","2","1-C-7","","","0000-00-00 00:00:00"
"31","YAL027W","SAW1","1","2","1-C-8","","","0000-00-00 00:00:00"
"32","YAL026C","DRS2","2","2","1-C-9","","","0000-00-00 00:00:00"
"33","YAL023C","PMT2","2","2","1-C-10","","","0000-00-00 00:00:00"
"34","YAL022C","FUN26","2","2","1-C-11","","","0000-00-00 00:00:00"
"35","YAL021C","CCR4","2","2","1-C-12","","","0000-00-00 00:00:00"
"36","YAL020C","ATS1","2","2","1-D-1","","","0000-00-00 00:00:00"
"37","YAL019W","FUN30","3","2","1-D-2","","","0000-00-00 00:00:00"
"38","YAL018C","YAL018C","3","2","1-D-3","","","0000-00-00 00:00:00"
"39","YAL017W","PSK1","2","2","1-D-4","","","0000-00-00 00:00:00"
"40","YAL015C","NTG1","2","2","1-D-5","","","0000-00-00 00:00:00"
"41","YAL014C","SYN8","2","2","1-D-6","","","0000-00-00 00:00:00"
"42","YAL013W","DEP1","2","2","1-D-7","","","0000-00-00 00:00:00"
"43","YAL011W","SWC3","2","2","1-D-8","","","0000-00-00 00:00:00"
"44","YAL010C","MDM10","2","2","1-D-9","","","0000-00-00 00:00:00"
"45","YAL009W","SPO7","2","2","1-D-10","","","0000-00-00 00:00:00"
"46","YAL008W","FUN14","2","2","1-D-11","","","0000-00-00 00:00:00"
"47","YAL007C","ERP2","3","2","1-D-12","","2 Chr. 4","0000-00-00 00:00:00"
"48","YAL004W","YAL004W","2","2","1-E-1","","","0000-00-00 00:00:00"
"49","YAL005C","SSA1","2","2","1-E-2","","","0000-00-00 00:00:00"
"50","YAL002W","VPS8","2","2","1-E-3","","","0000-00-00 00:00:00"
"51","YAR002W","NUP60","2","2","1-E-4","","","0000-00-00 00:00:00"
"52","YAR003W","SWD1","3","2","1-E-5","","","0000-00-00 00:00:00"
"53","YAR014C","BUD14","2","2","1-E-6","","","0000-00-00 00:00:00"
"54","YAR015W","ADE1","2","2","1-E-7","","","0000-00-00 00:00:00"
"55","YAR018C","KIN3","2","2","1-E-8","","","0000-00-00 00:00:00"
"56","YAR020C","PAU7","2","2","1-E-9","","","0000-00-00 00:00:00"
"57","YAR023C","YAR023C","2","2","1-E-10","","","0000-00-00 00:00:00"
"58","YAR027W","UIP3","2","2","1-E-11","","","0000-00-00 00:00:00"
"59","YAR028W","YAR028W","2","2","1-E-12","","","0000-00-00 00:00:00"
"60","YAR029W","YAR029W","2","2","1-F-1","","","0000-00-00 00:00:00"
"61","YAR031W","PRM9","2","2","1-F-2","","","0000-00-00 00:00:00"
"62","YAR030C","YAR030C","2","2","1-F-3","","","0000-00-00 00:00:00"
"63","YAR035W","YAT1","2","2","1-F-4","","","0000-00-00 00:00:00"
"64","YAR037W","not found","2","2","1-F-5","","","0000-00-00 00:00:00"
"65","YAR040C","not found","2","2","1-F-6","","","0000-00-00 00:00:00"
"66","YAR042W","SWH1","3","2","1-F-7","","","0000-00-00 00:00:00"
"67","YAR043C","YAR043C","2","2","1-F-8","","","0000-00-00 00:00:00"
"68","YAR044W","YAR044W","2","2","1-F-9","","","0000-00-00 00:00:00"
"69","YAR047C","YAR047C","2","2","1-F-10","","","0000-00-00 00:00:00"
"70","YLL001W","DNM1","2","2","1-F-11","","","0000-00-00 00:00:00"
"71","YLL002W","RTT109","3","4","1-F-12","","","0000-00-00 00:00:00"
"72","YLL005C","SPO75","2","2","1-G-1","","","0000-00-00 00:00:00"
"73","YLL006W","MMM1","2","2","1-G-2","","","0000-00-00 00:00:00"
"74","YLL009C","COX17","3","2","1-G-3","","","0000-00-00 00:00:00"
"75","YLL010C","PSR1","2","2","1-G-4","","","0000-00-00 00:00:00"
