ORF	hap a | mother:daughter asymmetric inheritance of protein aggregates (Hsp104-GFP) | transient heat shock (42° [30 min]) | Hill SM~Nystroem T, 2016
YCR061W	1.239
YBR074W	0.792
YOR087W	1.005
YLL015W	2.600
YKR035C	1.853
YDR509W	1.684
YLR337C	1.636
YLR264W	1.596
YNL086W	1.577
YDL035C	1.533
YKL166C	1.530
YCR069W	1.502
YER061C	1.480
YOR270C	1.478
YCR073W-A	1.475
YNL326C	1.472
YMR074C	1.468
YAL002W	1.453
YFL013C	1.451
YFR019W	1.451
YGR271W	1.448
YCR067C	1.434
YNL293W	1.434
YCR095C	1.432
YGL037C	1.426
YCR073C	1.423
YEL005C	1.417
YLR370C	1.413
YNL259C	1.412
YGR254W	1.400
YCL050C	1.395
YCL063W	1.207
YGR273C	1.388
YKL175W	1.386
YNL268W	1.384
YCR068W	1.380
YDL006W	1.380
YGR271C-A	1.377
YGR122C-A	1.373
YGR276C	1.372
YNL254C	1.371
YOR106W	1.370
YNL014W	1.364
YGR289C	1.358
YKR046C	1.358
YKL076C	1.356
YIL102C	1.355
YER083C	1.354
YML063W	1.345
YKR060W	1.344
YOL153C	1.341
YKL184W	1.340
YCR079W	1.337
YLR119W	1.334
YKL061W	1.325
YGL079W	1.324
YIL085C	1.322
YOR014W	1.321
YFL007W	1.223
YCL026C	1.315
YDR256C	1.313
YGL020C	1.313
YNR005C	1.312
YJR066W	1.311
YLR360W	1.310
YIL122W	1.307
YKL137W	1.306
YCR082W	1.305
YCR075C	1.305
YNL119W	1.303
YCR088W	1.300
YCR085W	1.298
YOR291W	1.297
YNL305C	1.295
YKL159C	1.295
YBL007C	1.292
YHR198C	1.292
YPL222W	1.292
YAL004W	1.291
YLR404W	1.291
YPL159C	1.290
YIL131C	1.289
YCL036W	1.289
YCR076C	1.286
YIL034C	1.284
YPL240C	1.279
YAL014C	1.278
YBR131W	1.276
YKR067W	1.274
YCR077C	1.274
YCR099C	1.274
YNL011C	1.274
YCR044C	1.273
YCR083W	1.273
YCR092C	1.272
YDL127W	1.271
YCR043C	1.271
YGR292W	1.271
YLR319C	1.270
YDL119C	1.269
YJL103C	1.267
YLL006W	1.267
YJR039W	1.265
YCR065W	1.264
YDR284C	1.262
YJR033C	1.262
YFL003C	1.262
YDR254W	1.261
YPR149W	1.261
YLR091W	1.260
YDR247W	1.260
YHR206W	1.260
YKR100C	1.260
YDR285W	1.256
YGL062W	1.256
YGL084C	1.255
YDR273W	1.254
YLR408C	1.252
YNL275W	1.250
YPL181W	1.250
YOR132W	1.250
YPL170W	1.249
YLR412W	1.248
YMR035W	1.248
YOR313C	1.246
YKL176C	1.246
YJL094C	1.246
YKL105C	1.245
YNL255C	1.244
YNL111C	1.244
YCR090C	1.244
YKL075C	1.244
YHR202W	1.243
YDR490C	1.242
YDL010W	1.242
YCR087W	1.241
YOR333C	1.241
YIL151C	1.239
YDL144C	1.238
YKL157W	1.225
YLL020C	1.231
YDR244W	1.231
YPL051W	1.230
YNL279W	1.230
YPL165C	1.230
YPL205C	1.228
YNL266W	1.228
YCR100C	1.225
YPL168W	1.225
YDR249C	1.224
YDR266C	1.224
YLL005C	1.224
YAL005C	1.223
YHR191C	1.223
YNL274C	1.223
YAL036C	1.222
YNL336W	1.221
YOL055C	1.220
YKR069W	1.220
YJR040W	1.219
YCR102C	1.219
YBL031W	1.219
YDR286C	1.219
YCR098C	1.217
YIL011W	1.216
YDR357C	1.216
YKR095W	1.216
YLR398C	1.215
YLR401C	1.215
YDL002C	1.214
YGL149W	1.213
YPL073C	1.212
YJL136C	1.212
YCR101C	1.212
YPL163C	1.212
YEL015W	1.211
YJL099W	1.210
YML066C	1.210
YKL098W	1.209
YKR096W	1.209
YDR272W	1.208
YLR018C	1.208
YHR160C	1.207
YNL291C	1.207
YKR106W	1.206
YGL096W	1.206
YDL118W	1.206
YDR491C	1.206
YDL100C	1.205
YNL197C	1.204
YEL014C	1.204
YOL073C	1.204
YOR328W	1.203
YOR318C	1.203
YJL089W	1.203
YHR163W	1.203
YHR161C	1.202
YCL044C	1.202
YGL164C	1.201
YPL232W	1.200
YPL199C	1.200
YKR091W	1.200
YPL064C	1.199
YKR050W	1.199
YLR363C	1.198
YHR182W	1.198
YKR052C	1.197
YJR097W	1.197
YPR011C	1.197
YCR091W	1.196
YDR388W	1.196
YLL001W	1.196
YNR008W	1.194
YHR203C	1.193
YLR242C	1.193
YER072W	1.193
YHR180W	1.193
YBR119W	1.193
YPL167C	1.192
YPL120W	1.191
YIL136W	1.191
YOL084W	1.190
YOR125C	1.190
YNL335W	1.190
YBL027W	1.190
YDR281C	1.189
YML075C	1.189
YKR087C	1.188
YGL202W	1.188
YCL027W	1.188
YLL048C	1.187
YIL084C	1.187
YDR198C	1.187
YJL176C	1.187
YGL132W	1.186
YKL090W	1.186
YKR058W	1.185
YCR087C-A	1.185
YPL219W	1.185
YBR082C	1.184
YDR192C	1.184
YKR088C	1.184
YDL040C	1.184
YOR380W	1.183
YGL165C	1.183
YOR304C-A	1.183
YKL084W	1.182
YBR126C	1.182
YGR291C	1.182
YDL095W	1.182
YHR045W	1.181
YMR070W	1.181
YLR405W	1.181
YKL130C	1.180
YLL019C	1.180
YDR508C	1.180
YDL114W	1.180
YKL074C	1.179
YDL137W	1.179
YMR269W	1.179
YER161C	1.179
YPL226W	1.178
YLL045C	1.178
YOR109W	1.178
YKL178C	1.178
YNL295W	1.178
YOR003W	1.177
YKR005C	1.177
YMR053C	1.176
YMR199W	1.176
YOL053W	1.175
YHR181W	1.175
YLR124W	1.175
YML100W	1.174
YDL094C	1.174
YIL027C	1.173
YDR530C	1.173
YLL039C	1.172
YKL171W	1.172
YNL333W	1.172
YKL146W	1.172
YJL133W	1.172
YCR032W	1.172
YFL010W-A	1.170
YGL114W	1.170
YJL171C	1.170
YDR171W	1.170
YOR342C	1.170
YDL146W	1.169
YOR094W	1.168
YOR379C	1.168
YKR066C	1.168
YOR338W	1.168
YGL151W	1.168
YKR049C	1.168
YNL332W	1.167
YLR402W	1.167
YDR241W	1.167
YGL141W	1.166
YCL039W	1.166
YAL066W	1.165
YOL080C	1.165
YDL136W	1.165
YBR077C	1.165
YOR104W	1.165
YNL053W	1.165
YHR003C	1.165
YOL045W	1.164
YHR132C	1.164
YCL074W	1.164
YDL019C	1.164
YGR038W	1.163
YGL133W	1.163
YOL083W	1.163
YJL148W	1.163
YKL100C	1.163
YLR333C	1.162
YMR054W	1.162
YGR058W	1.162
YKR059W	1.162
YLR004C	1.162
YMR188C	1.161
YDR293C	1.161
YBR121C	1.161
YKL167C	1.161
YNL288W	1.160
YLR094C	1.160
YNR044W	1.160
YDR255C	1.160
YGR043C	1.160
YPL230W	1.159
YDL169C	1.159
YNL321W	1.159
YHR210C	1.159
YDR287W	1.159
YKL094W	1.158
YCR086W	1.157
YML109W	1.157
YHR185C	1.157
YHR012W	1.156
YNL316C	1.156
YMR182C	1.156
YJL093C	1.155
YLR098C	1.155
YHR086W	1.155
YML053C	1.155
YKR098C	1.154
YPL229W	1.154
YML097C	1.154
YMR126C	1.153
YCL038C	1.153
YKR034W	1.153
YAL023C	1.153
YOL056W	1.152
YKL147C	1.152
YPL250C	1.152
YDL012C	1.152
YDR067C	1.152
YDL170W	1.151
YKR078W	1.151
YHR176W	1.151
YPL220W	1.151
YNL330C	1.150
YKR077W	1.150
YIL029C	1.150
YCR019W	1.150
YOL082W	1.149
YDR309C	1.149
YDL130W	1.149
YAL015C	1.149
YDL175C	1.149
YBR290W	1.149
YFL012W	1.148
YIL007C	1.148
YDR383C	1.148
YNL183C	1.148
YDL113C	1.148
YMR086W	1.148
YLR024C	1.148
YDR400W	1.147
YDL027C	1.147
YOL071W	1.146
YIL158W	1.146
YPL047W	1.145
YPL158C	1.145
YKL092C	1.145
YDR401W	1.145
YGL078C	1.144
YKR076W	1.144
YNL292W	1.144
YKR053C	1.143
YJL154C	1.143
YKL197C	1.143
YKL097C	1.143
YLL040C	1.143
YIL009C-A	1.143
YPL057C	1.142
YKR090W	1.142
YPL246C	1.142
YJR035W	1.142
YDL011C	1.142
YGL156W	1.141
YJL132W	1.141
YKL174C	1.141
YDL026W	1.141
YLL063C	1.141
YKR040C	1.141
YDL156W	1.141
YOR039W	1.140
YKL142W	1.140
YOR005C	1.140
YMR158W-B	1.140
YGR042W	1.140
YKR051W	1.140
YPR148C	1.140
YMR187C	1.139
YOR084W	1.139
YDR466W	1.139
YHL023C	1.139
YKL123W	1.139
YJL138C	1.139
YDL142C	1.139
YOR137C	1.138
YIL030C	1.138
YGL146C	1.138
YNR033W	1.138
YPL070W	1.138
YDR257C	1.138
YCR106W	1.137
YLR210W	1.137
YOL052C-A	1.137
YKL109W	1.137
YGL118C	1.137
YIL035C	1.137
YDR455C	1.137
YHL032C	1.137
YCR027C	1.137
YMR068W	1.137
YIL002C	1.136
YKR039W	1.136
YNL284C	1.136
YKR092C	1.136
YMR272C	1.135
YLL009C	1.135
YOR363C	1.135
YDL123W	1.135
YAL051W	1.134
YKR099W	1.134
YMR234W	1.134
YKL162C	1.134
YGR295C	1.133
YKL079W	1.133
YHR193C	1.133
YOR089C	1.133
YDR239C	1.132
YOR022C	1.132
YNL320W	1.132
YCR049C	1.132
YAL029C	1.132
YOR321W	1.132
YKL077W	1.132
YJL146W	1.131
YLR209C	1.131
YOR337W	1.131
YHR207C	1.131
YIL043C	1.131
YGR051C	1.131
YPL260W	1.131
YFL034C-A	1.113
YNL083W	1.130
YOR066W	1.130
YDL050C	1.130
YOL052C	1.130
YOR007C	1.130
YDL096C	1.130
YLR364W	1.130
YLR330W	1.129
YOR012W	1.129
YLL012W	1.129
YBL101C	1.129
YHR179W	1.129
YGR069W	1.129
YOR216C	1.129
YGL205W	1.128
YJR054W	1.128
YNL304W	1.128
YIL010W	1.128
YBR199W	1.128
YGL232W	1.128
YNL299W	1.128
YKR103W	1.127
YJL139C	1.127
YOR279C	1.127
YPL089C	1.127
YGL176C	1.127
YML096W	1.127
YNL277W	1.127
YDR274C	1.127
YML099C	1.127
YGL170C	1.126
YCR089W	1.126
YMR196W	1.126
YOL068C	1.126
YOR018W	1.126
YOL111C	1.125
YIL014C-A	1.125
YJL108C	1.125
YHR204W	1.125
YGR283C	1.125
YDL131W	1.125
YML067C	1.124
YAR028W	1.124
YKL051W	1.124
YOR235W	1.124
YER123W	1.124
YDR461W	1.124
YIL036W	1.123
YBR071W	1.123
YDL048C	1.123
YDL128W	1.123
YKL096W-A	1.123
YGL152C	1.123
YJL145W	1.122
YNR009W	1.122
YNL334C	1.122
YJR044C	1.121
YOL061W	1.121
YJL186W	1.121
YMR127C	1.121
YMR204C	1.121
YMR246W	1.121
YDL034W	1.121
YGL126W	1.121
YJL122W	1.121
YMR278W	1.121
YPL091W	1.120
YOR356W	1.120
YDL149W	1.120
YOR129C	1.120
YOR154W	1.120
YLL053C	1.120
YAL058W	1.120
YKL121W	1.120
YDR250C	1.120
YPR196W	1.120
YBR139W	1.119
YKR009C	1.119
YML072C	1.119
YOR304W	1.119
YKR036C	1.118
YDR312W	1.118
YBL042C	1.118
YMR273C	1.117
YMR193C-A	1.117
YHL031C	1.117
YLR308W	1.117
YKR035W-A	1.117
YMR058W	1.117
YGL196W	1.117
YPR052C	1.117
YKR089C	1.116
YOL158C	1.116
YDL179W	1.116
YDL121C	1.115
YDR202C	1.115
YIL001W	1.115
YKL140W	1.115
YAL018C	1.115
YKL179C	1.114
YML090W	1.114
YMR319C	1.114
YNL289W	1.114
YBR132C	1.114
YLL058W	1.114
YPL216W	1.113
YJL158C	1.113
YPL152W	1.113
YMR180C	1.113
YDR265W	1.113
YOR069W	1.113
YKL115C	1.112
YMR118C	1.112
YER039C-A	1.112
YML055W	1.112
YPL068C	1.111
YOR264W	1.111
YOL062C	1.111
YKL150W	1.111
YIL079C	1.111
YDR415C	1.110
YOR172W	1.110
YER163C	1.110
YOR368W	1.110
YOR246C	1.110
YKL085W	1.109
YMR104C	1.109
YOL070C	1.109
YDR248C	1.109
YDL109C	1.109
YCR048W	1.109
YHR014W	1.109
