orf	hap a | mother:daughter asymmetric inheritance of protein aggregates (Hsp104-GFP) | temperature [42 C], time [30 min] | unknown | Hill SM~Nystrom T, 2016
YAL002W	1.452951753922359
YAL004W	1.2914926273854606
YAL005C	1.2232821974686567
YAL007C	0.9904230553876775
YAL008W	0.8290652802924047
YAL011W	0.990289399218763
YAL013W	1.0142879898822494
YAL014C	1.2776105730180694
YAL015C	1.149264062905787
YAL017W	1.107922408483699
YAL018C	1.1146837954370026
YAL019W	1.041491590838017
YAL020C	1.0671456753920463
YAL022C	1.0847663687400744
YAL023C	1.1526150014010128
YAL024C	0.90545770251906
YAL026C	0.9816037667659685
YAL027W	1.0230088736869063
YAL028W	0.9326812085923546
YAL029C	1.1317215083603815
YAL030W	0.9739933165198332
YAL031C	1.0710570536995723
YAL034C	0.8759674943992442
YAL036C	1.2224244604581265
YAL037W	0.9303952007068489
YAL040C	0.8499660169810739
YAL042C-A	1.1011314004339714
YAL042W	1.0032763196924477
YAL045C	0.9641334733914059
YAL046C	1.0034350569890607
YAL048C	0.9694289694926045
YAL049C	0.9317163191974042
YAL051W	1.1340782406750327
YAL053W	1.017844606329552
YAL054C	0.9754008431834388
YAL055W	0.9488921978966794
YAL056C-A	1.0383992301207456
YAL056W	1.1052604831711985
YAL058W	1.1199049873695601
YAL059W	1.0309208965356853
YAL060W	0.8553347699948539
YAL061W	0.81380409604926
YAL062W	0.8828040019182011
YAL064C-A	0.9490413613400446
YAL065C	1.0032408406332458
YAL066W	1.165420862270716
YAL067C	0.8116646165575412
YAL068C	0.8758937338082765
YAR002C-A	0.8574390139897167
YAR002W	0.9536147138304024
YAR003W	0.9857075280135105
YAR014C	0.7206753714232684
YAR015W	0.6771847421094556
YAR018C	0.8976944232039061
YAR020C	0.933963926221025
YAR023C	0.9893257491207446
YAR027W	1.0155038710972832
YAR028W	1.1243735787859865
YAR029W	1.0379767002114677
YAR030C	0.9598016772529485
YAR031W	0.713926743017323
YAR035W	0.9225242585136069
YAR042W	0.9088658437591037
YAR047C	0.9608508131064503
YAR050W	0.8378132756949299
YBL001C	0.9677880732086612
YBL003C	0.9370855923616968
YBL005W	0.571399414155382
YBL007C	1.2919930235176067
YBL008W	0.8519178135487571
YBL009W	0.7150706691112105
YBL010C	0.8424563381527539
YBL013W	0.8128611535944243
YBL015W	0.5943554224897583
YBL017C	1.0581108228354132
YBL019W	1.069297881202022
YBL021C	0.8778769985015433
YBL024W	1.0496006624650809
YBL027W	1.1896293566505343
YBL028C	0.9744839717431447
YBL029W	1.04511360224497
YBL031W	1.219029701291765
YBL032W	0.8817634725755336
YBL036C	0.9355413402833176
YBL037W	0.9326546293905338
YBL039C	0.9399294914350498
YBL042C	1.1178645317135767
YBL043W	1.072535908792875
YBL046W	0.9687053879376195
YBL047C	1.0894935239944121
YBL048W	0.9322456631785747
YBL049W	0.9128154998471188
YBL051C	0.9722020017056965
YBL053W	1.0736064521971513
YBL054W	0.8778264184180067
YBL055C	0.8785663307166031
