ORF	hap a | protein aggregates (synphilin-1) | standard [standard] | Zhao L~Liu B, 2016
YER115C	0.000
YER129W	0.000
YGL024W	0.000
YER155C	0.000
YDR245W	0.000
YGL252C	0.000
YOL067C	0.000
YLR320W	0.001
YNL076W	0.002
YML062C	0.020
YKL048C	0.004
YNL037C	0.001
YMR198W	0.000
YDR392W	0.002
YBR068C	0.000
YPR141C	0.001
YOR135C	0.002
YNL140C	0.001
YOR035C	0.002
YGL173C	0.001
YPL178W	0.000
YMR078C	0.003
YLR418C	0.000
YLR055C	0.000
YJL204C	0.002
YOL081W	0.000
YER016W	0.001
YOR136W	0.002
YGL167C	0.001
YNL199C	0.002
YPR135W	0.000
YHR191C	0.004
YIL047C	0.002
YMR304W	0.000
YNL198C	0.002
YKL074C	0.005
YER111C	0.000
YCL016C	0.005
YGL244W	0.000
YBR026C	0.001
YGL168W	0.005
YPR164W	0.000
YHR025W	0.009
YGL148W	0.001
YJL115W	0.001
YBR221C	0.013
YML032C	0.001
YDL074C	0.002
YPL106C	0.001
YDR369C	0.002
YGR078C	0.002
YMR224C	0.001
YJL175W	0.003
YER178W	0.007
YNL071W	0.014
YHR129C	0.000
YPL055C	0.007
YDR363W-A	0.021
YDL013W	0.016
YKL212W	0.001
YCR053W	0.003
YBR077C	0.006
YLL002W	0.009
YKL101W	0.012
YLL049W	0.005
YCR009C	0.011
YFL036W	0.025
YHR200W	0.002
YMR307W	0.003
YEL031W	0.003
YDR149C	0.001
YBR248C	0.000
YDL232W	0.002
YJR075W	0.023
YOR196C	0.006
YER019W	0.003
YLR315W	0.002
YOR080W	0.003
YGR163W	0.002
YEL003W	0.002
YLR242C	0.008
YBR076W	0.001
YAR003W	0.003
YDR150W	0.017
YLR182W	0.005
YDR293C	0.003
YMR294W	0.000
YOR221C	0.002
YDR207C	0.012
YHR041C	0.009
YOR070C	0.001
YPL069C	0.006
YDL035C	0.002
YBR078W	0.013
YJL071W	0.005
YNL171C	0.002
YBR171W	0.000
YGR092W	0.005
YDR463W	0.008
YPL174C	0.007
YKL113C	0.013
YNL141W	0.003
YBR036C	0.021
YLR233C	0.000
YPR069C	0.006
YPL061W	0.001
YLR200W	0.048
YPL008W	0.000
YPR119W	0.000
YMR263W	0.008
YOL052C	0.008
YAR015W	0.011
YMR039C	0.015
YGL127C	0.002
YKR082W	0.014
YPR120C	0.003
YML008C	0.002
YHR081W	0.009
YGR270W	0.009
YMR299C	0.001
YJL121C	0.002
YJR139C	0.031
YBR175W	0.002
YBL103C	0.026
YGL023C	0.003
YPR146C	0.000
YAL013W	0.001
YJL062W	0.006
YBR126C	0.000
YGL066W	0.002
YGR085C	0.000
YLR079W	0.000
YOR123C	0.010
YPL062W	0.029
YBR134W	0.012
YMR201C	0.007
YBR067C	0.000
YBL007C	0.004
YGL136C	0.004
YNL079C	0.005
YFR019W	0.002
YJR074W	0.022
YOR360C	0.000
YJR145C	0.004
YBR174C	0.004
YNL298W	0.005
YOR014W	0.004
YLR006C	0.018
YIL090W	0.002
YNL271C	0.016
YMR272C	0.003
YOL050C	0.001
YCL061C	0.008
YDR108W	0.010
YFL023W	0.007
YLR330W	0.004
YER057C	0.007
YDR378C	0.007
YOL004W	0.026
YER139C	0.001
YDR004W	0.002
YHR067W	0.001
YCR034W	0.020
YOR269W	0.002
YDR414C	0.007
YCR065W	0.002
YNL097C	0.015
YMR284W	0.003
YDR488C	0.010
YFL001W	0.008
YMR202W	0.002
YDL061C	0.002
YMR048W	0.004
YPR018W	0.010
YAL010C	0.005
YKR054C	0.007
YJL046W	0.010
YLR414C	0.001
YLR386W	0.001
YDR146C	0.002
YEL033W	0.008
YMR116C	0.019
YOL049W	0.017
YBR103W	0.004
YHR031C	0.006
YGL084C	0.010
YJL047C	0.041
YDL117W	0.003
YGL007W	0.007
YEL013W	0.042
YKL176C	0.002
YER188W	0.003
YMR207C	0.013
YBR189W	0.004
YJL128C	0.021
YHR154W	0.002
YER061C	0.015
YKL139W	0.019
YLR436C	0.014
YDR074W	0.005
YGL219C	0.020
YOL064C	0.004
YPR043W	0.005
YCR063W	0.005
YDR469W	0.015
YIL009C-A	0.009
YGR188C	0.002
