ORF	hom | growth (relative abundance in pooled culture) | Pn-AMP1 [3.2uM] | Kwon Y~Koo JC, 2016	het | growth (relative abundance in pooled culture) | Pn-AMP1 [3.2uM] | Kwon Y~Koo JC, 2016
YAL001C	NaN	0.670
YAL002W	0.070	NaN
YAL003W	NaN	-0.000
YAL004W	0.260	NaN
YAL005C	-0.000	NaN
YAL007C	0.150	NaN
YAL008W	0.040	NaN
YAL009W	0.110	NaN
YAL011W	-0.300	NaN
YAL012W	-2.890	NaN
YAL013W	-0.190	NaN
YAL014C	0.070	NaN
YAL015C	-0.070	NaN
YAL017W	0.450	NaN
YAL018C	-0.370	NaN
YAL019W	-0.000	NaN
YAL020C	-0.220	NaN
YAL021C	-2.100	NaN
YAL022C	-0.190	NaN
YAL023C	-0.790	NaN
YAL024C	-1.160	NaN
YAL025C	NaN	-1.840
YAL026C	-1.540	NaN
YAL027W	1.160	NaN
YAL028W	-0.040	NaN
YAL029C	-0.070	NaN
YAL030W	0.340	NaN
YAL031C	0.710	NaN
YAL032C	NaN	3.500
YAL033W	NaN	0.120
YAL034C	0.450	NaN
YAL034C-B	NaN	-0.000
YAL034W-A	NaN	-3.190
YAL035W	-2.740	NaN
YAL036C	0.340	NaN
YAL037W	0.560	NaN
YAL038W	NaN	-0.430
YAL040C	-4.460	NaN
YAL041W	NaN	-1.840
YAL042C-A	0.040	NaN
YAL042W	-0.040	NaN
YAL043C	NaN	1.780
YAL044C	0.110	NaN
YAL045C	0.070	NaN
YAL046C	-0.900	NaN
YAL047C	-0.220	NaN
YAL048C	0.110	NaN
YAL049C	-1.120	NaN
YAL051W	-0.040	NaN
YAL053W	1.120	NaN
YAL054C	-1.390	NaN
YAL055W	0.220	NaN
YAL056C-A	0.340	NaN
YAL056W	-0.520	NaN
YAL058W	0.190	NaN
YAL059W	0.490	NaN
YAL060W	-0.190	NaN
YAL061W	0.300	NaN
YAL062W	0.070	NaN
YAL064C-A	0.790	NaN
YAL065C	-0.040	NaN
YAL066W	-1.390	NaN
YAL067C	-0.220	NaN
YAL068C	-0.450	NaN
YAR002C-A	0.820	NaN
YAR002W	2.290	NaN
YAR003W	-0.340	NaN
YAR007C	NaN	-0.000
YAR008W	NaN	-0.060
YAR014C	-0.220	NaN
YAR015W	2.360	NaN
YAR018C	0.260	NaN
YAR019C	NaN	-0.310
YAR020C	0.410	NaN
YAR023C	-0.040	NaN
YAR027W	0.300	NaN
YAR028W	-0.190	NaN
YAR029W	0.260	NaN
YAR030C	-0.000	NaN
YAR031W	0.110	NaN
YAR035W	-0.410	NaN
YAR037W	0.220	NaN
YAR040C	-0.260	NaN
YAR042W	0.015	NaN
YAR043C	-0.150	NaN
YAR047C	-0.340	NaN
YAR050W	-3.220	NaN
YBL001C	1.310	NaN
YBL002W	0.150	NaN
YBL003C	-0.340	NaN
YBL004W	NaN	0.250
YBL005W	0.070	NaN
YBL006C	-2.770	NaN
YBL007C	0.900	NaN
YBL008W	1.570	NaN
YBL009W	1.650	NaN
YBL010C	-0.520	NaN
YBL011W	-1.420	NaN
YBL012C	-0.490	NaN
YBL013W	-0.260	NaN
YBL014C	NaN	-0.980
YBL015W	-0.260	NaN
YBL017C	-1.390	NaN
YBL018C	NaN	-0.000
YBL019W	-0.260	NaN
YBL020W	NaN	0.430
YBL021C	2.140	NaN
YBL022C	-1.690	NaN
YBL023C	NaN	0.490
YBL024W	-0.450	NaN
YBL026W	NaN	-0.490
YBL027W	0.150	NaN
YBL028C	-0.220	NaN
YBL029W	0.150	NaN
YBL030C	NaN	-0.800
YBL031W	-0.670	NaN
YBL032W	-0.640	NaN
YBL034C	NaN	-0.740
YBL035C	NaN	-0.920
YBL036C	0.750	NaN
YBL037W	-0.260	NaN
YBL039C	0.750	NaN
YBL040C	NaN	3.250
YBL041W	NaN	0.550
YBL043W	0.450	NaN
YBL044W	0.070	NaN
YBL046W	-2.140	NaN
YBL047C	0.710	NaN
YBL048W	-0.000	NaN
YBL049W	-0.070	NaN
YBL050W	NaN	0.550
YBL051C	-0.970	NaN
YBL052C	0.520	NaN
YBL053W	-2.290	NaN
YBL054W	-1.200	NaN
YBL055C	-0.110	NaN
YBL056W	-2.590	NaN
YBL057C	-0.260	NaN
YBL059W	-0.300	NaN
YBL060W	0.260	NaN
YBL061C	0.220	NaN
YBL062W	0.790	NaN
YBL063W	-0.220	NaN
YBL064C	-0.640	NaN
YBL065W	2.590	NaN
YBL066C	-0.450	NaN
YBL067C	0.260	NaN
YBL068W	-0.640	NaN
YBL069W	0.370	NaN
YBL070C	-0.940	NaN
YBL071C	0.600	NaN
YBL072C	0.300	NaN
YBL073W	NaN	-0.550
YBL074C	NaN	-1.780
YBL075C	0.220	NaN
