orf	hom | growth (relative abundance in pooled culture) | Pn-AMP1 [3.2uM] | Kwon Y~Koo JC, 2016	het | growth (relative abundance in pooled culture) | Pn-AMP1 [3.2uM] | Kwon Y~Koo JC, 2016
YAL001C		0.67
YAL002W	0.07	
YAL003W		0.0
YAL004W	0.26	
YAL005C	0.0	
YAL007C	0.15	
YAL008W	0.04	
YAL009W	0.11	
YAL011W	-0.3	
YAL012W	-2.89	
YAL013W	-0.19	
YAL014C	0.07	
YAL015C	-0.07	
YAL017W	0.45	
YAL018C	-0.37	
YAL019W	0.0	
YAL020C	-0.22	
YAL021C	-2.1	
YAL022C	-0.19	
YAL023C	-0.79	
YAL024C	-1.16	
YAL025C		-1.84
YAL026C	-1.54	
YAL027W	1.16	
YAL028W	-0.04	
YAL029C	-0.07	
YAL030W	0.34	
YAL031C	0.71	
YAL032C		3.5
YAL033W		0.12
YAL034C	0.45	
YAL034C-B		0.0
YAL034W-A		-3.19
YAL035W	-2.74	
YAL036C	0.34	
YAL037W	0.56	
YAL038W		-0.43
YAL040C	-4.46	
YAL041W		-1.84
YAL042C-A	0.04	
YAL042W	-0.04	
YAL043C		1.78
YAL044C	0.11	
YAL045C	0.07	
YAL046C	-0.9	
YAL047C	-0.22	
YAL048C	0.11	
YAL049C	-1.12	
YAL051W	-0.04	
YAL053W	1.12	
YAL054C	-1.39	
YAL055W	0.22	
YAL056C-A	0.34	
YAL056W	-0.52	
YAL058W	0.19	
YAL059W	0.49	
YAL060W	-0.19	
YAL061W	0.3	
YAL062W	0.07	
YAL064C-A	0.79	
YAL065C	-0.04	
YAL066W	-1.39	
YAL067C	-0.22	
YAL068C	-0.45	
YAR002C-A	0.82	
YAR002W	2.29	
YAR003W	-0.34	
YAR007C		0.0
YAR008W		-0.06
YAR014C	-0.22	
YAR015W	2.36	
YAR018C	0.26	
YAR019C		-0.31
YAR020C	0.41	
YAR023C	-0.04	
YAR027W	0.3	
YAR028W	-0.19	
YAR029W	0.26	
YAR030C	0.0	
YAR031W	0.11	
YAR035W	-0.41	
YAR042W	0.015000000000000003	
YAR047C	-0.34	
YAR050W	-3.22	
YBL001C	1.31	
YBL002W	0.15	
YBL003C	-0.34	
YBL004W		0.25
YBL005W	0.07	
YBL006C	-2.77	
YBL007C	0.9	
YBL008W	1.57	
YBL009W	1.65	
YBL010C	-0.52	
YBL011W	-1.42	
YBL012C	-0.49	
YBL013W	-0.26	
YBL014C		-0.98
YBL015W	-0.26	
YBL017C	-1.39	
YBL018C		0.0
YBL019W	-0.26	
YBL020W		0.43
YBL021C	2.14	
YBL022C	-1.69	
YBL023C		0.49
YBL024W	-0.45	
YBL026W		-0.49
YBL027W	0.15	
YBL028C	-0.22	
YBL029W	0.15	
YBL030C		-0.8
YBL031W	-0.67	
YBL032W	-0.64	
YBL034C		-0.74
YBL035C		-0.92
YBL036C	0.75	
YBL037W	-0.26	
YBL039C	0.75	
YBL040C		3.25
YBL041W		0.55
YBL043W	0.45	
YBL044W	0.07	
YBL046W	-2.14	
YBL047C	0.71	
YBL048W	0.0	
YBL049W	-0.07	
YBL050W		0.55
YBL051C	-0.97	
YBL052C	0.52	
YBL053W	-2.29	
YBL054W	-1.2	
YBL055C	-0.11	
YBL056W	-2.59	
YBL057C	-0.26	
YBL059W	-0.3	
YBL060W	0.26	
YBL061C	0.22	
YBL062W	0.79	
YBL063W	-0.22	
YBL064C	-0.64	
YBL065W	2.59	
YBL066C	-0.45	
YBL067C	0.26	
YBL068W	-0.64	
YBL069W	0.37	
YBL070C	-0.94	
YBL071C	0.6	
YBL072C	0.3	
YBL073W		-0.55
YBL074C		-1.78
YBL075C	0.22	
YBL076C		-1.41
YBL077W		-0.61
YBL078C	1.2	
YBL079W	3.15	
YBL081W	-1.01	
YBL082C	-1.5	
YBL083C	-3.37	
YBL084C		0.06
YBL085W	0.6	
YBL086C	0.15	
YBL087C	1.31	
YBL088C	-0.45	
YBL089W	0.6	
YBL091C	0.22	
YBL091C-A	0.34	
YBL092W		-0.06
YBL094C	-0.49	
YBL095W	0.22	
YBL096C	0.04	
YBL097W		-0.55
YBL098W	-0.04	
