ORF	hap a | mitotic recombination (frequency of Rad52 foci) | standard [standard] | Styles EB~Andrews BJ, 2016	hap a | mitotic recombination (frequency of Rad52 foci) | phleomycin [2.5 ng/uL] | Styles EB~Andrews BJ, 2016
YAL002W	0.237	4.392
YAL004W	0.127	0.415
YAL005C	-1.189	-1.608
YAL007C	-0.820	0.300
YAL008W	0.010	1.065
YAL010C	8.653	7.467
YAL011W	-1.221	-1.104
YAL013W	3.605	3.808
YAL014C	-0.784	0.323
YAL015C	-0.271	0.123
YAL017W	-0.442	0.298
YAL018C	-0.255	0.638
YAL019W	0.133	0.160
YAL020C	-1.213	-0.362
YAL022C	-0.377	0.513
YAL023C	-0.239	-0.523
YAL024C	0.216	0.262
YAL026C	1.290	2.913
YAL027W	1.194	0.208
YAL028W	-0.309	-0.312
YAL029C	-0.553	-0.231
YAL030W	0.238	-0.831
YAL031C	-0.241	-0.490
YAL034C	1.084	1.271
YAL036C	-0.331	-0.306
YAL037W	0.364	0.238
YAL040C	1.963	3.846
YAL042W	-0.366	-0.256
YAL043C-A	-0.519	-0.588
YAL045C	-0.377	-0.492
YAL046C	0.089	-0.468
YAL048C	1.469	0.676
YAL049C	-0.590	-0.646
YAL051W	-0.322	-0.865
YAL053W	0.971	-0.165
YAL054C	0.843	1.110
YAL055W	-0.287	-0.854
YAL056W	-0.582	0.402
YAL058C-A	1.068	0.079
YAL058W	-0.763	-0.312
YAL059W	-0.201	-0.181
YAL060W	-0.078	-0.013
YAL061W	-0.599	-1.850
YAL062W	-0.669	-1.238
YAL064C-A	-0.113	-0.590
YAL065C	0.197	0.377
YAL066W	0.648	-0.781
YAL067C	-0.262	0.296
YAL068C	-0.426	0.585
YAR002C-A	0.937	0.562
YAR002W	4.290	-0.029
YAR003W	1.643	-0.298
YAR014C	1.419	2.371
YAR015W	-3.057	11.550
YAR018C	-1.005	-1.088
YAR020C	-0.319	-1.040
YAR023C	-0.294	-0.840
YAR027W	-0.824	-0.631
YAR028W	1.380	0.496
YAR029W	0.456	0.885
YAR030C	0.091	-0.571
YAR031W	0.449	0.304
YAR035W	0.491	0.402
YAR037W	-0.124	-0.729
YAR040C	-0.393	-0.333
YAR042W	-1.120	-0.721
YAR043C	-0.649	-1.240
YAR044W	-0.044	-1.140
YAR047C	0.059	-0.465
YAR050W	-1.687	-0.329
YBL001C	-0.900	0.878
YBL003C	NaN	NaN
YBL005W	-1.511	-0.700
YBL007C	-1.662	1.277
YBL008W	-1.790	-1.721
YBL009W	0.599	-0.358
YBL010C	-0.806	0.454
YBL011W	0.013	0.202
YBL013W	-0.123	0.535
YBL015W	-0.012	0.410
YBL016W	2.447	-0.660
YBL017C	-0.994	-0.583
YBL019W	-0.179	-1.133
YBL021C	-0.797	-0.104
YBL024W	-1.744	-0.044
YBL025W	-4.877	8.959
YBL027W	0.284	0.323
YBL028C	-0.158	-0.606
YBL029W	-0.633	-0.692
YBL031W	-1.915	-2.158
YBL032W	-0.019	1.004
YBL036C	-0.095	-0.148
YBL037W	-0.163	0.663
YBL039C	-1.066	-0.321
YBL042C	-1.304	-0.358
YBL043W	-0.011	0.269
YBL046W	0.693	1.040
YBL047C	1.417	0.235
YBL048W	-0.507	-0.660
YBL049W	-0.517	-0.612
YBL051C	3.364	2.788
YBL052C	-0.320	1.383
YBL053W	0.158	-0.415
YBL054W	-0.821	-0.604
YBL055C	-0.391	0.879
YBL056W	0.249	-0.192
YBL057C	-0.034	-0.297
YBL059W	0.631	-0.827
YBL060W	-0.091	1.735
YBL061C	-0.111	1.306
YBL062W	-0.705	-1.412
YBL063W	-0.070	-0.146
YBL064C	0.868	0.917
YBL065W	-0.219	0.627
YBL066C	0.122	2.604
YBL067C	0.020	0.021
YBL068W	-0.180	0.650
YBL069W	-1.188	0.177
YBL070C	0.520	0.181
YBL071C	0.308	-0.323
YBL072C	3.548	3.015
YBL075C	-0.374	-0.804
YBL078C	0.334	3.196
YBL079W	-0.401	-0.842
YBL081W	0.242	0.577
YBL082C	-0.533	-0.946
YBL083C	0.155	0.371
YBL085W	0.019	-0.033
YBL086C	-0.987	-0.440
YBL087C	-0.506	-0.569
YBL088C	1.551	1.327
YBL089W	-0.234	0.798
YBL091C	-0.554	0.513
YBL091C-A	0.472	-0.954
YBL094C	-1.124	-0.925
YBL095W	-0.191	-0.356
YBL096C	-0.785	-1.512
YBL098W	0.396	-0.129
YBL100C	0.572	0.900
YBL101C	-0.040	-0.040
YBL102W	-0.114	0.298
YBL103C	-0.263	-1.317
YBL104C	-0.367	-0.735
YBL106C	-0.040	0.479
YBL107C	-1.341	24.279
YBR001C	4.000	9.650
YBR005W	-2.272	-2.672
YBR006W	-0.819	-1.012
YBR007C	-0.821	1.184
YBR008C	-0.094	0.008
YBR009C	0.189	1.535
YBR010W	1.399	2.040
YBR012C	-0.821	-0.498
YBR013C	-1.594	-1.927
YBR014C	-1.053	-0.412
YBR015C	0.169	-0.179
YBR016W	-1.612	-0.750
YBR018C	0.274	-1.542
YBR019C	-0.399	-0.985
YBR020W	-0.031	-0.118
YBR022W	-0.043	0.233
YBR023C	-1.915	-1.902
YBR024W	-0.159	0.867
YBR025C	0.129	1.996
YBR026C	2.300	7.228
YBR027C	-0.310	0.590
YBR028C	-0.744	-1.844
YBR030W	-0.377	-1.569
YBR031W	0.116	-0.625
YBR032W	0.726	-1.069
YBR033W	-0.622	-0.592
YBR034C	0.457	1.250
YBR036C	3.463	3.848
YBR040W	0.060	-0.517
YBR041W	0.240	-0.654
YBR042C	-0.245	0.125
YBR043C	0.877	-0.627
YBR044C	0.202	1.040
YBR045C	0.924	0.515
YBR046C	-0.181	0.700
YBR047W	0.629	0.523
