ORF	hap a | abundance of alanine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of aspartic acid | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of glutamate | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of phenylalanine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of glycine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of histidine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of isoleucine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of lysine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of leucine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of methionine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of asparagine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of proline | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of glutamine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of arginine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of serine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of threonine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of valine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of tryptophan | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of tyrosine | minimal [standard] | Mulleder M~Ralser M, 2016
YAL002W	7.576	6.024	29.799	0.173	1.669	5.519	0.347	1.018	0.141	0.149	1.151	1.530	38.744	5.001	2.228	3.830	1.354	0.022	1.064
YAL004W	5.886	5.036	23.628	0.281	1.793	3.916	0.408	0.662	0.275	0.142	1.053	1.165	27.583	2.375	2.284	3.953	1.323	0.041	3.181
YAL005C	5.903	4.827	23.024	0.300	1.847	4.765	0.411	0.708	0.313	0.137	1.121	1.149	22.609	2.697	2.153	3.712	1.367	0.043	2.725
YAL007C	5.882	5.406	20.391	0.259	1.884	5.554	0.358	0.946	0.283	0.094	1.290	1.162	28.794	2.876	2.415	3.968	1.232	0.039	2.659
YAL008W	5.838	4.682	19.303	0.287	2.367	7.125	0.425	1.245	0.352	0.108	1.224	1.126	26.755	4.705	2.785	3.852	1.204	0.055	1.466
YAL009W	6.127	4.964	20.357	0.274	2.053	6.555	0.390	1.025	0.317	0.120	1.197	1.143	30.354	4.267	2.742	3.647	1.284	0.046	1.850
YAL010C	16.635	9.339	14.274	0.405	2.654	6.004	0.348	0.765	0.190	0.067	1.525	0.862	16.449	5.471	1.412	3.843	0.870	0.092	14.635
YAL011W	5.942	4.929	21.472	0.293	1.872	5.387	0.420	0.843	0.256	0.137	1.181	0.993	24.665	3.870	2.017	3.996	1.481	0.037	2.112
YAL013W	5.943	5.153	23.671	0.309	1.828	3.245	0.387	0.932	0.329	0.093	1.238	1.211	23.033	2.455	1.997	3.597	1.157	0.042	4.176
YAL014C	5.988	4.599	18.860	0.297	2.553	5.317	0.380	0.741	0.243	0.143	1.293	0.995	24.869	3.770	2.387	3.996	1.404	0.043	2.747
