orf	hap a | abundance of alanine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of aspartic acid | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of glutamate | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of phenylalanine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of glycine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of histidine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of isoleucine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of lysine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of leucine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of methionine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of asparagine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of proline | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of glutamine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of arginine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of serine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of threonine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of valine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of tryptophan | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of tyrosine | minimal [standard] | Mulleder M~Ralser M, 2016
YAL002W	1.4056969144970386	1.379029057486835	2.583636894702267	-2.2093363589870085	-0.26914102839401	0.8144895651624968	-1.522237986007593	0.8545464276678609	-2.670946183099759	1.0379304457686378	-0.5221425282592236	2.902889247463613	2.7328506356278766	1.4551131596957176	-0.3296349616107518	-0.5321866826668438	0.054165189774553334	-2.4188016928318206	-1.6533853980425193
YAL004W	-0.12345285599612087	-0.0511882510923389	0.6605504497834617	-0.05311745842240504	-0.03826700238285466	-0.9170798027994349	0.3552143732530479	-0.2660777365852543	0.21633439846769534	0.7481546142559087	-1.2230687659390351	0.24077574760019577	-0.17128227694457776	-0.23688628246581703	-0.15345958874851318	-0.1814253324761453	-0.07307735994393477	0.24795732861402722	0.5823245229784426
YAL005C	-0.10783378435048141	-0.3530689391846822	0.47256259720706545	0.3320853348601265	0.06144008266085452	-0.000405843675997148	0.4507070866746283	-0.12215958964081616	1.0434414396609408	0.512699948229657	-0.7330570161067522	0.12250803652531453	-1.465586419915781	-0.029519700188963518	-0.5650703077132381	-0.8721436350504266	0.10647806073208005	0.5946232801698307	0.10102137233720979
YAL007C	-0.126712838468137	0.48449825961216886	-0.3479885765343476	-0.490000027370229	0.13075807473709006	0.8531920607137565	-1.1952974919741044	0.6288724451970135	0.40159890854591634	-1.3447246118118705	0.46792541396017856	0.21264136139735423	0.14375716853555445	0.08560528501780992	0.2560141693063814	-0.13960455630590776	-0.4427425222433314	-0.018994235814794674	0.031694212486674346
YAL008W	-0.16662788486546265	-0.5626405577064041	-0.6872416597000471	0.06242375540711672	1.0258438512518453	2.5500824399378526	0.8788631666489195	1.5704374288988625	1.892593734586739	-0.7202447195135329	0.0025943294877003747	-0.04851575214844375	-0.386748761702381	1.264153395562381	1.4170765731514356	-0.4716882229728085	-0.5550182621912518	2.3533550632063402	-1.2292042706701232
YAL009W	0.09476614528669888	-0.1541960490744398	-0.3585972991815564	-0.18908346523835903	0.4431081041534475	1.9343720601260415	-0.18079237897391912	0.8780426531433397	1.1333662217759233	-0.21337980872037196	-0.18958691479248035	0.07856995035860304	0.5496831659316829	0.9822398134034174	1.2841510675727792	-1.0574318291967872	-0.23231715404199946	1.045082929119578	-0.8230610869580759
YAL010C	9.604100433113432	6.176755017036479	-2.2542978835162124	2.4271340531021752	1.5585647302751546	1.339151344992824	-1.4942865247572807	0.057783016581120665	-1.6066217938183187	-2.524745624569812	2.146799472515443	-1.9735198035700814	-3.068464114680876	1.7582704641456937	-2.890668998894287	-0.49551149511563747	-1.9086940971407724	7.620633496781126	12.68184718885084
YAL011W	-0.07298648206783262	-0.2059547125621964	-0.011252351111848866	0.18969661583186315	0.10859053587659241	0.6721049500052828	0.7292320882488876	0.3043510412964864	-0.18202075813921803	0.5323803300963179	-0.306351661521937	-1.0182144619355311	-0.9307021755475143	0.7265495663853565	-0.9919364960680901	-0.056978241956617943	0.5683878637210303	-0.30526172756956366	-0.5467238310798697
YAL013W	-0.0719183755396248	0.11906863270079589	0.673946185807077	0.505364814120414	0.026607980903740554	-1.642004776198077	-0.2738307683559644	0.5827370094644285	1.4002127058548561	-1.3974331052949742	0.10236990773883071	0.577172147582323	-1.355348491149762	-0.18583385649178616	-1.0533335862162545	-1.1995027504035185	-0.745604573185025	0.48704200184837554	1.6342054194675826
YAL014C	-0.031230601358072513	-0.6826576641170886	-0.8251627865498102	0.2626154796807705	1.3712684852393493	0.5966567421196749	-0.48852684405353475	-0.017843680787346817	-0.45515316273205086	0.7915014161157116	0.48940007560542287	-1.0037048269742472	-0.8775249110437823	0.6616208756373042	0.1682581840001862	-0.056978241956617943	0.25582098805006614	0.5441529832625862	0.1238478114452477
YAL015C	-0.21031394220172422	-0.39432583188067033	-0.46885376434683607	-0.2140279203609073	0.8430893016821555	0.6823584249628057	0.18137139492504956	-0.003393782670006354	0.5393777446891715	0.07560497997826801	0.27585334852631066	-0.05943185142990363	-0.6447988398602743	0.23698889480817847	-0.02099367731972944	-0.04462655932033829	0.030840537091612767	0.2560514042464745	-0.19764995178278416
YAL016C-B	-0.49204893055258375	0.1371842459451976	0.14180592565173344	-0.40144642519712603	0.077866452890786	-0.03040878383324422	-0.5044617960468509	0.40665526003826763	0.5075711040472897	0.23179345573772897	0.0025943294877003747	1.434912192700405	0.27625775279261167	-0.5102783594936875	0.268741874911726	-0.2832460934426425	-0.3595635772043229	-0.5971386779510115	0.09030967701806171
YAL017W	-0.1324371959102908	-0.15228879317984798	0.36152743690059735	-0.21533028966635276	0.2488962588115022	0.16977560488830817	-0.32997613899465705	0.012309851472316105	0.18845506912662355	0.23496558966513184	0.20667461249543173	0.7034854858504415	0.6909872036098682	-0.3394482407288782	-0.5640046509341858	0.11595721234346475	0.030310907667085295	-0.018994235814794674	-0.35318765230898924
