orf	hom | growth (relative abundance in pooled culture) | Osmotic Stress-Sorbitol (glucitol [0.6 M]) | Gonzalez R~Valero E, 2016	hom | growth (relative abundance in pooled culture) | High Osmostic Stress-Glucose (glucose [200 g/L]) | Gonzalez R~Valero E, 2016
YAL002W	-0.03708222874571107	0.2819407545748754
YAL004W	-0.009291116255050504	0.07936326696561097
YAL005C	-0.03745311444708021	0.11398761871179598
YAL007C	0.03815591273912442	0.19217494416317416
YAL008W	0.02249949591560006	0.10459604643466551
YAL009W	0.12890161134417744	0.924269012284213
YAL010C	0.4495520201928791	0.33018698984091166
YAL012W	-5.562003899663323	0.28188787029695184
YAL013W	-6.111704567897453	0.17638471206237064
YAL014C	-0.0748596479717001	0.1285635469934893
YAL015C	0.10873520939851995	0.17275918007668892
YAL016C-B	0.24960485257203016	0.08274222438564201
YAL017W	0.019009650130620965	0.13717323950054844
YAL018C	0.044528835533203796	0.14188622726306208
YAL019W	-0.007555424904843537	0.10742140457752315
YAL020C	0.019085671466480134	0.09837249748038643
YAL021C	-5.562003899663323	-6.132961923597802
YAL022C	0.09767270963564438	0.07472617376702362
YAL023C	0.21504823919174365	0.05104598684133884
YAL024C	0.4158749526440929	0.5312129909052362
YAL026C	-6.149392476592924	0.816867226394484
YAL029C	0.042730916604989844	0.07726514105885125
YAL030W	0.12118152031329721	0.18169650493970055
YAL031C	0.09101233215480437	0.15291130660646646
YAL034C	0.0037697918524009174	0.11237012945920449
YAL036C	0.04629657322975581	0.15196120538802632
YAL037C-A	0.14209669783598483	-0.22085307661418654
YAL037W	0.05373612691413572	0.20765060405286692
YAL040C	0.23824471577445025	0.12110558242988267
YAL042C-A	0.04643686279924799	0.13654624125567769
YAL042W	-0.039932638947127605	0.08683977211442595
YAL044W-A	0.12413709051804891	-0.07879985882439028
YAL045C	0.08273941244440834	0.15025202895678608
YAL046C	0.14835935966210712	0.21030466607146892
YAL047C	0.46903022706555	-6.132961923597802
YAL048C	-0.10772613068673696	-0.027774430391319892
YAL049C	0.08029928778340253	0.19682151619026156
YAL051W	0.11873170945434773	0.14295504974913983
YAL053W	0.015460643592411154	0.1505112823834857
YAL054C	-0.00732419466341852	0.1052270949420496
YAL055W	-0.14345868436932663	0.11309782233510263
YAL056C-A	-0.042332295342062	0.15000515782564552
YAL056W	-0.05518424299121065	0.03944760108314125
YAL058W	-0.008748628374724024	0.08979484480160164
YAL059W	0.05925343182148395	0.2967699603756755
YAL060W	0.0981865624328161	0.16884539694953812
YAL061W	0.01638233249125986	0.23830996150858824
YAL062W	0.0544038923974154	0.18251141720915406
YAL064C-A	0.04077275077774986	0.17575826279876272
YAL065C	0.0020602493937225148	0.10252876558250738
YAL066W	0.008696006134655059	0.18238979828827506
YAL067C	-0.0007409467447771956	0.12178357860104133
YAL067W-A	0.14895521672769674	0.01692537028150556
YAL068C	0.011703032417674394	0.09596945672249314
YAR002C-A	0.062135856583939476	0.009140589792933657
YAR002W	0.016719477637629408	-0.0054423986787337465
YAR003W	-0.21478709626945272	0.14316512327833705
YAR014C	0.17265764061965438	0.12757136855791656
YAR015W	0.014412223861917574	-6.132961923597802
YAR018C	0.09269540132510215	0.2156398538063062
YAR020C	0.02191457601362344	0.18475864410383058
YAR023C	0.08517428416591828	0.17573301868507785
YAR027W	0.05907172349093895	0.08114486991539252
YAR028W	0.020600601725049048	0.13715038601864205
YAR029W	0.04677536139930105	0.14012284347008333
YAR030C	0.016397352071862388	0.18962541533596866
YAR031W	-2.1410892036457182e-05	0.10097683538963255
YAR035C-A	0.044979627781946405	-0.09183791048284037
YAR035W	0.055174706329982545	0.16349526193360955
YAR042W	0.028258448778691873	0.11597601736589414
YAR047C	0.06476533207109497	0.10717586709022825
YAR050W	-0.07365010036416723	0.06456580577878172
YBL002W	-0.0006444330905870247	0.09346410998191684
YBL003C	-0.020749204627480988	0.0036980122349074955
YBL006C	-0.3111920933010387	0.010624285498616501
YBL007C	0.3398782331243931	-0.21004464513213617
YBL008W	-0.20833789641769962	-0.0869000133344739
YBL008W-A	0.2012514940570219	-0.05954191748640685
YBL009W	0.09193038189349569	0.10823600149855737
YBL010C	0.07222607644825287	0.12078209374473763
YBL011W	0.22314339200484326	0.16136354544568723
YBL012C	0.237060130075409	0.23701749223562138
YBL013W	0.05842196852707293	0.12722511434805653
YBL015W	-0.04017994177782417	-0.08525549219607137
YBL017C	0.17610167627258794	0.06448041428261582
YBL019W	0.06077011725002462	0.08840884655068645
YBL021C	0.21928647213256297	0.07990750267677192
YBL022C	-0.04940963419163637	-0.19397643630109168
YBL024W	0.10825520559958306	-0.04544904824044178
YBL028C	0.07084767726633436	-0.0010818973590844448
YBL029C-A	-0.018546923007787777	-0.025803380766592037
YBL029W	0.028511331052480656	0.03133529724685616
YBL031W	-0.10875284597849072	0.04938804964150114
YBL032W	-0.057344523541736955	-0.029652646849059546
YBL033C	-5.562014914095472	-6.132972380209882
YBL036C	0.0077857696669160455	0.06899910085404604
YBL037W	0.031291017164258014	0.015728799646824304
YBL038W	0.02608777730813738	-0.1621590710298318
YBL039W-B	0.21022799156453637	0.10149247782143049
YBL043W	0.10248447363026392	0.12282730333288558
YBL046W	-0.030113008543832934	-0.12930866161775736
YBL048W	0.05819915604752664	0.10054361214637393
YBL049W	-0.035442613343437436	0.12671872990752384
YBL051C	0.06809074288573307	0.04302251177504368
YBL053W	0.0032993636790931693	0.01731684360715488
YBL054W	0.03537597977586331	0.05794404045645784
YBL055C	0.08993939394745272	0.0960144048676817
YBL056W	0.005030506225956283	0.011938240419401641
YBL057C	0.08623936955234084	0.10850280936987687
YBL059W	0.08624883251548163	0.09272982115436004
YBL060W	0.10101317094661257	0.13775412350380206
YBL061C	0.028353260617129273	0.026656483372829953
YBL062W	0.04056405753210971	0.04424074184058842
YBL063W	0.02658212867483752	0.0019048122047309597
YBL064C	0.03953909228639866	0.049656324297360145
YBL065W	-0.17479288882028404	-0.039494015054205196
YBL066C	-0.03746483218537456	0.06028795790395874
YBL067C	-0.1941078216377148	0.044580710417123255
YBL068W	0.07468388580570742	0.007763883951471158
YBL070C	0.04111361419218778	0.04155705783778764
YBL071C	0.10618416080288891	-0.003512320734120989
YBL071C-B	0.21398724354965662	0.07291965695652732
YBL071W-A	-6.263851989150963	-6.912288678834775
YBL072C	0.16810871963595533	0.0551817352110503
YBL078C	0.046238953237558146	0.11198501942564422
YBL079W	0.09106258953161325	0.20546631570413915
YBL081W	0.06324683135234238	0.07084990412081195
YBL082C	0.3423543004188221	0.3061663738436734
YBL083C	0.30457616034266516	0.3065193632500614
YBL085W	0.04584405942731172	0.09530962320003379
YBL087C	0.1549981174105089	0.10620244270722394
YBL088C	0.09451143586490235	0.057029968068027966
YBL089W	0.21296984704598054	0.12991132605743286
YBL090W	0.10145760713052361	-0.057662019099239924
YBL091C	0.12731546863659216	0.10261831701692321
YBL091C-A	-0.025647194347919483	0.12056801996755222
YBL094C	0.07337301623835744	0.018988984457381414
YBL095W	0.08885387617892598	-0.032592296233067
YBL096C	0.19316132315805648	0.12849997876794125
YBL098W	0.18128755152353823	0.017505513380499386
YBL099W	0.02184925145176108	7.087010358781162
YBL100C	-0.010870060592253747	-0.010708677460308895
YBL100W-C	0.14489977119733158	0.04330072389612645
YBL102W	0.20594121413697805	0.30881862256022097
YBL103C	5.794038650621186	6.259201320848415
YBL106C	0.06473678381020703	-0.017013189316169405
YBL107C	0.14527733110584196	0.05684551851357322
YBR001C	0.12210375071136054	0.09969149591865821
YBR003W	0.15968059276732238	0.023615329097573832
YBR007C	0.08764786723006132	0.022107925898413757
YBR008C	0.07307999571471176	0.028464642709178027
YBR009C	-0.041429174276857154	-0.02843316280356542
YBR010W	0.01999492194577835	-0.037818437117748974
YBR013C	0.06976147456829292	0.014147322623166083
YBR014C	0.1163178926708986	0.06544002186371461
YBR016W	0.14665783102123656	0.14406250866557802
YBR018C	0.032572532770812714	-0.004042068834529108
YBR019C	0.04803330069127345	-0.02467372888867967
YBR022W	0.09044909911746722	-0.04339386328830996
YBR024W	0.13615221091419386	0.004072559504763851
YBR025C	0.23404708946734532	0.19160941253384456
YBR026C	0.03935323793460524	-0.03999850133261363
YBR028C	0.08717636989706777	0.0060002797724319845
YBR030W	0.11781666984819061	0.22421411248362125
YBR031W	0.10909569775357765	0.10120610827835347
YBR032W	0.09154983657644933	0.013969479475589242
