ORF	hap a | number of peroxisomes | standard [standard] | Yofe I~Thoms S, 2017	hap a | peroxisomes distribution | standard [standard] | Yofe I~Thoms S, 2017
YDL065C	0.610	17.920
YKR001C	0.990	23.830
YOL044W	1.110	9.180
YNL329C	1.120	11.470
YOR193W	1.160	18.180
YKL197C	1.200	9.510
YDR265W	1.280	11.670
YMR204C	1.320	16.900
YGR077C	1.320	13.580
YJL210W	1.330	11.970
YCL056C	1.400	13.230
YPL112C	1.400	9.670
YMR026C	1.470	11.240
YMR205C	1.480	19.880
YMR163C	1.490	11.570
YJL211C	1.520	11.290
YLR191W	1.610	10.720
YGR168C	1.680	10.520
YDR233C	1.760	8.470
YLR126C	1.790	9.340
YPR128C	1.800	11.690
YGL152C	1.870	13.360
YOR084W	1.880	8.490
YGR151C	1.890	7.980
YFL025C	1.900	13.060
YMR264W	1.910	7.750
YOR023C	1.920	8.500
YHR014W	1.930	9.410
YHR039C	1.940	9.510
YGR227W	1.950	9.260
YOR304W	1.960	9.310
YOR047C	1.970	8.810
YMR302C	1.970	8.400
YMR282C	1.970	8.210
YEL048C	1.970	13.660
YOR012W	1.970	8.060
YOR024W	1.970	7.760
YOR214C	1.980	14.490
YDR094W	1.980	7.940
YMR031C	1.980	8.670
YOR131C	1.980	8.700
YKL160W	1.980	6.610
YOR083W	1.990	10.640
YJL130C	2.000	10.830
YKL142W	2.000	7.280
YLR408C	2.000	8.830
YPL221W	2.000	9.560
YDR371W	2.000	9.340
YHR158C	2.000	8.160
YJR020W	2.000	9.450
YOR072W	2.000	8.260
YKL062W	2.000	7.700
YPL092W	2.000	8.610
YPL245W	2.000	7.490
YMR305C	2.010	9.790
YEL059W	2.010	7.090
YBR187W	2.010	7.760
YGL209W	2.010	7.890
YDR239C	2.010	8.260
YPL105C	2.010	10.280
YDR067C	2.020	8.940
YDR097C	2.030	8.270
YLR313C	2.030	6.840
YMR241W	2.030	8.070
YOL014W	2.030	8.250
YNL265C	2.030	7.750
YNR075W	2.040	11.090
YOR134W	2.040	12.410
YDR403W	2.040	7.350
YIL039W	2.040	11.850
YDR090C	2.040	7.370
YOR296W	2.040	7.620
YOR011W	2.040	8.020
YNL255C	2.040	8.160
YMR265C	2.040	7.720
YCL055W	2.040	8.570
YDR485C	2.040	11.230
YOR003W	2.050	7.350
YLR282C	2.050	7.540
YOL057W	2.050	7.380
YLR085C	2.050	7.510
YMR022W	2.050	8.210
YIL062C	2.060	14.550
YNL249C	2.060	7.770
YHL031C	2.060	9.590
YNL223W	2.060	9.190
YMR276W	2.060	8.300
YOR082C	2.060	11.360
YOL029C	2.060	7.960
YNL289W	2.060	9.290
YPL108W	2.060	8.380
YOR042W	2.060	8.820
YGR133W	2.060	6.810
YOR019W	2.060	7.630
YOR320C	2.070	8.820
YNL281W	2.070	10.560
YDR266C	2.070	9.800
YPR132W	2.070	7.000
YKL157W	2.160	8.420
YGL250W	2.070	9.340
YLR335W	2.070	7.480
YMR016C	2.070	9.430
YOL025W	2.080	10.740
YBR183W	2.080	7.960
YKR105C	2.080	12.060
YNR053C	2.080	11.740
YOR085W	2.080	6.910
YLR144C	2.080	9.350
YER051W	2.080	8.840
YKL086W	2.080	7.860
YOR328W	2.080	8.370
YDR349C	2.080	8.820
YOL071W	2.080	10.350
YPR197C	2.080	10.230
YDL056W	2.080	10.440
YCL069W	2.090	9.080
YKL179C	2.090	7.080
YBR223C	2.090	8.240
YNL294C	2.090	10.410
YGR217W	2.090	10.920
YMR020W	2.090	7.700
YNL327W	2.090	8.470
YPL185W	2.090	8.780
YOR279C	2.090	7.470
YOR303W	2.090	4.560
YHR111W	2.100	11.930
YOR099W	2.100	7.970
YLR380W	2.100	7.290
YLR266C	2.100	9.000
YLR420W	2.100	8.660
YGR123C	2.100	10.620
YGR035C	2.100	7.560
YMR259C	2.100	8.340
YGL224C	2.100	8.890
YOR165W	2.100	8.250
YJR021C	2.100	9.090
YOR092W	2.100	8.140
YOR230W	2.100	8.320
YDR057W	2.100	7.330
YAL011W	2.100	9.360
YMR307W	2.100	7.380
YOL056W	2.100	9.720
YML041C	2.100	11.940
YOR298W	2.100	8.650
YOL060C	2.100	7.080
YCL040W	2.110	8.410
YKL185W	2.110	8.790
YOL105C	2.110	12.130
YLR329W	2.110	7.730
YOR299W	2.110	9.210
YOR018W	2.110	7.390
YBR260C	2.110	9.310
YOR343C	2.110	7.850
YMR262W	2.110	8.540
YOL069W	2.110	11.090
YOR005C	2.110	7.080
YLR386W	2.110	10.220
YHR049C-A	2.110	7.810
