orf	hap a | number of peroxisomes | standard [standard] | Yofe I~Thoms S, 2017	hap a | peroxisomes distribution | standard [standard] | Yofe I~Thoms S, 2017
YAL002W	-0.7760238667487444	-0.7286327721523823
YAL004W	-0.11621613463387055	-0.005615030429097555
YAL005C	-1.0646897495490033	0.03798402937331129
YAL007C	-0.4048820174341277	-0.40527307861784806
YAL008W	0.543591597481005	-0.5760360628439504
YAL009W	1.1209233630815212	-0.28537566416122295
YAL010C	0.7497815137669027	4.41242302954836
YAL011W	-1.3533556323492606	0.25234607340182275
YAL013W	3.8013922747982005	0.76463502608013
YAL014C	0.2961636979379267	0.13244865894519764
YAL015C	0.6673055472525433	0.008917989505038509
YAL017W	0.08997378165202899	0.14334842389580033
YAL018C	-0.6935479002343867	-0.0637471101656431
YAL019W	-0.2399300844054088	-0.03468107029737033
YAL020C	0.2549257146807479	-0.023781305346768283
YAL021C	1.2033993295958807	0.6883366714259144
YAL022C	-0.5285959672056678	-0.33987448891423416
YAL023C	-0.6523099169772061	0.0052847345215044925
YAL026C	1.615779162167676	0.5829722769034253
YAL027W	0.2549257146807479	-0.1327789548527907
YAL028W	0.08997378165202899	-0.481571433272064
YAL029C	0.2961636979379267	0.14334842389580033
YAL030W	-0.5698339504628466	-0.2817424091776889
YAL031C	-1.0646897495490033	0.06341681425805004
YAL034C	0.00749781513766954	-0.4270726085190525
YAL036C	0.00749781513766954	-0.2962754291118253
YAL037W	-0.28116806766258945	-0.6523344174981663
YAL039C	1.2033993295958807	2.915521976332314
YAL040C	1.6570171454248568	-0.1836445246222682
YAL042C-A	0.41987764770946495	0.13608191392873165
YAL042W	-0.7347858834915655	0.027084264422709236
YAL044C	1.5745411789104973	-0.3071751940624273
YAL045C	-0.4048820174341277	0.11064912904399354
YAL046C	0.00749781513766954	0.15424818884640237
YAL048C	0.9972094133099811	-0.39437331366724565
YAL049C	0.1312117649092078	-0.4634051583543936
YAL051W	-0.15745411789104935	-0.565136297893348
YAL053W	0.4611156309666456	-0.20544405452347297
YAL054C	0.08997378165202899	1.029862639878119
YAL055W	-0.817261850005925	-0.2526763693094161
YAL056C-A	-0.32240605091976826	0.48850764733153895
YAL056W	-0.32240605091976826	-0.08917989505038186
YAL058W	0.37863966445228614	-0.3253414689800981
YAL059W	0.04873579839484835	0.08521634415925479
YAL060W	-0.3636440341769489	-0.3326079789471661
YAL061W	-0.11621613463387055	-0.28537566416122295
YAL062W	0.2961636979379267	-0.31807495901302973
YAL064C-A	0.1312117649092078	0.9680973051580395
YAL065C	-0.28116806766258945	0.0052847345215044925
YAL066W	-0.5698339504628466	-0.1763780146552002
YAL067C	-0.4873579839484872	-0.2490431143258818
YAL068C	-0.4873579839484872	-0.5324370030415412
YAR002C-A	0.2961636979379267	0.7828013009978008
YAR002W	-0.11621613463387055	-0.3435077438977685
YAR014C	0.5848295807381839	0.44490858752913015
YAR015W	1.2446373128530595	0.18331422871467515
YAR018C	0.2961636979379267	0.5684392569692893
YAR020C	1.0796853798243407	0.917231735388562
YAR023C	0.00749781513766954	-0.212710564490541
YAR027W	-0.6110719337200272	-0.15457848475399544
YAR028W	-0.5698339504628466	-0.43797237346965484
YAR029W	-0.11621613463387055	-0.2272435844246777
YAR030C	-0.19869210114823	-0.3471409988813025
YAR031W	-0.2399300844054088	-0.561503042909814
YAR035W	-0.28116806766258945	-0.212710564490541
YAR042W	-0.3636440341769489	0.21238026858294792
YAR047C	0.08997378165202899	0.16514795379700442
YAR050W	-0.19869210114823	1.0007966000098463
YBL001C	-0.5285959672056678	-0.2962754291118253
YBL002W	3.9663442078269195	1.1097942495158692
YBL003C	-0.19869210114823	-0.0019817754455635395
YBL005W	-0.9409757997774633	-0.06738036514917713
YBL006C	1.5333031956533167	2.283335609197381
YBL007C	1.5333031956533167	0.2886786232371642
YBL008W	0.2549257146807479	0.7028696913600504
YBL009W	0.8322574802812622	0.10338261907692486
YBL010C	-0.15745411789104935	-0.11824593491865464
YBL011W	-0.28116806766258945	0.36861023287491385
YBL012C	0.2549257146807479	0.5357399621174824
YBL013W	0.1312117649092078	0.33591093802310706
YBL015W	-0.7760238667487444	-0.5251704930744732
YBL017C	0.1312117649092078	-0.12551244488572266
YBL019W	-0.6935479002343867	0.12154889399459559
YBL021C	1.4920652123961378	0.25597932838535675
YBL022C	1.327113279367419	3.907400586837122
YBL024W	-0.4048820174341277	0.34681070297370914
YBL027W	1.1209233630815212	0.2995783881877663
YBL028C	-0.8997378165202844	0.2378130534676867
YBL029W	-0.3636440341769489	0.008917989505038509
YBL031W	0.08997378165202899	-0.15457848475399544
YBL032W	-0.44612000069130836	-0.33987448891423416
YBL036C	-0.9409757997774633	-0.15457848475399544
YBL037W	0.6260675639953646	-0.18727777960580225
YBL038W	0.543591597481005	4.655851113445145
YBL039C	0.2961636979379267	0.5393732171010165
YBL042C	-0.07497815137668991	1.1715595842359487
YBL043W	-0.2399300844054088	0.32501117307250504
YBL044W	0.5848295807381839	0.3141114081219023
YBL045C	0.8734954635384429	1.167926329252415
YBL046W	0.5848295807381839	0.02345100943917522
YBL047C	0.17244974816638844	-0.27447589921062054
YBL048W	0.17244974816638844	-0.3653072737989729
YBL049W	-0.5698339504628466	-0.012881540396165589
YBL051C	0.04873579839484835	1.3604888433797215
YBL052C	-0.11621613463387055	-0.020148050363234266
YBL053W	-0.28116806766258945	-0.07101362013271113
YBL054W	-0.0337401681195111	0.7900678109648688
YBL055C	0.9147334467956216	0.2995783881877663
YBL056W	0.7910194970240834	0.07431657920865209
YBL057C	0.1312117649092078	0.3904097627761186
YBL058W	1.1209233630815212	0.8627329106355504
YBL059W	0.08997378165202899	-0.08554664006684785
YBL060W	-0.15745411789104935	-0.10371291498451793
YBL061C	-0.6110719337200272	-0.2635761342600182
YBL062W	-1.3121176490920816	-0.0637471101656431
YBL063W	-0.3636440341769489	0.05615030429098201
YBL064C	0.04873579839484835	-0.11097942495158661
YBL065W	0.543591597481005	0.48850764733153895
YBL066C	0.2961636979379267	-0.10007966000098391
YBL067C	0.6673055472525433	0.31774466310543636
YBL068W	-0.4048820174341277	0.6084050617881641
YBL069W	-0.44612000069130836	0.3068448981548343
YBL070C	0.6260675639953646	0.3141114081219023
YBL071C	0.1312117649092078	0.20874701359941392
YBL072C	-0.2399300844054088	0.03435077438977727
YBL075C	0.2961636979379267	-0.2454098593423478
YBL078C	-0.0337401681195111	-0.22361032944114304
YBL079W	1.0796853798243407	-0.4634051583543936
YBL080C	1.9456830282251139	3.5731411283519847
