ORF	hap a | expression level of a gene (PHO84pr-YFP) | inorganic phosphate [50 uM] | Choi J~O'Shea EK, 2017	hap a | expression level of a gene (PHO84pr-YFP) | inorganic phosphate [1 mM] | Choi J~O'Shea EK, 2017
YAL002W	1.400	-0.494
YAL004W	-0.567	0.111
YAL005C	-0.485	0.139
YAL007C	1.169	-0.012
YAL008W	0.141	0.016
YAL009W	0.162	0.017
YAL010C	0.206	0.077
YAL011W	1.233	-0.106
YAL012W	0.169	0.247
YAL013W	1.470	0.246
YAL014C	0.587	-0.031
YAL015C	-0.501	0.081
YAL016C-B	0.143	-0.046
YAL016W	-0.854	NaN
YAL017W	-0.084	0.105
YAL018C	-0.268	0.042
YAL019W	-0.508	-0.081
YAL021C	NaN	0.935
YAL022C	-0.580	-0.016
YAL023C	1.959	0.160
YAL024C	-0.156	-0.011
YAL026C	1.513	-0.114
YAL027W	-0.371	-0.029
YAL028W	-0.647	-0.161
YAL029C	0.489	0.062
YAL030W	0.060	-0.031
YAL031C	-0.429	-0.032
YAL034C	-0.259	0.061
YAL035W	-0.736	0.018
YAL036C	-0.264	-0.021
YAL037C-A	-1.318	-0.109
YAL037W	-0.113	0.027
YAL039C	0.309	-0.086
YAL040C	1.232	0.029
YAL042C-A	0.471	-0.170
YAL042W	-0.531	-0.119
YAL044C	-2.049	0.149
YAL044W-A	-0.133	-0.033
YAL045C	-0.034	0.042
YAL046C	1.546	0.209
YAL048C	-0.009	-0.035
YAL049C	-0.337	0.101
YAL054C	0.013	0.127
YAL055W	-0.948	0.011
YAL056C-A	0.760	-0.097
YAL056W	-0.524	0.080
YAL058W	0.982	-0.264
YAL059W	-0.382	0.061
YAL060W	0.061	-0.017
YAL061W	-0.677	-0.107
YAL062W	0.903	0.017
YAL064C-A	-0.392	-0.039
YAL065C	0.026	0.015
YAL066W	-0.312	0.110
YAL067C	-1.013	-0.172
YAL067W-A	-0.049	0.003
YAL068C	-0.062	-0.009
YAR002C-A	-0.316	-0.020
YAR003W	-1.875	NaN
YAR014C	1.730	-0.267
YAR015W	1.517	-0.030
YAR018C	1.313	-0.137
YAR020C	0.237	0.051
YAR023C	-0.011	-0.023
YAR027W	0.294	0.151
YAR028W	0.133	0.034
YAR029W	-0.720	-0.025
YAR030C	-0.364	0.092
YAR031W	-0.689	0.073
YAR035C-A	0.014	0.045
YAR035W	0.079	0.109
YAR037W	0.106	0.047
YAR040C	-0.526	-0.019
YAR042W	0.698	-0.034
YAR043C	0.215	-0.070
YAR047C	-0.493	0.118
YAR050W	-0.518	0.051
YBL001C	0.258	0.334
YBL002W	0.471	-0.015
YBL003C	0.222	-0.148
YBL005W	0.009	0.039
YBL006C	1.253	1.965
YBL007C	0.224	-0.323
YBL008W	0.195	0.438
YBL008W-A	-0.022	0.008
YBL009W	0.085	0.019
YBL010C	0.803	-0.127
YBL011W	0.020	-0.001
YBL012C	0.990	-0.002
YBL013W	0.411	-0.110
YBL015W	0.741	0.013
YBL017C	0.788	-0.065
YBL019W	-0.350	-0.067
YBL021C	1.011	0.096
YBL022C	1.190	-0.072
YBL024W	0.667	-0.098
YBL027W	-2.824	-0.325
YBL028C	0.107	-0.104
YBL029C-A	-0.033	-0.006
YBL029W	-0.083	-0.055
YBL031W	0.015	-0.075
YBL032W	1.216	-0.187
YBL036C	0.474	-0.022
YBL037W	-0.498	-0.047
YBL038W	0.679	-0.040
YBL039C	0.330	-0.031
YBL039W-B	-0.032	0.003
YBL042C	-0.739	-0.081
YBL043W	-0.167	0.006
YBL044W	0.180	-0.041
YBL045C	0.656	-0.032
YBL046W	0.468	-0.248
YBL047C	0.355	-0.197
YBL048W	-0.201	0.035
YBL049W	0.311	-0.010
YBL051C	-0.177	-0.138
YBL053W	0.105	0.038
YBL054W	0.543	0.142
YBL055C	-0.249	0.047
YBL056W	0.594	-0.033
YBL057C	0.271	0.023
YBL059W	0.253	0.066
YBL060W	-0.067	0.035
YBL061C	1.720	-0.006
YBL062W	1.731	0.071
YBL063W	-0.761	-0.023
YBL065W	1.554	0.124
YBL066C	1.509	0.226
YBL067C	-1.528	0.169
YBL068W	-0.063	-0.192
YBL069W	0.153	-0.020
YBL070C	-0.289	0.105
YBL071C	-0.663	-0.124
YBL071W-A	-1.651	-0.036
YBL072C	-1.398	-0.396
YBL073W	-0.590	-0.746
YBL075C	-0.113	0.130
YBL078C	0.526	0.077
YBL079W	0.825	-0.169
YBL080C	0.306	0.189
YBL081W	0.358	-0.158
YBL082C	1.525	-0.134
YBL083C	1.510	-0.174
YBL085W	0.645	0.132
YBL086C	0.672	0.087
YBL087C	-0.146	-0.283
YBL088C	0.264	0.037
YBL089W	0.631	0.008
YBL090W	1.072	0.002
YBL091C	0.207	0.308
YBL091C-A	NaN	-0.097
YBL094C	2.022	0.444
YBL095W	0.594	0.059
YBL096C	0.220	0.105
YBL098W	-0.203	0.040
YBL099W	1.426	0.136
YBL100C	1.457	0.164
YBL100W-C	-0.008	-0.006
YBL101C	0.290	-0.151
YBL102W	-0.641	0.121
YBL103C	0.346	0.808
YBL104C	1.346	-0.266
YBL106C	-0.270	0.082
YBL107C	0.002	0.194
YBR001C	-0.328	0.217
YBR003W	0.745	0.181
YBR005W	0.100	0.138
YBR006W	0.207	0.214
YBR007C	-0.108	0.029
YBR008C	0.289	0.067
YBR009C	0.640	0.015
YBR010W	0.543	0.032
YBR012C	0.324	0.218
YBR013C	-0.157	0.329
YBR014C	-0.204	-0.146
YBR015C	-0.025	-0.043
YBR016W	-0.321	-0.006
YBR018C	-0.226	-0.080
YBR019C	-0.395	0.011
YBR020W	-0.804	-0.032
YBR021W	-1.291	-0.185
YBR022W	-0.090	0.033
YBR023C	0.744	-0.063
YBR024W	0.194	-0.033
YBR025C	-0.791	-0.015
YBR026C	-0.683	NaN
YBR027C	0.215	-0.075
YBR028C	-1.032	-0.108
YBR030W	0.243	-0.042
YBR031W	-1.287	-0.276
YBR033W	0.110	0.068
YBR034C	-0.844	-0.235
YBR035C	-1.887	NaN
YBR036C	-0.278	-0.406
YBR037C	0.734	-0.082
YBR040W	0.061	-0.025
YBR041W	-0.098	-0.079
YBR042C	0.365	-0.126
YBR043C	-0.091	-0.116
YBR044C	0.399	-0.130
YBR045C	-0.004	0.036
YBR046C	0.233	-0.005
YBR047W	0.103	0.033
YBR048W	0.082	-0.243
YBR050C	-0.090	-0.004
YBR051W	0.640	0.018
YBR052C	0.393	0.050
YBR053C	0.555	-0.064
YBR054W	0.258	0.041
YBR056W	-0.392	0.097
YBR056W-A	0.037	-0.040
YBR057C	-0.631	-0.012
YBR058C	0.879	-0.375
YBR059C	0.865	0.164
YBR061C	-0.142	0.044
YBR062C	-0.153	0.014
YBR063C	-0.847	-0.048
YBR064W	0.042	0.026
YBR065C	-0.035	0.112
YBR066C	0.131	-0.005
YBR067C	-0.345	0.121
YBR068C	0.356	0.077
YBR069C	0.910	0.178
YBR071W	-0.198	0.056
YBR072C-A	-0.011	-0.045
YBR072W	0.133	0.088
YBR073W	0.222	0.050
YBR074W	-0.096	-0.041
YBR076W	0.099	-0.245
YBR077C	1.281	1.172
YBR078W	1.355	-0.047
YBR081C	NaN	-0.051
YBR082C	-0.581	0.185
YBR083W	-0.937	0.146
YBR084C-A	-1.810	-0.303
YBR084W	-0.030	0.343
YBR085C-A	-0.722	-0.008
YBR085W	NaN	0.072
YBR089C-A	0.435	0.034
YBR090C	-0.172	0.126
YBR092C	-0.217	-0.113
YBR093C	-0.108	0.028
YBR094W	0.111	0.090
YBR095C	0.694	NaN
YBR098W	-0.034	0.053
YBR099C	-0.274	0.128
YBR103W	0.513	NaN
YBR104W	-0.832	NaN
YBR105C	0.871	0.382
YBR106W	0.667	0.067
YBR107C	-0.321	-0.076
YBR108W	0.107	0.089
YBR111C	NaN	-0.319
YBR111W-A	0.318	-0.054
YBR113W	-0.695	-0.078
YBR114W	-1.041	-0.100
YBR115C	NaN	-0.000
YBR116C	0.082	-0.081
YBR119W	0.001	0.086
YBR120C	0.510	0.233
YBR122C	NaN	0.450
YBR124W	0.062	0.200
YBR125C	-0.346	0.110
YBR126C	1.297	-0.255
YBR127C	NaN	-0.212
YBR128C	-0.794	-0.073
YBR129C	-0.362	-0.306
YBR130C	-0.153	-0.203
YBR131W	0.728	0.479
YBR132C	0.437	-0.158
YBR133C	0.462	-0.123
YBR134W	0.655	NaN
YBR137W	0.186	NaN
YBR138C	-0.086	-0.050
YBR139W	-0.083	-0.017
YBR141C	-0.071	-0.088
YBR144C	-0.722	-0.249
YBR145W	-1.022	-0.208
YBR146W	-0.406	-0.086
YBR147W	0.400	NaN
YBR148W	-0.180	-0.217
YBR149W	0.227	-0.149
YBR150C	-0.384	0.199
YBR151W	-0.008	-0.060
YBR156C	-0.620	-0.145
YBR157C	-0.455	-0.010
YBR158W	0.109	-0.132
YBR159W	-0.147	NaN
YBR161W	0.127	NaN
YBR162C	-0.325	-0.031
YBR162W-A	-0.142	-0.014
YBR163W	0.347	0.044
YBR164C	-1.263	NaN
YBR165W	0.156	-0.061
YBR166C	-0.154	-0.066
YBR168W	0.593	0.065
YBR169C	-0.410	0.152
YBR170C	0.443	NaN
YBR171W	0.744	0.266
YBR172C	-0.068	0.061
YBR173C	-0.396	0.575
YBR174C	-1.028	NaN
YBR175W	-1.217	NaN
YBR176W	-0.256	-0.091
YBR177C	0.104	-0.021
YBR178W	0.364	-0.047
YBR179C	1.220	-0.101
YBR180W	-0.117	0.065
YBR181C	-0.625	-0.159
YBR182C	0.036	-0.030
