orf	hap a | expression level of a gene (PHO84pr-YFP) | inorganic phosphate [50 uM] | Choi J~O'Shea EK, 2017	hap a | expression level of a gene (PHO84pr-YFP) | inorganic phosphate [1 mM] | Choi J~O'Shea EK, 2017
YAL002W	1.4001023437819864	-0.49389753801313163
YAL004W	-0.5672160616374015	0.11062014917548178
YAL005C	-0.4847509445445895	0.1387823757338163
YAL007C	1.1691489505560677	-0.011764259785707732
YAL008W	0.1405332972170985	0.016276481988294834
YAL009W	0.16206275318979838	0.017274010280216814
YAL010C	0.20603699335834605	0.0771831298011487
YAL011W	1.233080460087466	-0.10555253255241831
YAL012W	0.16858633748898177	0.24702079750864483
YAL013W	1.4701764407043594	0.24647712768673977
YAL014C	0.5869499503954906	-0.030906933059699326
YAL015C	-0.5014343762861571	0.08141201153528689
YAL016C-B	0.1433064123365444	-0.04580583762069226
YAL016W	-0.8540195197543674	
YAL017W	-0.08412307550405007	0.10466516786129126
YAL018C	-0.26842990368731606	0.041509686030386066
YAL019W	-0.5084404372311031	-0.0807239200515993
YAL021C		0.9353378323939782
YAL022C	-0.5797043192872438	-0.016489598877365678
YAL023C	1.9592193375961424	0.16031453731147016
YAL024C	-0.1561637331453234	-0.011094802598844017
YAL026C	1.5132557865401253	-0.11390259370664761
YAL027W	-0.3711299494680354	-0.029207737845774028
YAL028W	-0.6472291550216488	-0.1613539921430154
YAL029C	0.4891438082959807	0.06233927678319721
YAL030W	0.060120929184514026	-0.03069177318259619
YAL031C	-0.4290381457932688	-0.03167774394285956
YAL034C	-0.2589390402606182	0.06053154892202883
YAL035W	-0.7359541106131683	0.01782997028412838
YAL036C	-0.26389780975600036	-0.02114082880314602
YAL037C-A	-1.3180098016600783	-0.10916327813955191
YAL037W	-0.11320206632806389	0.0271480781265598
YAL039C	0.3091680929334098	-0.08589893019581028
YAL040C	1.2321800692129432	0.028559916875602154
YAL042C-A	0.4712221277521529	-0.1696677441191197
YAL042W	-0.531491518974189	-0.1192025408211398
YAL044C	-2.048942282983513	0.14865468425201073
YAL044W-A	-0.13264767475704886	-0.033157255836419604
YAL045C	-0.033784122121599314	0.04185074964655854
YAL046C	1.5455115817714458	0.2092909411642874
YAL048C	-0.00922694730992705	-0.03469950968632373
YAL049C	-0.3366969280298882	0.10067419436784723
YAL054C	0.012584854273050153	0.1265543105232929
YAL055W	-0.948351828167307	0.011253238799732569
YAL056C-A	0.760361497036531	-0.09747525889455355
YAL056W	-0.5242911763756107	0.08019061901362497
YAL058W	0.9817115881282433	-0.2636254240094618
YAL059W	-0.3819178853211406	0.06056162692450004
YAL060W	0.060576362976714204	-0.016626066509397606
YAL061W	-0.6774216594079041	-0.10704589280070483
YAL062W	0.9028811623640971	0.01696220120023063
YAL064C-A	-0.39162491013530715	-0.03910971793133625
YAL065C	0.02614813625740453	0.015451079690729619
YAL066W	-0.3115225546689994	0.10962017450686934
YAL067C	-1.0127203333317742	-0.17165964208938442
YAL067W-A	-0.0485248053251525	0.0034409800018135963
YAL068C	-0.06198796210203428	-0.008744982213270568
YAR002C-A	-0.31641067760477587	-0.02016530848797759
YAR003W	-1.8746821590718674	
YAR014C	1.7295076232307476	-0.26677722181744
YAR015W	1.5167378129469322	-0.029692319272651573
YAR018C	1.3128708904195152	-0.13741723137162157
YAR020C	0.23688836877304734	0.05146119189793208
YAR023C	-0.011440131283967295	-0.0232031027359549
YAR027W	0.2936725331032301	0.1508286049468169
YAR028W	0.13329308549314214	0.03352273266301608
YAR029W	-0.719876056824576	-0.02464452216181683
YAR030C	-0.3635372601334302	0.0922985645081645
YAR031W	-0.6893027766643972	0.07344693544622288
YAR035C-A	0.013656943153791179	0.04468413617509587
YAR035W	0.07872816763078117	0.10898614124275048
YAR042W	0.6981822291109016	-0.033995074046178624
YAR047C	-0.49253243192668145	0.11787489958922702
YAR050W	-0.5178963958711393	0.050751007363490086
YBL001C	0.25828927168074706	0.33353381975021357
YBL002W	0.47133803297289667	-0.014849235466097677
YBL003C	0.22185214327871408	-0.1475291749990381
YBL005W	0.009464462140113797	0.039058472517766445
YBL006C	1.2532942210282765	1.9651184501565844
YBL007C	0.22421216067077498	-0.3229935712857872
YBL008W	0.19469973058407883	0.4375021140711491
YBL008W-A	-0.02241573994910458	0.00783024839592203
YBL009W	0.08532564262171267	0.01928159131897933
YBL010C	0.8031447714531904	-0.12721738826362852
YBL011W	0.020294562513367847	-0.0008395280533536007
YBL012C	0.9901600852255528	-0.0017504884516489766
YBL013W	0.4112958830011033	-0.10960463150946002
YBL015W	0.7405035909108241	0.01312667850421409
YBL017C	0.7883741951039932	-0.06532936932301445
