ORF	None | growth (colony size) | R3A-5a [1 uM] | Zatorska E~Strahl S, 2017
YBR260C	-Inf
YCR009C	-Inf
YDL095W	-Inf
YDL096C	-Inf
YDR162C	-Inf
YFL032W	-Inf
YGL012W	-Inf
YHR030C	-Inf
YHR079C	-Inf
YJL062W	-Inf
YJL095W	-Inf
YLR138W	-Inf
YLR331C	-Inf
YLR332W	-Inf
YOR008C	-Inf
YOR242C	-Inf
YOR246C	-Inf
YPR095C	-Inf
YGR217W	-3.283
YAL023C	-3.232
YGR196C	-2.552
YDR525W	-2.277
YCR017C	-2.272
YKL190W	-2.172
YBR200W	-2.159
YDR395W	-2.152
YKL048C	-2.120
YLR295C	-1.934
YOR085W	-1.934
YFL031W	-1.930
YBR196C-A	-1.615
YGR166W	-1.897
YDR307W	-1.893
YHR142W	-1.889
YOR265W	-1.872
YGL084C	-1.852
YML013W	-1.846
YOR002W	-1.846
YNL089C	-1.233
YER155C	-1.792
YLL028W	-1.779
YGR199W	-1.778
YBR023C	-1.771
YDR389W	-1.753
YDR524W-C	-1.634
YJL140W	-1.735
YOR208W	-1.730
YDL203C	-1.710
YHL007C	-1.705
YPL096C-A	-1.483
YPR133W-A	-1.695
YGL027C	-1.684
YGL149W	-1.684
YKR094C	-1.674
YAL013W	-1.658
YIL123W	-1.658
YBR229C	-1.646
YLR087C	-1.634
YJL038C	-1.609
YLR373C	-1.593
YML057W	-1.591
YIR042C	-1.569
YDR524C-B	-1.443
YMR293C	-1.546
YDR512C	-1.077
YPL182C	-1.526
YHR206W	-1.521
YML073C	-1.521
YLR055C	-1.518
YNL192W	-1.500
YDR127W	-1.492
YDR392W	-1.490
YDL002C	-1.472
YHR200W	-1.471
YLR292C	-1.460
YML012W	-1.459
YDR043C	-1.444
YOR231W	-1.440
YKL096C-B	-1.246
YOR352W	-1.423
YDR372C	-1.409
YBL061C	-1.403
YFL025C	-1.403
YLL021W	-1.400
YPL144W	-1.386
YPL181W	-1.386
YIL039W	-1.374
YNL333W	-1.372
YKL213C	-1.371
YFR012W	-1.352
YBL083C	-1.352
YOR127W	-1.347
YAR002C-A	-1.346
YLR444C	-1.341
YBL094C	-1.338
YPL089C	-1.329
YOR093C	-1.328
YPL140C	-1.328
YFL047W	-1.328
YDR410C	-1.325
YMR052W	-1.322
YNR052C	-1.322
YJR054W	-1.316
YPL139C	-1.316
YAR018C	-1.312
YER116C	-1.311
YML115C	-1.299
YEL072W	-1.296
YJR066W	-1.294
YER056C-A	-1.291
YNL031C	-1.272
YOR216C	-1.253
YER117W	-1.247
YBL024W	-1.245
YDR360W	-1.241
YNL304W	-1.237
YMR015C	-1.235
YHR005C	-1.235
YDR349C	-1.229
YNL171C	-1.227
YOL046C	-1.226
YBR015C	-1.226
YMR159C	-1.222
YEL042W	-1.218
YEL003W	-1.214
YOL045W	-1.213
YMR052C-A	-1.212
YDR479C	-1.212
YDR384C	-1.207
YMR042W	-1.204
YNL325C	-1.204
YNL197C	-1.200
YJR104C	-1.199
YLR350W	-1.196
YHR078W	-1.194
YML019W	-1.191
YOL115W	-1.191
YLR443W	-1.188
YPL127C	-1.188
YHR038W	-1.187
YER164W	-1.184
YNL324W	-1.184
YMR013W-A	-1.088
YAL066W	-1.176
YOR019W	-1.169
YFR024C-A	-0.814
YBL082C	-1.166
YPL038W-A	-0.991
YLR386W	-1.161
YER143W	-1.160
YPL202C	-1.156
YOL024W	-1.153
YPR052C	-1.153
YDR369C	-1.153
YFL013C	-1.151
YNL289W	-1.151
YNL276C	-1.150
YOL019W-A	-1.077
YAL067C	-1.145
YER118C	-1.145
YNL253W	-1.145
YLL046C	-1.144
YMR198W	-0.918
YAL062W	-1.142
YGR273C	-1.138
YOR115C	-1.135
YGL007C-A	-1.085
YOR092W	-1.133
YOR091W	-1.131
YDR120C	-1.127
YLR431C	-1.126
YMR295C	-1.124
YDR385W	-1.124
YML018C	-1.121
YHR114W	-1.121
YML005W	-1.120
YDR239C	-1.117
YMR175W	-0.787
YAL065C	-1.117
YLL045C	-1.117
YER161C	-1.116
YJL077W-B	-1.019
YNR030W	-1.114
YPR159W	-1.114
YPL174C	-1.113
YNL090W	-1.112
YOR038C	-1.112
YML094C-A	-1.112
YPL099C	-1.110
YLL058W	-1.110
YDR348C	-1.110
YLR121C	-1.110
YHR048W	-1.109
YOR079C	-1.109
YDR100W	-1.109
YBL008W-A	-1.033
YNL275W	-1.107
YGR291C	-1.106
YGR160W	-1.099
YLR122C	-1.099
YBL029C-A	-1.038
YPL152W-A	-0.861
YNL271C	-1.099
YAL021C	-1.099
YNL116W	-1.099
YPL098C	-1.099
YBR276C	-1.099
YBR267W	-1.099
YBR111W-A	-1.080
YMR269W	-1.099
YLR423C	-1.091
YNL269W	-1.090
YJR145C	-1.090
YMR136W	-1.089
YGR163W	-1.089
YLL023C	-1.087
YGR026W	-1.087
YML016C	-1.087
YDR388W	-1.087
YMR039C	-1.087
YEL040W	-1.087
YOL098C	-1.086
YGL002W	-1.086
YLR248W	-1.086
YGR159C	-1.081
YAL019W	-1.078
YMR297W	-1.078
YPL215W	-1.077
YDR257C	-1.077
YLR124W	-1.076
YER087W	-1.075
YBR195C	-1.075
YLL039C	-1.074
YMR294W-A	-1.073
YFL003C	-1.072
YAL007C	-1.072
YLL047W	-1.071
YCL023C	-0.613
YHL002W	-1.069
YML035C	-0.839
YAR031W	-1.066
YNL254C	-1.066
YBR210W	-1.065
YBR082C	-1.065
YDL159W-A	-1.052
YPL244C	-1.061
YGL004C	-1.059
YGR276C	-1.058
YOR380W	-1.057
YGR247W	-1.055
YMR256C	-1.054
YNL014W	-1.054
YOR316C-A	-0.950
YDR085C	-1.053
YPL125W	-1.053
YHR037W	-1.053
YER149C	-1.053
YIL057C	-1.052
YGR271W	-1.050
YDR011W	-1.050
YAL060W	-1.049
YER120W	-1.049
YPL095C	-1.048
YMR031C	-1.047
YCL055W	-1.047
YPL219W	-1.047
YLR362W	-1.047
YAR035C-A	-1.025
YPL004C	-1.046
YCR061W	-0.615
YNL011C	-1.045
YPL157W	-1.045
YEL031W	-1.044
YHR210C	-1.043
YHR199C	-1.043
YPL111W	-1.043
YBR020W	-0.817
YDR411C	-1.041
YHR081W	-1.041
YDL160C-A	-0.958
YMR054W	-1.041
YBR001C	-1.040
YHR097C	-1.039
YGL005C	-1.039
YFR009W	-1.039
YLR335W	-1.039
YER001W	-1.038
YGR122C-A	-1.038
YOR114W	-1.037
YMR226C	-1.036
YPR053C	-1.035
YHR087W	-1.035
YBL062W	-1.033
YPR045C	-1.032
YMR316C-B	-1.031
YDR069C	-1.030
YMR011W	-1.030
YDL240W	-1.030
YMR274C	-1.030
YHR029C	-1.030
YNL270C	-1.028
YMR171C	-1.028
YNL053W	-1.028
YMR223W	-1.028
YDR073W	-1.027
YER019C-A	-1.025
YPL119C-A	-0.964
YDR203W	-1.022
YLR422W	-1.022
YGL013C	-1.022
YNL097C	-1.022
YGL162W	-1.021
YBR180W	-1.020
YOR324C	-1.020
YMR148W	-1.020
YNL283C	-1.020
YMR040W	-1.020
YOL028C	-1.019
YER163C	-1.018
YAL031C	-1.018
YER019W	-1.018
YDR049W	-1.018
YAL067W-A	-1.002
YDR290W	-1.015
YOL004W	-1.015
YGR206W	-1.015
YNL273W	-1.014
YBR283C	-1.014
YMR316W	-1.013
YNL136W	-1.012
YLR436C	-1.012
YOL025W	-1.012
YPL159C	-1.012
YER173W	-1.012
YPL092W	-1.012
YNL246W	-1.012
YOR359W	-1.012
YEL041W	-1.009
YHR080C	-1.009
YKR041W	-1.009
YNL054W	-1.008
YOL164W-A	-0.858
YDL020C	-1.008
YOR198C	-1.007
YER073W	-1.006
YLL060C	-1.006
YDR528W	-1.006
YLR435W	-1.006
YMR238W	-1.006
YOR032C	-1.006
YFR017C	-1.005
YAL046C	-1.003
YHL040C	-1.003
YPL230W	-1.003
YAL005C	-1.002
YMR282C	-1.001
YLL020C	-1.000
YHR043C	-1.000
YMR202W	-1.000
YPL171C	-0.999
YOR087W	-0.922
YOR307C	-0.997
YLR027C	-0.996
YLR079W	-0.996
YAL068C	-0.996
YIL065C	-0.995
YPL096W	-0.995
YOR346W	-0.995
YHR152W	-0.995
YDR076W	-0.995
YGL176C	-0.993
YDR055W	-0.993
YAL042C-A	-0.993
YML081W	-0.992
YPL113C	-0.991
YER038W-A	-0.990
YOR026W	-0.990
YOR284W	-0.990
YLL027W	-0.990
YAR014C	-0.989
YPL196W	-0.989
YML007W	-0.989
YEL025C	-0.989
YDR056C	-0.989
YMR041C	-0.989
YMR147W	-0.988
YHR198C	-0.988
YER005W	-0.988
YMR254C	-0.987
YHR086W-A	-0.967
YOR378W	-0.986
YMR182C	-0.985
YNL338W	-0.985
YAL042W	-0.985
YBR212W	-0.985
YBR258C	-0.985
YGR212W	-0.985
YMR161W	-0.984
YER039C	-0.984
YBR255W	-0.984
YBR222C	-0.984
YAL014C	-0.984
YAL049C	-0.984
YPL070W	-0.984
YOR293C-A	-0.853
YMR280C	-0.981
YOR044W	-0.981
YNL322C	-0.981
YBR057C	-0.981
YMR053C	-0.981
YGR106C	-0.981
YER170W	-0.978
YHR022C-A	-0.905
YNL079C	-0.977
YML089C	-0.977
YOR381W	-0.977
YOR308C	-0.977
YML122C	-0.977
YJR084W	-0.977
YNL096C	-0.712
YPR173C	-0.976
YOR376W-A	-0.876
YER004W	-0.973
YDR072C	-0.973
YHR035W	-0.973
YMR266W	-0.973
YGR203W	-0.973
YFR018C	-0.972
YOR189W	-0.972
YOR037W	-0.971
YPL257W	-0.970
YLR287C-A	-0.969
YLL042C	-0.969
YBL081W	-0.968
YML004C	-0.968
YHR121W	-0.968
YER068W	-0.968
YOR036W	-0.968
YER051W	-0.968
YMR190C	-0.967
YPL229W	-0.966
YEL071W	-0.966
YLR084C	-0.966
YML082W	-0.965
YHR047C	-0.965
YMR012W	-0.965
YHR132C	-0.965
YPL104W	-0.965
YHR086W	-0.965
YAR042W	-0.862
YER113C	-0.965
YPL109C	-0.963
YGL161C	-0.963
YNL293W	-0.962
YBR181C	-0.961
YDR075W	-0.960
YDR409W	-0.960
YLL040C	-0.960
YOL038C-A	-0.940
YDR219C	-0.958
YPR160W	-0.958
YCL021W-A	-0.918
YPL216W	-0.956
YOR296W	-0.956
YEL029C	-0.956
YHR104W	-0.956
YBR227C	-0.956
YOL011W	-0.956
YDR136C	-0.956
YOL097W-A	-0.859
YBR056W-A	-0.897
YML086C	-0.703
YGR127W	-0.953
YEL009C	-0.953
YOL049W	-0.953
YOL009C	-0.953
YHR151C	-0.953
YGR289C	-0.952
YOL086W-A	-0.939
YHR178W	-0.952
YOR024W	-0.951
YOR094W	-0.951
YGR208W	-0.951
YNL097C-B	-0.929
YNL205C	-0.950
YNL058C	-0.950
YOL027C	-0.950
YHR150W	-0.950
YLR111W	-0.949
YHR044C	-0.949
YKL178C	-0.949
YMR255W	-0.948
YPL271W	-0.948
YGR224W	-0.948
YCL016C	-0.948
YAL034C	-0.948
YCL038C	-0.698
YCL026C-B	-0.905
YNL252C	-0.947
YER035W	-0.946
YOL065C	-0.946
YOR135C	-0.946
YEL016C	-0.946
YPL147W	-0.946
YOL125W	-0.946
YOR073W	-0.946
YKL106C-A	-0.878
YKL018C-A	-0.836
YGR164W	-0.944
YBR215W	-0.944
YHR181W	-0.944
YJL187C	-0.944
YKR046C	-0.943
YNL203C	-0.943
YGR205W	-0.943
YMR273C	-0.943
YNL199C	-0.942
YDR207C	-0.942
YKL164C	-0.942
YGR025W	-0.634
YMR275C	-0.941
YMR278W	-0.941
YKL032C	-0.940
YAR043C	-0.940
YCR020C	-0.940
YNL162W	-0.940
YML052W	-0.940
YPL180W	-0.940
YBR223C	-0.940
YBR235W	-0.940
YDR131C	-0.938
YLL062C	-0.938
YGL196W	-0.937
YGL007W	-0.937
YER031C	-0.936
YER068C-A	-0.935
YAL037W	-0.935
YDL172C	-0.935
YLL019C	-0.935
YOR350C	-0.935
YGR014W	-0.935
YML047W-A	-0.935
YMR318C	-0.935
YEL015W	-0.934
YDR137W	-0.934
YDR139C	-0.934
YPL138C	-0.934
YOR332W	-0.934
YKL068W-A	-0.804
YAL059W	-0.934
YMR030W	-0.933
YPL253C	-0.933
YDL094C	-0.932
YMR010W	-0.932
YDR150W	-0.932
YML034W	-0.837
YLR131C	-0.930
YLR102C	-0.930
YIL120W	-0.930
YNL248C	-0.930
YAL002W	-0.930
YOL083W	-0.929
YOL059W	-0.929
YOR337W	-0.929
YHR025W	-0.929
YMR221C	-0.928
YOR034C-A	-0.916
YPR068C	-0.928
YCR021C	-0.928
YNL204C	-0.928
YHL020C	-0.928
YGR232W	-0.927
YDR400W	-0.927
YBR178W	-0.927
YAL061W	-0.925
YOR113W	-0.924
YHR108W	-0.923
YGR174C	-0.923
YDR399W	-0.923
YCL024W	-0.923
YKR056W	-0.923
YDR119W	-0.923
YOL075C	-0.922
YOR300W	-0.749
YML080W	-0.922
YHL046C	-0.922
YJL092W	-0.922
YPL214C	-0.922
YHR204W	-0.922
YLR125W	-0.922
YOR283W	-0.922
YHR113W	-0.922
YML070W	-0.921
YNL268W	-0.677
YPR042C	-0.921
YLR428C	-0.921
YLR072W	-0.916
YOL029C	-0.916
YMR141C	-0.916
YOL035C	-0.916
YLR012C	-0.916
YMR122C	-0.916
YER156C	-0.916
YOR020W-A	-0.900
YOR058C	-0.916
YGR124W	-0.916
YLR348C	-0.916
YBR187W	-0.916
YMR204C	-0.916
YOR123C	-0.916
YDR386W	-0.916
YMR026C	-0.916
YGL163C	-0.916
YMR258C	-0.916
YMR284W	-0.916
YHR007C-A	-0.854
YNL305C	-0.911
YLL063C	-0.911
YOL063C	-0.911
YMR140W	-0.911
YGR143W	-0.911
YJL016W	-0.743
YKR035W-A	-0.910
YPL164C	-0.910
YNL238W	-0.908
YML032C	-0.908
YER087C-B	-0.776
YAL037C-A	-0.883
YMR259C	-0.907
YHR130C	-0.906
YDR252W	-0.906
YPR023C	-0.906
YLR426W	-0.906
YJR133W	-0.906
YHL019C	-0.905
YCL056C	-0.905
YLL041C	-0.905
YOR052C	-0.905
YAL044C	-0.904
YER065C	-0.904
YKR057W	-0.904
YLR070C	-0.904
YCR022C	-0.904
YDL119C	-0.904
YIL079C	-0.904
YJL172W	-0.614
YER052C	-0.904
YNR033W	-0.903
YGR142W	-0.903
YIL027C	-0.903
YDR439W	-0.903
YER033C	-0.903
YAL056W	-0.902
YPL226W	-0.901
YGR183C	-0.901
YDL173W	-0.900
YDR515W	-0.899
YBR259W	-0.898
YFR020W	-0.898
YGR282C	-0.898
YCL005W	-0.898
YOL060C	-0.898
YDR251W	-0.898
YLR061W	-0.898
YOR344C	-0.898
YER142C	-0.897
YDR480W	-0.897
YPL110C	-0.897
YDR066C	-0.897
YDR458C	-0.896
YBR043C	-0.896
YJR100C	-0.896
YGL148W	-0.895
YCR107W	-0.895
YHL042W	-0.894
YDR200C	-0.894
YER056C	-0.892
YOR071C	-0.892
YIL117C	-0.892
YNL334C	-0.892
YGR236C	-0.892
YGL214W	-0.724
YKL067W	-0.892
YPL108W	-0.891
YCL045C	-0.891
YER002W	-0.891
YHR001W-A	-0.891
YBR246W	-0.891
YGR184C	-0.891
YMR145C	-0.890
YGR125W	-0.890
YOL015W	-0.889
YHL033C	-0.889
YHR012W	-0.889
YMR121C	-0.889
YOR050C	-0.887
YOR289W	-0.887
YIL067C	-0.887
YKL136W	-0.887
YLR324W	-0.887
YOR086C	-0.887
YKR042W	-0.887
YMR166C	-0.886
YHR039C	-0.886
YBR250W	-0.886
YLR130C	-0.886
YMR167W	-0.885
YGR173W	-0.884
YNL120C	-0.884
YLL005C	-0.883
YBR174C	-0.882
YGR201C	-0.882
YER041W	-0.882
YBR162C	-0.882
YHR129C	-0.881
YLR390W-A	-0.881
YBL007C	-0.881
YOL014W	-0.880
YBR239C	-0.880
YLR096W	-0.880
YPR157W	-0.880
YHR022C	-0.880
YPR029C	-0.880
YDR070C	-0.880
YPL103C	-0.880
YOL077W-A	-0.837
YHR067W	-0.879
YFL054C	-0.878
YDR111C	-0.878
YMR225C	-0.878
YAR020C	-0.878
YGR170W	-0.878
YEL008W	-0.878
YDR250C	-0.878
YDR430C	-0.878
YMR189W	-0.878
YER062C	-0.878
YOR298W	-0.878
YLR126C	-0.875
YMR044W	-0.875
YGR244C	-0.875
YDR383C	-0.875
YHR106W	-0.875
YAL044W-A	-0.856
YGR092W	-0.874
YER180C	-0.874
YOR158W	-0.874
YOR293W	-0.874
YDR326C	-0.874
YLR085C	-0.873
YGL197W	-0.873
YOR285W	-0.873
YMR173W-A	-0.873
YOR097C	-0.873
YMR025W	-0.873
YMR176W	-0.873
YDR309C	-0.873
YBR185C	-0.873
YHR160C	-0.873
YLL024C	-0.873
YFR010W	-0.873
YMR257C	-0.872
YBR014C	-0.871
YHL021C	-0.871
YPL227C	-0.871
YOR005C	-0.871
YOR047C	-0.871
YDR032C	-0.870
YIL043C	-0.869
YBR183W	-0.869
YEL020C	-0.868
YLR123C	-0.868
YGR226C	-0.868
YBR194W	-0.868
YOR021C	-0.868
YBR175W	-0.868
YNL206C	-0.868
YGL177W	-0.867
YEL036C	-0.866
YPL189W	-0.735
YOR076C	-0.866
YIL085C	-0.866
YOR133W	-0.865
YLR083C	-0.865
YMR247C	-0.865
YOR315W	-0.865
YOR124C	-0.865
YNL067W-A	-0.857
YHR158C	-0.864
YHL003C	-0.864
YCR030C	-0.864
YBR197C	-0.863
YOR292C	-0.863
YMR244W	-0.863
YHR202W	-0.863
YML087C	-0.863
YGR249W	-0.863
YML063W	-0.863
YDR107C	-0.863
YHR105W	-0.863
YGR146C-A	-0.751
YDL131W	-0.862
YPL161C	-0.861
YMR299C	-0.861
YNL323W	-0.860
YDL104C	-0.860
YPL133C	-0.860
YLR059C	-0.860
YKL051W	-0.860
YIL046W-A	-0.752
YOL050C	-0.859
YER010C	-0.859
YDR387C	-0.859
YPL197C	-0.859
YHR203C	-0.859
YLR025W	-0.859
YHR014W	-0.859
YJL056C	-0.859
YCL027W	-0.858
YCR019W	-0.858
YBR214W	-0.858
YLL051C	-0.857
YGR058W	-0.857
YER057C	-0.856
YIR033W	-0.856
YLR265C	-0.856
YGR126W	-0.856
YHR209W	-0.856
YDR420W	-0.856
YPL208W	-0.856
YCL063W	-0.805
YGR258C	-0.855
YLR149C	-0.855
YKL187C	-0.855
YDR258C	-0.855
YLR104W	-0.855
YER075C	-0.854
YHR050W	-0.854
YPL077C	-0.854
YCL057C-A	-0.843
YBR182C-A	-0.729
YIL008W	-0.853
YGR171C	-0.853
YGL140C	-0.852
YMR294W	-0.852
YOL076W	-0.852
YCL046W	-0.852
YLR282C	-0.852
YNL291C	-0.852
YGR161C	-0.852
YKL126W	-0.852
YGR138C	-0.851
YIL064W	-0.851
YMR086W	-0.851
YDR104C	-0.851
YJR117W	-0.849
YEL045C	-0.847
YMR087W	-0.847
YGR237C	-0.847
YGR097W	-0.847
YNR057C	-0.847
YEL061C	-0.847
YMR276W	-0.847
YMR020W	-0.847
YNL318C	-0.847
YNL215W	-0.847
YDR148C	-0.847
YCL034W	-0.847
YMR021C	-0.847
YOR351C	-0.847
YCL044C	-0.847
YEL007W	-0.847
YIL045W	-0.847
YER115C	-0.847
YNL025C	-0.847
YBR216C	-0.847
YJL103C	-0.844
YJR005C-A	-0.790
YDR379C-A	-0.826
YOR264W	-0.844
YIL074C	-0.843
YHR207C	-0.843
YLR043C	-0.843
YGR011W	-0.598
YIL028W	-0.843
YOR330C	-0.843
YOR290C	-0.843
YPR148C	-0.843
YMR157C	-0.843
YPR164W	-0.843
YJL136W-A	-0.802
YCL026C-A	-0.841
YOR358W	-0.840
YNL231C	-0.840
YJL047C	-0.840
YHR095W	-0.839
YOR072W	-0.839
YNR071C	-0.839
YPL259C	-0.839
YLR098C	-0.839
YPL170W	-0.839
YNL281W	-0.839
YLR004C	-0.839
YOR297C	-0.839
YLR262C	-0.839
YEL001C	-0.838
YOR226C	-0.838
YCL037C	-0.838
YMR243C	-0.838
YBR281C	-0.838
YJL048C	-0.838
YMR194C-B	-0.778
YKL215C	-0.837
YDR346C	-0.836
YOR376W	-0.835
YDL239C	-0.835
YLR003C	-0.835
YPL194W	-0.641
YLR013W	-0.835
YDR079C-A	-0.810
YJR087W	-0.834
YER069W	-0.834
YER032W	-0.834
YDR140W	-0.834
YBR233W	-0.834
YER007C-A	-0.834
YOR379C	-0.834
YGL062W	-0.833
YPL220W	-0.833
YIL072W	-0.832
YJR099W	-0.832
