orf	None | growth (colony size) | R3A-5a [1 uM] | Zatorska E~Strahl S, 2017
YAL002W	39.473684210526315
YAL004W	51.81818181818182
YAL005C	36.708860759493675
YAL007C	34.24657534246575
YAL008W	48.68421052631579
YAL009W	59.70149253731343
YAL010C	61.904761904761905
YAL011W	46.42857142857143
YAL012W	46.666666666666664
YAL013W	19.0
YAL014C	37.362637362637365
YAL015C	45.23809523809524
YAL016C-B	48.88864497008946
YAL017W	59.34065934065934
YAL018C	47.43589743589743
YAL019W	34.02061855670103
YAL020C	62.264150943396224
YAL021C	33.33333333333333
YAL022C	45.33333333333333
YAL023C	4.0
YAL026C	64.61538461538461
YAL027W	60.43956043956044
YAL028W	60.0
YAL029C	46.808510638297875
YAL030W	54.32098765432099
YAL031C	36.144578313253014
YAL034C	38.75
YAL036C	53.333333333333336
YAL037C-A	41.35465740970328
YAL037W	39.24050632911392
YAL039C	53.52112676056338
YAL040C	47.19101123595505
YAL042C-A	37.03703703703704
YAL042W	37.34939759036144
YAL044C	40.476190476190474
YAL044W-A	42.50418060200669
YAL045C	47.05882352941176
YAL046C	36.666666666666664
YAL048C	48.529411764705884
YAL049C	37.37373737373738
YAL051W	53.57142857142857
YAL053W	58.58585858585859
YAL054C	50.0
YAL055W	44.339622641509436
YAL056C-A	65.15151515151516
YAL056W	40.56603773584906
YAL058W	46.06741573033708
YAL059W	39.31623931623932
YAL060W	35.04273504273504
YAL061W	39.6551724137931
YAL062W	31.932773109243694
YAL064C-A	49.23076923076923
YAL065C	32.72727272727273
YAL066W	30.8411214953271
YAL067C	31.818181818181817
YAL067W-A	36.730899256254226
YAL068C	36.93693693693694
YAR002C-A	26.027397260273972
YAR002W	54.71681096681097
YAR014C	37.17948717948718
YAR015W	50.877192982456144
YAR018C	26.923076923076923
YAR020C	41.55844155844156
YAR023C	74.60317460317461
YAR027W	48.68421052631579
YAR028W	48.64864864864865
YAR029W	66.05504587155964
YAR030C	49.333333333333336
YAR031W	34.44444444444444
YAR035C-A	35.88439925073588
YAR035W	63.74999999999999
YAR042W	42.465340566606386
YAR047C	75.75757575757575
YAR050W	81.48148148148148
YBL001C	53.01204819277109
YBL002W	45.45454545454545
YBL003C	72.22222222222221
YBL005W	51.89873417721519
YBL006C	68.33333333333333
YBL007C	41.42857142857143
YBL008W	56.060606060606055
YBL008W-A	35.67673564753004
YBL009W	62.31884057971014
YBL010C	58.44155844155844
YBL011W	55.26315789473685
YBL012C	73.33333333333333
YBL013W	56.00000000000001
YBL015W	57.49999999999999
YBL016W	60.0
YBL017C	49.275362318840585
YBL019W	46.05263157894737
YBL021C	62.295081967213115
YBL022C	72.91666666666666
YBL024W	28.78787878787879
YBL027W	69.49152542372882
YBL028C	77.77777777777779
YBL029C-A	35.46666666666667
YBL029W	76.92307692307693
YBL031W	61.904761904761905
YBL032W	72.6027397260274
YBL036C	68.75
YBL037W	55.04587155963303
YBL038W	63.934426229508205
YBL039C	75.0
YBL039W-B	44.39203354297694
YBL042C	76.36363636363637
YBL043W	61.53846153846154
YBL044W	76.36363636363637
YBL045C	62.5
YBL046W	62.857142857142854
YBL047C	52.17391304347826
YBL048W	54.666666666666664
YBL049W	57.534246575342465
YBL051C	52.293577981651374
YBL052C	55.88235294117647
YBL053W	49.333333333333336
YBL054W	53.52112676056338
YBL055C	65.15151515151516
YBL056W	48.05194805194805
YBL057C	52.38095238095239
YBL058W	100.0
YBL059W	70.49180327868852
YBL060W	60.29411764705882
YBL061C	25.0
YBL062W	35.59322033898305
YBL063W	56.730769230769226
YBL064C	53.52112676056338
YBL065W	51.24999999999999
YBL066C	47.2972972972973
YBL067C	62.82051282051282
YBL068W	58.666666666666664
YBL069W	51.24999999999999
YBL070C	52.054794520547944
YBL071C	89.28571428571429
YBL071C-B	56.37806637806638
YBL071W-A	52.035330261136714
YBL072C	70.0
YBL075C	57.971014492753625
YBL078C	62.903225806451616
YBL079W	68.29268292682927
YBL080C	55.55555555555556
YBL081W	37.9746835443038
YBL082C	31.16883116883117
YBL083C	25.882352941176475
YBL085W	57.647058823529406
YBL086C	56.57894736842105
YBL087C	98.07692307692307
YBL088C	63.013698630136986
YBL089W	61.40350877192983
YBL091C	63.23529411764706
YBL091C-A	46.05263157894737
YBL093C	63.41463414634146
YBL094C	26.229508196721312
YBL095W	45.0
YBL096C	56.060606060606055
YBL098W	62.16216216216216
YBL099W	100.0
YBL100C	96.29629629629629
YBL100W-C	49.72073039742213
YBL101C	74.68354430379746
YBL102W	70.51282051282051
YBL103C	70.76923076923077
YBL104C	67.46987951807229
YBL106C	53.06122448979592
YBL107C	84.95575221238938
YBR001C	35.35353535353536
YBR003W	72.41379310344827
YBR005W	49.36708860759494
YBR006W	50.0
YBR007C	67.16417910447761
YBR008C	58.75
YBR009C	51.85185185185185
YBR010W	64.93506493506493
YBR012C	62.65060240963856
YBR013C	58.88888888888889
YBR014C	41.83673469387755
YBR015C	29.347826086956523
YBR016W	44.03669724770643
YBR018C	46.15384615384615
YBR019C	44.230769230769226
YBR020W	45.28547374866065
YBR021W	59.09090909090909
YBR022W	52.336448598130836
YBR023C	17.0
YBR024W	50.0
YBR025C	53.01204819277109
YBR027C	78.33333333333333
YBR028C	44.303797468354425
YBR030W	53.246753246753244
YBR031W	53.62318840579711
YBR032W	62.5
YBR033W	47.77777777777778
YBR034C	44.31818181818182
YBR036C	67.77777777777779
YBR037C	70.0
YBR040W	58.69565217391305
YBR041W	50.51546391752577
YBR042C	51.42857142857142
YBR043C	40.816326530612244
YBR044C	52.56410256410257
YBR045C	53.333333333333336
YBR046C	70.4225352112676
YBR047W	50.0
YBR048W	73.33333333333333
YBR050C	76.19047619047619
YBR051W	74.44444444444444
YBR052C	64.36781609195403
YBR053C	67.04545454545455
YBR054W	56.074766355140184
YBR056W	56.52173913043478
YBR056W-A	40.8256880733945
YBR057C	37.5
YBR058C	44.5945945945946
YBR058C-A	51.995199519951996
YBR059C	57.49999999999999
YBR061C	83.05084745762711
YBR062C	57.30337078651685
YBR063C	62.82051282051282
YBR064W	76.31578947368422
YBR065C	68.29268292682927
YBR066C	52.80898876404494
YBR067C	47.66355140186916
YBR068C	62.37623762376238
