orf	hap alpha | expression of torsinA-delE | standard | SC - Leu + 5-FOA + Gal | Zacchi LF~Bernstein KA, 2017
YAL002W	-0.9456177660486436
YAL004W	0.6753413709169013
YAL007C	-1.0591517720834376
YAL008W	-1.2767745036199458
YAL009W	0.6245564065553679
YAL010C	-0.25951092471538584
YAL011W	-0.5167716316455516
YAL012W	-0.2790206166232921
YAL013W	0.10435834833058699
YAL014C	-0.25966274589241006
YAL015C	-0.340773605323727
YAL017W	0.153728790369604
YAL018C	0.550813355106294
YAL020C	-0.0685257269472163
YAL021C	-0.05246001361883562
YAL022C	0.036132631314864494
YAL023C	0.15905768094251546
YAL026C	0.4100291462967192
YAL028W	0.5621919615249642
YAL029C	0.3270447835025523
YAL030W	0.32990768544492444
YAL031C	0.5205275620864185
YAL034C	-0.3496317066987594
YAL035W	0.13989854221577017
YAL037W	-0.3033480354601771
YAL040C	-0.060607642064974376
YAL042C-A	-0.35012299914878325
YAL042W	-0.04169758263263297
YAL044C	0.1648597254985407
YAL045C	0.6721976391952982
YAL046C	0.6133678258455343
YAL047C	0.7371258304601193
YAL048C	0.17233236056319393
YAL049C	-0.17662207474048652
YAL051W	0.3451813964303443
YAL053W	0.09623921583098467
YAL054C	0.05051352112487329
YAL056C-A	0.4038293681933446
YAL056W	-0.5219792574198634
YAL058W	-0.1369231018189707
YAL059W	-0.009686248407082586
YAL060W	-0.4852924965670559
YAL061W	0.07810754645454851
YAL062W	0.031912998012699124
YAL064C-A	-0.983044694447605
YAL065C	0.46526330710064706
YAL066W	0.24181984580403507
YAL067C	-0.08203331974828998
YAL068C	0.1589540007804211
YAR002W	-0.6404028269704032
YAR003W	-0.9096068725146974
YAR014C	-0.5325361149094843
YAR020C	0.34580375089453125
YAR027W	0.0005648929869373053
YAR028W	-0.3364654761267632
YAR029W	0.06912791386958284
YAR030C	0.3525795867142552
YAR035W	-0.27721172510934267
YAR042W	0.6970200171194552
YAR047C	-0.029885282877666463
YAR050W	0.1909974589197803
YBL001C	-0.6662910358640336
YBL002W	0.03857441378571581
YBL003C	0.42806500182055496
YBL005W	0.25940052165184313
YBL006C	0.1937870443866183
YBL007C	-1.4161748422552924
YBL009W	0.3975414293920786
YBL010C	-0.35268994760321304
YBL011W	-0.10369585850603552
YBL012C	0.04735364726455827
YBL013W	0.1624756272859579
YBL015W	1.0662700379741656
YBL016W	0.5426805252263408
YBL017C	0.21984722043632876
YBL019W	0.9662848032965342
YBL021C	-0.08052962502949616
YBL022C	0.11163792230432312
YBL025W	0.3641292249574055
YBL027W	-0.08927640964402128
YBL028C	-0.21762454626989625
YBL029W	-0.28306590067538745
YBL031W	-0.8724025876036543
YBL032W	-0.01121763349254902
YBL036C	0.6213642622104658
YBL037W	0.013454586881729399
YBL038W	-0.0942096810809658
YBL039C	0.29144672829566964
YBL042C	-0.05938173685917218
YBL055C	0.0264387914002289
YBL057C	0.05195530156831749
YBL058W	-0.03683100424128634
YBL059W	-0.05188739277008831
YBL060W	-0.002112326652314489
YBL061C	-0.10449707032004929
YBL062W	-0.12231727061395709
YBL063W	-0.21970348954342656
YBL064C	0.5613201445562525
YBL065W	-0.001611799159398703
YBL066C	-0.13912028674324156
YBL067C	-0.050665779089653765
YBL069W	0.583333860865122
YBL070C	0.15682162899992866
YBL071C	-2.297797630450916
YBL072C	1.2093087262657576
YBL075C	-0.026459970693412924
YBL078C	0.18961220890885724
YBL079W	0.14818529668681077
YBL080C	-0.06341326472952728
YBL081W	0.039774931588059635
YBL082C	0.18546449502471138
YBL083C	-0.005138161832254099
YBL086C	-0.3337368033835525
YBL087C	-0.027565847929610855
YBL088C	0.1426653298419941
YBL089W	0.1665416305501264
YBL090W	-0.04172843758837587
YBL091C	-0.06284362648221144
YBL091C-A	0.4743630216138954
YBL094C	-0.24850061513707444
YBL095W	-0.10292238486266182
YBL096C	-0.07892101288474937
YBL100C	-0.23538888665842422
YBL101C	-0.17029360625739634
YBL102W	0.07008455929449033
YBL103C	0.6407496093934404
