orf	hap alpha | expression of torsinA-delE | standard | SC - Leu + 5-FOA + Gal | Zacchi LF~Bernstein KA, 2017
YAL002W	-2.020784440310513
YAL004W	1.4364115443460679
YAL007C	-2.262930772586506
YAL008W	-2.727078459274308
YAL009W	1.3280969231642554
YAL010C	-0.5574497005198652
YAL011W	-1.1061376117240005
YAL012W	-0.5990601439837057
YAL013W	0.21861390344573292
YAL014C	-0.5577735060690764
YAL015C	-0.730767464487384
YAL017W	0.3239116189066737
YAL018C	1.1708170907785234
YAL020C	-0.15011478146138835
YAL021C	-0.11584968597385047
YAL022C	0.07310149074011538
YAL023C	0.3352771238544615
YAL026C	0.870551284997226
YAL028W	1.1950854831917062
YAL029C	0.6935615020355491
YAL030W	0.699667524620525
YAL031C	1.1062232835487735
YAL034C	-0.7496601014497024
YAL035W	0.29441434331603383
YAL037W	-0.6509458780543268
YAL040C	-0.13322701998931208
YAL042C-A	-0.7507079343325808
YAL042W	-0.0928954779730881
YAL044C	0.34765177580246764
YAL045C	1.429706565524017
YAL046C	1.3042338192636511
YAL047C	1.5681859861415928
YAL048C	0.3635894779636001
YAL049C	-0.3806636281439304
YAL051W	0.7322434305057582
YAL053W	0.20129734583709005
YAL054C	0.10377317972545465
YAL056C-A	0.8573283434214914
YAL056W	-1.1172444820367513
YAL058W	-0.29599330756065945
YAL059W	-0.024621421197513156
YAL060W	-1.0389986339965498
YAL061W	0.16262596101693821
YAL062W	0.06410181951072313
YAL064C-A	-2.100608924239912
YAL065C	0.9883551917043907
YAL066W	0.511793001100054
YAL067C	-0.17892389486178414
YAL068C	0.3350559938876987
YAR002W	-1.3698193186271743
YAR003W	-1.9439800880660056
YAR014C	-1.1397602410657124
YAR020C	0.7335707936116833
YAR027W	-0.002757696161299763
YAR028W	-0.7215790484308221
YAR029W	0.14347412121513411
YAR030C	0.7480223561800615
YAR035W	-0.5952021241631615
YAR042W	1.4826479527138707
YAR047C	-0.06770210057624743
YAR050W	0.4033985648307801
YBL001C	-1.4250339195359647
YBL002W	0.07830934599144207
YBL003C	0.9090183171850809
YBL005W	0.549289222048826
YBL006C	0.40934821738825466
YBL007C	-3.02439273450772
YBL009W	0.8439173719295153
YBL010C	-0.7561827447007731
YBL011W	-0.2251259491288297
YBL012C	0.0970337728071823
YBL013W	0.3425669500473917
YBL015W	2.2701876631985023
YBL016W	1.1534713192759152
YBL017C	0.46492959136857703
YBL019W	2.0569382703115546
YBL021C	-0.17571680146540458
YBL022C	0.23413984320453762
YBL025W	0.7726555267812671
YBL027W	-0.19437202105631954
YBL028C	-0.46811406208752476
YBL029W	-0.6076879615904346
YBL031W	-1.864630460136914
YBL032W	-0.02788757285285255
YBL036C	1.3212886894710243
YBL037W	0.024733556986480783
YBL038W	-0.20489374601167729
YBL039C	0.6176376550265459
YBL042C	-0.13061239852328121
YBL055C	0.052426383228448205
YBL057C	0.10684822180773858
YBL058W	-0.08251599653527954
YBL059W	-0.11462839516282743
YBL060W	-0.008467693887825908
YBL061C	-0.22683478077245348
YBL062W	-0.26484186157845385
YBL063W	-0.47254805068950306
YBL064C	1.1932260642496422
YBL065W	-0.007400164423783989
YBL066C	-0.3006794830011812
YBL067C	-0.11202292670005913
YBL069W	1.2401771131038801
YBL070C	0.33050805249349796
YBL071C	-4.904725615099291
YBL072C	2.5752618427598515
YBL075C	-0.060396564452884736
YBL078C	0.4004440913549873
YBL079W	0.31208840654797176
YBL080C	-0.13921087682392144
YBL081W	0.08086982097882606
YBL082C	0.39159781049647224
YBL083C	-0.014921221923025354
YBL086C	-0.7157593110690711
YBL087C	-0.0627551892036997
YBL088C	0.30031537243740036
YBL089W	0.351238957772891
YBL090W	-0.09296128569560774
YBL091C	-0.13799594733161247
YBL091C-A	1.0077631433049572
YBL094C	-0.5339668148653743
YBL095W	-0.22347627770089037
YBL096C	-0.17228593925496094
YBL100C	-0.5060020043932518
YBL101C	-0.3671662145880758
YBL102W	0.1455144630388778
YBL103C	1.362633929405705
YBL104C	0.031159707717471858
YBL106C	-0.7233327136116148
YBL107C	0.4146064352404789
YBR001C	0.13907639210900333
YBR003W	-0.11455323472523993
YBR006W	0.6424300406407806
YBR021W	-2.3356461268006434
YBR022W	-0.443156898116581
YBR023C	-0.02429466309606234
YBR024W	0.2995134393566892
YBR025C	1.1171497554953034
