ORF	hom | genome instability (HPHe1-URA3-HPHe2) | camptothecin [10 uM] | YPD + Ade [0.4g/L] | Segura-Wang M~Korbel JO, 2017	hom | genome instability (HPHe1-URA3-HPHe2) | doxorubicin [25 uM] | YPD + Ade [0.4g/L] | Segura-Wang M~Korbel JO, 2017	hom | genome instability (HPHe1-URA3-HPHe2) | hydroxyurea [50 uM] | YPD + Ade [0.4g/L] | Segura-Wang M~Korbel JO, 2017	hom | genome instability (HPHe1-URA3-HPHe2) | methyl methanesulfonate [0.1%] | YPD + Ade [0.4g/L] | Segura-Wang M~Korbel JO, 2017
YAR042W	1.556	-0.009	2.028	0.090
YBL002W	1.459	2.083	0.000	0.000
YBR057C	0.700	1.620	1.420	1.000
YBR066C	0.846	1.235	1.255	1.389
YBR073W	1.115	1.077	0.000	0.000
YBR216C	0.000	1.259	0.000	0.000
YBR222C	1.073	1.509	1.127	0.929
YBR258C	0.000	1.055	0.000	0.862
YCL026C-A	0.000	0.857	0.911	0.864
YDL182W	0.300	0.939	0.000	0.000
YDL188C	0.000	0.000	0.575	0.000
YDL230W	0.296	0.471	0.479	0.000
YDR034C	0.310	0.444	0.000	0.000
YDR163W	0.000	0.000	0.589	0.224
YDR345C	0.000	0.639	0.507	0.286
YDR357C	0.000	0.438	0.419	0.308
YDR465C	0.205	0.671	0.000	0.316
YEL012W	0.000	1.017	0.000	0.000
YER037W	0.000	0.750	0.000	0.631
YGL032C	0.192	0.000	0.000	0.000
YGL087C	0.280	0.479	0.432	0.000
YGL234W	0.000	0.000	0.387	0.000
YGL255W	0.145	0.000	0.000	0.000
YGR068C	0.000	0.425	0.000	0.000
YGR121C	0.282	0.493	0.507	0.000
YGR260W	0.000	0.421	0.395	0.000
YHR044C	0.000	0.000	0.000	0.500
YHR155W	0.500	0.000	0.683	0.000
YIL038C	0.567	0.000	0.694	0.700
YIL120W	0.452	0.000	0.578	0.000
YIR013C	0.571	0.000	0.785	0.397
YJR001W	0.128	0.000	0.000	0.000
YJR004C	0.000	0.000	0.564	0.000
YKL137W	0.000	0.591	0.403	0.487
YKL174C	0.386	0.000	0.000	0.329
YLR028C	0.000	0.000	0.000	0.325
YLR247C	0.148	0.000	0.333	0.277
YLR445W	0.060	0.458	0.000	0.000
YML074C	0.070	0.000	0.000	0.000
YML100W	0.000	0.000	0.326	0.161
YMR038C	0.081	0.477	0.570	0.103
YMR044W	-0.034	0.000	0.000	0.000
YMR101C	0.000	0.209	0.000	0.114
YMR186W	0.114	0.310	0.477	0.356
YNL082W	0.000	0.000	0.182	0.176
YNL253W	-0.087	0.000	0.402	0.000
YOL136C	0.033	0.533	0.413	0.098
YOR371C	0.000	0.198	0.115	0.165
YPL070W	0.000	0.000	0.072	0.000
YPL103C	-0.103	0.103	0.113	0.000
YPR129W	0.000	0.000	0.061	0.000
