orf	hom | genome instability (HPHe1-URA3-HPHe2) | camptothecin [10 uM] | YPD + Ade [0.4g/L] | Segura-Wang M~Korbel JO, 2017	hom | genome instability (HPHe1-URA3-HPHe2) | doxorubicin [25 uM] | YPD + Ade [0.4g/L] | Segura-Wang M~Korbel JO, 2017	hom | genome instability (HPHe1-URA3-HPHe2) | hydroxyurea [50 uM] | YPD + Ade [0.4g/L] | Segura-Wang M~Korbel JO, 2017	hom | genome instability (HPHe1-URA3-HPHe2) | methyl methanesulfonate [0.1%] | YPD + Ade [0.4g/L] | Segura-Wang M~Korbel JO, 2017
YAR042W	1.5555555555555554	-0.009009009009008978	2.027777777777778	0.0900900900900901
YBL002W	1.4594594594594592	2.0833333333333335	0.0	0.0
YBR057C	0.7	1.6199999999999999	1.42	1.0
YBR066C	0.846153846153846	1.235294117647059	1.254901960784314	1.3888888888888888
YBR073W	1.1153846153846154	1.076923076923077	0.0	0.0
YBR216C	0.0	1.259259259259259	0.0	0.0
YBR222C	1.0727272727272728	1.5090909090909093	1.1272727272727272	0.9285714285714288
YBR258C	0.0	1.0545454545454547	0.0	0.8620689655172415
YCL026C-A	0.0	0.8571428571428573	0.9107142857142857	0.8644067796610169
YDL182W	0.29999999999999993	0.9393939393939396	0.0	0.0
YDL188C	0.0	0.0	0.5753424657534247	0.0
YDL230W	0.2957746478873239	0.47142857142857153	0.4794520547945207	0.0
YDR034C	0.3098591549295776	0.4444444444444445	0.0	0.0
YDR163W	0.0	0.0	0.589041095890411	0.0
YDR345C	0.0	0.638888888888889	0.5068493150684932	0.28571428571428575
YDR357C	0.0	0.4383561643835617	0.41891891891891886	0.30769230769230765
YDR465C	0.20547945205479465	0.6712328767123287	0.0	0.3164556962025316
YEL012W	0.0	1.0169491525423728	0.0	0.0
YER037W	0.0	0.75	0.0	0.6307692307692307
YGL032C	0.19178082191780815	0.0	0.0	0.0
YGL087C	0.27999999999999997	0.4794520547945207	0.4324324324324323	0.0
YGL234W	0.0	0.0	0.3866666666666667	0.0
YGL255W	0.1447368421052631	0.0	0.0	0.0
YGR068C	0.0	0.42465753424657543	0.0	0.0
YGR121C	0.2820512820512821	0.49333333333333323	0.5066666666666667	0.0
YGR260W	0.0	0.4210526315789475	0.39473684210526316	0.0
YHR044C	0.0	0.0	0.0	0.5000000000000001
YHR155W	0.49999999999999994	0.0	0.6833333333333332	0.0
YIL038C	0.5666666666666668	0.0	0.6935483870967741	0.7000000000000001
YIL120W	0.4516129032258064	0.0	0.5781249999999999	0.0
YIR013C	0.5714285714285715	0.0	0.7846153846153846	0.39726027397260266
YJR001W	0.12820512820512833	0.0	0.0	0.0
YJR004C	0.0	0.0	0.5641025641025641	0.0
YKL137W	0.0	0.5909090909090909	0.4027777777777777	0.4868421052631581
YKL174C	0.3857142857142856	0.0	0.0	0.32894736842105265
YLR028C	0.0	0.0	0.0	0.325301204819277
YLR247C	0.14814814814814828	0.0	0.3333333333333335	0.2771084337349396
YLR445W	0.05952380952380952	0.45783132530120463	0.0	0.0
YML074C	0.06976744186046507	0.0	0.0	0.0
YML100W	0.0	0.0	0.3255813953488373	0.1609195402298851
YMR038C	0.08139534883720943	0.4767441860465116	0.5697674418604651	0.10344827586206902
YMR044W	-0.03448275862068954	0.0	0.0	0.0
YMR101C	0.0	0.20930232558139544	0.0	0.11363636363636363
YMR186W	0.11363636363636363	0.310344827586207	0.4772727272727271	0.35555555555555546
YNL082W	0.0	0.0	0.18181818181818177	0.17582417582417578
YNL253W	-0.08695652173913032	0.0	0.4021739130434784	0.0
YOL136C	0.032608695652173995	0.532608695652174	0.4130434782608697	0.09782608695652178
YOR371C	0.0	0.1979166666666667	0.1145833333333333	0.16494845360824759
YPL070W	0.0	0.0	0.07216494845360837	0.0
YPL103C	-0.10309278350515465	0.10309278350515465	0.11340206185567026	0.0
YPR129W	0.0	0.0	0.060606060606060566	0.0
