orf	hap a (post-SGA) | transport of Pdr16 to lipid droplets (Pdr16-Cherry) | standard | SC | Eisenberg-Bord M~Bohnert M, 2018
YAL021C	10.101548084910812
YAR002W	10.101548084910812
YBR131W	-9.899517123212599
YBR133C	10.101548084910812
YCR045C	-9.899517123212599
YDL093W	10.101548084910812
YDR017C	10.101548084910812
YDR065W	-9.899517123212599
YDR080W	10.101548084910812
YDR207C	10.101548084910812
YDR226W	-9.899517123212599
YDR315C	10.101548084910812
YDR430C	10.101548084910812
YDR497C	-9.899517123212599
YEL062W	-9.899517123212599
YGL019W	10.101548084910812
YGL033W	-9.899517123212599
YGL124C	10.101548084910812
YGR157W	10.101548084910812
YHR147C	-9.899517123212599
YHR178W	10.101548084910812
YIR033W	-9.899517123212599
YJL204C	-9.899517123212599
YKR024C	-9.899517123212599
YLL018C-A	10.101548084910812
YLR015W	-9.899517123212599
YLR079W	10.101548084910812
YLR110C	10.101548084910812
YLR386W	10.101548084910812
YML001W	10.101548084910812
YML030W	-9.899517123212599
YMR147W	-9.899517123212599
YMR148W	-9.899517123212599
YMR150C	10.101548084910812
YMR294W	-9.899517123212599
YMR304W	-9.899517123212599
YNL241C	-9.899517123212599
YNL294C	10.101548084910812
YOR106W	-9.899517123212599
YOR187W	-9.899517123212599
YOR201C	-9.899517123212599
YOR304W	10.101548084910812
YPL120W	10.101548084910812
YPL162C	10.101548084910812
YPL195W	10.101548084910812
