orf	hom | growth (colony size) | standard | SC | Jaeger PA~Ideker T, 2018	hom | growth (colony size) | standard | SC, Gal [2%] | Jaeger PA~Ideker T, 2018	hom | gene expression (prGAL1-GFP) | standard | SC - Ura | Jaeger PA~Ideker T, 2018	hom | gene expression (prGAL1-GFP) | standard | SC - Ura, Gal [2%] | Jaeger PA~Ideker T, 2018	hom | gene expression (prTEF1-GFP) | glucose [2%] | None | Jaeger PA~Ideker T, 2018	hom | gene expression (prTEF1-GFP) | galactose [2%] | None | Jaeger PA~Ideker T, 2018	hom | degradation of misfolded proteins (del-ssCPY*-GFP) | standard | None | Jaeger PA~Ideker T, 2018
YAL002W	-0.406263111692747	0.245176717372185	-0.634156059553811	-0.319514106670128	-0.0600311918766723	-0.122411317711387	0.633604682817142
YAL004W	0.353013637915709	0.293261301244279	-0.607664788036749	0.213934037495735	0.0989419869772122	-0.0286501374092072	0.9451104612024321
YAL005C	0.295915347506892	-0.469302143477638	-0.298648433325364	0.196770605609809	0.163047637530551	-0.054925953047415	0.019853629271397
YAL007C	-0.0298657038263106	0.254167414248669	0.302598757836774	0.154397174247796	-0.110999892043661	-0.0110358745572794	0.2478408846141981
YAL008W	-0.501139870233567	0.161716295597879	0.713786287238519	0.122458301111433	0.0699590635089177	-0.00604764374663693	-0.08986394313798601
YAL009W	0.204592140556385	0.887579404053476	0.103504537640481	-0.0423205684002985	0.0437764565032988	-0.112379423090278	-0.401651407973609
YAL010C	-0.413469081797042	-0.221393831169827	-0.327402482418803	-0.584414153057686	-0.139984355445207	-0.189762803405089	1.679597140125894
YAL011W	0.222891398703694	0.133907852850215	0.568276520039753	-0.334259902969995	0.00701551128303191	-0.339323931857042	0.5070867320420893
YAL012W	0.991055326527173	1.00843590791081	-1.2923335601992	-0.648431382622624	-0.497168922248235	-0.249239433353669	3.72346392988821
YAL013W	-1.47994917428431	-0.957928085912695	-0.211508700854776	-0.50048262374319	-0.606030601900358	-0.369559086408993	1.2166984345891598
YAL014C	0.565460651175901	0.363812508980526	0.278332514849495	0.182734436939822	0.184008286541631	0.0598463986241367	-0.46432866618444096
YAL015C	0.34961072937243	0.293500696845237	0.50648368253816	0.138135228055142	0.108204262455836	-0.00873324682530383	0.31918492483571
YAL016C-B	0.0835812209951184	0.189314865787005	1.30503428458624	0.29374029115781	0.151028567836879	0.033959141452967	-0.6706173192520299
YAL016W			-2.09561185663757	-0.755566740373548	-0.751346468139935	-0.3896426816336	
YAL017W	-0.253141506007069	-0.49856219323279	0.0265249536965349	0.2034194358262	0.0847632603455649	-0.0469067275883782	-0.155430008925666
YAL018C	0.614736466464589	0.288131784850369	0.383265897872501	0.152172501379578	0.108246037797297	-0.0400097172178882	-0.2218725817713619
YAL019W	-0.422369132381602	-0.0953953761846954	-0.0118524478425921	-0.087733573996021	-0.0190171108986173	-0.0501055844264694	0.194529019563033
YAL020C	0.289850348641888	-0.928922915900316	0.00843765002048344	0.041435670741312	0.148250572453199	-0.0579057926097631	1.113405344294147
YAL021C	-1.17162267664565	-0.276897598846392	-0.531059369886247	0.12957672492273	-0.0203780189951829	-0.0700172634918025	-0.122663657978468
YAL022C	0.359577477054731	0.792970220475154	0.450911734201413	0.212472911602177	0.113838220092971	-0.0223781325267897	-0.191972682550621
YAL023C	0.18701067429889	0.719241467202134	1.88842641293175	0.279936443355814	0.106292855082746	-0.00647942627664316	-0.6920706777113799
YAL024C	0.605656424133146	0.796215456390113	-0.262429724591657	0.0530083641506065	-0.0879382144521273	-0.0209839825332149	1.167978846459768
YAL026C	-1.3695738793646	-0.618973091551273	-1.07524516746226	-0.674509868049964	-0.577325573228196	-0.343877039178612	1.914917119449746
YAL027W	0.717665578786861	0.516791488793805	0.289171029436199	-0.126869507965815	-0.000898124468317753	-0.061927012042277	-2.3094114848201572
YAL028W	0.459405352377602	0.348848928883563	-0.160917614995612	-0.046327431242489	0.0202291682098367	-0.0722570778104991	-0.7263791201373954
YAL029C	0.534718012236956	0.374060777267487	0.214158543812224	-0.0970820753971392	-0.0320747724942847	-0.0242352981538795	-0.245140942766466
YAL030W	0.255191633863168	0.0175670436723889	0.793259250401911	0.224905558278713	0.0689716501554573	0.0313736000742783	0.012278605701467993
YAL031C	0.308149413966397	-0.163174985403178	-0.204906547702193	0.0681884113182151	0.113213623297905	0.00967713934767994	-0.3035955335936895
