orf	hap a (post-SGA) | growth (colony size) | expression of yEVenus [prHSC82, 2u plasmid] | SC(MSG) - Leu | Farkas Z~Pal C, 2018
YAL002W	-0.033532208
YAL004W	0.001371699
YAL005C	-0.009390246
YAL007C	0.033623559
YAL008W	0.027869423
YAL009W	0.010394392
YAL010C	0.007256717
YAL011W	-0.016252172
YAL012W	-0.066968994
YAL013W	-0.005781229
YAL014C	-0.001300492
YAL015C	0.019975309
YAL016C-B	-0.02717577
YAL016W	0.228269979
YAL017W	-0.002387893
YAL018C	0.015583929
YAL019W	0.009554195
YAL020C	0.004911423
YAL021C	-0.054698756
YAL022C	-0.011638055
YAL023C	-0.008141478
YAL024C	0.048535479
YAL026C	0.012662802
YAL027W	-0.005367643
YAL028W	0.00828802
YAL029C	0.021149468
YAL030W	-0.001058576
YAL031C	0.014218519
YAL034C	0.020530958
YAL035W	0.011527535
YAL036C	0.00654453
YAL037C-A	-0.030459522
YAL037W	0.005275048
YAL039C	0.002285695
YAL040C	0.026737993
YAL042C-A	0.003780517
YAL042W	0.004357431
YAL044C	-0.005194477
YAL044W-A	-0.045610826
YAL045C	0.009664756
YAL046C	0.033226802
YAL047C	
YAL048C	0.013843245
YAL049C	-0.010317665
YAL051W	0.015445865
YAL053W	0.013406905
YAL054C	-0.000229355
YAL055W	0.058110134
YAL056C-A	0.020841386
YAL056W	0.025036035
YAL058W	0.015658427
YAL059W	0.011376225
YAL060W	0.013313012
YAL061W	0.008630855
YAL062W	-0.002002283
YAL064C-A	-0.025473838
YAL065C	-0.007945747
YAL066W	0.021221345
YAL067C	-0.01290411
YAL067W-A	-0.026780952
YAL068C	-0.004240832
YAR002C-A	-0.00962145
YAR002W	0.021256123
YAR003W	0.007520775
YAR014C	0.03250074
YAR015W	0.020589143
YAR018C	-0.024989018
YAR020C	0.000212003
YAR023C	-0.009327648
YAR027W	0.04560442
YAR028W	-0.002257631
YAR029W	0.004354766
YAR030C	0.008880667
YAR031W	0.014519871
YAR035C-A	-0.000598817
YAR035W	0.020148128
YAR042W	-0.005869738
YAR047C	0.000456021
YAR050W	0.003627865
YBL001C	0.011675828
YBL002W	0.044795882
YBL003C	0.014719111
YBL005W	-0.029036298
YBL006C	0.364458095
YBL007C	-0.011971734
YBL008W	0.011043857
YBL008W-A	0.014919448
YBL009W	-0.002655675
YBL010C	-0.024897968
YBL011W	0.007039901
YBL012C	-0.071797343
YBL013W	-0.005097705
YBL015W	0.000216949
YBL016W	
YBL017C	-0.062228517
YBL019W	-0.051706562
YBL021C	-0.035138221
YBL022C	0.00855071
YBL024W	-0.024917833
YBL025W	0.049925522
YBL027W	-0.055867247
YBL028C	-0.014404424
YBL029C-A	-0.000718923
YBL029W	0.020309792
YBL031W	-0.032991852
YBL032W	0.013141792
YBL033C	
YBL036C	-0.009502499
YBL037W	-0.032337961
YBL038W	-0.049549267
YBL039C	-0.036460447
YBL039W-B	-0.00268258
YBL042C	-0.017805653
YBL043W	-0.032189427
YBL044W	-0.004044421
YBL045C	-0.053520337
YBL046W	-0.006373233
YBL047C	-0.0298821
YBL048W	0.016689428
YBL049W	-0.025561424
YBL051C	0.019035383
YBL052C	0.016762677
YBL053W	-0.003675842
YBL054W	0.000451008
YBL055C	0.000477705
YBL056W	-0.009200807
YBL057C	-0.057113857
YBL058W	
YBL059W	0.002555503
YBL060W	0.01344537
YBL061C	0.00648049
YBL062W	0.011532263
YBL063W	-0.014834713
YBL064C	-0.028945885
YBL065W	0.000263635
YBL066C	-0.014665705
YBL067C	0.015505439
YBL068W	-0.003770484
