ORF	hap alpha | chronological lifespan | nonrestricted diet medium (glutamine [25 mM], minimal complete [standard]) | Campos SE~DeLuna A, 2018	hap alpha | chronological lifespan | dietary-restricted medium (gamma-aminobutyric acid [25 mM], minimal complete [standard]) | Campos SE~DeLuna A, 2018
YAL002W	-0.022	0.004
YAL004W	-0.003	0.006
YAL005C	-0.006	0.014
YAL007C	0.000	-0.000
YAL008W	-0.002	-0.002
YAL009W	0.002	0.003
YAL011W	0.018	0.007
YAL013W	-0.026	-0.020
YAL014C	0.000	-0.007
YAL015C	-0.004	-0.002
YAL016W	-0.000	-0.002
YAL017W	0.009	0.009
YAL018C	-0.000	-0.003
YAL019W	-0.003	-0.003
YAL020C	-0.000	-0.006
YAL022C	0.003	-0.007
YAL023C	0.015	0.028
YAL026C	0.030	0.016
YAL027W	0.008	0.004
YAL028W	0.005	0.004
YAL029C	-0.000	0.002
YAL030W	-0.001	0.001
YAL031C	0.005	-0.006
YAL034C	-0.003	-0.005
YAL035W	-0.009	-0.006
YAL036C	-0.011	0.001
YAL037W	-0.004	-0.004
YAL040C	0.001	0.003
YAL042W	0.006	0.008
YAL042C-A	0.003	0.006
YAL045C	0.002	0.010
YAL046C	-0.000	0.002
YAL048C	0.002	0.003
YAL049C	-0.006	-0.003
YAL051W	-0.005	0.000
YAL053W	-0.016	0.001
YAL054C	-0.002	-0.003
YAL056C-A	0.011	0.004
YAL058W	-0.008	-0.002
YAL059W	0.007	0.004
YAL060W	0.004	0.002
YAL061W	0.000	-0.014
YAL062W	0.007	0.002
YAL064C-A	0.003	0.001
YAL065C	0.003	0.006
YAL066W	0.002	0.001
YAL067C	-0.002	-0.006
YAL068C	-0.003	-0.005
YAR002C-A	0.010	0.010
YAR002W	-0.006	-0.000
YAR003W	-0.019	-0.025
YAR014C	-0.036	-0.020
YAR018C	-0.018	-0.014
YAR020C	-0.007	-0.003
YAR023C	0.001	-0.003
YAR027W	-0.001	0.003
YAR029W	0.003	0.000
YAR030C	-0.009	-0.008
YAR031W	0.001	-0.002
YAR035W	-0.005	-0.003
YAR037W	0.003	-0.007
YAR040C	0.000	0.003
YAR042W	-0.001	-0.002
YAR043C	-0.004	0.005
YAR047C	-0.010	-0.003
YAR050W	-0.000	0.003
YBL001C	-0.002	0.003
YBL002W	0.009	0.004
YBL003C	0.001	-0.000
YBL005W	0.004	-0.001
YBL006C	-0.012	-0.018
YBL007C	0.002	-0.004
YBL008W	0.007	0.002
YBL009W	0.001	0.004
YBL010C	0.009	0.013
YBL011W	-0.003	-0.000
YBL012C	-0.009	-0.005
YBL013W	-0.003	0.004
YBL015W	-0.031	-0.015
YBL016W	0.016	-0.003
YBL017C	0.002	-0.003
YBL019W	-0.002	-0.005
YBL021C	-0.016	-0.017
YBL022C	-0.020	-0.018
YBL024W	0.020	0.023
YBL027W	-0.015	0.005
YBL028C	-0.000	0.005
YBL029W	-0.001	0.005
YBL032W	0.009	0.001
YBL033C	-0.008	-0.006
YBL036C	-0.002	0.001
YBL037W	0.001	0.001
YBL038W	-0.028	-0.018
YBL039C	-0.002	-0.002
YBL042C	-0.005	0.005
YBL043W	0.000	0.002
YBL044W	-0.006	-0.007
YBL045C	-0.004	0.006
YBL046W	0.003	0.003
YBL047C	0.016	0.011
YBL048W	0.008	0.005
YBL051C	0.016	0.018
YBL052C	-0.002	0.001
YBL053W	-0.001	-0.006
YBL054W	-0.001	-0.006
YBL055C	-0.004	-0.000
YBL056W	0.002	-0.003
YBL057C	-0.003	-0.002
YBL059W	-0.001	0.002
YBL060W	0.008	0.002
YBL062W	-0.006	0.002
YBL063W	0.007	0.003
YBL064C	0.006	0.004
YBL065W	-0.002	-0.003
YBL066C	-0.003	-0.005
YBL067C	-0.008	-0.003
YBL068W	0.000	0.003
YBL069W	0.009	-0.001
YBL070C	-0.001	-0.003
YBL071C	-0.002	-0.006
YBL072C	-0.015	0.009
YBL075C	-0.003	-0.000
YBL080C	-0.017	-0.017
YBL081W	0.001	-0.012
YBL082C	0.002	0.008
YBL083C	-0.001	0.001
YBL085W	0.004	0.001
YBL086C	0.001	0.000
YBL087C	0.009	0.010
YBL088C	-0.009	-0.000
YBL089W	-0.001	0.002
YBL091C-A	0.007	0.001
YBL094C	0.004	-0.002
YBL095W	0.001	0.003
YBL096C	-0.015	-0.009
YBL098W	-0.004	-0.004
YBL101C	0.006	0.003
YBL104C	0.017	-0.002
YBL107C	-0.003	-0.005
YBR001C	-0.003	-0.003
YBR005W	-0.003	-0.012
YBR006W	-0.004	0.014
YBR007C	0.001	-0.003
YBR008C	-0.003	0.010
YBR009C	0.001	0.007
YBR010W	-0.004	-0.008
YBR012C	-0.002	-0.003
YBR013C	0.003	0.003
YBR014C	0.008	0.009
YBR015C	-0.002	-0.003
YBR016W	-0.005	0.002
YBR018C	-0.017	-0.001
YBR019C	-0.005	-0.002
YBR020W	-0.002	-0.014
YBR021W	0.000	0.003
YBR022W	-0.008	-0.012
YBR023C	-0.004	0.001
YBR024W	0.000	-0.009
YBR027C	-0.003	0.005
YBR028C	-0.007	-0.002
YBR030W	-0.008	0.005
YBR031W	-0.002	0.009
YBR032W	-0.002	-0.001
YBR033W	-0.003	-0.012
YBR034C	-0.004	-0.015
YBR035C	0.002	0.005
YBR036C	-0.012	-0.016
YBR037C	-0.011	-0.010
YBR040W	-0.009	-0.002
YBR041W	-0.010	-0.018
YBR044C	0.011	0.007
YBR045C	-0.002	0.003
YBR046C	-0.001	0.001
YBR047W	-0.002	0.001
YBR048W	0.006	-0.005
YBR050C	-0.003	-0.008
YBR051W	-0.004	0.007
YBR052C	0.001	-0.003
YBR053C	0.004	-0.001
YBR056W	-0.002	-0.000
YBR058C	-0.025	-0.013
YBR059C	-0.005	-0.010
YBR061C	-0.053	-0.016
YBR062C	-0.001	-0.004
YBR063C	0.002	0.002
YBR064W	0.000	0.002
YBR065C	0.002	0.001
YBR066C	0.008	0.001
YBR069C	-0.010	-0.010
YBR071W	0.001	0.002
YBR072W	0.006	0.002
YBR073W	-0.001	0.003
YBR074W	-0.004	-0.006
YBR076W	0.000	-0.001
YBR077C	-0.023	0.009
YBR078W	0.002	0.002
YBR082C	0.002	-0.000
YBR083W	0.006	0.014
YBR084C-A	0.004	-0.001
YBR090C	-0.007	-0.005
YBR089C-A	-0.007	-0.005
YBR092C	-0.001	0.003
YBR093C	0.009	0.011
YBR094W	0.004	-0.001
YBR095C	-0.015	-0.027
YBR098W	-0.000	0.000
YBR099C	-0.006	-0.001
YBR101C	0.012	-0.002
YBR104W	-0.000	0.003
YBR105C	-0.006	-0.010
YBR106W	0.011	-0.003
YBR107C	0.001	-0.004
YBR108W	0.002	-0.002
YBR111C	-0.004	-0.002
YBR113W	0.009	0.000
YBR114W	0.010	0.012
YBR116C	-0.002	-0.000
YBR119W	0.018	0.006
YBR120C	-0.006	0.010
YBR121C	-0.001	0.024
YBR122C	-0.010	-0.017
YBR125C	-0.013	-0.006
YBR128C	-0.022	-0.035
YBR129C	-0.004	-0.007
YBR130C	-0.011	-0.013
YBR132C	-0.002	-0.000
YBR134W	-0.007	0.003
YBR137W	-0.001	0.008
YBR138C	-0.004	0.004
YBR139W	0.000	0.006
YBR141C	0.000	0.006
YBR144C	0.001	0.003
YBR145W	0.004	0.003
YBR146W	-0.006	-0.008
YBR147W	0.006	0.003
YBR148W	-0.010	-0.011
YBR149W	-0.002	-0.003
YBR150C	-0.007	-0.018
YBR151W	0.004	0.002
YBR156C	0.001	0.010
YBR157C	0.015	0.019
YBR158W	0.003	0.002
YBR159W	0.003	0.006
YBR161W	-0.000	-0.000
YBR162C	-0.018	-0.017
YBR162W-A	0.000	0.005
YBR163W	-0.068	-0.044
YBR164C	-0.008	-0.017
YBR165W	-0.007	-0.008
YBR166C	-0.005	-0.008
YBR168W	0.014	0.025
YBR169C	0.003	0.008
YBR170C	0.002	0.002
YBR171W	0.017	0.004
YBR172C	-0.002	0.001
YBR174C	-0.029	-0.012
YBR177C	0.009	0.015
YBR178W	0.001	0.013
YBR179C	0.009	0.001
YBR180W	0.007	0.005
YBR181C	0.031	0.021
YBR182C	-0.000	0.001
YBR183W	0.001	-0.003
YBR184W	-0.002	-0.003
YBR185C	-0.017	-0.009
YBR186W	-0.007	-0.004
YBR188C	-0.002	0.002
YBR194W	0.003	0.000
YBR195C	0.001	-0.002
YBR197C	0.000	0.001
YBR199W	0.001	0.006
YBR201W	0.010	0.010
YBR203W	-0.001	-0.006
YBR204C	-0.012	-0.007
YBR206W	-0.012	-0.004
YBR207W	-0.004	0.001
YBR209W	0.002	-0.008
YBR210W	-0.003	-0.000
YBR212W	0.007	-0.004
YBR213W	-0.000	-0.005
YBR214W	-0.010	-0.001
YBR215W	0.001	0.005
YBR216C	-0.000	0.000
YBR217W	-0.033	-0.045
YBR218C	-0.016	-0.002
YBR219C	-0.014	0.003
YBR222C	-0.005	0.000
YBR223C	0.001	0.003
YBR224W	0.001	-0.009
YBR225W	0.006	0.000
YBR226C	0.014	0.004
YBR227C	0.005	0.003
YBR228W	0.001	-0.005
YBR229C	-0.004	-0.004
YBR230C	-0.006	0.004
YBR231C	0.021	0.015
YBR232C	-0.008	-0.005
YBR233W	-0.006	-0.007
YBR238C	0.000	0.006
YBR239C	-0.000	0.002
YBR240C	-0.008	0.001
YBR242W	-0.002	0.002
YBR244W	-0.000	0.002
YBR245C	0.010	-0.002
YBR246W	-0.001	-0.010
YBR249C	0.001	0.001
YBR250W	0.001	-0.003
YBR255W	-0.004	0.001
YBR258C	-0.000	0.004
YBR259W	0.007	0.001
YBR260C	-0.003	-0.002
YBR262C	-0.006	-0.001
YBR263W	-0.013	-0.009
YBR264C	-0.007	-0.007
YBR266C	0.011	0.034
YBR268W	-0.049	-0.031
YBR269C	0.005	0.006
YBR270C	-0.001	0.000
YBR271W	-0.010	-0.005
YBR272C	0.003	0.001
YBR273C	-0.012	-0.001
YBR274W	0.001	-0.002
YBR275C	-0.000	-0.001
YBR276C	-0.005	-0.001
YBR277C	0.003	-0.006
YBR279W	0.003	-0.001
YBR280C	-0.053	-0.044
YBR281C	0.009	0.006
YBR283C	-0.012	-0.005
YBR284W	0.004	-0.004
YBR285W	-0.001	0.005
YBR286W	0.007	0.005
YBR287W	-0.009	-0.006
YBR290W	-0.004	-0.002
YBR291C	0.009	0.006
YBR292C	-0.015	0.004
YBR293W	-0.003	-0.005
YBR294W	-0.001	-0.004
YBR295W	-0.003	0.004
YBR296C	-0.003	0.001
YBR299W	-0.001	-0.001
YBR300C	0.006	0.002
YBR301W	0.002	0.007
YCL001W	-0.001	-0.004
YCL001W-A	-0.006	0.005
YCL002C	-0.008	-0.003
YCL006C	-0.008	0.001
YCL008C	-0.038	-0.030
YCL009C	0.013	0.015
YCL010C	0.003	0.000
YCL011C	-0.001	-0.000
YCL014W	-0.002	-0.010
YCL013W	-0.008	-0.008
YCL022C	0.003	0.002
YCL023C	-0.010	-0.005
YCL024W	-0.000	-0.001
YCL025C	0.010	0.000
YCL026C	-0.023	0.009
YCL026C-A	0.002	0.011
YCL027W	0.008	0.004
YCL028W	0.009	0.001
YCL029C	0.002	0.002
YCL032W	0.001	0.006
YCL033C	-0.023	-0.009
YCL034W	0.005	0.001
YCL035C	-0.001	0.004
YCL037C	-0.017	-0.008
YCL038C	-0.001	-0.002
YCL039W	-0.014	-0.010
YCL040W	-0.028	-0.032
YCL042W	-0.031	-0.028
YCL044C	-0.001	-0.010
YCL045C	-0.003	-0.003
YCL046W	-0.002	-0.000
YCL047C	0.000	0.005
YCL048W	0.004	0.005
YCL049C	-0.009	-0.003
YCL051W	0.014	0.010
YCL061C	-0.013	-0.015
YCL063W	-0.005	0.010
YCL064C	0.002	0.006
YCL069W	-0.004	-0.001
YCL074W	0.002	-0.005
YCL075W	-0.005	-0.004
YCR001W	-0.000	0.002
YCR005C	-0.003	0.002
YCR006C	-0.010	0.000
YCR007C	0.002	-0.002
YCR010C	0.005	0.001
YCR011C	0.010	0.009
YCR014C	0.006	0.008
YCR015C	0.002	0.001
YCR019W	-0.020	-0.005
YCR020C	0.006	0.006
YCR020C-A	-0.031	-0.019
YCR021C	-0.003	-0.003
YCR022C	-0.011	-0.004
YCR023C	0.001	0.009
YCR024C-A	-0.002	-0.001
YCR025C	-0.013	-0.008
YCR026C	-0.009	0.001
YCR027C	-0.008	-0.003
YCR030C	0.010	-0.000
YCR031C	0.016	0.012
YCR032W	0.002	-0.003
YCR033W	-0.004	0.009
YCR036W	0.000	-0.000
YCR037C	0.006	0.007
YCR043C	0.002	0.003
YCR044C	0.004	0.003
YCR045C	0.004	0.005
YCR048W	0.000	0.004
YCR049C	0.006	-0.004
YCR050C	0.007	0.003
YCR051W	-0.004	-0.001
YCR059C	-0.003	-0.002
YCR060W	-0.000	-0.005
YCR061W	0.002	-0.002
YCR065W	-0.007	-0.005
YCR067C	0.003	0.004
YCR069W	-0.000	0.001
YCR073C	0.004	0.002
YCR073W-A	-0.009	-0.010
YCR075C	-0.010	-0.005
YCR076C	-0.040	-0.019
YCR077C	0.004	0.004
YCR079W	0.029	0.018
YCR082W	0.005	0.008
YCR083W	-0.047	-0.050
YCR085W	-0.002	0.003
YCR086W	-0.003	-0.004
YCR087C-A	-0.008	-0.003
YCR088W	0.004	0.007
YCR089W	0.005	0.002
YCR090C	-0.006	-0.000
YCR091W	-0.004	0.001
YCR092C	0.003	-0.001
YCR095C	0.009	0.003
YCR099C	0.002	-0.021
YCR100C	-0.003	-0.004
YCR101C	-0.001	-0.001
YCR102C	-0.001	-0.002
YCR102W-A	0.003	0.002
YCR105W	-0.005	-0.007
YCR106W	0.003	-0.007
YCR107W	-0.002	-0.000
YDL001W	-0.013	0.004
YDL009C	-0.006	-0.001
YDL010W	0.004	-0.005
YDL011C	-0.005	-0.006
YDL012C	-0.014	-0.012
YDL018C	0.004	-0.011
YDL019C	-0.010	-0.002
YDL020C	-0.008	-0.012
YDL022W	-0.000	-0.008
YDL023C	-0.002	-0.012
YDL024C	-0.000	-0.000
YDL025C	0.003	0.000
YDL026W	0.019	0.016
YDL027C	-0.004	-0.008
YDL032W	-0.025	-0.011
YDL033C	0.002	0.010
YDL034W	-0.003	-0.013
YDL035C	-0.008	-0.010
YDL036C	0.000	-0.001
YDL037C	-0.007	-0.019
YDL039C	0.004	0.007
YDL040C	0.000	-0.006
YDL044C	-0.034	-0.020
YDL045W-A	-0.032	-0.042
YDL046W	0.000	0.009
YDL048C	-0.003	-0.009
YDL049C	-0.007	-0.005
YDL050C	-0.001	0.006
YDL051W	0.003	-0.002
YDL052C	-0.008	-0.007
YDL053C	0.018	0.014
YDL056W	-0.010	-0.027
YDL057W	0.002	0.002
YDL059C	-0.003	-0.007
YDL061C	0.017	0.007
YDL063C	-0.008	0.001
YDL065C	-0.020	-0.018
YDL066W	0.003	0.007
YDL068W	-0.033	-0.013
YDL069C	-0.027	-0.014
YDL070W	0.005	0.002
YDL072C	0.002	0.002
YDL073W	-0.002	-0.003
YDL074C	0.001	0.009
YDL075W	-0.003	-0.000
YDL076C	-0.006	-0.005
YDL077C	0.011	-0.012
YDL078C	0.005	-0.003
YDL079C	0.007	-0.002
YDL080C	-0.002	0.014
YDL081C	0.016	0.009
YDL082W	0.010	0.001
YDL085W	-0.003	-0.009
YDL088C	0.005	0.006
YDL089W	-0.003	0.000
YDL091C	-0.005	-0.005
YDL093W	0.001	-0.003
YDL099W	0.002	0.002
YDL100C	-0.023	-0.022
YDL101C	-0.006	-0.010
YDL104C	-0.024	-0.011
YDL106C	0.004	0.019
YDL107W	-0.031	-0.017
YDL109C	0.007	0.001
YDL110C	0.008	0.009
YDL112W	0.010	0.002
YDL113C	-0.004	-0.004
YDL114W	-0.003	0.004
YDL117W	-0.024	-0.019
YDL119C	-0.007	-0.005
YDL121C	0.003	-0.002
YDL122W	-0.003	-0.010
YDL123W	0.002	-0.003
YDL124W	-0.000	0.004
YDL125C	-0.003	0.001
YDL127W	0.004	0.005
YDL128W	0.004	0.004
YDL129W	-0.010	-0.006
YDL130W-A	-0.042	-0.019
YDL133C-A	0.001	0.007
YDL134C	0.002	-0.002
YDL135C	0.017	0.015
YDL136W	0.005	-0.005
YDL137W	0.003	0.006
YDL138W	-0.007	-0.009
YDL142C	-0.023	-0.010
YDL144C	-0.001	-0.004
YDL149W	-0.032	-0.040
YDL154W	-0.002	-0.008
YDL155W	-0.003	-0.012
YDL156W	-0.004	-0.004
YDL157C	-0.001	-0.002
YDL160C	0.005	-0.003
YDL161W	-0.002	-0.009
YDL162C	0.000	-0.008
YDL167C	0.006	0.001
YDL168W	-0.002	-0.004
YDL169C	0.006	0.000
YDL170W	0.005	0.008
YDL171C	-0.004	-0.002
YDL174C	0.001	-0.000
YDL175C	0.001	-0.011
YDL176W	-0.002	0.005
YDL177C	-0.005	0.004
YDL178W	-0.005	-0.002
YDL179W	-0.001	-0.007
YDL180W	0.000	-0.001
YDL184C	-0.000	-0.009
YDL186W	-0.002	-0.002
YDL187C	-0.010	0.005
YDL188C	0.009	0.001
YDL189W	-0.000	-0.001
YDL190C	-0.017	-0.001
YDL191W	0.007	0.000
YDL194W	-0.006	-0.007
YDL197C	-0.004	-0.000
YDL199C	0.001	-0.010
YDL200C	-0.011	-0.009
YDL201W	-0.013	-0.009
