orf	hap alpha | chronological lifespan | nonrestricted diet medium (glutamine [25 mM], minimal complete [standard]) | Campos SE~DeLuna A, 2018	hap alpha | chronological lifespan | dietary-restricted medium (gamma-aminobutyric acid [25 mM], minimal complete [standard]) | Campos SE~DeLuna A, 2018
YAL002W	-1.952510342639667	0.5140587527506149
YAL004W	-0.19752627195335917	0.6637488007541062
YAL005C	-0.52347736806822	1.5319063320477238
YAL007C	0.08461227539256422	0.07549304244788177
YAL008W	-0.08114780714638828	-0.05822084605749768
YAL009W	0.26944990045503636	0.4102635076812107
YAL011W	1.8108535475201804	0.8026075642183973
YAL013W	-2.323813673401005	-1.9243425224492334
YAL014C	0.10136099450882854	-0.6049474673139401
YAL015C	-0.33341349975778145	-0.07436407647660012
YAL016W	0.04005881430026244	-0.1369735803743762
YAL017W	0.9058958417204299	0.973575613443989
YAL018C	0.04002563269681122	-0.20871914871862185
YAL019W	-0.1590633580908289	-0.2253961801241049
YAL020C	0.048075076963536974	-0.5172465652581539
YAL022C	0.33730053855102543	-0.5951682519728562
YAL023C	1.5303370876527058	2.9854986795869527
YAL026C	2.914824618142946	1.7461195565539651
YAL027W	0.8544066622446364	0.5131175471333711
YAL028W	0.5233136514426144	0.5171549093355163
YAL029C	0.06330577450094363	0.2594614527776656
YAL030W	0.029634416437106785	0.21307747731720714
YAL031C	0.5765639664170945	-0.5085843990885589
YAL034C	-0.15836251413142602	-0.39612843935363556
YAL035W	-0.7862991149739005	-0.5423558008887487
YAL036C	-0.9320035423001313	0.1803036922039875
YAL037W	-0.2870741114487582	-0.33427433901312104
YAL040C	0.2081135702270204	0.3966371381725941
YAL042C-A	0.34484962383880247	0.7647482700922883
YAL042W	0.6192255983358997	0.9062414302986821
YAL045C	0.2531595081919739	1.0787709930484253
YAL046C	0.043678086331478204	0.2821539926812342
YAL048C	0.2830597627584529	0.389551224526188
YAL049C	-0.515983403123711	-0.16455337762636446
YAL051W	-0.36904061184677384	0.10354902846962483
YAL053W	-1.4014772339937354	0.2390268195683
YAL054C	-0.14008945563702016	-0.1785100076186951
YAL056C-A	1.1644443596407557	0.47678538912029855
YAL058W	-0.69162257887656	-0.13616380725689572
YAL059W	0.7051257932352673	0.5234467099299622
YAL060W	0.500263354040434	0.270486788998833
YAL061W	0.10907178729240366	-1.2954863115907114
YAL062W	0.7337536746131589	0.3401303231470181
YAL064C-A	0.3723907950535462	0.16243552928336571
YAL065C	0.411765775802532	0.7148998144990044
YAL066W	0.24208171770766002	0.22982271076834324
YAL067C	-0.05856730067752807	-0.5112395051375007
YAL068C	-0.23912055879924435	-0.41971539775290834
YAR002C-A	1.0289423192677347	1.0973483166422107
YAR002W	-0.4627333938344047	0.09028087585240357
YAR003W	-1.7232408249860744	-2.515710167879412
YAR014C	-3.2829871244928635	-1.937582357145292
YAR018C	-1.6187649553601278	-1.3743784264413086
YAR020C	-0.5559272305513762	-0.22765909033009143
YAR023C	0.16585085241269393	-0.23514973477451678
YAR027W	-0.023975840364917223	0.43848997470710105
YAR029W	0.3468759393766275	0.1298942674839942
YAR030C	-0.7404732643404207	-0.7133692314456129
YAR031W	0.16886600567474255	-0.11447305389273112
YAR035W	-0.3749869918635127	-0.24624590081330805
YAR042W	0.03401261075770339	-0.12769119885016683
YAR047C	-0.8479486387076987	-0.23185557456772266
YAR050W	0.06071376424934142	0.368554659146421
YBL001C	-0.1129272652022301	0.40757246790003954
YBL002W	0.9362872756788557	0.4925657467246047
YBL003C	0.15438000389535658	0.0728079613170894
YBL005W	0.4441264453367588	0.015280565986224372
YBL006C	-1.065500906290811	-1.7071458915699345
YBL007C	0.28727487477905733	-0.29224587366001764
YBL008W	0.7256709923129069	0.270304642686681
YBL009W	0.18635644179964136	0.512637556218392
YBL010C	0.9489074420526677	1.398962544838428
YBL011W	-0.22619602299964028	0.05763099151220138
YBL012C	-0.7860577399898419	-0.46414901375349515
YBL013W	-0.22241641128347378	0.5256708606236564
YBL015W	-2.8181530677516067	-1.4277061231888928
YBL016W	1.553773248139505	-0.1705636730555895
YBL017C	0.26919256879539794	-0.22330508352394718
YBL019W	-0.08982874574862174	-0.45105101508546913
YBL021C	-1.3801177173812273	-1.6884698382746048
YBL022C	-1.8124220642559308	-1.721663961926461
YBL024W	1.963399425364682	2.471486215745668
YBL027W	-1.3302462526140362	0.628010263462844
YBL028C	0.038700411780339325	0.6348392699521059
YBL029W	-0.036230935428916054	0.6502334278988966
YBL032W	0.937753431746405	0.15966864685249738
YBL033C	-0.654375832752004	-0.5397099695801445
YBL036C	-0.07445634206561369	0.24396850446896606
YBL037W	0.20019945748594703	0.2260788332312469
YBL038W	-2.565545070435267	-1.7518314608380985
YBL039C	-0.10961296039872552	-0.09386647818928075
YBL042C	-0.4017432510980349	0.5674022324995907
YBL043W	0.08505141939841838	0.33265019409848706
YBL044W	-0.51872077398964	-0.6566946752351525
YBL045C	-0.32295552834604	0.6789522012562769
YBL046W	0.36266379679756683	0.4249792258144693
YBL047C	1.63295551782757	1.1834047859950763
YBL048W	0.8416874029479632	0.6307295685916193
YBL051C	1.5973822315355297	1.9026423334187421
YBL052C	-0.13794520699819587	0.20913735773786976
YBL053W	0.004967700603784008	-0.5480106074286947
YBL054W	-0.04613008929678256	-0.49716627441415573
YBL055C	-0.277338375203995	0.07266244785289587
YBL056W	0.24541187987122406	-0.23622885615590766
YBL057C	-0.2077554377695465	-0.08517752099716898
YBL059W	-0.01166224482476168	0.3194729852094636
YBL060W	0.7954782154911874	0.351927798793533
YBL062W	-0.452113506063062	0.3209372647578576
YBL063W	0.7280769917030208	0.35617349487725686
YBL064C	0.6717555873560251	0.47295317642342816
YBL065W	-0.06374808005395645	-0.22516000776025114
YBL066C	-0.18186361769680426	-0.4382308832517896
YBL067C	-0.6426215187425418	-0.20110102930482318
YBL068W	0.08461227539256422	0.44479918379779615
YBL069W	0.9261478776152798	-0.019683776721261644
YBL070C	-0.01612494089937581	-0.25229417953991523
YBL071C	-0.11242151121611489	-0.5206708936798907
YBL072C	-1.3522674818708622	1.0083420753912944
YBL075C	-0.23578597712282817	0.048949667490271076
YBL080C	-1.5235702809395022	-1.6313802552668673
YBL081W	0.1928045704884824	-1.0975213425299053
YBL082C	0.28033155864544756	0.8878023410800892
YBL083C	0.014017078623727525	0.20189832309211056
YBL085W	0.4224289363303027	0.23847391702035312
YBL086C	0.1717021128403983	0.12877763789636923
YBL087C	0.9690138009836773	1.1481101898614983
YBL088C	-0.7458970606171152	0.09037421484193782
YBL089W	0.013791608569858274	0.3051435195302351
YBL091C-A	0.764633735076729	0.22575970276192434
YBL094C	0.4347909107693475	-0.08251585117075932
YBL095W	0.20520939469444288	0.4232738080775206
YBL096C	-1.3008925687648996	-0.8783157164989915
YBL098W	-0.29800649070373686	-0.35605312116262283
YBL101C	0.6169948773331473	0.37797544516893655
YBL104C	1.660675115474167	-0.06748493339241168
YBL107C	-0.16766666441296948	-0.40613376039053123
YBR001C	-0.2046344325909469	-0.20951653596020364
YBR005W	-0.17463762138227354	-1.1069438817604864
YBR006W	-0.30244305210058436	1.5287259202536132
YBR007C	0.20504716573685033	-0.21661904554339134
YBR008C	-0.24293091794720537	1.0807889102958872
YBR009C	0.2162948690971438	0.8674934737947233
YBR010W	-0.26860071272732666	-0.6846027535328876
YBR012C	-0.11472181003567312	-0.16253513433539665
YBR013C	0.4003041753965087	0.43867207790225016
YBR014C	0.8418536938568251	1.0487258313121486
YBR015C	-0.13953387361817496	-0.17214509627156968
YBR016W	-0.3542514635833301	0.3015900716777348
YBR018C	-1.5230443138907563	0.0005484557420378554
YBR019C	-0.3712153343535218	-0.061535171154828594
YBR020W	-0.11923167551488452	-1.3087219579902392
YBR021W	0.08461227539256422	0.40127001563130993
YBR022W	-0.6551571016098461	-1.1299418497950242
YBR023C	-0.30005199066049143	0.20162460552315814
YBR024W	0.10302559436131793	-0.8403031416979844
YBR027C	-0.16335423889181896	0.6168121096897903
YBR028C	-0.6019818539641293	-0.1554000273779624
YBR030W	-0.6230351854710108	0.6327126188744222
YBR031W	-0.09379982256162618	1.062059898301281
YBR032W	-0.12607065278384263	-0.0005307285125351292
YBR033W	-0.24034653802196	-1.1614341851184986
YBR034C	-0.26302491814751383	-1.4766229485526623
YBR035C	0.28995324467693595	0.5663532722024075
YBR036C	-1.0907869920401378	-1.497960181590867
YBR037C	-0.9224386732014137	-0.9080391152394386
YBR040W	-0.7816390070833689	-0.12241498631165644
YBR041W	-0.8910032547251265	-1.796207030680139
YBR044C	1.1580740142411008	0.8307862776712819
YBR045C	-0.08504403813511474	0.4363120238787832
YBR046C	0.026826402914268955	0.19131352552600606
YBR047W	-0.05707490791849643	0.24944445787738992
YBR048W	0.6199897923232903	-0.4461916844430819
YBR050C	-0.1578243530914791	-0.6904028851938219
YBR051W	-0.25497136783062607	0.8625320969403194
YBR052C	0.20111963265582047	-0.2301791655555871
YBR053C	0.46353874805098594	-0.013316149659795736
YBR056W	-0.07821193643079333	0.061034944965368196
YBR058C	-2.259646662788412	-1.2400528544118727
YBR059C	-0.3824005275310664	-0.9221519385529446
YBR061C	-4.915489729949609	-1.5704178569838996
YBR062C	-0.02620988249236391	-0.3550794484815429
YBR063C	0.29130795496715794	0.27449457965626456
YBR064W	0.0865535965857341	0.2941548832254375
YBR065C	0.2565850545313689	0.24560154459717884
YBR066C	0.8822089423075689	0.20816494305147842
YBR069C	-0.8965714230548436	-0.9291796328392236
YBR071W	0.19234370751396274	0.29440195092827537
YBR072W	0.6864550951152464	0.26225338429311973
YBR073W	0.03344334926776583	0.4068445453073838
YBR074W	-0.2755995013400741	-0.4955917597960079
YBR076W	0.1253579045937969	-0.04091613613215606
YBR077C	-2.1049748070016996	0.9832482321502138
YBR078W	0.24083947551122797	0.28681525458952856
YBR082C	0.30828975245393736	0.08176429778848243
YBR083W	0.641625337237453	1.5823493808866096
YBR084C-A	0.44999044435391283	-0.04303930463736126
YBR089C-A	-0.5660380659795772	-0.4357358924686759
YBR090C	-0.5822106118854367	-0.4221318995466797
YBR092C	-0.030803105251222204	0.4536324922399279
YBR093C	0.8914379624736166	1.2343962513947828
YBR094W	0.4318822940517871	-0.048043473061769974
YBR095C	-1.346115238945328	-2.698725956095363
YBR098W	0.05188263899389692	0.11579096488384517
YBR099C	-0.46447802481975065	0.031010394374078314
YBR101C	1.1816916684560603	-0.08714909383083072
YBR104W	0.06995503661867476	0.4134648592169353
YBR105C	-0.4512526960366559	-0.9301223827786939
YBR106W	1.1097779224715767	-0.2506530326515032
YBR107C	0.14703726766736586	-0.2866405596984009
YBR108W	0.29722695668025834	-0.14368210691531108
YBR111C	-0.3328268364103767	-0.10314852971495016
YBR113W	0.9745167642138729	0.10155706648786585
YBR114W	1.01224673471996	1.3167705199835011
YBR116C	-0.13439103875128036	0.0581482465407759
YBR119W	1.7332031301218862	0.7235193121663378
YBR120C	-0.4684430313695739	1.1221709948010852
YBR121C	-0.009819043335351912	2.543249022624326
YBR122C	-0.8866844300325915	-1.6114444678011832
YBR125C	-1.1417861445374962	-0.5701569585869711
YBR128C	-1.9543429060088933	-3.5149806638275773
YBR129C	-0.2664923003332699	-0.6488400848821464
YBR130C	-0.9852625417933614	-1.2480695175257521
YBR132C	-0.13028445414570908	0.061929373903996165
YBR134W	-0.5618159510611663	0.4448696189369541
YBR137W	0.03608065587117635	0.9504431805647853
YBR138C	-0.2516784156757102	0.47373129354823845
YBR139W	0.08728405665331318	0.7006792863645578
YBR141C	0.09185601881631443	0.7054369222121373
YBR144C	0.19918367688377495	0.3696105545363541
YBR145W	0.42108155870941666	0.4256098137832641
YBR146W	-0.5118808614451549	-0.7534501291861123
YBR147W	0.647824862358468	0.41947956683668136
YBR148W	-0.8624668195499564	-1.053660385755572
YBR149W	-0.13594612107412274	-0.24130819580631996
YBR150C	-0.5472241175659368	-1.7307822635934067
YBR151W	0.43560677145089344	0.35247182166965557
YBR156C	0.22470588679932524	1.0855676120056745
YBR157C	1.51441173461396	2.095870732653303
YBR158W	0.3414799391329532	0.3033506036274143
YBR159W	0.4007647871215121	0.665704588530482
YBR161W	0.05946854455152598	0.060656285726678055
YBR162C	-1.60092887740173	-1.6308325163303423
YBR162W-A	0.08461227539256422	0.6186778601874228
YBR163W	-6.301860751070626	-4.47280606059682
YBR164C	-0.6282954287290163	-1.6307790150501174
YBR165W	-0.5756088473256583	-0.687933038717499
YBR166C	-0.4227162609437023	-0.7590113185709028
YBR168W	1.4017346076026524	2.7061212164251374
YBR169C	0.32299009900759096	0.9132629475485984
YBR170C	0.26055804361056306	0.27745706578288704
YBR171W	1.6522803096518364	0.5343504649599978
YBR172C	-0.1427358711692236	0.15881375934572578
YBR174C	-2.672197688045336	-1.1377259370872204
YBR177C	0.9442361373002194	1.5932787974127738
YBR178W	0.19229697545084704	1.429522911071481
YBR179C	0.904752748281734	0.20179198544259314
YBR180W	0.7590465817019684	0.5859487963845874
YBR181C	2.9947906576814245	2.22446206146326
YBR182C	0.039747962872850456	0.19953181901234812
YBR183W	0.2039162305481119	-0.23081583869166952
YBR184W	-0.11631527850448889	-0.18588484022543988
YBR185C	-1.5119475820957529	-0.8625853823260305
YBR186W	-0.5561104695843195	-0.35389193821773635
YBR188C	-0.09907844127695412	0.33839032204027114
YBR194W	0.39513187883429923	0.12666694750699348
YBR195C	0.1940840653026463	-0.11913958608900088
YBR197C	0.08461227539256422	0.19071930123472325
YBR199W	0.16811215144777733	0.6815326724017405
YBR201W	1.01484838991304	1.140056854549544
YBR203W	-0.03202453329611151	-0.5121443222194343
YBR204C	-1.047919199097824	-0.6043468499580442
YBR206W	-1.0335337907673594	-0.283672324633316
YBR207W	-0.3077296181952727	0.19998226116110354
YBR209W	0.23780010613252806	-0.6875733577677297
YBR210W	-0.24440830464156696	0.0885461350616548
YBR212W	0.7367826992942448	-0.30596409479594294
YBR213W	0.05128759227863163	-0.45920390567791197
YBR214W	-0.851024048769967	-0.0440731699310418
YBR215W	0.17658661055564406	0.5913367180837983
YBR216C	0.06655209500169876	0.1218449170229918
YBR217W	-2.984764212309949	-4.539374643766063
YBR218C	-1.381981805937473	-0.09044497835305008
YBR219C	-1.267891664987917	0.45567278900166447
YBR222C	-0.34424830446089677	0.1309474777399577
YBR223C	0.16345156967735358	0.4487061618480685
YBR224W	0.2091838709133401	-0.7944428146148987
YBR225W	0.6293251867093793	0.12825781939263414
YBR226C	1.4138179482833955	0.47371520611530976
YBR227C	0.5342918014843573	0.3662884172462264
YBR228W	0.209997931175112	-0.4505492502735084
YBR229C	-0.30545061858762096	-0.27974294442613284
YBR230C	-0.47332964440331715	0.5564265959724297
YBR231C	2.079625956162854	1.5934892227124937
YBR232C	-0.6234086201032287	-0.3664859225062668
YBR233W	-0.4350631838642123	-0.6062477218422857
YBR238C	0.09273705753620169	0.6660987004210674
YBR239C	0.060479966511493476	0.30068105632601977
YBR240C	-0.6367645137546831	0.17690044510521766
YBR242W	-0.14553784798869113	0.3077976044237922
YBR244W	0.08176668667638104	0.31202274296857185
YBR245C	1.0157156380639965	-0.06511736069656354
YBR246W	0.03117789414104557	-0.8849865821957055
YBR249C	0.19108056725923464	0.19575200019801733
YBR250W	0.17134171817746718	-0.17740785456169447
YBR255W	-0.32320197468210543	0.2224594943862305
YBR258C	0.07452223574991618	0.5120082056220346
YBR259W	0.7211014955316064	0.19119018146617756
YBR260C	-0.24471529447105436	-0.14763797901716208
YBR262C	-0.49598431843454777	-0.03179276512602779
YBR263W	-1.1577877161960515	-0.812120466612623
YBR264C	-0.5630716654863125	-0.6063654134906561
YBR266C	1.1214590998011755	3.57092913039227
YBR268W	-4.48308626501732	-3.05600388958914
YBR269C	0.5208430590010453	0.7273172081405536
YBR270C	-0.01042888197749247	0.13641172047876768
YBR271W	-0.8849309272861537	-0.4089707479709173
YBR272C	0.3582837185817362	0.2372964103242027
YBR273C	-1.0498381469174063	-0.019700247965383704
YBR274W	0.15480159755112158	-0.11979815346533339
YBR275C	0.0749501368175311	-0.041020635267235976
YBR276C	-0.399175388498732	-0.022032310365357587
YBR277C	0.37826935475944345	-0.510436451935741
YBR279W	0.3957587994581904	0.026396439895191186
YBR280C	-4.866804885505725	-4.390435144066147
YBR281C	0.9175062078941945	0.6911188580728067
YBR283C	-1.081003475636162	-0.44311942597889176
YBR284W	0.4469477664215668	-0.2818293574312681
YBR285W	0.027995650234688738	0.5948784724041944
YBR286W	0.709221653880545	0.6377269366184208
YBR287W	-0.7556943117952081	-0.5174150321795561
YBR290W	-0.31316942066050024	-0.07068334884215001
YBR291C	0.9143861332620764	0.7022378577924143
YBR292C	-1.3183414769635542	0.48366226836478243
YBR293W	-0.1982887704276576	-0.41447658085487443
YBR294W	0.03617790549813468	-0.3107496643122304
YBR295W	-0.19176140163849498	0.5239333602725039
YBR296C	-0.24216766372364007	0.24971282724574462
YBR299W	-0.022637735350428657	-0.042962702907246596
YBR300C	0.6684289970713131	0.32442853400642546
YBR301W	0.30902225633502833	0.7872712398545989
YCL001W	-0.050679997009552016	-0.32900426380782194
YCL001W-A	-0.44117737247590416	0.5993780561899295
YCL002C	-0.6475284857029964	-0.21503310289852606
YCL008C	-3.4479310130224263	-2.974481938465101
YCL009C	1.2692772728410453	1.6611291805202377
YCL010C	0.4018664137692307	0.10934590101141921
YCL011C	-0.009441820572603036	0.09611512672141141
YCL014W	-0.07108183668207098	-0.9320163490983351
YCL022C	0.3699354956823101	0.29197402095237696
