orf	hom | growth (pooled culture, microarray) | gossypol [200 uM] | YPD + DMSO [2%] | Prescott TAK~Hoepfner D, 2018	hom | growth (pooled culture, microarray) | gossypol [300 uM] | YPD + DMSO [2%] | Prescott TAK~Hoepfner D, 2018	hom | growth (pooled culture, microarray) | gossypol [400 uM] | YPD + DMSO [2%] | Prescott TAK~Hoepfner D, 2018	het | growth (pooled culture, microarray) | gossypol [200 uM] | YPD + DMSO [2%] | Prescott TAK~Hoepfner D, 2018	het | growth (pooled culture, microarray) | gossypol [300 uM] | YPD + DMSO [2%] | Prescott TAK~Hoepfner D, 2018	het | growth (pooled culture, microarray) | gossypol [400 uM] | YPD + DMSO [2%] | Prescott TAK~Hoepfner D, 2018
YAL001C	0.18353998802241603	1.3072400841075023	0.21937061715868666	0.44563543292973407	0.13934953765892938	0.5002381278562629
YAL002W	-0.2292575911971657	0.32455590898220515	-0.18266482126352596	0.6817793789772992	0.053102512751201196	-0.05782269682406923
YAL003W		0.11661772614185997		1.501362300617174		0.4848963742567835
YAL004W	-0.061960407565284314	-1.2199683434808781	-0.4007523429469773	-0.09905160844896775	-0.3507033627211728	-0.24958430253291988
YAL005C	0.4518122997538734	-0.05486162642416755	0.22364432482722676	-0.18311005064304978	0.929970723699228	-0.07872694215429038
YAL007C	0.02215556463062246	-2.760941900717649	-1.4019807028274331	-1.562947881460961	-0.8564470351848182	-2.544483765327332
YAL008W	-0.3262706175931694	0.11200636935321946	-1.206174303301558	-0.5018735174112707	-0.9741616198905951	-0.09926099075138799
YAL009W	-0.3398215051867999	0.4321837549911938	-0.08614301458950467	0.8551983875016358	0.7454414825616348	0.20094992865516906
YAL010C	0.19473223841406914	0.05833848518651296	0.2113001948325141	-0.628193706220008	0.35492531282716117	1.101548552809344
YAL011W	-0.056291099101935076	-1.7318235396393424	0.3014080756774141	-0.09369619226443957	-0.2000248281424818	-0.01493757457959056
YAL012W		-1.3295488271129408		-0.2911950099723445		-1.4100896619097987
YAL013W	0.5914496434219587	0.5331335305765306	-0.17256893670857998	0.02709920012406649	-0.9287128286460954	0.1427248387917365
YAL014C	0.11400935270311399	1.4907609114990799	-0.08860112337722122	0.02832149089428775	0.46872868629629244	-0.10711505396924034
YAL015C	-0.06170144251910812	-0.10079445655787322	-1.212251095031804	-0.7323853332515742	0.29536359027148046	-0.016480802520045797
YAL016W		-0.0183004206603527		-0.049020917009543426		0.11110477954396701
YAL017W	-0.11647885472841471	0.033611445590706654	0.62707848437902	0.27450956493704975	-0.06771904718752897	0.6859988784994439
YAL018C	-0.027862941856593854	0.09440360989381467	-0.02805135143495526	0.6263167795330811	0.18014639134900626	0.42867124210854873
YAL019W	-0.24871970391585288	-0.06347916127421048	-0.009412840905252436	-0.06697126956628591	0.05116248319388331	0.01103233727467183
YAL020C	-0.2017884763437872	-0.10877213616558533	-0.588781649391964	-0.06892515612164632	-0.22742960362513281	-0.561613625622141
YAL021C	0.5155509697702774	-1.1373301834922196	-0.11546397502007877	-0.24915770619467853	-0.013676734698454977	-0.0763797003516316
YAL022C	-0.11328191055341451	0.051412151628461744	0.0873957097025953	-0.006564810907370836	0.05245167535167906	0.05535610972942055
YAL023C	0.0022351200696770703	-0.12830529311834216	-0.027539521422379757	-0.8703949208587071	0.8284876237146548	0.08919699099416527
YAL024C	-0.3816060474312693	0.04388202724936582	-0.31823925735906416	-0.7506717839408578	-0.18083737725404458	-0.01160751699627901
YAL025C		0.6442739453552594		0.02389617543220981		-0.01395181514210495
YAL026C	-0.8376459837647007	-0.013422739682601628	-0.09579591442904804	-0.11767616900140104	-0.7750756790620384	-0.2246227369800187
YAL027W	0.003735661565050184	1.083896939400644	-0.07536872202302292	3.175269170788851	-0.09062501766084544	1.8949268905853889
YAL028W	0.06555317780635476	-2.7010873939493143	-0.033866346163671	-2.028683791955429	0.011354843016460664	-2.223268898802269
YAL029C	-2.1757737772378367	-0.543317518867929	0.0448227767256731	-3.6078387692117775	-0.319003021748356	-3.079406668518888
YAL030W	1.7157847562768984	0.3666252036046831	0.4345073844425132	-0.47459729352721053	0.2126009158885807	-0.4650328334323041
YAL031C	0.25869933157486813	0.009574382804570824	0.6034599143286014	0.010456246948350527	0.1174607612703815	0.8976640677313095
YAL032C		-1.4727760237557739		-1.6967320179259182		-0.33513570957641475
YAL033W		-1.1328313971709887		-0.11489567218284448		-0.17211043215236807
YAL034C	0.4613102283800825	-0.04772400179723586	0.11608286548459844	1.0959122283875258	0.39270598854119515	1.554431243532407
YAL034C-B		-0.06344605103600273		-0.03033695573651262		-0.13682097171630533
YAL034W-A		-0.26359803710929813		-0.8894191095130826		-0.23060301858561116
YAL035W	-0.08879427511443297	-0.8301565690850898	-0.047017137893009084	-0.4947009595938436	0.9128418055491064	-0.3792686983516374
YAL036C	0.07831710477099345	0.16077368392550315	0.2489901532127582	0.23835010396014522	1.360801096214462	-0.2732681564317
YAL037W	0.2690581008851334	0.13825720247768794	-0.0835204363969532	-0.020866789935292222	-0.334143731773289	0.8491260937761054
YAL038W		-0.7969722717209142		-0.4083007450869284		-2.379921293497564
YAL039C		1.5355880747949986		1.484672415056356		0.3844004662053308
YAL040C	0.1926281182279409	0.2167699133551696	0.5318770108393046	-0.10246505938636498	-0.03070394795013969	-0.008386578455272416
YAL041W		-0.1166010528648375		0.141176535198648		0.002758039207675542
YAL042C-A	-0.43251347718538474	-2.2894046891422133	-2.1019996636986105	-0.9344135052259035	-2.555614746680407	-1.3306699549927699
YAL042W	-0.14828121991427712	-0.025203078377646248	-0.30326650214049256	-1.2707991021809777	-0.08055920451649572	-0.062395249088424976
YAL043C		-1.5991366912012923		-0.8515574235550819		-1.6077449285543537
YAL044C	1.1073000855176716	-0.9789372606431322	0.16456325898915278	-1.8501258809194268	-0.011298965428927495	-1.5043260488567767
YAL045C	1.647917563798142	-0.37842464517204666	1.6576952903535465	-0.0068223245765698555	0.8614542564813016	-0.34084013555464415
YAL046C	-0.07127144977196642	-1.84641272585631	-0.05323710208579396	-2.2086393602417287	-0.40618118674167736	-0.6444252545421891
YAL047C	-0.12760742922194449	0.4964201867212265	-1.6833471916831406	0.2194131289602909	0.09468789149896346	0.0812595102246298
YAL048C	1.2523051387171371	-0.3180066657347365	0.49234877846200736	-0.7482609125281766	0.018721776162032924	-0.08136467805330333
YAL049C	0.050049979126627404	-3.1160070427792728	-0.10045732365623591	-1.7878208335256698	0.18305672890102104	-2.048793939020702
YAL051W	-0.1626666601405686	-1.4938451648190227	-0.19494072617213817	-0.18261557271190584	-0.11103212249348601	-2.302480708273201
YAL053W	-0.32971120233168344	-2.231824757887204	-0.7096846453840336	-0.11081883712568652	-0.9365405550791399	-2.1707378145470657
YAL054C	1.640776250071496	0.25055913315051515	2.035178031449446	2.4481285307766627	1.9872655567283426	1.8625683475917363
YAL055W	-1.8411410315802648	-1.5775049828304752	-0.2780221812062012	-0.13801179739277145	-1.7160108071710987	-1.4066646510032947
YAL056C-A	-0.8269653866176533	-0.15418375411561722	-0.2682735195168245	0.18669873797362893	-0.7524436183062444	-0.014922432594980824
YAL056W	-0.02642180834672668	0.14038092253601936	-0.14223080392616158	-0.1294036452039039	-0.17440160388955014	0.04432139112014811
