orf	hap ? | growth (undefined) | expression of amyloid-beta 42 | None | Fruhmann G~Cullin C, 2018
YAL021C	-2.833619789594705
YAL064C-A	3.010721026444374
YAR031W	3.010721026444374
YBL007C	-2.833619789594705
YBL042C	3.010721026444374
YBL072C	3.010721026444374
YBR083W	3.010721026444374
YBR111C	8.855061842483453
YBR113W	-2.833619789594705
YBR173C	-2.833619789594705
YBR209W	3.010721026444374
YBR212W	3.010721026444374
YBR266C	5.932891434463913
YBR267W	5.932891434463913
YBR284W	3.010721026444374
YCL058C	3.010721026444374
YCR085W	3.010721026444374
YCR088W	3.010721026444374
YCR099C	3.010721026444374
YCR102C	3.010721026444374
YDL013W	3.010721026444374
YDL070W	5.932891434463913
YDL113C	3.010721026444374
YDL115C	3.010721026444374
YDL119C	3.010721026444374
YDL137W	3.010721026444374
YDL155W	8.855061842483453
YDL167C	3.010721026444374
YDR042C	3.010721026444374
YDR129C	-8.677960605633784
YDR276C	-2.833619789594705
YDR314C	3.010721026444374
YDR335W	3.010721026444374
YDR384C	3.010721026444374
YDR388W	-8.677960605633784
YDR448W	8.855061842483453
YDR451C	8.855061842483453
YDR463W	5.932891434463913
YEL043W	3.010721026444374
YER031C	3.010721026444374
YER055C	8.855061842483453
YER067C-A	3.010721026444374
YER071C	-2.833619789594705
YER106W	3.010721026444374
YER116C	-2.833619789594705
YER149C	3.010721026444374
YER155C	-2.833619789594705
YER183C	3.010721026444374
YER186C	3.010721026444374
YFL001W	3.010721026444374
YFR017C	5.932891434463913
YGL035C	3.010721026444374
YGL045W	-2.833619789594705
YGL070C	3.010721026444374
YGL072C	8.855061842483453
YGL081W	3.010721026444374
YGL101W	3.010721026444374
YGL109W	5.932891434463913
YGL133W	5.932891434463913
YGL173C	5.932891434463913
YGL180W	3.010721026444374
YGL200C	3.010721026444374
YGL226W	-2.833619789594705
YGL254W	5.932891434463913
YGR003W	3.010721026444374
YGR111W	5.932891434463913
YGR259C	3.010721026444374
YGR284C	8.855061842483453
YHL005C	-2.833619789594705
YHR132W-A	3.010721026444374
YHR184W	3.010721026444374
YIL009W	3.010721026444374
YIL014C-A	3.010721026444374
YIL018W	8.855061842483453
YIL042C	5.932891434463913
YIL093C	8.855061842483453
YIL110W	-2.833619789594705
YIR004W	3.010721026444374
YIR009W	8.855061842483453
YIR037W	3.010721026444374
YJL007C	5.932891434463913
YJL129C	8.855061842483453
YJL140W	3.010721026444374
YJL147C	3.010721026444374
YJL169W	-2.833619789594705
YJL172W	3.010721026444374
YJL179W	8.855061842483453
YJR055W	5.932891434463913
YJR100C	3.010721026444374
YJR117W	8.855061842483453
YKL017C	3.010721026444374
YKL034W	3.010721026444374
YKL041W	-2.833619789594705
YKL066W	3.010721026444374
YKL157W	3.010721026444374
YKL215C	3.010721026444374
YKR035W-A	3.010721026444374
YKR076W	5.932891434463913
YLR025W	-5.755790197614244
YLR034C	3.010721026444374
YLR042C	3.010721026444374
YLR077W	5.932891434463913
YLR097C	3.010721026444374
YLR149C	8.855061842483453
YLR279W	3.010721026444374
YLR283W	3.010721026444374
YLR289W	3.010721026444374
YLR328W	3.010721026444374
YLR343W	3.010721026444374
YML034W	3.010721026444374
YML055W	3.010721026444374
YML081W	-2.833619789594705
YML082W	3.010721026444374
YML084W	8.855061842483453
YML096W	3.010721026444374
YML107C	3.010721026444374
YML119W	3.010721026444374
YMR060C	-2.833619789594705
YMR071C	3.010721026444374
YMR102C	3.010721026444374
YMR103C	8.855061842483453
YMR114C	5.932891434463913
YMR123W	-2.833619789594705
YMR133W	3.010721026444374
YMR136W	3.010721026444374
YMR144W	3.010721026444374
YMR153C-A	3.010721026444374
YMR160W	3.010721026444374
YMR169C	3.010721026444374
YMR170C	3.010721026444374
YMR178W	3.010721026444374
YMR183C	3.010721026444374
YMR195W	3.010721026444374
YMR199W	3.010721026444374
YMR244W	3.010721026444374
YMR255W	8.855061842483453
YMR273C	8.855061842483453
YMR285C	3.010721026444374
