orf	hap a | growth (culture turbidity) | fucoidan [500 g/ml] | YPD | Corban M~Gueven N, 2019
YAL016W	-2.941176470588235
YAL035W	-2.1739130434782608
YBR081C	-3.846153846153846
YBR098W	-5.0
YBR103W	-3.7037037037037033
YBR116C	-2.127659574468085
YBR126C	-3.846153846153846
YBR149W	-2.127659574468085
YBR271W	-1.7857142857142856
YBR290W	-4.545454545454546
YCL058C	-3.571428571428571
YCR081W	-2.0
YDL044C	-1.8518518518518516
YDL116W	-2.857142857142857
YDL168W	-3.0303030303030303
YDL230W	-2.0408163265306123
YDL243C	-10.0
YDR004W	-3.0303030303030303
YDR015C	-5.88235294117647
YDR017C	-1.8867924528301885
YDR018C	-2.380952380952381
YDR019C	-4.166666666666667
YDR114C	-1.7241379310344829
YDR121W	-1.639344262295082
YDR144C	-4.545454545454546
YDR150W	-2.380952380952381
YDR242W	-3.3333333333333335
YDR352W	-1.7543859649122808
YDR372C	-2.3255813953488373
YDR506C	-4.545454545454546
YDR512C	-5.0
YDR532C	-2.272727272727273
YDR534C	-7.142857142857142
YEL017C-A	-1.7543859649122808
YER004W	-1.7543859649122808
YER055C	-1.8867924528301885
YER085C	-1.7241379310344829
YER129W	-1.8181818181818181
YER152C	-1.8181818181818181
YER155C	-2.1739130434782608
YFL004W	-3.2258064516129035
YFL010W-A	-2.3255813953488373
YFL016C	-1.8518518518518516
YGL101W	-1.8181818181818181
YGL109W	-1.923076923076923
YGL114W	-3.2258064516129035
YGL118C	-4.545454545454546
YGL127C	-8.333333333333334
YGL132W	-4.545454545454546
YGL148W	-3.846153846153846
YGL202W	-2.941176470588235
YGL203C	-1.8867924528301885
YGL206C	-1.8518518518518516
YGL230C	-3.0303030303030303
YGR032W	-2.4390243902439024
YGR079W	-1.8518518518518516
YGR132C	-1.6949152542372883
YGR133W	-2.380952380952381
YGR144W	-2.7777777777777777
YGR146C	-2.4390243902439024
YGR276C	-2.7777777777777777
YGR285C	-2.272727272727273
YHR029C	-2.4390243902439024
YIL112W	-3.3333333333333335
YIL125W	-2.380952380952381
YIL152W	-5.0
YIL153W	-2.941176470588235
YIL165C	-3.7037037037037033
YJL020C	-3.571428571428571
YJL137C	-1.8867924528301885
YJL160C	-2.564102564102564
YJR011C	-8.333333333333334
YJR069C	-6.25
YJR096W	-2.2222222222222223
YKR046C	-5.555555555555555
YLL028W	-3.571428571428571
YLR083C	-1.7543859649122808
YLR091W	-2.0408163265306123
YLR232W	-8.333333333333334
YLR251W	-4.0
YLR304C	-2.127659574468085
YLR354C	-2.0833333333333335
YLR364W	-1.8867924528301885
YLR373C	-7.692307692307692
YLR374C	-4.3478260869565215
YLR408C	-1.923076923076923
YLR432W	-2.6315789473684212
YML070W	-5.555555555555555
YMR006C	-1.7241379310344829
YMR073C	-2.127659574468085
YMR123W	-1.8518518518518516
YMR139W	-1.8181818181818181
YMR247C	-1.7543859649122808
YNL010W	-3.3333333333333335
YNL025C	-2.7777777777777777
YNL097C	-3.3333333333333335
YNL111C	-4.3478260869565215
YNL120C	-2.272727272727273
YNL130C	-2.380952380952381
YNL289W	-2.4390243902439024
YNR066C	-3.4482758620689657
YOL001W	-1.8518518518518516
YOL147C	-2.380952380952381
YOR251C	-1.6949152542372883
YOR265W	-1.9607843137254901
YOR275C	-2.941176470588235
YPL023C	-1.8518518518518516
YPL026C	-2.5
YPL040C	-2.2222222222222223
YPL056C	-2.127659574468085
YPR045C	-3.125
YPR061C	-3.2258064516129035
YPR062W	-2.272727272727273
YPR078C	-5.555555555555555
YPR101W	-2.0833333333333335
